weiss	вайс
felette	вище
békák	жаби
urak	lords
koncertek	концерти
austin	остін
indítás	стартувати
indítás	запуск
statisztikák	статистика
statisztikák	статистикою
statisztikák	статистику
statisztikák	статистики
statisztikák	статистика
statisztikák	статистики
cigányok	цигани
kilátás	перегляд
kilátás	вигляд
kilátás	view
kilátás	вид
kilátás	переглянути
sophie	софі
sophie	софія
etióp	ефіопський
barnabás	варнави
barlangok	печер
barlangok	печери
barlangok	печери
utazik	подорожі
utazik	подорожуючи
utazik	подорожей
utazik	подорож
utazik	traveling
utazik	подорожувати
előkészítő	підготовчий
előkészítő	готування
schneider	шнайдер
élve	живий
élve	жива
élve	живим
élve	alive
borbély	перукар
edwards	едвардс
leszármazottai	нащадки
őrzött	ланцюгами
bella	белла
adatlap	профілю
adatlap	профіль
tevékenységek	заняття
tevékenységek	діяльності
tevékenységek	діяльність
tevékenységek	активність
tevékenységek	дії
tevékenységek	діяльності
tevékenységek	дія
tevékenységek	діяльність
harcosok	воїни
harcosok	бійців
harcosok	бійці
szintetizátor	синтезатор
képességeit	здібності
orvostudomány	ліки
orvostudomány	медицина
germain	жермен
láz	гарячка
láz	жар
láz	лихоманка
nitrogén	азот
jonas	йонас
szárnya	крилом
szárnya	крило
növekedés	збільшити
növekedés	підвищити
növekedés	росту
növekedés	зростання
növekedés	ріст
növekedés	приріст
tanulás	вчиться
tanulás	навчається
tanulás	навчання
tanulás	вивчення
tanulás	навчання
tanulás	навчання
egyenlet	рівняння
flash	флеш
flash	flash
flash	спалах
támogatója	прихильником
computer	computer
toszkána	тоскана
moto	moto
börtön	тюрму
börtön	ґрати
börtön	тюрма
börtön	тюрми
una	уна
ismételten	безперервно
okos	влучно
okos	розумний
okos	розумна
okos	розумні
okos	розумно
okos	розумним
okos	смарт
okos	розумний
okos	smart
élesen	різко
mélység	глибина
lane	вуличка
grafika	графіки
grafika	графіка
grafika	графічні
grafika	графіку
divízió	ділення
divízió	дивізіон
divízió	поділ
személyisége	особистість
atlas	atlas
atlas	атлас
atlas	атлант
kalózok	пірати
isère	ізер
brad	бред
problémás	проблемних
alexandre	александр
szászok	сакси
fehéroroszország	білорусі
fehéroroszország	білорусь
fehéroroszország	білоруський
fehéroroszország	білоруська
versailles	версаль
sainte	сент
tények	факти
ger	ger
bass	бас
bass	басс
spirituális	духовні
sekély	мілка
kulcs	клавіші
kulcs	ключі
kulcs	ключ
kulcs	клавіша
ajánlatot	пропозиція
ajánlatot	пропонуємо
újonc	новачок
újonc	стажер
újonc	новачок
hannover	hannover
schiller	шиллер
leone	леоне
lmbt	лгбт
jövőbeli	майбутнє
kezeli	керує
asszonyok	жінок
asszonyok	жінки
jogszabályok	закон
jogszabályok	право
jogszabályok	законодавства
jogszabályok	законодавство
jogszabályok	законів
jogszabályok	закони
legendája	легенду
legendája	легенда
chuck	чак
planet	planet
planet	планета
mer	мер
megközelítőleg	приблизні
megközelítőleg	приблизно
torres	торрес
hong	гонг
indre	ендр
miles	кілометрів
szárnyak	крила
gees	gees
műveletek	дії
műveletek	операцій
műveletek	операції
műveletek	дії
szenátus	сенат
rendezvények	події
arányos	пропорційно
aragón	арагон
nancy	ненсі
filmeket	знімали
filmeket	фільми
filmeket	кіно
filmeket	films
filmeket	фільми
filmeket	фільмів
mesterek	магістри
anita	аніта
lausanne	lausanne
készülék	пристрій
készülék	техніка
készülék	прилади
készülék	приналежність
készülék	апарат
hétvégén	вихідних
hétvégén	вихідні
hétvégén	вихідні
házas	одружені
házas	заміжня
házas	одружена
házas	заміж
házas	одружений
tirol	tirol
aug	aug
márka	бренду
márka	бренд
márka	brand
terra	terra
sawyer	сойєр
birkózó	боротьба
birkózó	борець
vladimir	володимир
vladimir	владимир
vladimir	владімір
atom	атомна
atom	атом
menő	круті
menő	круто
menő	класні
janus	янус
szabványos	стандартний
szabványos	стандарт
szabványos	стандартна
szabványos	стандартне
októberi	жовтень
októberi	жовтня
októberi	жовтні
arabul	арабські
arabul	арабська
milliméter	міліметрах
kábel	дріт
kábel	кабель
büntetést	покарав
büntetést	карають
büntetést	покараний
nyak	шия
nyak	шию
