martha	마사
lägenhet	평평한
lägenhet	플랫
lägenhet	아파트
lägenhet	아파트
fond	기금
fond	펀드
iriska	아일랜드어
iriska	아일랜드인
kapital	자본
kapital	수도
kapital	캐피탈
kapital	자본주의
kapital	캐피털
preston	프레스턴
preston	프레스톤
öknar	사막
sally	샐리
årlig	매년
ockupationen	점령
strikt	엄격한
strikt	엄격히
intäkter	수익
intäkter	수입
intäkter	수익금
intäkter	수익
intäkter	소득
intäkter	수입
intäkter	수익
intäkter	영수증
databas	데이터베이스
guvernören	주지사
avancerad	고급
underjordiska	지하
underjordiska	언더그라운드
ost	치즈
ost	치즈
medina	메디나
uttal	발음
uttal	말투
mohammed	모하메드
mohammed	무함마드
statistiskt	통계학
dolly	돌리
dominica	도미니카
variationer	변수
krets	서킷
krets	회로
afc	afc
mjuka	부드러워
mjuka	청량
mjuka	부드럽게
mjuka	부드러운
mjuka	소프트
patienten	환자
hushåll	가구
hushåll	집안
hushåll	가구
verklighet	리얼리티
verklighet	현실
juventus	유벤투스
doctor	닥터
sars	사스
vagn	트롤리
vagn	마차
vagn	마차
vagn	카트
rich	부자
indirekt	간접
latakia	라타키아
framträdanden	공연
framträdanden	외모
framträdanden	출연
stack	스택
elliot	엘리엇
suzanne	수잰
floyd	플로이드
furste	프린스
furste	왕자
effektiv	효율적
effektiv	효과적
höja	올리기
fanny	파니
abba	abba
clearwater	클리어워터
said	말했다
indonesiska	인도네시아어
indonesiska	인도네시아
starkaste	최강
identifiera	증명
identifiera	식별
identifiera	신분증
identifiera	식별
identifiera	식별하기
identifiera	식별
varumärket	브랜드
varumärket	상표권
varumärket	상표
gay	게이
gay	게이이
cell	셀프
cell	세포
barton	바톤
ansluta	연결
ansluta	연결
ansluta	연결하기
intervjuer	인터뷰
bedford	베드퍼드
bedford	베드포드
trädet	트리
trädet	나무
klicka	클릭
boxare	파이터스
boxare	파이터
boxare	파이터즈
sunshine	햇살이
sunshine	햇살
sunshine	햇빛
sunshine	선샤인
auckland	오클랜드
doris	도리스
klassiker	클래식
klassiker	고전
begärde	요청함
dagliga	일일
dagliga	데일리
dagliga	일간
dagliga	일상
give	give
schlesien	실레시아
web	웹툰
omgivning	환경
policy	정책
policy	방침
maxwell	맥스웰
trinity	트리니티
trinity	삼위일체
täcks	커버
täcks	덮여
röstar	투표
snitt	절개
testa	테스트
testa	시험
testa	테스트
testa	검사
testa	시험
kök	부엌
kök	부엌
kök	주방
divisioner	분열
överenskommelse	동의
överenskommelse	협정
överenskommelse	합의
övervägande	고려
grenada	그레나다
grenada	그레나다의
rädd	무서워
pauli	파울리
mother	엄마
mother	어머니
admin	운영자
admin	관리자
irene	아이린
irene	이레네
falska	거짓
falska	가짜
falska	허위
falska	가짜
ideologi	이데올로기
sophia	소피아
uttalade	발음
blair	블레어
blair	blair
bakåt	뒤로
bakåt	다시
bakåt	뒤로
essen	에센
nån	누군가
nån	누군가
control	통제
control	제어
control	제어하기
control	컨트롤
poster	상품
poster	항목
poster	품목
poster	아이템
poster	항목
rachel	레이첼
rygg	다시
rygg	뒤로
homosexuella	동성애자
klubbarna	클럽
utrikes	외국인
mellanrum	띄어쓰기
mellanrum	간격
mellanrum	간격
mellanrum	틈새
mellanrum	간격
månaders	개월
västindien	캐리비안
västindien	카리브
crown	왕관
crown	크라운
lübeck	뤼베크
omdirigering	리다이렉션
omdirigering	리다이렉션
extrema	극단
extrema	익스트림
extrema	극한
horace	호러스
stavning	철자
stavning	맞춤법
stavning	철자법
publikationer	출판물
faktor	팩터
faktor	인자
faktor	요인
hemlig	시크릿
hemlig	비밀
utseendet	외모
utseendet	모양
utseendet	출연
standarden	스탠더드
standarden	표준
pier	부두
tomten	산타
planerar	플래닝
planerar	계획
planerar	기획
planerar	플랜
planerar	계획
planerar	플랜
planerar	계획
pedersen	페데르센
återstående	나머지
