κβαντική	quantum
σον	shawn
σον	sean
παράμετρος	parametern
παράμετρος	parameter
κένυα	kenya
προτίμηση	förtur
προτίμηση	företräde
προτίμηση	preferenser
προτίμηση	preferens
ανθρωπότητας	medmänsklighet
ανθρωπότητας	mänsklighet
ανθρωπότητας	mänskligheten
επιβλήθηκε	påtvingade
επιβλήθηκε	påtvingat
επιβλήθηκε	påtvingad
επιβλήθηκε	påtvingade
επιβλήθηκε	påtvingat
ανεξάρτητοι	självständig
ανεξάρτητοι	självständiga
ανεξάρτητοι	oberoende
ανεξάρτητοι	självständigt
ανεξάρτητοι	fristående
ανεξάρτητοι	grupplösa
ντόπιους	lokalbefolkningen
αμερικάνικο	american
αμερικάνικο	amerikan
αμερικάνικο	amerikanskt
αμερικάνικο	amerikansk
αμερικάνικο	amerikanska
βαλκανίων	balkan
καρπός	frukter
καρπός	frukt
καρπός	handleder
καρπός	handled
καρπός	handleden
ραφαήλ	raphael
ραφαήλ	rafael
τανζανία	tanzania
ακραία	extrem
ακραία	extrema
ακραία	extremt
διατίθεται	tillgänglig
διατίθεται	tillgängligt
διατίθεται	tillgängliga
αθλητή	idrottsman
αθλητή	idrottare
αποτρέψει	förebygga
αποτρέψει	förebygger
αποτρέψει	förhindrar
αποτρέψει	förhindra
αποτρέψει	avskräcka
μεσαιωνικό	medeltida
μεσαιωνικό	medeltiden
μάριος	marius
ταξιαρχία	brigaden
καταστρέψει	förstöra
καταστρέψει	förgör
καταστρέψει	förstör
καταστρέψει	förinta
δακτύλιος	ring
επιβεβαίωσε	bekräftade
επιβεβαίωσε	bekräftad
επιβεβαίωσε	bekräftas
επιβεβαίωσε	bekräftat
επιβεβαίωσε	bekräftats
χαλκίδας	chalcis
γενιές	generationerna
γενιές	generationers
γενιές	generationer
εξερεύνηση	utforskar
εξερεύνηση	utforska
εξερεύνηση	utforska
εξερεύνηση	prospektering
εξερεύνηση	utforskning
θεοδώρα	theodora
αλφόνσο	alfons
αλφόνσο	alfonso
δολάριο	dollar
δολάριο	dollarn
βοηθώντας	hjälper
βοηθώντας	hjälpa
αντίγκουα	antigua
γαβριήλ	gabriel
λόρενς	laurence
λόρενς	lawrence
σύνθημα	motto
σύνθημα	mottot
σύνθημα	lösenord
σύνθημα	lösenordet
σύνθημα	slogan
λούντβιχ	ludwig
επιτεύγματα	prestationer
επιτεύγματα	bedrifter
επιτεύγματα	prestationer
κεραυνός	åska
κεραυνός	dunder
κεραυνός	thunder
κεραυνός	blixten
κεραυνός	lightning
κεραυνός	blixten
κεραυνός	blixt
υπολογισμούς	beräkningar
υπολογισμούς	beräkningarna
παρών	nuvarande
παρών	närvarande
παρών	present
παρών	nutid
τσε	che
τετράγωνα	torg
τετράγωνα	rutor
τετράγωνα	kvarter
τετράγωνα	blockerar
τετράγωνα	blockeringar
τετράγωνα	block
όλιβερ	oliver
αραβικό	arab
αραβικό	arabisk
αραβικό	arabiska
αραβικό	arabisk
αραβικό	arabiska
αραβικό	arabisk
γραπτή	skriftliga
γραπτή	skrivet
γραπτή	skrivit
γραπτή	skriftligt
γραπτή	skrivna
επιτέλους	slutligen
επιτέλους	äntligen
μολδαβία	moldavien
μολδαβία	moldova
καναδός	kanadensare
καναδός	kanadensisk
καναδός	kanadensiska
ριχάρδος	rikard
ριχάρδος	richard
ριχάρδος	rickard
ακαδημαϊκό	akademisk
ακαδημαϊκό	akademiker
ακαδημαϊκό	akademiska
ακαδημαϊκό	akademiskt
κιμ	kim
κοιλιά	magen
κοιλιά	mage
κοιλιά	magen
κοιλιά	mage
κοιλιά	buk
κοιλιά	buken
πυρ	fire
πυρ	brand
πυρ	eld
μπάρι	bari
μπάρι	barry
προσφέροντας	erbjudande
προσφέροντας	erbjuda
προσφέροντας	erbjuder
ακουστική	akustik
ακουστική	akustiska
ακουστική	akustisk
πολωνική	polskt
πολωνική	polsk
πολωνική	polska
πέδρο	pedro
αμοιβή	avgift
αμοιβή	arvode
αμοιβή	ersättning
αμοιβή	lön
αμοιβή	belöna
αμοιβή	belöning
μύθοι	myter
μύθοι	legender
υψηλότερα	högre
μετατόπιση	skift
μετατόπιση	shift
μετατόπιση	skifta
μετατόπιση	förskjutning
μετατόπιση	kompensera
μετατόπιση	förskjutning
μετατόπιση	utjämna
παρουσιάστηκαν	presenterade
παρουσιάστηκαν	framlagda
παρουσιάστηκαν	presenteras
παρουσιάστηκαν	presenterad
παρουσιάστηκαν	presenterat
μέτρια	medium
μέτρια	medelhög
μέτρια	medellång
μέτρια	medelstor
μέτρια	måttliga
μέτρια	måttligt
μέτρια	moderata
μέτρια	måttlig
μέτρια	moderat
επηρεάσει	påverkar
επηρεάσει	påverka
επηρεάσει	påverkade
