astronaut	astronauta
omiljeno	favorito
omiljeno	favoritos
omiljeno	favorita
omiljeno	preferido
stati	para
stati	encaixan
stati	ataque
stati	encaixa
stati	ben
stati	axustan
stati	de
avantura	aventura
daleki	distante
daleki	afastado
crnci	negros
oboren	abaixo
strast	paixón
bombardovanje	bombardeo
bombardovanje	bombardeo
bombardovanje	do
bombardovanje	bombardeos
bombardovanje	o
wrong	mal
wrong	malo
piscima	escritores
zainteresovani	me
zainteresovani	interesaba
zainteresovani	interesábame
zainteresovani	interesados
zainteresovani	interesado
zainteresovani	interese
zainteresovani	interesa
zainteresovani	interesada
osjeti	sinto
osjeti	sentir
osjeti	que
osjeti	síntome
oslanjaju	confiar
umri	morren
umri	morre
umri	morrer
pasoš	pasaporte
bićima	os
bićima	seres
čorba	sopa
čorba	xantar
zvukova	soa
zvukova	parece
zvukova	sons
zvukova	en
zvukova	sona
večeru	cear
večeru	cea
večeru	a
očekuju	esperaba
očekuju	agardas
očekuju	agardaba
očekuju	agárdao
očekuju	a
očekuju	que
očekuju	esperar
igranih	característica
igranih	a
odlučujuća	decisivo
kolonijalnog	colonial
koridor	corredor
miks	mestura
miks	as
isn	é
isn	non
isn	está
čokolada	chocolate
stručna	experta
stručna	experto
okupirali	ocupada
legalno	xudicial
legalno	legal
legalno	legais
ugovore	contratos
frankie	frankie
podigne	erguen
podigne	subir
podigne	os
doesn	non
doesn	ten
fat	graxa
fat	gorda
fat	gordo
fat	gordos
fat	o
manuela	manuela
višem	máis
višem	altos
višem	alta
višem	maior
višem	altas
višem	tan
višem	alto
miševi	ratos
miševi	démoslles
vrlina	virtude
pogođenih	afectados
zidinama	paredes
zidinama	muros
zidinama	as
zidinama	defensas
gmt	gmt
gmt	verá
gmt	co
topljenje	fusión
topljenje	derreter
farme	granxas
akutne	aguda
kingston	kingston
kambodža	camboxa
kambodža	en
krevet	cama
colombo	colombo
mržnja	odio
mržnja	odio
mržnja	os
mržnja	o
mržnja	a
ruševinama	ruínas
miracle	milagre
godišnjem	anual
ozbiljna	serio
ozbiljna	seria
ozbiljna	en
ozbiljna	grave
nestati	desaparecer
propali	fallaron
propali	non
propali	amosaban
propali	fallamos
propali	fracasei
propali	suspendeu
svjedočenje	testemuña
tami	escuridade
napuštanje	deixar
napuštanje	marcho
napuštanje	marchar
korteks	córtex
borilačke	marcial
borilačke	cun
oduševljen	encantado
tehnoloških	tecnolóxica
heroji	heroes
heroji	son
heroji	heroínas
agens	axente
peak	pico
instalaciju	aparello
instalaciju	instalación
bebe	os
bebe	bebés
bebe	nenos
komadant	comandante
veličanstveni	gloriosa
veličanstveni	gloriosas
bakterijskih	bacteriana
bakterijskih	bacteriano
uložio	investimos
lazi	xace
lazi	está
lazi	reside
lazi	mentira
lazi	mentiras
alois	alois
poglede	opinións
siromaštvo	pobreza
siromaštvo	a
ukazao	recomendáronme
ukazao	dixeron
holesterol	colesterol
primijetili	que
primijetili	notei
primijetili	conta
primijetili	de
primijetili	decatei
kapitalizma	o
kapitalizma	capitalismo
posmatrač	espectador
beatles	dos
beatles	beatles
ratište	campo
ratište	batalla
ratište	de
pogodi	que
pogodi	supoño
pogodi	creo
siromašnih	pobre
siromašnih	pobres
blokirati	mazá
blokirati	bloque
blokirati	bloquear
blokirati	acceso
blokirati	barracón
milione	millóns
milione	milleiros
milione	de
pripremiti	preparar
piju	auga
piju	café
piju	bebendo
piju	beber
uživala	desfrutando
uživala	ben
hirurgija	cirurxía
dugova	débedas
relevantne	relevante
relevantne	relevantes
vrijedna	ser
vrijedna	a
vrijedna	pena
vrijedna	paga
vrijedna	valor
vrijedna	vale
vrijedna	valioso
slon	elefante
kingsley	kingsley
snabdijevanje	de
snabdijevanje	subministración
pacova	rata
pacova	ratas
ispunio	de
ispunio	cheos
hemijsko	químicas
hemijsko	químico
uklapa	encaixa
lojalnost	lealdade
svesti	consciencia
svesti	a
svesti	conciencia
svesti	da
otkriju	descubrir
otkriju	que
otkriju	descobren
sjedio	eu
sjedio	sentei
sjedio	sentouse
sjedio	senteime
sjedio	sentou
sjedio	onda
sjedio	sentado
sjedio	sentados
paralelni	paralelo
univerzalno	universais
univerzalno	universal
uticalo	afectados
humphrey	humphrey
clint	clint
brada	queixo
brada	barba
brada	home
predsjedavajućeg	♪
predsjedavajućeg	falante
sjeni	sombra
tale	conto
tale	fadas
dedo	avó
reči	palabras
reči	as
reči	verbas
porezi	impostos
porezi	dos
ličnu	persoal
ličnu	persoais
maske	máscaras
zavisnost	dependencia
osjetio	sentía
osjetio	sentíame
osjetio	que
osjetio	sentín
monitora	monitor
sirove	cru
sirove	groseiro
columbus	columbus
fudbala	fútbol
vuna	la
nemoguća	imposible
nemoguća	imposíbel
trik	truco
branilac	avogado
branilac	asistencia
eksploziva	explosivos
opao	caéronlle
opao	caeron
opao	aquí
opao	caeume
opao	baixou
deal	tratar
deal	negocio
deal	trato
opasni	perigoso
opasni	perigosos
opasni	perigosa
opasni	perigosas
logori	campos
posmatrao	vendo
posmatrao	a
posmatrao	as
posmatrao	ver
posmatrao	mirando
posmatrao	mirar
posmatrao	observando
posmatrao	miraba
posmatrao	ollos
posmatrao	puña
posmatrao	mirei
odlučilo	decidiron
odlučilo	decidimos
odlučilo	decidiu
odlučilo	decidín
vježbi	exercicio
nijemi	parvo
vakuum	aspirador
vakuum	aspiradores
artiljerija	artillaría
artiljerija	artillería
novinarstvo	xornalismo
idealni	ideal
idealni	ideais
insektima	insectos
glasno	forte
glasno	alto
glasno	alta
glasno	voz
unatrag	revés
zatvori	preto
formalne	formal
tonight	esta
tonight	noite
tonight	hoxe
potrošnju	pasar
potrošnju	consumo
prijetnji	ameazas
mečevima	mistos
mečevima	partidos
jednakih	equitativos
jednakih	igual
jednakih	mesmo
jednakih	iguais
jednakih	son
intelektualci	intelectuais
doživjelo	experimentou
doživjelo	experiencia
doživjelo	experimentado
doživjelo	nisto
generiše	xerar
teror	terror
krivicu	culpable
krivicu	culpábel
krivicu	culpábeis
krivicu	culpa
susjedima	os
susjedima	veciños
dvorišta	xardín
dvorišta	pendente
ruševina	ruínas
kontrolisati	control
kontrolisati	controlar
plovila	vasos
plovila	sanguíneos
plovila	frota
mussolini	mussolini
mickey	mickey
mickey	micky
gel	colle
zrno	gran
izumrle	extinguiron
vakcina	vacinas
vakcina	das
vakcina	as
mack	mackie
mack	navalla
mack	mack
predložiti	propoño
ponos	orgullo
ponos	orgulloso
usamljeni	soa
usamljeni	só
upis	entrada
upis	vigor
copy	copia
odbiti	non
odbiti	se
harmonije	harmonía
centi	centavos
centi	cincuenta
centi	patacóns
centi	céntimos
integritet	integridade
stranac	estranxeira
stranac	descoñecido
stranac	estraño
agenti	axentes
rodos	rhodes
stradanja	sufrimento
stradanja	de
stradanja	sofre
vozeći	conducir
vozeći	conducindo
vozeći	a
milosti	misericordia
milosti	piedade
milosti	misericordioso
anđeli	os
anđeli	anxos
anđeli	inferno
ubicu	asasino
ubicu	do
ubicu	asasino
distribuciji	distribución
distribuciji	de
hljeb	pan
hljeb	cartos
tužba	denuncia
taksi	taxi
taksi	taxi
rodnoj	nativo
rodnoj	onde
rodnoj	terra
borilačkih	marcial
borilačkih	cun
krivo	mal
krivo	malo
rukovodilac	director
uragan	furacán
videa	vídeos
sagraditi	construír
sagraditi	crear
sagraditi	construir
sonja	sonia
gruba	aproximada
gruba	vaga
gruba	duro
gruba	mal
gruba	moi
gruba	duros
gruba	duras
najbogatiji	máis
najbogatiji	ricos
letio	sobre
hôtel	hotel
trendovi	tendencias
usana	beizos
usana	os
usana	boca
blagoslov	bendición
blagoslov	beizón
mečevi	mistos
mečevi	partidos
vozova	trens
jedi	comer
jedi	come
jedi	comen
cifra	figura
cifra	que
cifra	descubrir
cifra	pensar
farma	granxa
farma	a
farma	campo
farma	leira
farma	casa
farma	reserva
kancelarije	oficinas
šansa	oportunidade
šansa	posibilidade
parade	procesión
saul	saúl
kape	sombreiros
razgovarao	falei
razgovarao	falou
razgovarao	falaba
ekstremni	extremas
priznavanje	recoñecemento
drage	querido
drage	querida
krvavi	maldito
krvavi	idiota
krvavi	malditos
prodavnice	almacéns
prodavnice	depósitos
prodavnice	provisións
poker	póquer
poker	ao
poker	de
paradajz	tomate
stada	manada
stada	rabaño
solidarnost	a
solidarnost	solidariedade
registracije	rexistro
registracije	tarxeta
poda	chan
poda	piso
poda	andar
reporter	xornalista
reporter	reporteiro
požari	lumes
aplikaciju	aplicación
pisa	pisa
mikrofon	micrófono
bye	adeus
bye	logo
bye	deica
bye	chao
turn	a
jenkins	jenkins
skriveni	oculto
skriveni	oculta
skriveni	ocultas
skriveni	escondidos
skriveni	escondidas
cassini	cassini
ugovori	contratos
kontinuirani	continuo
kontinuirani	continua
uputstvo	manual
praćen	seguido
praćen	o
praćen	seguiron
praćen	seguín
cigareta	cigarros
cigareta	cigarro
cigareta	un
cigareta	pitillo
cigareta	pito
cigareta	tabaco
cigareta	cigarros
idealan	ideal
idealan	ideais
nebesa	ceos
miki	mickey
miki	micky
laž	mentiras
laž	mentira
laž	mentir
prodavnica	almacenar
prodavnica	tenda
prodavnica	almacéns
prodavnica	almacén
opljačkali	roubaron
smrtnost	infantil
smrtnost	mortalidade
slomio	a
slomio	rompeu
slomio	crebou
slomio	entraron
slomio	rompín
intelektualno	intelectual
monster	monstro
algoritmi	algoritmos
moralna	morais
moralna	moral
moralna	a
moralna	vontade
vizuelno	visuais
vizuelno	dificultades
vizuelno	visual
vizuelno	visuais
viđena	ver
viđena	viron
viđena	visto
viđena	vin
viđena	vira
viđena	viches
sprječavanje	prevención
vježba	exercicio
jasni	claro
jasni	clara
jasni	claras
nastajanju	emerxentes
tužilac	fiscal
zdrave	san
zdrave	saúde
zdrave	sans
zdrave	saudable
scenarije	guións
ira	ira
šou	amosar
šou	espectáculo
lothar	lothar
izvanredan	extraordinario
izvanredan	cantidade
izvanredan	extraordinarias
izvanredan	extraordinarios
izvanredan	extraodinarios
izvanredan	extraordinaria
četvrtinu	cuarto
ambicija	ambición
pogodnosti	beneficios
pogodnosti	os
vincenzo	vincenzo
