toegepaste	応用
schans	ランプ
alba	アルバ
jackie	ジャッキー
wii	wii
verwondingen	怪我
proza	散文
gladde	スムーズ
gladde	スムース
gladde	滑らか
gladde	スリック
browser	ブラウザー
browser	ブラウザ
vuurtoren	灯台
dierentuin	動物園
dierentuin	zoo
avant	avant
jans	ヤンス
geluiden	サウンド
partido	パルティード
aut	aut
geschorst	中断
hero	ヒーロー
meesters	マスターズ
saxofoon	sax
saxofoon	サックス
saxofoon	サックス
paralympische	パラリンピック
fiche	チップ
fiche	fiche
goal	ゴール
spijt	後悔
spijt	後悔
kristallen	crystal
kristallen	結晶
kristallen	クリスタル
alliance	アライアンス
jens	イェンス
genezen	治る
genezen	治す
genezen	ヒール
genezen	治癒
genezen	燻製
genezen	ヒーリング
apparaten	デバイス
apparaten	機器
sahara	サハラ
elektronica	エレクトロニクス
hel	ヘル
hel	ヘル
hel	地獄
content	コンテンツ
content	内容
ronnie	ロニー
gebed	祈り
gebed	祈り
gebed	礼拝
gebed	祈祷
madison	マディソン
walsh	ウォルシュ
vensters	windows
earl	アール
maag	お腹
maarschalk	元帥
hagedissen	トカゲ
hagedissen	トカゲ
haïti	ハイチ
alinea	段落
stijlen	スタイル
schelp	シェル
norte	ノルテ
vitamine	ビタミン
freddy	フレディ
routes	路線
routes	ルート
richards	リチャーズ
sally	サリー
inname	摂取
vereiste	要件
vereiste	必須
jungle	ジャングル
vernield	破壊された
ist	ist
onderwijzer	教員
onderwijzer	教師
onderwijzer	先生
third	番目
third	サード
oosterse	オリエンタル
hobby	趣味
qatar	カタール
geïntegreerd	統合
beweringen	債権
beweringen	言明
vita	ヴィータ
rivaal	ライバル
branden	焼き
branden	火傷
branden	やけど
branden	burn
branden	燃える
branden	バーニング
crash	クラッシュ
winnares	勝者
winnares	ウィナー
arrs	arr
trappen	階段
dmitri	ディミトリ
punk	パンク
schoten	射撃
schoten	銃声
schoten	ショット
gematigde	温帯
gematigde	中道
schaken	チェス
koppeling	クラッチ
koppeling	リンク
koppeling	継手
dynamo	ダイナモ
komiek	コミック
komiek	コメディアン
weergeven	ディスプレイ
weergeven	ショー
rijders	ドライバ
rijders	ドライバー
broeders	兄弟
broeders	ブラザーズ
vierkant	正方形
vierkant	四角
vierkant	広場
impuls	インパルス
genieten	楽しむ
close	閉じる
close	クローズ
mercury	水星
mercury	マーキュリー
mercury	水銀
cannes	カンヌ
josh	ジョシュ
rusten	安静
rusten	休む
propaganda	プロパガンダ
bon	クーポン
crawford	クロフォード
nac	nac
pool	プール
geleerden	学者
gaius	ガイウス
iraanse	イラン
iraanse	イラン
nikolaj	ニコライ
bella	ベラ
berger	ベルガー
veer	フェザー
veer	羽根
veer	羽毛
veer	ヴィール
bros	ブロス
vrijwillige	任意
uitgezonderd	除外
veren	フェザー
veren	羽根
veren	羽毛
veren	羽毛
foster	フォスター
shell	シェル
terugtrekken	引き出す
terugtrekken	退却
terugtrekken	撤退
terugtrekken	脱退
terugtrekken	離脱
terugtrekken	撤退
uniform	ユニフォーム
uniform	ユニフォーム
uniform	制服
eve	イブ
eve	イヴ
mondiale	global
mondiale	グローバル
commander	司令官
kosovo	コソボ
fagot	ファゴット
cox	コックス
tin	スズ
woud	フォレスト
woud	森林
promoten	プロモーション
promoten	宣伝
promoten	宣伝
promoten	宣伝
vfb	vfb
sloop	スループ
sloop	解体
kirby	カービー
romaine	romaine
cijfer	ディジット
alejandro	アレハンドロ
eagle	ワシ
eagle	イーグル
jung	ユング
handschriften	写本
harald	ハーラル
explosie	爆発
far	far
far	遠く
far	遠い
lionel	ライオネル
installaties	インストール
installaties	インストール
ida	アイダ
ida	イダ
marokkaanse	モロッコ
marokkaanse	モロッコ
verplichte	強制
carnaval	カーニバル
martijn	マーヴィン
veldslagen	合戦
wijsheid	知恵
noordoost	北東
satelliet	サテライト
satelliet	衛星
fles	ボトル
ruïnes	廃墟
ruïnes	遺跡
vegetatie	植生
keizers	皇帝
cleveland	クリーブランド
deelstaten	ランダー
barnes	バーンズ
beroepen	職業
beroepen	職業
belofte	約束
belofte	promise
belofte	誓約
beheerder	管理者
beheerder	管理人
beheerder	管理者
beheerder	管理人
gemeenschappelijk	共通
joel	ジョエル
zimbabwe	ジンバブエ
kijker	ビューア
noah	ノア
uitgang	終了
uitgang	exit
uitgang	出口
lex	lex
verteller	語り手
heroes	ヒーローズ
heroes	heroes
gegoten	出演
gegoten	キャスト
gegoten	ギプス
zacht	穏やか
zacht	優しい
zacht	やわらかい
zacht	柔らかい
zacht	ソフト
shadow	シャドー
shadow	シャドウ
ruiter	ライダー
viering	祝賀会
viering	お祝い
accounts	アカウント
illegaal	違法
nucleaire	原子力
moreno	モレノ
dialoog	台詞
israel	イスラエル
corruptie	汚職
momenten	moments
momenten	モーメント
woede	怒り
woede	レイジ
its	its
registratie	登録
registratie	登記
bankier	銀行員
handtekening	署名
verwantschap	アフィニティ
verwantschap	親族
opgehangen	ハング
opgehangen	絞首刑
darwin	ダーウィン
volgelingen	フォロワー
geweigerd	辞退
geweigerd	不参加
geweigerd	却下
geweigerd	拒否された
herten	シカ
jam	ジャム
jam	ゼリー
jam	ジャム
burggraaf	子爵
christen	クリスチャン
christen	キリスト教
christen	キリスト教徒
aangehouden	逮捕
lena	レナ
prachtige	見事
aggregatie	集計
aggregatie	集約
gezond	ヘルシー
gezond	健康
kyle	カイル
inktvis	squid
inktvis	イカ
inktvis	オクトパス
inktvis	タコ
maya	マヤ
claim	債権
claim	主張
claim	取得
braken	嘔吐
lion	ライオン
lion	獅子
gran	グラン
ivo	イヴォ
rots	クリフ
rots	ロック
boeddha	ブッダ
boeddha	仏陀
geestelijk	スピリチュアル
geestelijk	メンタル
schapen	ヒツジ
welzijn	ウェルネス
welzijn	福祉
variabele	変数
variabele	可変
serra	セッラ
mad	マッド
mad	mad
elias	エリアス
elias	イライアス
wand	ウォール
werkplaats	ワークショップ
werkplaats	作業場
lucia	ルチア
lucia	ルシア
bijeenkomsten	ミーティング
bijeenkomsten	会議
gezinnen	世帯
oeganda	ウガンダ
genesis	ジェネシス
natie	ネーション
natie	国民
motief	動機
motief	motif
hayward	ヘイワード
bedragen	金額
bedragen	合計
slakken	スラグ
slakken	ナメクジ
niveaus	レベル
marketing	マーケティング
verzamelingen	コレクション
verzamelingen	集合
verzamelingen	セット
treffers	ヒット
gevaren	危険
barokke	バロック
uitleggen	説明
nixon	ニクソン
misdaad	犯罪
concessie	譲歩
caïro	カイロ
chapman	チャップマン
achtergelaten	放棄された
dichte	濃密
vaag	漠然と
vaag	曖昧
engineering	工学
engineering	エンジニアリング
ontvoerd	拉致
ontvoerd	誘拐
knoop	結び目
bewuste	意識
huidig	現在
drager	キャリア
ambassade	大使館
bepalingen	条文
bepalingen	規定
didier	ディディエ
delhi	デリー
agenda	カレンダー
agenda	議事
agenda	議題
parameters	パラメータ
parameters	パラメーター
peace	ピース
peace	平和
speed	速度
speed	スピード
duncan	ダンカン
stabiliteit	安定
stabiliteit	安定性
randen	エッジ
ziekenhuizen	病院
waarneming	知覚
waarneming	傍聴
waarneming	観察
waarneming	観測
mickey	ミッキー
campo	campo
vat	バレル
mat	マット
genoegen	快感
genoegen	喜び
genoegen	快楽
kale	ハゲ
kale	ケール
olympia	オリンピア
spinners	スピナーズ
invoegen	挿入
opslaan	セーブ
opslaan	保存
opslaan	保存
scene	現場
scene	シーン
scene	場面
abbey	修道院
inventaris	在庫
inventaris	棚卸
bevoegdheid	管轄
potentiële	ポテンシャル
werkwoord	動詞
medaillon	メダル
schildpad	カメ
alma	アルマ
senioren	先輩
qui	qui
trainen	トレーニング
trainen	講習
trainen	修行
trainen	訓練
trainen	研修
andante	アンダンテ
wikidata	wikidata
vloeibaar	液体
seminarie	神学校
seminarie	セミナー
mediawiki	mediawiki
deal	ディール
deal	クーポン
uitgesteld	延期
uitgesteld	遅延
illustrator	イラストレーター
vervolgd	迫害
claudia	クラウディア
win	win
win	勝利
win	勝ち
win	勝つ
abstracte	抽象
rider	ライダー
cursus	コース
keus	選択
keus	チョイス
clinton	クリントン
naamwoord	名詞
rechercheur	刑事
realiteit	現実
realiteit	リアリティ
realiteit	現実
moldavië	モルドバ
grafisch	グラフィック
grafisch	グラフィック
grafisch	グラフィックス
mon	mon
telegraaf	電報
voeden	フィード
paradise	パラダイス
paradise	楽園
tyler	タイラー
helm	ヘルム
helm	ヘルメット
robbie	ロビー
clip	クリップ
triatlon	トライアスロン
nadelen	不利益
nadelen	短所
nadelen	欠点
nadelen	欠点
nadelen	短所
beschuldigingen	告発
fragment	フラグメント
fragment	抜粋
fragment	クリップ
rechthoekige	長方形
export	輸出
export	エクスポート
export	輸出
export	エクスポート
similis	similis
porsche	ポルシェ
slavernij	緊縛
binnenland	内部
binnenland	内装
binnenland	内面
binnenland	インテリア
binnenland	内陸
binnenland	国内
meta	メタ
herhaalde	繰り返し
facebook	facebook
vaders	父親
orlando	オーランドー
orlando	オーランド
orlando	オルランド
singh	シング
emoties	感情
emoties	感情
verlengen	延長
thor	トール
uitvoerend	エグゼクティブ
gedeelde	共有
stijgen	上昇
bediende	召使
bediende	事務員
bediende	書記官
bediende	事務職
bediende	係員
gemarkeerd	ハイライト
duisburg	デュースブルク
middelgrote	ミディアム
middelgrote	メディア
verwarren	混乱
verwarren	ややこしい
verwarren	紛らわしい
luchtvaart	航空
betonnen	コンクリート
rwanda	ルワンダ
schulz	シュルツ
spreker	スピーカー
spreker	話し手
spreker	議長
spreker	話者
kantoren	オフィス
leraren	教員
leraren	教師
delegatie	委任
delegatie	委嘱
brooks	ブルックス
emilio	エミリオ
keeper	キーパー
keeper	ゴールキーパー
jet	ジェット機
jet	ジェット
menu	メニュー
editor	エディタ
editor	エディター
binnenkort	soon
binnenkort	まもなく
binnenkort	もうすぐ
suzanne	スザンヌ
journalistiek	ジャーナリズム
journalistiek	報道
beantwoorden	回答
beantwoorden	答え
beantwoorden	答弁
beantwoorden	返信
omar	オマール
reus	巨人
reus	ジャイアント
reus	巨大
galaxy	銀河
galaxy	銀河系
jefferson	ジェファーソン
rom	rom
richmond	リッチモンド
golfer	ゴルファー
grammatica	文法
perez	ペレス
vinger	フィンガー
expert	エキスパート
grootmoeder	おばあさん
grootmoeder	祖母
grootmoeder	おばあさん
key	キー
key	key
ramos	ラモス
vila	ヴィラ
verouderd	時代遅れ
verouderd	時代遅れ
auvergne	オーヴェルニュ
benzine	ガソリン
benzine	ガソリン
pest	疫病
pest	ペスト
pest	ペスト
teamgenoot	チームメイト
hoofdartikel	社説
blanco	ブランコ
blanco	空欄
blanco	ブランク
turtles	カメ
vlek	しみ
vlek	シミ
scandinavië	スカンディナヴィア
rating	評価
rating	格付
etienne	エティエンヌ
etienne	エティエンヌ
neergeschoten	ショット
randy	ランディ
kap	フード
kap	ボンネット
koran	コーラン
koran	クルアーン
koran	コーラン
ketting	ネックレス
ketting	チェイン
ketting	チェーン
block	ブロック
privacy	プライバシー
horizontaal	水平
shirt	シャツ
brad	ブラッド
ouderdom	age
ouderdom	年齢
actueel	現在
houd	キープ
tovenaar	ワーロック
tovenaar	魔法使い
tovenaar	ウィザード
chileense	チリ
afro	アフロ
cent	セント
cent	セント
vista	vista
vista	ビスタ
anker	アンカー
sporters	選手
sporters	アスリート
classificatie	分類
stones	ストーンズ
player	プレイヤー
player	プレーヤー
schatten	宝物
schatten	財宝
schatten	宝物
arend	ワシ
arend	イーグル
netwerken	ネットワーク
combinaties	組み合わせ
liberty	リバティ
liberty	自由
praat	トーク
klavecimbel	チェンバロ
inscriptie	銘文
inscriptie	碑文
bauer	バウアー
jeffrey	ジェフリー
rups	ケムシ
verondersteld	推定
sin	シン
sin	sin
mislukt	失敗
lopez	ロペス
talk	ヘット
talk	滑石
talk	トーク
opvolgers	後継
mythe	神話
era	時代
koolstof	炭素
coëfficiënten	係数
blond	金髪
blond	ブロンド
blond	金髪
blond	ブロンド
motion	モーション
heelal	宇宙
díaz	ディアス
díaz	ディアス
anita	アニタ
perkins	パーキンス
resort	リゾート
mystery	ミステリー
fra	フラ
koud	風邪
koud	コールド
koud	冷たい
koud	寒い
jasper	ジャスパー
wiener	ウィーナー
rijstroken	車線
balkan	バルカン
supporters	サポーター
werkloosheid	失業
luca	ルカ
vlakte	無地
vlakte	平野
perioden	ピリオド
patronen	パターン
patronen	カートリッジ
hoofdstukken	チャプター
paramaribo	パラマリボ
verouderde	時代遅れ
verouderde	時代遅れ
round	ラウンド
round	round
round	丸い
mods	mods
lotus	ハス
lotus	ロータス
afwezig	不在
afwezig	欠席
torpedo	魚雷
bezorgd	心配
queens	クイーンズ
oefenen	練習
oefenen	練習
mccartney	マッカートニー
bibliotheken	図書館
bibliotheken	ライブラリ
roosevelt	ルーズベルト
sprookje	おとぎ話
audio	音声
audio	オーディオ
audio	audio
sans	sans
dromen	ドリーム
dromen	dream
plafond	天井
stok	スティック
fontein	噴水
zomers	サマーズ
doelstellingen	目的
doelstellingen	ゴール
doelstellingen	目標
doelstellingen	ターゲット
lever	レバー
lever	肝臓
aanbieden	供物
aanbieden	オファー
aanbieden	申し出
aanbieden	クーポン
teen	teen
teen	十代
teen	ティーン
teen	爪先
teen	つま先
pakket	パッケージ
otrs	otrs
luna	ルナ
signalen	シグナル
signalen	合図
signalen	信号
macpherson	マクファーソン
bmc	bmc
klap	拍手
kilo	キロ
geesten	ゴースト
geesten	スピリッツ
drum	ドラム
drum	太鼓
titus	ティトゥス
titus	タイタス
neurenberg	ニュルンベルク
primair	メイン
primair	プライマリ
primair	主に
vervolging	迫害
vervolging	訴追
vervolging	公訴
vervolging	検察官
nebraska	ネブラスカ
aruba	アルバ
diamant	ダイヤモンド
diamant	ダイアモンド
barok	バロック
quebec	ケベック
benieuwd	好奇心
benieuwd	興味津々
baba	ババ
baba	馬場
spa	スパ
spa	spa
hbs	hbs
opdrachtgever	クライアント
processor	プロセッサ
processor	cpu
abel	アーベル
abel	アベル
overtuiging	説得
overtuiging	信仰
overtuiging	信念
caporiacco	caporiacco
expliciete	明示
lek	漏れ
lek	漏洩
porter	ポーター
verf	ペンキ
verf	ペイント
verf	塗料
verf	塗料
verf	絵の具
baltimore	ボルチモア
overdracht	移転
overdracht	転送
overdracht	乗り換え
overdracht	譲渡
helikopter	ヘリコプター
helikopter	チョッパー
basel	バーゼル
fundamentele	基本
fundamentele	ベーシック
fundamentele	basic
eeuwenlang	世紀
huwelijken	ウェディング
huwelijken	結婚
vergunning	ライセンス
vergunning	認可
vergunning	認可
vergunning	許諾
kill	キル
kill	kill
arkansas	アーカンソー
pereira	ペレイラ
verklaringen	ステートメント
talbot	タルボット
oldenburg	オルデンブルク
engine	エンジン
communiceren	コミュニケーション
reconstructie	再建
churchill	チャーチル
specialist	スペシャリスト
diagnose	診断
diagnose	診断
zichtbare	可視
sharon	シャロン
toespraak	音声
toespraak	スピーチ
galerij	ギャラリー
zegel	アザラシ
zegel	封印
zegel	印章
zegel	シール
zegel	押印
piramide	ピラミッド
duiken	ダイビング
dreiging	威嚇
dreiging	脅威
fowler	ファウラー
eden	エデン
keyboard	キーボード
need	ニーズ
binnenste	内側
binnenste	インナー
binnenste	内面
dure	高い
dure	高額
memphis	メンフィス
blinde	ブラインド
blinde	盲人
meetkunde	ジオメトリ
meetkunde	図形
geweten	良心
ranger	レインジャー
manuscripten	写本
atomen	原子
timur	ティムール
gooi	投げる
larsson	ラーション
rovers	盗賊
universele	ユニバーサル
bataljon	大隊
noordwestelijke	北西部
luisteren	聴く
mozambique	モザンビーク
continental	コンチネンタル
gewassen	農産物
gewassen	作物
amanda	アマンダ
mia	mia
mia	ミア
trend	トレンド
trend	流行
psalm	詩篇
uitgezet	退学
samenhang	一貫性
hercules	ヘラクレス
ahmed	アーメド
herzien	改訂
fly	fly
fly	ハエ
fly	フライ
fly	飛ぶ
wheeler	ウィーラー
serge	セルジュ
vergeet	forget
werknemer	社員
werknemer	職員
ontdekkingsreiziger	エクスプローラー
ontario	オンタリオ
informatica	コンピューティング
wave	波動
wave	ウェーブ
overtreding	違反
overtreding	侵害
overtreding	ファウル
overtreding	ファール
ion	イオン
ferry	フェリー
sedan	セダン
slim	賢い
slim	スリム
slim	賢い
slim	スマート
zeester	ヒトデ
roussillon	ルシヨン
kruispunt	交差点
kruispunt	十字路
parodie	パロディ
luxemburgse	ルクセンブルク
verona	ヴェローナ
werkende	働く
werkende	作業
ach	ach
morrison	モリソン
derby	ダービー
beloning	報酬
beloning	報酬
beloning	給与
texel	テセル
eiwitten	タンパク質
eiwitten	たんぱく質
autobiografie	自伝
fokker	ブリーダー
fokker	フォッカー
verwachtingen	期待
verwachtingen	期待
gould	グールド
musica	ムジカ
berkeley	バークリー
verbroken	壊れた
uitvoerende	エグゼクティブ
straks	後で
doorgang	通路
doorgang	航路
gerald	ジェラルド
illustratie	イラスト
afwijking	偏差
vertraging	ディレイ
vertraging	遅延
palermo	パレルモ
steek	スティング
aanhanger	サポーター
aanhanger	トレーラー
aanhanger	予告編
spirituele	スピリチュアル
voss	ヴォス
rap	ラップ
ingekort	短縮
genres	ジャンル
rainbow	レインボー
berekening	計算
berekening	算定
achtergronden	壁紙
achtergronden	背景
achtergronden	生い立ち
achtergronden	壁紙
soevereiniteit	主権
aristoteles	アリストテレス
blazen	ブロウ
blazen	ブロー
attracties	アトラクション
attracties	配車
slowaaks	スロバキア
geïsoleerd	絶縁
afschaffing	廃止
torre	トッレ
koeweit	クウェート
bonus	ボーナス
glad	スムーズ
glad	スムース
glad	滑らか
procedures	手続
procedures	プロシージャ
procedures	手順
procedures	手続き
nash	ナッシュ
pvv	pvv
kai	kai
kai	カイ
regelgeving	規制
fysiek	フィジカル
fysiek	物理
executie	処刑
executie	実行
executie	執行
ecologische	生態学
tracy	トレイシー
helmut	ヘルムート
mededeling	通信
mededeling	コミュニケーション
mededeling	告知
mededeling	アナウンス
mededeling	発表
mededeling	公表
mededeling	お知らせ
romantiek	ロマンス
twijfels	疑念
nicaragua	ニカラグア
middag	正午
middag	午後
ultimate	アルティメット
running	走る
running	ランニング
geëxploiteerd	搾取
janet	ジャネット
romance	ロマンス
proloog	プロローグ
sojoez	ソユーズ
vervangt	差し替え
handicap	ハンディ
handicap	障害
verbergen	ヒデ
verbergen	隠す
radar	レーダー
gereageerd	コメント
gletsjer	氷河
myers	マイヤーズ
gómez	ゴメス
zolder	屋根裏
zolder	ロフト
erfgenaam	相続
variëteit	品種
variëteit	バラエティ
variëteit	変種
intensief	激しい
zakelijk	営業
zakelijk	事業
zakelijk	ビジネス
taxi	タクシー
veroordeling	収用
kever	ビートル
motorsport	モータースポーツ
wederopbouw	再建
homepage	ホームページ
genua	ジェノヴァ
bombardementen	爆撃
andrews	アンドリュース
geleerde	学者
registers	レジスタ
registers	索引
registers	インデックス
stephan	ステファン
solist	ソリスト
discovery	ディスカバリー
discovery	発見
recentelijk	最近
arrestatie	逮捕
balk	ビーム
afbraak	解体
afbraak	劣化
aka	aka
muis	ねずみ
muis	マウス
hop	ホップ
hop	ホップ
