historia	historia
ritardo	intarziere
ritardo	tarziu
ritardo	intarziat
ritardo	tarziu
ritardo	amanata
ritardo	intarziata
ritardo	amanat
ritardo	intarziat
fauna	fauna
cancro	cancerul
cancro	cancer
louise	louise
soprannominato	supranumit
soprannominato	poreclit
lima	lima
bande	trupe
bande	bandele
bande	bande
cappelle	capele
beata	binecuvantat
beata	binecuvantata
bis	bis
werner	werner
perfetta	perfect
perfetta	perfecte
perfetta	perfecta
perfetta	perfecta
pontefice	pontif
autrice	autor
autrice	autorul
marsiglia	marseille
marsiglia	marsilia
marsiglia	marsilia
prete	popa
prete	preot
prete	preotul
marcos	marcos
cadavere	cadavru
periferia	suburbii
periferia	suburbiile
periferia	suburbie
periferia	suburbia
periferia	periferie
periferia	periferia
periferia	periferia
cranio	craniu
cranio	craniu
cranio	skull
cranio	craniul
iscritto	inscris
que	que
cosenza	cosenza
borgogna	bourgogne
borgogna	burgundia
borgogna	burgundy
orizzontale	orizontal
orizzontale	orizontale
orizzontale	orizontala
catturare	captureaza
catturare	capturarea
catturare	captura
catturare	captura
catturare	capturare
catturare	captare
catturare	capturarea
assisi	assisi
strati	straturi
strati	strat
strati	stratul
campana	campana
campana	clopot
campana	clopotul
campana	bell
hart	hart
frederick	frederic
frederick	frederick
tombe	mormintele
tombe	graves
tombe	morminte
tombe	morminte
studia	studiaza
studia	studii
studia	studiul
studia	studiu
ricostruita	reconstruit
ricostruita	reconstruit
gambe	picioarele
gambe	picioare
puro	pura
puro	pura
puro	pure
puro	pur
miles	miles
miles	mile
miles	kilometri
connessione	conexiunea
connessione	conexiune
connessione	conectare
connessione	conectarea
olandesi	olandeza
olandesi	olandezi
olandesi	olandez
olandesi	dutch
var	var
marcus	marcus
rappresentanza	reprezentarea
rappresentanza	reprezentare
anziani	seniori
anziani	varstnici
predecessore	predecesorul
canne	stuf
intellettuale	intelectuale
intellettuale	intelectuali
intellettuale	intelectual
intellettuale	intelectuala
marittima	maritima
marittima	maritime
marittima	maritim
full	plina
full	full
full	plin
full	plina
classiche	clasici
classiche	clasice
classiche	clasica
classiche	clasic
classiche	clasica
classiche	classic
efficacia	eficacitate
efficacia	eficacitatea
efficacia	eficacitate
efficacia	eficacitatea
spot	spot
batterie	baterie
batterie	bateria
batterie	bateriile
batterie	baterii
minnesota	minnesota
gigi	gigi
riservato	rezervata
riservato	rezervat
riservato	rezervate
riservato	confidentiale
riservato	confidential
riservato	confidential
manoscritto	manuscris
manoscritto	manuscrisul
jake	jake
completamento	completarea
completamento	finalizarea
completamento	finalizare
completamento	completare
acronimo	acronim
murphy	murphy
premiato	rasplatita
premiato	recompensat
premiato	rasplatit
armatura	armura
armatura	armura
armatura	armuri
armatura	armura
armatura	armura
armatura	armuri
buio	dark
buio	intuneric
buio	intuneric
buio	intunecat
buio	intunericul
buio	intuneric
buio	intuneric
dono	cadou
dono	cadoul
allevamento	reproductie
allevamento	reproducere
statistica	statistici
statistica	statistica
statistica	statisticile
statistica	statistica
statistica	statistice
statistica	statistica
statistica	statistic
statistica	statistica
statistica	statistica
laterza	laterza
aaron	aaron
jules	jules
johannes	johannes
prestigio	prestigiu
prestigio	prestigiul
main	principala
main	main
main	principale
main	principala
main	principal
munizioni	munitie
munizioni	munitie
votato	votat
votato	votata
esisteva	existat
trionfo	triumful
trionfo	triumf
identificato	identificate
identificato	identificat
identificato	identificata
english	engleza
english	engleza
english	romanian
lettori	cititorul
lettori	cititor
lettori	cititori
lettori	cititorii
ohio	ohio
approvato	aprobat
approvato	aprobate
approvato	omologat
approvato	aprobata
organizzatore	organizator
organizzatore	organizator
glenn	glenn
industrie	industriile
industrie	industrii
gemelli	geaman
gemelli	twin
gemelli	gemene
gemelli	gemenele
gemelli	gemenii
gemelli	gemeni
invitato	invitata
invitato	invitat
presumibilmente	presupus
presumibilmente	chipurile
treccani	treccani
pareri	opinii
pareri	avize
pareri	opiniile
pareri	pareri
pareri	pareri
riuniti	reunite
riuniti	reunit
meccanico	mecanic
meccanico	mecanice
meccanico	mecanic
meccanico	mecanica
lane	lane
trilogia	trilogia
servire	servind
servire	servire
servire	servirea
servire	servi
servire	serveste
servire	servesc
abile	adept
torres	torres
ampliato	extinse
ampliato	extins
ampliato	extinsa
incluse	inclusa
incluse	inclus
incluse	incluse
temporaneamente	temporar
temporaneamente	temporare
temporaneamente	temporara
temporaneamente	temporar
temporaneamente	temporara
dame	dama
dame	dama
dame	dame
virgilio	virgil
virgilio	virgilio
grassi	grasimi
grassi	grassi
grassi	grasa
grassi	grasa
grassi	grasime
grassi	gras
panzer	panzer
cecilia	cecilia
sopravvissuti	supravietuitori
sopravvissuti	supravietuit
sopravvissuti	supravietuit
acquisizione	achizitia
acquisizione	achizitie
morris	morris
depressione	depresie
depressione	depresia
dirigenti	directori
javier	javier
spessore	grosimea
spessore	grosime
identificazione	identificarea
identificazione	identificare
operativa	operativ
operativa	operationala
operativa	operationale
operativa	operational
inviata	trimisa
inviata	trimis
inviata	trimise
petto	pieptul
petto	piept
petto	sanul
petto	san
petto	piept
circostanze	imprejurari
circostanze	circumstantele
circostanze	circumstante
igor	igor
descrivere	descrie
descrivere	descriu
devil	devil
devil	diavolul
devil	diavol
devil	drac
interpretazioni	interpretari
terrestri	terestru
terrestri	terestre
terrestri	terestra
terrestri	pamanteni
rilievi	reliefuri
biografie	biografii
biografie	biografia
biografie	biografie
repubblicano	republicani
repubblicano	republican
repubblicano	republicane
repubblicano	republicana
pavimento	etajul
pavimento	etaj
pavimento	podea
legali	juridice
legali	legale
legali	juridic
legali	legala
legali	legal
zucchero	zahar
zucchero	zahar
zucchero	zaharul
zucchero	sugar
funzionalità	functionalitate
pdc	pdc
sacerdoti	preoti
sacerdoti	popii
sacerdoti	preotii
clero	clerului
rappresentazioni	reprezentari
rappresentazioni	spectacole
frontale	front
frontale	fata
frontale	frontal
frontale	frontala
england	anglia
england	england
ordinario	ordinar
ordinario	obisnuit
ordinario	ordinare
ordinario	obisnuita
soppressione	abolirea
soppressione	stergere
soppressione	suprimarea
soci	parteneri
soci	partenerii
pérez	perez
pérez	pérez
hugh	hugh
eserciti	armatele
eserciti	armate
secondarie	secundar
secondarie	secundara
secondarie	secundare
specializzata	specializat
specializzata	specializate
specializzata	specializata
specializzata	specializat
specializzata	specializate
specializzata	specializata
manovra	manevra
manovra	manevra
manovra	manevre
manovra	manevra
manovra	manevra
valencia	valencia
variazione	variatia
variazione	variatie
variazione	schimba
variazione	schimbare
variazione	schimba
variazione	schimbarea
archivi	arhive
archivi	arhiva
archivi	arhivele
archivi	arhiva
away	departe
sospensione	suspendare
sospensione	suspendarea
sospensione	suspensie
sospensione	suspensia
pirati	pirati
pirati	piratii
pirati	piratul
pirati	pirat
tavole	tabelele
tavole	tabele
tavole	mese
wallace	wallace
loggia	loggia
pesaro	pesaro
sultano	sultanul
sultano	sultan
toro	toro
toro	taur
toro	taurus
toro	taur
toro	taurul
toro	bull
eletti	alesi
superman	superman
modern	moderni
modern	moderna
modern	modern
modern	moderne
modern	moderna
mass	liturghie
mass	mass
mass	masa
mass	masa
percentuali	procente
percentuali	procentele
emissione	emitere
emissione	emiterea
emissione	emiterea
emissione	emisie
emissione	emisia
emissione	emisii
bottega	bottega
after	dupa
after	dupa
ferite	leziuni
ferite	rani
ferite	rani
ferite	ranile
ferite	rani
kiev	kiev
realizzando	realizand
phoenix	phoenix
alluminio	aluminiu
alluminio	aluminiu
vendere	vand
vendere	vinde
vendere	vand
vendere	vind
vendere	vand
vendere	vind
vendere	vand
datato	datat
datato	datata
corno	corn
corno	cornul
corno	horn
piatti	vesela
piatti	vase
futuri	viitorul
futuri	viitoare
futuri	viitor
protesta	protest
protesta	protestul
protesta	protesteaza
rachel	rachel
immacolata	imaculat
immacolata	imaculata
immacolata	imaculat
canti	canta
canti	canta
canti	canta
canti	cantece
canti	cantece
canti	melodii
intellettuali	intelectuali
intellettuali	intelectuale
intellettuali	intelectuali
intellettuali	intelectual
intellettuali	intelectuala
elia	elijah
elia	ilie
elia	elia
elia	elias
bersaglio	tinta
bersaglio	tinta
manifesto	poster
manifesto	posterul
manifesto	afis
manifesto	manifestul
manifesto	manifest
manifesto	vadita
manifesto	manifest
napoletano	napolitana
napoletano	napoletano
fedeltà	fidelitate
fedeltà	fidelitatea
fedeltà	loialitate
fedeltà	loialitatea
raw	raw
raw	crud
illustri	ilustrul
illustri	distins
illustri	distinsa
integrato	integrate
integrato	integrat
integrato	integrata
integrato	incorporate
integrato	incorporata
integrato	incorporat
perfino	chiar
tomáš	tomáš
watson	watson
interfaccia	interfata
interfaccia	interfata
finanziaria	financiara
finanziaria	financiar
finanziaria	financial
finanziaria	financiara
finanziaria	financiare
terrore	teroare
terrore	teroarea
mod	mod
reynolds	reynolds
martiri	martiri
istanbul	istanbul
colorado	colorado
für	für
preceduto	precedat
separati	separat
separati	separate
separati	separat
separati	separa
separati	separata
separati	separate
continuato	continuat
colorazione	vopsire
colorazione	colorant
colorazione	coloranti
parità	paritate
parità	egalitate
parità	egalitatea
etiopia	etiopia
sandra	sandra
soggiorno	ramai
soggiorno	stai
illinois	illinois
magico	magice
magico	magie
magico	magic
magico	magica
magico	magia
magico	magice
magico	magic
magico	magica
orleans	orleans
spalla	umar
spalla	umar
spalla	umarul
challenge	provocare
challenge	provocarea
scipione	scipio
scipione	scipione
bach	bach
getto	jet
bros	bros
phillips	philips
phillips	phillips
giocate	joaca
giocate	joaca
sentito	auzit
sloveno	slovena
sloveno	slovena
sloveno	sloven
call	suna
call	suna
call	apel
call	call
indiani	indieni
indiani	indienii
indiani	indiana
indiani	indian
indiani	indianul
geometria	geometria
geometria	geometrie
biagio	biagio
biagio	blaise
millennio	mileniu
millennio	millennium
millennio	mileniului
giganti	giants
giganti	gigant
giganti	urias
zia	matusa
zia	matusa
zia	matusa
zia	zia
rimosso	indepartat
rimosso	eliminat
rimosso	scos
traduzioni	traducere
traduzioni	traducerea
traduzioni	traduceri
happy	fericita
happy	fericita
happy	happy
happy	fericit
estrazione	extragerea
estrazione	extractie
estrazione	extragere
estrazione	extractia
estrazione	extragerea
estrazione	extragere
accompagnamento	acompaniament
accompagnamento	insotire
minerali	minereu
minerali	minerale
minerali	minereuri
minerali	minerale
minerali	mineral
minerali	minerala
ticino	ticino
mondi	lumile
mondi	lumi
mozart	mozart
fissa	fixa
fissa	fix
fissa	reparat
fissa	fixat
distinguere	distinge
distinguere	distinctive
bmw	bmw
campionessa	campion
campionessa	campioana
campionessa	campioana
campionessa	campionul
monarchia	monarhiei
monarchia	monarhie
monarchia	monarhia
adolfo	adolfo
adolfo	adolphus
adolfo	adolphe
adolfo	adolf
installazione	instalatie
installazione	montare
installazione	instalarea
installazione	instalare
installazione	instalarea
installazione	instaleaza
installazione	instalare
spin	invarte
spin	rotire
spin	spin
michigan	michigan
violoncello	violoncel
violoncello	violoncelul
applicata	aplicate
applicata	aplicat
applicata	aplicata
collaboratori	colegi
collaboratori	colaboratori
collaboratori	colaboratori
collaboratori	contribuabili
collaboratori	colaboratorii
monferrato	montferrat
monferrato	monferrato
gac	gac
esposti	expus
esposti	expusa
esposti	expuse
joão	joão
leon	leon
alexandre	alexandre
colli	colli
colli	dealurile
colli	hills
colli	coline
colli	dealuri
grotte	pesteri
alessandra	alexandra
alessandra	alessandra
definiti	definite
definiti	definita
definiti	definit
abiti	rochii
abiti	haine
abiti	hainele
assi	osii
assi	axe
assi	asi
assi	axe
filologo	filolog
ostilità	ostilitate
ostilità	ostilitatea
rodríguez	rodriguez
rodríguez	rodríguez
hop	hop
compleanno	aniversare
cristoforo	cristoforo
cristoforo	cristofor
cristoforo	christopher
ernest	ernest
carrara	carrara
severo	severus
severo	severo
severo	severe
severo	severa
severo	severa
severo	sever
severo	pupa
severo	stern
return	retur
return	intoarcere
cecil	cecil
governi	guverne
governi	guvernele
pallone	balonul
pallone	balon
pallone	ball
pallone	minge
pallone	mingea
pallone	bila
pallone	bila
recitato	recitat
attraversato	traversat
adatta	adecvata
adatta	adecvate
adatta	adecvat
arizona	arizona
wagner	wagner
promosse	promovat
promosse	promovata
promosse	promovate
cristallo	cristalul
cristallo	cristal
cristallo	cristale
cristallo	crystal
vercelli	vercelli
secco	usca
secco	uscate
secco	uscat
secco	uscata
annibale	hannibal
crollo	colapsul
crollo	colaps
cosimo	cosimo
body	body
body	organism
body	corp
body	corpul
body	trup
combatté	luptat
affetto	afectiune
affetto	afectiune
amanda	amanda
picco	varf
negozi	magazinele
negozi	magazine
rca	rca
cancellazioni	anulari
cancellazioni	anularea
cancellazioni	anulare
ignazio	ignacio
ignazio	ignatius
ignazio	ignazio
ronald	ronald
retro	retro
naso	nasul
naso	nas
naso	nasu
melbourne	melbourne
pastorale	pastorale
peste	ciuma
peste	ciuma
peste	plaga
ghost	ghost
ghost	stafie
ghost	fantoma
ghost	fantoma
harvey	harvey
isaac	isaac
pausa	break
pausa	rupe
pausa	pauza
pausa	sparge
pausa	pauza
pausa	pauza
pausa	pauza
razze	rase
razze	curse
razze	rase
know	stiu
hunt	vanatoare
hunt	hunt
hunt	vaneaza
testimone	martorul
testimone	martora
testimone	martor
testimone	martori
mercati	pietele
mercati	piete
vacante	vacant
lontana	distant
sfruttare	exploata
sfruttare	exploateaza
tele	panze
tele	tele
sposare	casatori
palmer	palmer
scrivi	scrieti
scrivi	scrieti
scrivi	scriu
scrivi	scrie
reed	trestie
reed	reed
emily	emily
napoletana	napolitana
acquisito	dobandite
acquisito	dobandita
acquisito	dobandit
acquisito	achizitionat
rivalità	rivalitatea
rivalità	rivalitate
sequel	continuari
sequel	continuare
sequel	continuarea
pellicole	pelicule
pellicole	filme
pellicole	pelicula
pellicole	film
hms	hms
reality	realitate
reality	realitatea
transizione	tranzitie
transizione	tranzitia
transizione	tranzitorie
transizione	tranzitoriu
transizione	tranzitorii
taiwan	taiwan
taiwan	taiwanez
circondato	inconjurat
circondato	inconjurata
circondato	inconjurat
pour	toarna
cardinali	cardinali
müller	müller
müller	muller
xxi	xxi
cantato	sang
cantato	cantat
cantato	cantat
cantato	sung
freccia	sageata
freccia	sageata
freccia	sageata
freccia	arrow
stellare	stelara
stellare	stelare
stellare	stelar
colpevole	vinovat
colpevole	vinovata
protocollo	protocol
protocollo	protocolul
claire	claire
folla	multimea
folla	multime
folla	multime
concorrente	concurent
concorrente	concurenta
concorrente	concurentul
concorrente	concurent
concorrente	concurentul
libia	libiei
libia	libia
uniforme	uniforma
uniforme	uniforma
uniforme	uniforme
uniforme	uniform
josh	josh
ribellione	rebeliune
ribellione	rebeliunea
raro	rari
raro	rar
raro	rara
raro	rare
raro	rara
fausto	fausto
fausto	faust
dimostrazione	demo
dimostrazione	demonstratie
dimostrazione	demonstratie
concesse	acordate
concesse	acordata
concesse	acordat
eseguiti	executate
eseguiti	executata
eseguiti	executat
eseguiti	efectuat
impressione	impresie
run	ruleaza
run	fugi
aperti	deschis
aperti	deschide
aperti	open
duchessa	ducesa
duchessa	ducesa
cavo	cablu
gallese	welsh
carmelo	carmelo
carmelo	carmel
separata	separat
separata	separate
separata	separat
separata	separa
separata	separata
separata	separate
siviglia	sevilla
invita	invitatii
invita	invita
invita	invita
invita	invitatie
omicidi	omucideri
omicidi	omucidere
omicidi	crime
omicidi	omucideri
residente	locuitor
residente	rezident
residente	rezidente
residente	rezidenta
umbria	umbria
atletico	atletic
holmes	holmes
diga	dam
diga	baraj
diga	barajul
reato	crima
reato	crima
reato	criminalitate
continuamente	continuu
continuamente	constant
militante	militant
sismica	seismice
sismica	seismica
contemporaneo	contemporana
contemporaneo	contemporane
contemporaneo	contemporan
trasformare	transforma
trasformare	transforma
associati	asociati
associati	asociatii
associati	asociate
associati	asociat
associati	asociata
filadelfia	philadelphia
vertice	summitul
vertice	summit
attuazione	implementarea
attuazione	implementare
gregory	grigore
gregory	gregory
narrativa	fictiune
procuratore	procuror
procuratore	procurorul
operatori	operatori
operatori	operatorii
operatori	operatorilor
menzione	mentionez
verbo	verb
distribuita	distribuite
distribuita	distribuita
suggerisce	sugereaza
uguali	egali
uguali	egal
uguali	egala
uguali	egale
uguali	egala
uguali	egali
uguali	egal
creatore	creatorul
creatore	creator
leva	parghie
leva	parghie
macchia	pata
macchia	pata
intenzioni	intentii
