les	করে
est	পূর্ব
est	পুর্ব
une	এক
une	অনলাইন
une	একটি
catégorie	শ্রেণীবিভাগ
catégorie	বিভাগ
catégorie	শ্রেণী
pour	জন্য
pour	জন্যে
qui	কাকে
qui	কে
qui	যিনি
que	যে
que	সেই
que	যেটা
avec	সহ
avec	দিয়ে
avec	সাথে
son	শব্দ
son	তাঁর
son	তার
son	এর
plus	প্লাস
plus	অতিরিক্ত
plus	বেশি
plus	আরো
plus	আরও
plus	বেশী
pas	নয়
pas	না
elle	তিনি
elle	সে
elle	উনি
été	গ্রীষ্ম
été	গ্রীষ্মের
été	গ্রীষ্মকাল
avancement	প্রগতি
avancement	অগ্রগতি
comme	মতো
comme	লাইক
comme	পছন্দ
comme	মত
comme	যেমন
mais	কিন্ত
mais	কিন্তু
cette	এই
cette	এটি
cette	এটা
pop	বাবা
pop	পপ
deux	দুটি
deux	দুটো
deux	দুইটা
deux	দুই
ses	তাঁর
ses	তার
ses	ses
ses	এর
naissance	জন্ম
naissance	জন্মেছেন
naissance	জন্মগ্রহন
naissance	বর্ন
naissance	জন্ম
naissance	জন্মের
aussi	কেও
aussi	এছাড়াও
france	ফ্রান্স
saint	পবিত্র
saint	হলি
saint	সাধু
saint	সেন্ট
après	পরেও
après	পরও
après	পর
après	পরে
fait	বানানো
fait	বানিয়ে
fait	তৈরি
fait	সম্পন্ন
fait	শেষ
fait	সমাপ্ত
notes	টীকা
notes	নোট
sous	নীচে
sous	নিচে
même	এমনকি
même	even
même	সমান
même	সেম
même	একই
même	same
être	হচ্ছে
être	হবার
nom	পদবী
nom	পদবি
nom	নাম
français	français
français	ফরাসী
français	আর্সেনিক
français	ফরাসি
ont	রয়েছে
ont	আছে
paris	প্যারিস
lui	তাকে
lieu	ঘটনাস্থল
lieu	স্থান
lieu	জায়গায়
lieu	স্থান
lieu	জায়গা
lieu	অবস্থান
cet	এই
cet	এটি
cet	এটা
autres	অন্য
autres	অন্যান্য
autres	অন্যের
autres	অন্যান্য
autres	অন্যান্যরা
décès	মৃত্যু
références	তথ্যসূত্র
liens	লিঙ্কগুলি
liens	লিঙ্ক
était	ছিলেন
était	ছিলো
était	হয়েছিল
était	ছিল
était	গেলেন
commune	কমিউন
commune	কমন
commune	প্রচলিত
ville	শহর
ville	টাউন
ville	নগর
ville	শহর
ville	নগর
jean	জিন
jean	জঁ
jean	জন
leur	তাদের
date	দিন
date	তারিখ
peut	সোমবার
peut	মে
peut	পারেন
peut	পারবো
peut	পারে
peut	পারবে
depuis	থেকে
depuis	থেকে
depuis	প্রেরক
première	প্রিমিয়ার
première	প্রথম
première	প্রথমে
ans	ans
ans	বত্সর
ans	বছর
ans	হেডার
alors	অতঃপর
alors	এরপর
alors	তারপর
alors	তখন
externes	বহিঃস্থ
externes	বাহ্যিক
externes	বহিরাগত
site	ওয়েবসাইট
site	সাইট
premier	প্রিমিয়ার
premier	প্রথম
premier	প্রথমে
ces	এসব
ces	এইসব
ces	এগুলো
fut	ছিলেন
fut	ছিলো
fut	হয়েছিল
fut	ছিল
fut	গেলেন
http	http
ainsi	এমনি
ainsi	এভাবে
film	চলচ্চিত্র
film	সিনেমা
film	মুভি
film	চলচ্চিত্র
film	ফিল্ম
voir	দেখি
voir	দেখুন
voir	দেখবে
voir	দেখে
voir	প্রদর্শন
voir	দেখুন
voir	ভিউ
pays	দেশের
pays	দেশ
pays	কান্ট্রি
pays	দেশ
pays	দেশগুলো
pays	দেশগুলি
source	উৎসস্থল
source	উৎস
source	সোর্স
ils	তারা
grand	বড়
grand	বৃহৎ
grand	বড়
grand	বড়ো
grand	গ্রেট
grand	দুর্দান্ত
grand	দারুণ
grand	মহান
grand	দারুন
grand	গ্র্যান্ড
tout	সবকিছু
tout	সমগ্র
tout	সব
tout	সকল
lors	চলাকালীন
groupe	ব্যান্ড
groupe	গ্রুপ
groupe	দল
groupe	গোষ্ঠী
groupe	শ্রেণী
également	কেও
également	এছাড়াও
titre	শিরোনাম
titre	শীর্ষক
titre	নাম
monde	বিশ্ব
monde	ওয়ার্ল্ড
monde	পৃথিবী
monde	দুনিয়া
nord	উত্তর
nord	নর্ড
années	বত্সর
années	বছর
années	হেডার
bien	ভাল
bien	ভালো
bien	ভালোই
bien	গুড
bien	ভালো
bien	ভাল
bien	বেশ
bien	ভালোভাবে
contre	বিপক্ষে
contre	বিরুদ্ধে
liste	তালিকা
puis	অতঃপর
puis	এরপর
puis	তারপর
puis	তখন
équipe	স্কোয়াড
équipe	টীম
équipe	টিম
équipe	দল
club	সংঘ
club	ক্লাব
sud	দক্ষিণ
partie	পার্টি
partie	পার্টির
partie	অংশ
partie	পার্ট
partie	অংশটি
avant	সম্মুখ
avant	ফ্রন্ট
avant	সামনে
avant	সামনের
avant	আগে
avant	পূর্বে
avant	আগেই
non	নয়
non	না
très	অত্যন্ত
