цезар	凱撒
теннессі	田納西州
теннессі	田納西
номера	數字
номера	數
номера	號碼
номера	編號
озброєні	武裝
анголи	安哥拉
приймав	僱員
приймав	員工
приймав	職工
вінсент	vincent
графи	圖表
нікола	nikola
традиційне	傳統
підземний	地下
підземний	地底
голосувати	表決
голосувати	投票
екологічний	生態
юра	jura
домашній	首頁
домашній	家
домашній	home
домашній	住家
домашній	自制
різноманіття	多元化
різноманіття	多樣性
різноманіття	多樣化
кримінальний	罪犯
запиту	詢問
запиту	查詢
соціальне	社會
соціальне	社交
буддизм	佛教
описати	形容
описати	描述
вихідного	源於
практичні	實用
черепа	骷髏
черепа	頭顱
черепа	頭骨
геометрія	幾何
вихідних	週末
християнська	基督教
християнська	基督徒
справжня	real
справжня	真實
ледве	勉強
шум	噪聲
шум	噪音
базиліка	聖殿
віа	通過
віа	經由
релігій	宗教
гальмування	制動
архіпелаг	群島
прорив	突破性
прорив	突破
маркетинг	行銷
джоан	瓊
джоан	joan
джекі	成龍
інвестиції	投資
інвестиції	投資
альберто	alberto
муніципальний	市政
футів	英尺
футів	腳
буріння	演習
буріння	演練
буріння	鑽
буріння	鑽孔
складів	音節
пейзажі	景觀
рекорди	紀錄
рекорди	記錄
дикі	狂野
дикі	野
дикі	野性
дикі	野生
нести	攜帶
їжа	糧食
їжа	食品
їжа	食物
їжа	餃子
їжа	水餃
пристосування	定制
християнський	基督教
християнський	基督徒
морально	社交
чеська	捷克
думав	思想
громадське	公眾
громадське	公開
гарний	帥哥
гарний	英俊
гарний	帥
перевал	傳球
перевал	通過
перевал	通行證
білок	蛋白質
білок	蛋白
гвинтівка	步槍
юнацтва	青年
юнацтва	青春
юнацтва	青少年
злочинців	罪犯
вопросы	問題
рідина	液體
рідина	液
рідина	流體
рідина	液體
рідина	液
рідина	液態
натхнення	激勵
натхнення	靈感
репутацію	名譽
репутацію	聲譽
репутацію	名聲
репутацію	信譽
репутацію	聲望
надійність	可靠性
надійність	信任
надійність	信賴
джеррі	jerry
знімати	拍攝
знімати	拍戲
випадкових	隨機
спинний	脊髓
персональний	個人
землетрус	地震
богу	神
невідоме	未知
невідоме	不明
регулярний	定期
регулярний	經常
мартен	maarten
покращити	改進
покращити	改善
робітника	僱員
робітника	員工
робітника	職工
мюллер	müller
рой	roy
лампи	燈具
еріка	erika
еріка	erica
клієнта	客戶
запах	氣味
запах	味道
запах	聞
гострий	尖銳
гострий	鋒利
гострий	銳利
деніел	丹尼爾
деніел	daniel
циклів	週期
поштових	信箱
робін	robin
закрити	關閉
стануть	成為
експерт	專家
мається	隱含
гетто	貧民窟
гетто	貧民區
голуб	鴿
голуб	鴿子
маркус	marcus
монгольська	蒙古
брюсселі	布魯塞爾
пальці	手指
явка	水蛭
модулів	單元
плита	板
плита	爐
плита	爐子
плита	火爐
плита	灶
присягу	宣誓
присягу	誓
присягу	誓言
присягу	誓詞
ініціатива	倡議
саундтрек	配樂
визначати	界定
визначати	定義
ігорович	kiva
обрати	選擇
сусіднього	鄰接
сусіднього	相鄰
сусіднього	鄰近
сусіднього	毗鄰
зворотний	逆
зворотний	反轉
зворотний	扭轉
зворотний	反向
зворотний	倒轉
вузькі	狹義
вузькі	狹隘
вузькі	縮小
вузькі	窄
вузькі	狹窄
лоуренс	lawrence
лоуренс	勞倫斯
глибокі	最深
дощ	下雨
дощ	雨
дощ	下雨
дощ	雨水
навігації	航行
навігації	導航
балет	芭蕾
балет	芭蕾舞
розпізнавання	認證
розпізнавання	驗證
джин	讓
джин	jean
джин	gene
джин	基因
ліжок	床位
ліжок	床
ліжок	床鋪
ліжок	病床
проникає	洩漏
взаємодію	互動
взаємодію	相互作用
оману	阿曼
маямі	邁阿密
плакат	海報
виставку	展覽
виставку	展品
увійти	輸入
залишилось	剩餘
плату	費用
плату	收費
плату	費
плату	手續費
взяті	附上
ранок	早晨
ранок	早上
ранок	上午
освітні	教育
аллен	allen
презентації	介紹
отруєння	中毒
вайт	white
вайт	白
вайт	白色
штурму	違反
штурму	違約
штурму	違規
гвардія	守衛
гвардія	衛兵
гвардія	警衛
гвардія	守護
овочі	蔬菜
овочі	蔬菜
абсолютний	絕對
абсолютний	絕對值
ахмед	ahmed
стажування	實習
вимагати	索賠
вимагати	認領
вимагати	債權
плацдарм	橋頭堡
пагорб	希爾
пагорб	山
танкові	裝甲
бін	豆
корону	冠
корону	王冠
корону	皇冠
росс	ross
реалізм	現實主義
темна	黑
темна	暗
темна	黑暗
ернест	ernest
певне	具體
канзас	堪薩斯
канзас	堪薩斯州
ринків	市場
варіації	變異
артиста	壯舉
артиста	feat
подорожей	遊記
подорожей	trips
леві	levi
консенсусу	共識
заповнення	填充
заповнення	填料
заповнення	填充
заповнення	填補
заповнення	填寫
заповнення	填滿
заповнення	填充
заповнення	填補
кваліфікація	資格
лініями	線條
лініями	線
приріст	遞增
приріст	增量
нікарагуа	尼加拉瓜
відвідати	造訪
відвідати	來訪
відвідати	拜訪
митець	藝術家
митець	藝人
алея	商場
алея	小巷
алея	巷
алея	巷子
змінної	變數
змінної	可變
початковій	初等
вогні	燈
вогні	燈光
обладнанням	硬體
веслування	划船
заколот	叛亂
заколот	叛變
напій	喝
напій	喝酒
сумніву	疑問
сумніву	懷疑
сумніву	疑慮
далекий	遠
александер	亞歷山大
александер	alexander
мінор	未成年
кілометри	公里
кілометри	公里
оплати	付款
оплати	支付
ном	nom
товар	商品
товар	產品
товар	產物
товар	商品
гострі	尖銳
гострі	鋒利
гострі	銳利
сплави	合金
сплави	合金
дозвілля	休閒
дозвілля	閒暇
франсіско	francisco
конкуренції	競爭力
конкуренції	競爭
відповідали	匹配
проїзд	乘車
проїзд	騎馬
проїзд	騎
проїзд	通道
хотіла	通緝
математична	數學
математична	數學
живим	活著
бабуся	祖母
бабуся	奶奶
бабуся	阿嬤
навчальна	教育
кішки	貓
катастрофа	災害
катастрофа	災難
катастрофа	災難
різноманітність	多元化
різноманітність	多樣性
різноманітність	多樣化
тонкий	微妙
тонкий	薄
тонкий	瘦
компетенції	管轄權
христина	christina
христина	christine
крісті	kristi
бал	bal
бал	球
бал	分級
ралі	集結
ралі	集會
темп	節奏
темп	拍子
дружині	妻子
павел	pavel
переїхали	感動
бізнесмен	商人
підкорення	征服
підкорення	征服
підкорення	提交
заєць	野兔
заєць	兔
цвіте	盛開
цвіте	開花
цвіте	bloom
цвіте	綻放
акцент	口音
жертва	犧牲
жертва	受害人
жертва	受害者
жертва	死者
ланцюга	amok
надруковано	印刷
надруковано	列印
назовні	外向
назовні	向外
назовні	出局
фехтування	擊劍
фехтування	劍術
креслення	密謀
креслення	陰謀
креслення	劇情
креслення	圖畫
креслення	圖紙
креслення	繪圖
креслення	畫畫
креслення	繪圖
креслення	圖畫
креслення	繪畫
силі	強項
силі	長處
японці	日本人
японці	日文
ініціатор	發起人
лівану	黎巴嫩
моніторинг	監測
ізоляції	絕緣
ізоляції	隔熱
ангел	angel
ангел	天使
успішний	成功
прокурор	檢察官
кроків	步驟
снаряд	彈藥
біблія	聖經
поттер	波特
масиві	陣列
старіння	老化
старіння	衰老
старіння	老化
обговорювати	討論
подавати	服務
подавати	發球
юань	袁
юань	元
ресурсу	資源
рейс	reyes
рейс	班機
рейс	飛行
вимога	義務
круглий	鰈
круглий	比目魚
круглий	圓
круглий	輪
круглий	環形
круглий	圓形
круглий	迴圈
типова	違約
типова	預設
типова	典型
дракон	龍
дракон	神龍
звірі	動物
ногу	腿
ногу	leg
сек	秒
сек	秒數
сек	秒
колін	colin
пляж	沙灘
пляж	海灘
базова	基地
базова	基礎
базова	基數
заплановано	排定
резонанс	共振
перешкоди	障礙
яскраві	明亮
кімнат	客房
кімнат	房間
прохід	門口
кук	做飯
кук	煮
кук	廚師
черги	佇列
черги	排隊
розрахунки	計算
розрахунки	計算
народами	部族
народами	部落
інтернат	孤兒院
каное	獨木舟
домашня	家用
домашня	國內
піт	盜汗
даллас	達拉斯
антоніна	antonina
антоніна	行程
оболонка	遏制
оболонка	貝殼
оболонка	shell
оболонка	殼
оболонка	前端
оболонка	肌膚
мусить	必須
рекламу	廣告
кароль	carole
дзвони	鐘聲
ємність	電容
телескопа	望遠鏡
скрипка	小提琴
скрипка	琴
скрипка	提琴
складати	加註
волков	volkov
бот	bot
тех	科技
мінімальна	最少
мінімальна	最小
боєць	拳手
боєць	鬥士
викладати	教書
викладати	教學
викладати	教
юність	青年
юність	青春
юність	青少年
джеффрі	jeffrey
втрату	滅失
втрату	虧損
втрату	損失
втрату	喪失
сонячний	晴
сонячний	太陽
сонячний	太陽能
виді	魚種
виді	物種
гонок	種族
налагодження	調音
ціла	整數
єрусалим	耶路撒冷
приїхали	抵達
приїхали	到達
залізна	鋼鐵
залізна	鐵
денний	日間
ногами	英尺
ногами	腳
нормальний	常態
нормальний	正常
відмінностей	差異
відмінностей	差額
відмінностей	分歧
пацієнта	病患
пацієнта	患者
пацієнта	病人
атлантичний	大西洋
коліна	膝
коліна	膝蓋
береза	beech
береза	樺
береза	白樺
судан	蘇丹
картер	卡特
картер	carter
лілія	百合
лілія	百合
лілія	lily
водоростей	海帶
водоростей	海藻
гасло	口號
гасло	標語
вантажу	載荷
квартет	四重奏
квартет	四方
гуго	hugo
гуго	休
піраміда	金字塔
скарб	珍寶
скарб	寶藏
незначна	消耗品
незначна	未成年
щелепи	顎
щелепи	頜
саймон	simon
саймон	西蒙
саймон	西門
григор	gregor
виходи	出口
кенії	肯亞
ваза	花瓶
маска	口罩
маска	面具
маска	面罩
режими	模式
прихильник	樊
прихильник	粉絲
прихильник	風扇
прихильник	範
морган	morgan
рівномірно	均勻
віруючих	信士
віруючих	信徒
відокремлення	分離
відокремлення	離職
відокремлення	分居
профспілки	工會
терористи	恐怖份子
імператорський	帝王
мігель	miguel
пабло	pablo
точна	準確
точна	精確
точна	精確
адамс	亞當斯
адамс	adams
стіну	壁
стіну	牆壁
стіну	圍牆
стіну	牆
безробіття	失業
безробіття	失業率
демократія	民主
зоряні	星星
зоряні	恆星
зоряні	star
зоряні	星
зоряні	明星
аліса	愛麗絲
вантажівки	卡車
перекладено	翻譯
інцидент	事變
інцидент	事件
соколов	sokolov
граматики	文法
граматики	語法
ісаак	isaac
брайан	brian
бренд	品牌
продавати	賣
продавати	出售
дієслова	動詞
томпсон	thompson
комітетів	板
мей	mae
мей	小美
мей	梅
гарсія	加西亞
гарсія	加西亞
гарсія	garcía
альбрехт	albrecht
декларація	宣言
людство	人性
людство	人道
конституційний	憲政
аптека	藥房
аптека	藥劑
аптека	藥店
зло	惡
зло	邪惡
видатним	傑出
видатним	未決
множення	乘法
множення	倍增
франциск	francis
сонячна	太陽
сонячна	太陽能
заклик	上訴
заклик	呼籲
стаб	刺
стаб	捅
блокувати	打壓
блокувати	壓制
блокувати	區塊
блокувати	block
виконавця	資源
куті	角落
куті	轉角
куті	角
справедливість	正義
справедливість	司法
наталі	natalie
контент	內容
уряди	政府
крем	奶油
крем	霜
перрі	perry
санаторій	療養院
схильність	bent
схильність	彎
профілактики	防範
проекція	投射
проекція	投影
проекція	預測
проекція	預計
розкриває	揭示
ліквідацію	消除
якісно	交付
стріт	直直
стріт	直
стріт	街頭
стріт	街道
стріт	街
суворо	嚴格
комплект	套房
комплект	設
комплект	集
комплект	設定
антуан	antoine
женеві	日內瓦
близькості	親密關係
близькості	親近
наркотиків	藥品
наркотиків	藥物
наркотиків	毒品
агенти	代理商
агенти	代理人
бокс	拳擊
металургія	冶金
сині	blue
сині	藍
сині	藍色
досягнуто	已達到
райт	wright
ліків	藥品
ліків	藥物
ліків	毒品
ліків	藥品
ліків	醫藥
ліків	藥品
ліків	藥物
ліків	醫藥
цукор	食糖
цукор	糖業
цукор	糖
кисень	氧氣
кисень	氧
самостійна	獨立
нацистів	納粹
зручно	方便
зручно	舒服
зручно	舒適
зручно	舒服
зручно	舒適
вознесіння	狂喜
смугу	跑道
купер	cooper
автоматів	機器
обговорити	討論
плям	斑點
сік	汁
сік	果汁
бухта	海港
бухта	港灣
бухта	港
бухта	灣
заблокувати	禁止
заблокувати	鎖定
заблокувати	鎖
заблокувати	區塊
заблокувати	block
легкого	輕量級
бутану	不丹
дональд	donald
підвищеної	硬化
тереза	teresa
тереза	theresa
добрив	施肥
добрив	肥料
добрив	化肥
емі	amy
самогубство	自殺
отримає	姿勢
сфер	球體
кантон	縣
експрес	快車
експрес	明示
експрес	express
експрес	特快
парад	遊行
парад	巡遊
парад	閱兵
остаточний	決賽
остаточний	結局
остаточний	結尾
скеля	岩
скеля	岩石
скеля	石頭
скеля	rock
скеля	搖滾
результативність	成效
результативність	有效性
результативність	效能
небезпечні	危險
небезпечні	危險性
муніципальна	市政
емоції	情感
емоції	感情
емоції	情緒
гальма	煞車
гальма	制動
напруження	光芒
напруження	螢光
напруження	發光
ларрі	larry
лаз	laz
дикий	狂野
дикий	野
дикий	野性
дикий	野生
консульство	領事館
ірландський	愛爾蘭
ринки	市場
оксид	氧化
оксид	氧化物
вороги	仇人
вологість	濕度
інструктор	教員
вечірній	晚間
вечірній	晚上
вечірній	傍晚
аграрний	農業
рису	大米
рису	米
рису	米飯
