partigiani	partisaner
collaboratore	kollega
collaboratore	samarbejdspartner
collaboratore	bidragyder
edgar	edgar
raffaello	raphael
raffaello	rafael
raffaello	raffaello
memorial	mindesmærke
memorial	mindehøjtidelighed
memorial	memorial
berlusconi	berlusconis
berlusconi	berlusconi
aurelio	aurelio
aurelio	aurelius
difficili	svært
difficili	svære
difficili	vanskelig
difficili	vanskeligt
difficili	svær
tifosi	fans
tifosi	vifter
tifosi	ventilatorer
tifosi	tilhængerne
tifosi	tilhængere
tifosi	støtter
ucraino	ukrainsk
ucraino	ukrainske
franchigia	franchise
giù	down
giù	ned
giù	nede
tessuti	vævet
tessuti	væv
tessuti	stof
tessuti	stof
josef	josef
martínez	martínez
finalisti	finalist
finalisti	finalister
allan	allan
mina	mina
incrociatore	krydser
nacional	nacional
essenziale	essentiel
essenziale	essentielt
essenziale	afgørende
essenziale	væsentlige
essenziale	væsentlig
duello	duel
immediato	omgående
immediato	umiddelbar
immediato	øjeblikkelig
immediato	umiddelbart
leggeri	tænd
leggeri	light
leggeri	let
leggeri	lys
accade	sker
coinvolti	involverede
coinvolti	involveret
suicidio	selvmord
local	lokale
local	lokalt
local	lokal
local	local
carbone	kul
carbone	stenkul
carbone	trækul
carbone	kulstof
carbone	kul
carbone	carbon
credito	kredit
credito	credit
adriatico	adriaterhavet
adriatico	adriatico
adrian	adrian
regolari	regelmæssigt
regolari	regelmæssige
regolari	regelmæssig
famose	berømt
famose	berømte
famose	berømtheder
famose	kendt
fiamme	flamme
fiamme	flammen
fiamme	flammer
fiamme	flammerne
fiamme	flammer
august	august
comunisti	kommunisterne
comunisti	kommunister
comunisti	kommunist
comunisti	kommunistiske
comunisti	kommunistisk
comunisti	kommunister
comunisti	kommunisterne
comunisti	kommunister
organismi	organismer
terribile	frygteligt
terribile	forfærdeligt
terribile	frygtelig
terribile	forfærdelig
terribile	frygteligt
terribile	forfærdeligt
terribile	skrækkeligt
terribile	frygtelig
terribile	forfærdelig
hell	helvede
kiss	kys
gestita	styret
gestita	administreret
gestita	forvaltede
gestita	forvaltet
gestita	lykkedes
gestita	håndteret
seattle	seattle
nathan	nathan
topolino	mickey
topolino	mouse
topolino	musse
topolino	musen
topolino	mus
wang	wang
sedici	sixteen
sedici	seksten
anticipo	forhånd
anticipo	forskud
anticipo	forudbetaling
philadelphia	philadelphia
levi	levi
crimine	forbrydelser
crimine	kriminalitet
crimine	forbrydelse
ispirata	inspirerede
ispirata	inspireret
empire	empire
empire	imperiet
empire	imperium
iscritti	tilmeldte
iscritti	tilmeldt
teatri	teatre
teatri	biografer
teatri	teatre
taglia	cut
taglia	skære
taglia	klippet
taglia	snit
taglia	klip
taglia	skåret
taglia	størrelse
taglia	størrelsen
taglia	str
orange	orange
orange	appelsin
rettangolare	rektangel
rettangolare	rektangulær
rettangolare	rektangulære
riposo	hvilende
riposo	hviler
riposo	hvil
riposo	hvile
intensa	intens
intensa	intenst
intensa	intense
laser	laseren
laser	laser
laser	lasere
mentale	mentale
mentale	mentalt
mentale	psykiske
mentale	psykisk
mentale	mental
allenamento	træning
allenamento	træning
allenamento	praksis
allenamento	øvelse
allenamento	øv
ritratti	portrætter
sergente	sergent
sergente	sergenten
sergente	sergent
sergente	sergeant
divenire	blive
invenzione	opfindelsen
invenzione	opfindelser
invenzione	opfindelse
invenzione	opfundet
invenzione	opfandt
ristorante	restaurant
porti	havne
porti	porte
lemmon	lemmon
marchi	brands
marchi	mærker
marchi	varemærker
marchi	mærker
marchi	marks
borghese	borghese
borghese	borgerlig
channel	kanal
channel	channel
channel	kanalen
indipendentemente	uafhængig
indipendentemente	selvstændigt
indipendentemente	uafhængigt
polemiche	polemik
polemiche	kontroverser
polemiche	polemik
polemiche	strid
polemiche	kontrovers
polemiche	kontroverser
polemiche	uenighed
tentare	friste
antologia	antologi
historia	historia
ritardo	forsinkelse
ritardo	forsinkelser
ritardo	sen
ritardo	forsinket
ritardo	sent
ritardo	forsinket
ritardo	forsinkede
fauna	fauna
cancro	kræft
cancro	cancer
cancro	kræften
louise	louise
lima	lima
bande	bands
bande	bander
bande	banderne
cappelle	kapeller
beata	velsignede
beata	velsignet
