категорія	категория
від	от
для	за
також	също
про	относно
його	неговият
його	неговата
його	му
його	неговия
його	него
був	бе
населення	демографски
населення	население
населення	популация
населення	население
було	бе
він	wien
під	отдолу
під	под
після	след
час	пъти
час	времена
час	таймс
час	times
час	времето
час	време
але	но
області	райони
області	зони
області	площи
області	области
які	което
які	която
який	което
який	която
була	бе
були	бяха
осіб	лица
міста	градове
міста	градовете
міста	прищявка
міста	каприз
див	видя
див	вижте
див	виж
село	село
район	окръг
район	област
район	район
через	виа
через	via
через	чрез
через	дължима
через	дължими
через	чрез
через	през
села	селата
села	селища
села	села
так	да
так	да
тому	затуй
тому	следователно
рік	рик
рік	година
рік	годината
відстань	дистанция
відстань	разстояние
ради	съветът
ради	съвет
ради	съвета
сша	сащ
сша	usa
область	област
область	зона
область	площ
область	област
область	район
того	того
яка	какво
яка	което
яка	която
вони	те
сайті	уебсайт
сайті	сайт
близько	затваряне
близько	близко
близько	близо
близько	близки
близько	близко
близько	близо
війни	войните
війни	войни
файл	файл
файл	файлът
файл	досие
між	между
роки	години
роки	годините
обговорення	дискусия
обговорення	обсъждания
обговорення	дискусии
обговорення	обсъждане
обговорення	обсъждания
обговорення	дискусии
обговорення	обсъдим
обговорення	обсъдете
коли	когато
коли	кога
вона	тя
лише	само
лише	единствено
список	списък
вересня	септември
цей	това
березня	март
місце	спот
місце	петно
місце	място
місце	местоположение
місце	място
місце	местонахождение
місце	локация
місце	седалка
місце	седалката
муніципалітет	община
україні	украйна
серпня	август
серпня	аугуст
січня	януари
травня	май
грудня	декември
інших	друго
інших	друг
інших	други
інших	другите
інших	други
жовтня	октомври
жовтня	ост
жовтня	октомври
серед	сред
один	една
один	един
один	едно
липня	юли
участь	участващи
участь	участващ
участь	участваща
участь	участие
участь	участието
участь	участие
участь	участие
участь	участват
вид	видове
вид	вид
вид	изглед
вид	гледка
вид	оглед
вид	преглед
можна	могат
можна	can
червня	джун
червня	юни
місто	град
місто	градът
місто	градче
місто	град
місто	градът
місто	сити
місто	city
вже	вече
життя	живот
життя	живота
життя	life
життя	лайф
життя	животът
срср	ссср
квітня	ейприл
квітня	април
листопада	ноември
лютого	февруари
лютого	февруари
опис	описание
центр	опс
центр	център
центр	център
захід	запад
захід	западно
захід	западна
захід	западен
захід	уест
тільки	само
тільки	единствено
франції	франция
століття	вековете
століття	столетия
століття	векове
століття	век
століття	вековен
століття	века
рада	съветът
рада	съвет
рада	съвета
рада	рада
відстані	разстояния
схід	източно
схід	изток
статті	изделия
статті	статии
статті	артикули
склад	сричка
склад	склад
склад	хранилище
міні	мини
особи	лица
особи	човек
особи	личност
над	над
історія	приказка
історія	история
історія	историята
історія	история
зображення	изображения
зображення	образи
зображення	снимка
зображення	картинка
зображення	имидж
зображення	картинка
зображення	образ
зображення	изображение
зображення	снимки
зображення	картинки
зображення	картини
пункти	позиции
пункти	артикули
пункти	предмети
пункти	елементи
пункти	точки
пункти	възможности
пункти	настройки
пункти	опции
пункти	вписвания
пункти	записи
код	код
сайт	уебсайт
сайт	сайт
сайт	сайт
разом	заедно
інші	друго
інші	друг
інші	други
інші	другите
інші	други
проти	срещу
проти	срещу
проти	против
тут	тук
український	украински
мова	езикът
мова	езика
мова	език
історії	истории
історії	разкази
історії	историята
історії	история
всі	всички
всі	всичко
багато	mnogo
багато	много
більше	повече
більше	още
кількість	брой
кількість	брой
кількість	число
кількість	номер
кількість	количество
шаблони	шаблони
шаблони	образци
дуже	много
два	двама
два	две
перший	първи
перший	първо
площа	plaza
площа	плаза
площа	квадратна
площа	квадратни
площа	квадратен
площа	квадрат
площа	площад
площа	зона
площа	площ
площа	област
площа	район
країни	държава
країни	страна
країни	държави
країни	страни
назва	името
назва	наименование
назва	име
назва	заглавие
назва	дял
назва	титла
наук	науките
наук	науки
розташований	разположена
розташований	разположен
розташований	разположени
розташований	разположено
без	без
голова	главата
голова	глава
голова	председателят
голова	председател
народився	родени
народився	роден
народився	родена
щодо	относно
сторінка	страница
сторінка	страницата
сторінка	page
той	че
росії	русия
все	всичко
все	всички
все	всичко
київ	киев
київ	киев
