perzijanci	персов
azija	азии
azija	азия
azija	asia
prijetnja	угроза
baden	баден
datoteke	файлы
datoteke	файлов
živote	живёт
živote	жизней
živote	живет
živote	жизни
apollo	аполлон
hogna	hogna
admin	администратора
admin	администратором
admin	администратор
nestala	отсутствует
bird	птичка
bird	бёрд
bird	птицы
bird	птица
vjerojatnost	вероятность
plaća	оклады
plaća	оклад
plaća	окладов
plaća	зарплата
plaća	платит
plaća	оплачивает
plaća	платят
plaća	оплатить
plaća	платить
plaća	заплатить
plaća	оплата
terapija	терапии
terapija	терапия
ribeiro	рибейру
hahn	хан
johannes	иоганн
statut	статут
statut	устав
platforma	платформу
platforma	платформы
platforma	платформа
wallace	уоллес
cipar	кипра
cipar	кипр
cipar	кипре
georges	жорж
misa	массе
misa	массового
misa	масса
misa	миса
kat	кэт
kat	пол
kat	этаж
tamno	тёмный
tamno	темно
tamno	dark
tamno	темная
tamno	темноте
tamno	тёмная
miris	запах
miris	аромат
miris	запах
miris	аромат
potrošnje	потребления
potrošnje	потребление
sadržavati	сдержать
sadržavati	содержать
zhao	чжао
dejan	деян
bilje	растения
bilje	трав
bilje	травы
marino	марино
kombinacije	комбинации
kombinacije	сочетания
kombinacije	наряды
ricardo	рикардо
trake	кассеты
trake	ленты
dizel	дизель
bryant	брайант
stražnji	задняя
stražnji	тыл
stražnji	сзади
stražnji	задних
tiskana	печатных
fan	поклонник
fan	фан
fan	вентилятор
fan	фанат
očeve	отцов
očeve	отцы
rich	богат
rich	богатых
rich	рич
rich	богатая
rich	богатый
rich	богатые
dopuštenje	разрешите
dopuštenje	разрешение
simfonija	симфония
doseljenici	поселенцев
doseljenici	поселенцы
osudio	осудил
osudio	осудила
osudio	осуждает
osudio	осудили
generatora	генераторов
generatora	генераторы
fang	фан
specifične	конкретных
specifične	конкретное
specifične	конкретный
specifične	конкретная
specifične	конкретные
zanimanja	профессий
zanimanja	профессии
zanimanja	профессий
zanimanja	профессии
molitva	молиться
molitva	молится
molitva	молитву
molitva	молитва
cohen	коэн
faktora	факторы
pink	pink
pink	розовая
pink	розовые
pink	розовое
pink	розовый
doseljenika	поселенцев
doseljenika	поселенцы
amazonas	амазонас
wagner	вагнер
kontinuirano	постоянно
kontinuirano	непрерывно
kontinuirano	непрерывный
kontinuirano	непрерывно
kontinuirano	постоянного
kontinuirano	непрерывное
molu	пирс
molu	пьер
vještica	ведьма
ham	ветчина
pirati	пираты
pretvoriti	преобразовать
pojedinci	лиц
trst	триесте
jorge	хорхе
stope	тариф
stope	ставки
stope	стопам
stope	шаги
izjava	ведомость
izjava	заявление
suprotnosti	противоположности
sandra	сандра
jonathan	джонатан
hrabrost	мужество
hrabrost	храбрость
hrabrost	смелость
menadžer	manager
menadžer	менеджер
menadžer	управляющий
piramida	пирамида
piramida	пирамиды
podjeli	раздел
kapitala	столица
kapitala	капитал
kapitala	capital
garcia	гарсия
garcia	гарсиа
gonzález	гонсалес
čvor	узел
čvor	узел
bek	бек
musa	муса
musa	моисей
eduard	эдуард
odgovarajući	сопоставления
odgovarajući	сопоставление
odgovarajući	подбор
udovica	вдовы
udovica	вдова
tumačenje	толкование
tumačenje	интерпретация
harmonika	гармошка
harmonika	аккордеон
spora	споры
spora	спор
spora	споры
spora	спора
trgovac	торгового
trgovac	торговец
trgovac	трейдер
trgovac	торговец
trgovac	дилер
poslovi	вакансии
legendarni	легендарный
klasificira	классифицирует
želeći	желающие
obveza	обязанность
obveza	обязательство
obveza	обязательства
obveza	обязательство
obveza	приверженность
hooper	хупер
nebeska	небесный
nebeska	небесное
nebeska	небесный
nebeska	небесные
rukopis	почерк
rukopis	рукопись
postignut	достигнуто
postignut	достигнут
postignut	достиг
dostupne	доступно
dostupne	доступные
dostupne	доступны
dostupne	доступен
dostupne	имеющихся
ulaganja	капиталовложения
ulaganja	инвестиции
ulaganja	инвестирование
ulaganja	капиталовложения
ulaganja	инвестиции
sahranjen	похоронили
sahranjen	похоронен
pregovori	переговоры
pregovori	переговоров
pregovori	переговоры
novčanice	купюры
novčanice	законопроекты
novčanice	счета
šteta	жаль
šteta	жалко
šteta	жалость
hlađenja	охлаждения
lisica	фокс
lisica	лиса
lisica	fox
lisica	лис
napetosti	напряжение
napetosti	напряженность
napetosti	напряженности
napetosti	напряженность
napetosti	напряженности
lazar	лазарь
lazar	лазар
litara	литров
litara	литров
litara	литра
litara	галлонов
prepoznati	признать
prepoznati	узнаешь
prepoznati	распознать
prepoznati	признаем
prepoznati	распознать
whitley	уитли
tvrtko	твртко
milorad	милорад
nezadovoljstvo	недовольство
nezadovoljstvo	недовольство
cestom	дорога
cestom	дорожной
cestom	road
cestom	роуд
definirana	определен
definirana	определена
definirana	определено
definirana	определены
nebeski	небесный
okrunjen	коронован
udaljeno	отдаленных
udaljeno	дальний
udaljeno	дистанционное
udaljeno	дистанционного
udaljeno	пульт
fernández	фернандес
izborni	выборные
islanda	исландии
islanda	исландия
ctenus	ctenus
evolucija	эволюция
evolucija	эволюции
prijateljstvo	дружбы
prijateljstvo	дружба
poletio	летал
poletio	прилетели
poletio	пролетел
ulmus	вяз
francuza	француз
jose	жозе
jose	хосе
jose	жозе
jose	хосе
tehnološki	технологически
tehnološki	технологических
tehnološki	технологические
tehnološki	технологический
blake	блейк
blake	блэйк
neuspjeh	неудачи
neuspjeh	неудача
neuspjeh	провал
savršeno	идеальная
savršeno	идеальный
savršeno	идеально
elvis	элвис
carska	imperial
vena	вена
vena	вену
skoplje	скопье
ram	рама
ram	рам
cao	цао
rukopisa	почерк
rukopisa	рукописи
rukopisa	рукопись
nedjelja	воскресенье
nedjelja	воскресение
bjelokosti	айвори
doktorat	phd
churchill	черчилль
psa	собака
psa	пес
psa	пёс
vaše	твоя
vaše	ваши
vaše	ваш
vaše	ваша
vaše	твой
vaše	ваше
felix	феликс
koeficijent	коэффициент
proslave	торжества
proslave	празднование
proslave	празднования
ubijena	убита
ubijena	убитый
ubijena	убил
ubijena	убит
ubijena	убиты
mlijeka	молочный
mlijeka	молоко
mlijeka	молока
motiva	мотив
motiva	мотивы
porta	порта
snijeg	снег
snijeg	сноу
snijeg	снега
ravna	квартиру
ravna	квартира
domovina	родина
domovina	страна
domovina	страны
domovina	родину
domovina	родина
objavljivanje	публикация
objavljivanje	опубликование
objavljivanje	издание
objavljivanje	публикация
objavljivanje	размещения
objavljivanje	издательство
objavljivanje	публикация
nadvojvoda	эрцгерцога
atomi	атомы
atomi	атомов
bratstva	братство
bratstva	братства
bratstva	братство
diktature	диктатуры
poštovanje	респект
poštovanje	уважать
poštovanje	уважение
poštovanje	уважаю
nude	предлагая
nude	предлагаю
jar	банку
obična	обычных
obična	обычный
obična	обычная
obična	обычные
imanje	поместье
reich	рейха
reich	рейх
rama	рама
zatvara	закрывает
zatvara	закрывается
bilja	трав
bilja	травы
mons	монс
ferrari	феррари
