اسپنسر	spencer
طوطی	papagoid
طوطی	papagoi
لاتزیو	lazio
اسکاندیناوی	skandinaavia
اسکاندیناوی	skandinaavia
بارو	barrow
کمینه	minimaalselt
کمینه	miinimum
کمینه	minimaalne
کمینه	minimaalne
کاراته	karate
دستگاهی	seade
دستگاهی	seadis
کوپه	kupee
سرما	külm
سرما	külmad
آموزگار	õpetaja
شجاعت	julgus
شجاعت	julgust
شجاعت	vaprus
توران	turan
برهم	surge
پرستار	medõde
پرستار	õde
مشکی	mustad
مشکی	black
مشکی	musta
مشکی	must
بنگال	bengali
الحاق	lisand
الحاق	ühinemine
الحاق	lisamine
توریستی	turist
ایان	lan
ایان	ian
جاوه	java
متعهد	pühendunud
بلیز	belize
مسمومیت	mürgitus
مسمومیت	toksilisus
مسمومیت	mürgisus
مجرد	vallalised
مجرد	poissmees
عروقی	vaskulaarsed
سرگئی	sergei
درخشش	sära
درخشش	helendus
درخشش	helendav
درخشش	helendavad
درخشش	kuma
اینترنشنال	rahvusvaheline
اینترنشنال	rahvusvahelised
اینترنشنال	international
دیترویت	detroiti
دیترویت	detroidi
دیترویت	detroit
فرعون	vaarao
سهره	finch
شنوایی	kuulmine
شنوایی	kuulamine
جواهر	juveelid
جواهر	kalliskivi
جواهر	juveel
جواهر	ehted
جواهر	ehteid
هیجان	erutus
هیجان	põnevust
هیجان	erutatud
پرتره	portree
تومور	kasvaja
فضاپیما	kosmoselaeva
فضاپیما	kosmoselaev
فضاپیما	kosmoselaev
کپسول	kapsel
بیسبال	pesapalli
بیسبال	pesapall
کروموزوم	kromosoomid
کروموزوم	kromosoomi
خستگی	väsimus
خستگی	igavus
خستگی	kurnatus
بسامد	esinemissagedus
بسامد	sagedus
استعفای	tagasiastumisega
چاپلین	chaplin
الکتریسیته	elektrienergia
الکتریسیته	elekter
کریک	creek
کریک	oja
پنجاب	pandžabi
غیرممکن	võimatu
اشیا	objektid
مشت	rusikas
ربع	kvartal
ربع	veerand
کنسولگری	konsulaat
جسیکا	jessica
ویکیپدیای	wikipedia
بالکان	balkani
بالکان	balkanil
بالکان	balkani
بالکان	balkanil
باروری	tiinuse
هوافضا	aerospace
عزاداری	leina
اضطراب	ärevus
شرلوک	sherlock
اضطراری	hädaolukord
ثور	thor
فروهر	olemus
باکس	box
باکس	kast
باکس	karp
باکس	kasti
باکس	lahter
اسکوشیا	scotia
میش	ute
تعصب	talumatus
تعصب	dogma
تفنگداران	musketärid
تفنگداران	korpus
کرک	kirk
درصدی	protsent
سنتز	sünteesi
افغانی	afgaani
افغانی	afganistani
افغانی	afgaani
اصولی	süstemaatiline
سپید	valge
سپید	valged
واسکو	vasco
هدر	heather
نیکولا	nicola
نیکولا	nikola
دریچه	klapp
دریچه	ventiil
دریچه	luuk
احساسی	emotsionaalne
انجیر	joonis
جوهر	tooneri
جوهر	tint
پلاستیکی	plastikust
پلاستیکی	plast
پلاستیکی	plastik
پن	penn
پن	paan
پن	paani
پن	pan
پن	panni
سس	kastme
سس	kaste
تیغ	blade
تیغ	tera
مولر	müller
مولر	mueller
مبدا	päritolu
رولز	rullid
رولز	rolls
آرژانتینی	argentina
آرژانتینی	argentina
آرژانتینی	argentiina
کیل	kiel
وقفه	katkestus
وقفه	katkestamine
وقفه	vaheaeg
گواهینامه	litsents
گواهینامه	load
گواهینامه	sertifikaat
گواهینامه	tunnistus
روال	rutiin
آمینه	amino
زامبیا	sambia
تم	teema
فاش	avalikustab
فاش	avalikustada
فاش	paljastavad
