die	the
van	surname
van	from
het	got
het	has
wat	what
wat	that
word	become
met	with
was	was
was	were
vir	for
nie	not
dit	this
deur	door
ook	also
tot	till
dat	that
hulle	them
suid	south
uit	out
jaar	year
eerste	first
maar	but
kan	can
hierdie	this
ander	other
soos	like
afrika	africa
afrika	african
oor	about
oor	ear
oor	remaining
een	one
gebruik	usage
gebruik	use
afrikaanse	african
groot	great
meer	lake
meer	more
onder	below
onder	bottom
twee	two
kerk	kerk
kerk	church
duimnael	thumbnail
tussen	between
gemeente	congregation
gemeente	assembly
baie	very
baie	many
begin	start
hul	their
lêer	ledger
waar	where
waar	true
dié	this
eeu	century
haar	her
eksterne	external
sien	seeing
sien	see
nuwe	new
leë	empty
leë	blank
hom	him
voor	front
voor	before
stad	city
land	country
skakels	links
later	later
nog	nogai
nog	more
net	only
net	just
tydens	during
sou	would
naam	name
deel	share
deel	part
drie	three
grootste	greatest
pous	pope
sal	will
kon	could
ons	our
mense	people
bestaan	exist
bestaan	exists
svg	svg
nasionale	national
maak	make
kom	come
noord	north
jpg	jpg
gebied	territory
gebied	area
vanaf	from
laat	late
saam	together
style	styles
terwyl	while
veral	especially
moet	must
weer	again
weer	weather
werk	work
werk	job
werk	werk
klein	small
klein	minor
klein	tiny
oos	east
hier	here
tyd	time
geword	become
vlag	flag
verskeie	various
verskeie	miscellaneous
verenigde	united
mei	may
wes	west
vorm	shape
staan	stand
gereformeerde	reformed
isbn	isbn
genoem	mentioned
dan	then
bevolking	population
gemaak	made
gebou	building
jare	years
januarie	january
januarie	manual
junie	jun
junie	june
amerikaanse	american
slegs	only
slegs	just
nadat	after
dorp	dorp
april	april
lank	tall
lank	long
gestig	founded
oktober	october
julie	july
sedert	since
sedert	launched
reeds	already
kaapstad	barcelona
september	september
engels	english
party	party
desember	december
maart	march
alle	all
augustus	august
gevolg	followed
februarie	february
gaan	going
nou	now
meeste	most
gebore	born
provinsie	province
provinsie	county
provinsie	state
universiteit	university
beskou	consider
lewe	life
vier	four
vier	celebrating
vier	celebrate
november	november
franse	french
dood	death
dood	dead
amptelike	official
koning	king
der	der
moes	had
dieselfde	same
wêreld	world
volgende	next
geleë	located
miljoen	million
aantal	quantity
plaaslike	local
regs	right
dikwels	often
internasionale	international
eie	customize
eie	own
voëls	birds
eers	first
pretoria	pretoria
steeds	still
groep	group
stel	set
sluit	quit
sluit	close
frankryk	france
naby	near
naby	nearby
hoofstad	capital
verwys	cited
verwys	refers
verwys	refer
state	states
water	water
water	spatula
einde	finish
einde	end
duitsland	germany
regering	government
elke	every
kaap	cape
dae	days
wanneer	when
oorlog	war
laaste	last
politieke	political
besluit	decides
besluit	decision
besluit	decided
besluit	decide
ryk	empire
ryk	rich
asook	philanthropy
sommige	some
gewoonlik	usually
gewoonlik	normally
afrikaans	afrikaans
geskiedenis	history
vis	fish
plaas	farm
plaas	post
wikipedia	wikipedia
wetenskaplike	scientist
wetenskaplike	scientific
ontwikkel	developed
ontwikkel	develop
lande	countries
seun	boy
seun	son
algemene	general
verskillende	different
ontstaan	occurred
europa	europe
stadion	stadium
belangrike	important
kinders	kids
kinders	children
gedurende	during
neem	take
vertaal	translate
munisipaliteit	municipality
tans	now
tans	currently
tans	present
republiek	republic
kort	short
self	self
mens	human
plek	venue
plek	place
ongeveer	approximately
binne	inside
binne	within
swart	burlap
swart	crack
swart	black
europese	european
moontlik	possible
selfs	even
enige	any
gehou	liked
tydperk	duration
maande	months
skool	school
per	per
vroeë	early
familie	family
voorkom	prevent
mag	may
geneem	taken
hoe	how
eiland	island
volg	track
volg	follow
volg	following
soms	occasional
soms	sometimes
engeland	england
johannes	johannes
johannes	john
vyf	five
sonder	without
johannesburg	johannesburg
ontwerp	design
aarde	earth
gee	give
kry	get
paar	few
rol	role
rol	roll
vrou	woman
vrou	wife
gebiede	territories
gebiede	areas
derde	third
dag	day
john	john
moderne	modern
woord	word
president	president
koninkryk	kingdom
tale	languages
ontvang	receive
ontvang	received
ontvang	receiving
bly	bly
bly	glad
bly	stay
amerika	america
hoewel	although
webwerf	website
staat	state
staat	sheet
weens	due
vandag	today
daardie	those
ekonomiese	economic
aanvaar	accepted
aanvaar	accept
hou	hold
hou	keep
geskryf	written
geskryf	burned
hele	entire
hele	whole
bevat	contains
skrywer	writer
skrywer	author
see	seneca
see	sea
verander	cancel
verander	changes
verander	modify
verander	change
bereik	reach
bereik	reached
russiese	russian
weg	away
inwoners	residents
beteken	means
man	husband
man	man
huis	home
huis	house
besoek	impression
besoek	visit
besoek	visited
administratiewe	administrative
bekende	famous
gespeel	played
beste	best
rusland	russia
kerke	churches
rooi	reds
rooi	red
skryf	write
skryf	burn
wie	who
visse	fishes
visse	pisces
suidelike	southern
romeinse	roman
alhoewel	although
gekry	found
gekom	travelled
verskyn	appear
hoë	high
sterk	strong
africa	africa
londen	london
reeks	series
hoofsaaklik	primarily
eilande	islands
belangrikste	primary
speel	play
speel	playback
speel	playlists
speel	playing
wel	well
bou	build
wil	want
minder	less
gelei	led
stigting	founding
stigting	formation
gegee	given
beskryf	describe
streek	region
streek	regional
gesien	seen
rivier	river
mees	most
jan	jan
ses	six
grond	soil
grond	land
grond	ground
spesies	species
beroep	profession
png	png
verklaar	declared
gedoen	done
lede	members
george	george
iii	iii
meter	meters
meter	metres
persent	percent
historiese	historic
historiese	historical
nederland	netherlands
minister	minister
span	team
ontwikkeling	development
dele	parts
frans	french
distrik	district
gewen	won
god	god
japan	japan
pad	road
oorlede	died
militêre	military
inligting	information
paul	paul
veroorsaak	caused
veroorsaak	causing
veroorsaak	cause
ontdek	discover
oorspronklike	original
katolieke	catholic
keiser	emperor
boek	book
artikels	articles
artikels	sections
opgerig	erected
opgerig	constructed
aanvanklik	initially
sowel	both
sowel	well
goed	good
goed	well
kalender	calendar
wet	law
wet	act
beide	both
goeie	good
val	drop
val	fall
vsa	usa
beheer	control
http	http
terug	back
min	min
predikant	clergy
gevind	found
verkies	favor
verkies	favour
omgewing	environment
omgewing	area
lid	member
potchefstroom	potchefstroom
voormalige	former
park	park
grens	border
skeidsregter	referee
sekere	certain
data	data
jong	young
noorde	north
uiteindelik	finally
buite	outside
buite	outdoor
invloed	influence
ouderdom	age
diens	service
blou	blue
blou	grow
blou	blur
noordelike	northeast
noordelike	northern
vind	find
woorde	words
