die	az
van	vezetéknév
van	től
van	tól
van	from
wat	ez
word	váljon
met	with
was	volt
was	voltak
vir	for
nie	nem
dit	ezt
dit	ez
deur	ajtó
ook	szintén
ook	egyben
ook	úgyszintén
dat	ez
hulle	ők
hulle	őket
suid	dél
suid	délre
suid	déli
uit	ki
jaar	évjárat
jaar	éve
jaar	évi
jaar	év
eerste	először
eerste	első
maar	de
kan	tud
kan	can
kan	lehet
hierdie	ezt
hierdie	ez
ander	egyéb
ander	más
soos	mint
soos	like
soos	tetszik
afrika	afrikai
afrika	afrika
afrika	afrikai
oor	kb
oor	nagyjából
oor	körülbelül
oor	fül
oor	füle
oor	megmaradt
oor	megmaradó
oor	fennmaradó
een	egy
gebruik	használat
gebruik	használat
gebruik	használata
gebruik	felhasználás
gebruik	használni
afrikaanse	afrikai
groot	nagyszerű
meer	tó
meer	tavi
meer	tavon
meer	több
meer	more
meer	további
meer	tobb
onder	alul
onder	alatt
onder	alatta
onder	alább
onder	lent
onder	alul
onder	alja
onder	alsó
onder	fenék
twee	kettő
kerk	kerk
kerk	templom
kerk	egyház
duimnael	bélyegkép
tussen	között
gemeente	gyülekezet
gemeente	közgyűlés
gemeente	gyűlés
gemeente	szerelvény
baie	nagyon
baie	sok
baie	sokan
begin	start
begin	kezdés
begin	kezdeni
waar	hol
waar	ahol
waar	igaz
waar	igazi
dié	ezt
dié	ez
eeu	évszázad
eeu	század
eksterne	külső
sien	látni
sien	látván
sien	látva
sien	lásd
nuwe	újdonság
nuwe	új
leë	üresek
leë	üres
leë	üresen
leë	üres
leë	üresen
hom	őt
hom	neki
voor	front
voor	eleje
voor	előtte
voor	előtt
voor	mielőtt
stad	city
stad	városi
stad	város
land	ország
land	országban
skakels	linkek
skakels	hivatkozások
skakels	kapcsolatok
later	később
nog	több
nog	more
nog	további
nog	tobb
net	csak
net	kizárólag
net	csak
tydens	során
sou	volna
sou	lenne
naam	neve
naam	név
deel	részesedése
deel	megosztás
deel	részesedés
deel	részben
deel	rész
deel	része
drie	három
egter	mindamellett
egter	mindazonáltal
egter	azonban
grootste	legnagyobb
pous	pápa
pous	pope
sal	will
sal	fog
sal	akarat
kon	lehetne
mense	emberek
bestaan	léteznek
bestaan	létezni
bestaan	létezik
bestaan	létezik
svg	svg
nasionale	nemzeti
nasionale	országos
nasionale	national
kom	gyere
noord	észak
noord	északi
noord	északra
jpg	jpg
gebied	terület
gebied	területe
gebied	terület
gebied	környék
vanaf	től
vanaf	tól
vanaf	from
laat	későn
laat	késő
laat	késve
saam	együtt
style	styles
terwyl	miközben
terwyl	mialatt
terwyl	míg
terwyl	amíg
veral	különösen
veral	főleg
moet	kell
weer	újra
weer	időjárás
werk	munkahelyi
werk	munka
werk	állás
werk	meló
werk	munka
klein	kis
klein	kicsik
klein	kicsi
klein	kiskorú
klein	kisebb
klein	kicsi
klein	pici
klein	apró
oos	keletre
oos	keleti
oos	kelet
hier	itt
tyd	ideje
tyd	időpont
tyd	idő
geword	váljon
geword	lettem
geword	lett
geword	vált
vlag	zászló
vlag	megjelölés
vlag	lobogó
verskeie	többféle
verskeie	különféle
verskeie	különböző
verskeie	egyéb
verskeie	egyebek
verskeie	különféle
verskeie	vegyes
verenigde	united
verenigde	egyesült
mei	may
mei	május
mei	májusi
mei	májusban
wes	nyugat
wes	nyugati
vorm	alakja
vorm	forma
vorm	formát
vorm	alakzat
staan	áll
staan	állva
staan	állj
gereformeerde	református
isbn	isbn
genoem	említett
dan	akkor
dan	aztán
bevolking	populáció
bevolking	népesség
bevolking	lakosság
gemaak	készítette
gemaak	készült
gemaak	tett
gebou	épület
jare	évek
jare	év
januarie	januári
januarie	január
januarie	januárban
januarie	kézikönyv
januarie	kézi
januarie	manuális
junie	jun
junie	júniusi
junie	june
junie	június
junie	júniusban
amerikaanse	amerikai
slegs	csak
slegs	kizárólag
slegs	csak
nadat	után
nadat	after
nadat	miután
nadat	utána
april	april
april	április
april	áprilisi
april	áprilisban
lank	magas
lank	hosszú
gestig	alapították
gestig	alapított
gestig	alapította
gestig	megalapozott
oktober	októberi
oktober	októberben
oktober	október
julie	júliusban
julie	júliusi
julie	július
sedert	azóta
sedert	mióta
sedert	mivel
sedert	óta
sedert	elindított
sedert	indított
reeds	már
reeds	máris
kaapstad	barcelonában
kaapstad	barcelonai
kaapstad	barcelona
september	szeptemberben
september	szeptember
september	szeptemberi
engels	angolul
engels	angol
party	party
party	buli
party	parti
desember	december
desember	decemberi
desember	decemberben
maart	március
maart	márciusi
alle	mindegyik
alle	mind
alle	minden
augustus	augusztusban
augustus	august
augustus	augusztus
gevolg	követett
gevolg	követte
februarie	februárban
februarie	februári
februarie	február
gaan	alakul
gaan	megyek
gaan	megy
nou	most
meeste	legtöbb
gebore	született
gebore	megszületett
provinsie	tartomány
provinsie	tartományban
provinsie	megyei
provinsie	megye
provinsie	állapot
provinsie	állami
provinsie	állam
universiteit	university
universiteit	egyetem
lewe	élet
lewe	életem
lewe	life
vier	négy
vier	ünnepel
vier	ünneplés
vier	ünnepelni
vier	ünneplés
vier	ünnepelni
november	november
november	novemberi
november	novemberben
franse	francia
franse	franciák
dood	halál
dood	halott
dood	halottak
amptelike	hivatalos
amptelike	tisztviselő
koning	kinga
der	der
moes	volt
dieselfde	ugyanez
dieselfde	ugyanaz
wêreld	világ
wêreld	world
wêreld	vilag
volgende	következő
geleë	található
miljoen	millió
aantal	mennyiség
plaaslike	helyi
regs	jobbra
dikwels	gyakran
internasionale	international
internasionale	nemzetközi
eie	testre
eie	saját
voëls	madarak
eers	először
eers	első
pretoria	pretoriában
steeds	még
groep	csoport
groep	csoportban
stel	szett
stel	set
stel	beállítva
stel	forgatás
sluit	szoros
sluit	közel
sluit	bezárása
sluit	közeli
frankryk	franciaország
frankryk	france
naby	közel
naby	közelben
naby	közeli
hoofstad	főváros
hoofstad	tőke
verwys	idézett
verwys	hivatkozott
verwys	utal
verwys	hivatkozik
state	államok
state	államokat
water	víz
water	vizet
einde	befejezés
einde	befejezés
einde	vége
einde	vég
duitsland	németország
regering	kormány
regering	kormányzat
elke	minden
kaap	cape
kaap	fok
kaap	köpeny
dae	napok
dae	napokban
dae	napokat
dae	napokon
wanneer	mikor
wanneer	amikor
oorlog	háború
laaste	utoljára
laaste	utolsónak
laaste	last
laaste	utolsó
politieke	politikai
politieke	politika
besluit	dönt
besluit	döntés
besluit	határozat
ryk	birodalom
ryk	empire
ryk	gazdag
ryk	gazdagok
ryk	rich
sommige	néhány
gewoonlik	általában
gewoonlik	rendszerint
gewoonlik	általában
afrikaans	afrikaans
geskiedenis	történelme
geskiedenis	előzmények
geskiedenis	történelem
vis	halak
vis	hal
vis	halat
plaas	farm
plaas	gazdaság
plaas	poszt
plaas	posta
plaas	post
plaas	bejegyzést
plaas	bejegyzésre
plaas	bejegyzés
wikipedia	wikipédia
wetenskaplike	tudós
wetenskaplike	tudományos
ontwikkel	fejlett
ontwikkel	fejlesztett
ontwikkel	kifejlesztett
ontwikkel	kidolgozott
lande	országokban
lande	országok
seun	fiú
seun	fiam
seun	fiuk
algemene	általános
algemene	tábornok
verskillende	más
verskillende	különböző
verskillende	eltérő
europa	európa
europa	europe
europa	európában
stadion	stadion
stadion	stadionban
belangrike	fontos
kinders	gyerekek
kinders	kölykök
kinders	gyerekek
kinders	gyermekeknek
kinders	gyermek
kinders	gyermekek
gedurende	során
neem	vedd
vertaal	fordítás
vertaal	lefordítani
munisipaliteit	borough
munisipaliteit	kerület
munisipaliteit	község
munisipaliteit	település
munisipaliteit	önkormányzat
tans	most
tans	jelenleg
tans	ajándék
tans	jelen
republiek	köztársaság
kort	rövid
kort	alacsony
kort	röviden
verder	tovább
verder	további
mens	ember
mens	emberi
plek	helyszín
plek	hely
ongeveer	megközelítőleg
ongeveer	hozzávetőleg
ongeveer	körülbelül
binne	belül
binne	belül
swart	repedés
swart	crack
swart	fekete
swart	black
europese	európai
moontlik	lehetséges
selfs	még
enige	bármelyik
enige	bármely
enige	bármilyen
gehou	kedvelt
gehou	kedvelte
gehou	kedvel
gehou	tetszett
tydperk	időtartam
tydperk	időtartama
maande	hónap
maande	hónapokig
maande	hónapok
skool	iskolában
skool	iskola
skool	suli
per	per
vroeë	korán
vroeë	korai
familie	családi
familie	családtag
familie	család
voorkom	megelőzni
voorkom	megelőzése
mag	may
mag	május
mag	májusi
mag	májusban
geneem	foglalt
hoe	hogyan
eiland	sziget
eiland	szigeten
volg	pálya
volg	vágány
volg	nyomon
volg	követni
volg	kövesd
volg	követni
volg	követem
volg	követi
soms	alkalmi
soms	alkalmanként
soms	esetenként
soms	néha
engeland	anglia
engeland	england
engeland	angliai
johannes	johannes
johannes	john
johannes	jános
vyf	öt
vyf	öten
sonder	nélkül
sonder	anélkül
johannesburg	johannesburg
ontwerp	dizájn
ontwerp	tervezési
ontwerp	design
ontwerp	tervezés
aarde	föld
