tendence	tendència
nogāzes	desnivell
nogāzes	talussos
nogāzes	talussos
noslēdz	conclou
ienaidnieks	enemic
ērgļi	eagles
ērgļi	àguiles
pagātnes	passat
piedzīvojumi	aventures
piedzīvojumi	aventura
slāņi	capes
atvērt	oberta
atvērt	oberts
atvērt	open
atvērt	obre
atvērt	obert
vārdnīcas	vocabularis
vārdnīcas	diccionaris
izdzīvot	sobreviure
gabriels	gabriel
uzsver	destaca
uzsver	destacats
uzsver	ressaltats
donavas	danubi
auss	oïda
auss	orella
kviešu	blat
šaura	estret
ribentropa	ribbentrop
ledu	gel
neolīta	neolític
izgatavota	fabricat
izgatavota	fabricats
ienākumus	ingrés
ienākumus	ingressos
lode	bala
skalas	barems
skalas	escales
skalas	escates
skalas	bàscula
kvarca	quars
akts	acte
akts	act
kaujinieku	combatents
kaujinieku	milícia
mainījies	canviades
mainījies	canviat
mainījies	canviada
iepriekšējie	anterior
izdalīt	distribueix
ipv	ipv
ipv	ipu
plazmas	plasma
horvātija	croàcia
disciplīnās	disciplines
zara	subdivisió
zara	sucursal
zara	branca
pētījums	judici
pētījums	estudi
derīgas	apte
nelsons	nelson
rasels	russell
halles	halle
irbe	perdiu
pakājē	prealps
pretiniekiem	opositors
apliecina	certifica
nesaskaņas	desacord
nesaskaņas	discòrdia
magnētisko	magnètic
iziešanas	sortida
krusa	calamarsa
fords	ford
deivs	dave
ķēde	cadena
ķēde	circuit
pcall	pcall
silīcija	silici
vatikāna	vaticà
apmaiņa	interchange
apmaiņa	intercanvi
apmaiņa	intercanvis
demonstrācijas	manifestacions
demonstrācijas	demostracions
demonstrācijas	mobilitzacions
usb	usb
england	anglaterra
poznaņas	poznań
dievi	déus
turnīri	tornejos
vera	vera
semjuels	samuel
pretinieks	enemic
pretinieks	oponent
pretinieks	adversari
liktenis	destinació
liktenis	destí
vdk	kgb
nesa	nesa
drīzumā	aviat
drīzumā	pròximes
drīzumā	propers
drīzumā	properes
sēklu	llavor
gaļa	carn
sietlas	seattle
smiltis	sorra
pievienoti	afegits
pievienoti	afegit
pievienoti	adjuntat
pievienoti	delimitada
demokrātijas	democràcies
tumša	fosc
liepu	linden
novēro	observar
dzejā	vers
papua	papua
varoņi	heroes
varoņi	herois
hip	hip
hip	maluc
formatdate	formatdate
gēnu	gene
gēnu	gen
romeo	romeu
zobenu	espasa
bērnība	infància
bērnība	infantesa
departamentā	departament
amatniecības	ofici
amatniecības	artesania
euro	euro
uzņemti	matriculats
dvēsele	ànima
atļauj	permetre
atļauj	permet
ericsson	ericsson
smags	heavy
smags	pesats
smags	pesada
smags	pesant
smags	pesades
bronza	bronze
papildināts	rematats
artis	arties
migla	boira
krava	càrrega
krava	carrega
krava	mercaderies
semimajor	semimajor
sēž	assegut
ieguldījums	aportació
ieguldījums	inversió
runu	discurs
militāri	militars
militāri	militar
militāri	militarment
redakcija	versió
somālijas	somàlia
somālijas	somali
sadaļas	seccions
sadaļas	capítols
advokātu	advocat
darbnīca	curset
darbnīca	taller
rīku	engranatge
ženēvas	ginebra
zemesraga	canaveral
meksika	mèxic
pusvadītāju	semiconductor
skudru	formigues
zirgam	cavall
pozitīvi	positiu
pozitīvi	positiva
pozitīvi	positius
atzīmēta	etiquetat
atzīmēta	etiquetada
atzīmēta	etiquetats
čeļabinskas	txeliàbinsk
mednieki	caçadors
vērsts	dirigit
vērsts	dirigida
vērsts	orientat
mantas	pertinences
mantas	coses
vilces	tracció
vilces	empenta
izteiktas	pronunciat
izteiktas	pronunciada
kristietība	cristianisme
dzēšanu	supressió
stiprs	forts
stiprs	forta
stiprs	fort
zoo	zoològic
zoo	zoo
olimpiāde	olimpíada
olimpiāde	olimpíades
nulle	zero
aprīkots	equipada
aprīkots	equipats
aprīkots	equipat
disney	disney
zaļas	green
zaļas	verd
lists	liszt
elza	elsa
zum	zum
ņem	take
pievienošanas	incorporació
alianse	aliança
etc	etc
apkārtmērs	circumferència
arābi	àrabs
raktuves	mines
raktuves	mina
kāpnes	escales
gana	ghana
vesels	sencer
vesels	sencera
virsbūves	carrosseria
virsbūves	cossos
parametrs	paràmetre
militārie	militars
militārie	militar
dzīvoklī	apartament
leļļu	titella
leļļu	dollhouse
vistas	gallines
vistas	pollastre
vistas	pollastres
īpatņu	espècimens
getparent	getparent
deklarācija	declaració
islandē	islàndia
pjedestāla	podi
pjedestāla	pedestal
autonomijas	autonomia
paradīzes	paradís
paradīzes	paradise
vēsturisks	històric
vēsturisks	històrica
artikulācijas	articulant
panorāma	panorama
atmosfēra	atmosfera
eva	eva
astoņiem	vuit
mobilais	mòbil
inovācijas	innovacions
inovācijas	innovació
bolīvijas	bolivià
seju	cara
seju	face
salo	salo
pārvaldnieks	gestor
dem	dem
primārais	primària
primārais	primari
darījumu	transacció
diplomu	diplomat
