검토하기	pregled
랠프	ralph
전구	lukovica
아이오딘	jod
돌연변이	mutagen
돌연변이	mutacija
데이지	daisy
토리	tory
토리	tori
무신론	ateizam
무신론	ateist
무신론	ateiste
실험실	laboratoriji
실험실	laboratorija
실험실	laboratorije
실험실	laboratorija
실험실	laboratoriji
실험실	lab
홈즈	holmes
홈즈	holmesa
튀르크	turkijski
페레스	peres
페레스	pérez
간지	kanji
플랑드르	flamanski
지우	jasni
지우	jasnih
지우	jasno
지우	jasna
지우	jasan
지우	izbriše
반대편	suprotnost
반대편	suprotna
반대편	suprotnim
반대편	suprotno
수렴	konvergencija
수렴	konvergencije
수렴	približavanja
프로그래머	programerski
프로그래머	programer
관광객	turistička
관광객	turističkih
관광객	turisti
제럴드	gerald
도끼	sjekira
월리스	wallace
재판소	sud
둘레	obujam
상업용	komercijalne
상업용	komercijalni
상업용	reklama
수영장	bazen
이민자	imigranata
이민자	imigrant
환영	dobrodošli
데이먼	damon
자발적	dobrovoljnoj
자발적	dobrovoljnu
자발적	dobrovoljne
자발적	dobrovoljnog
황소	bik
음악원	conservatory
화랑	galerija
스택	steka
스택	stacks
큐슈	kjušu
블로거	bloger
친구들이	prijatelji
친구들이	friends
파인	bor
파인	pine
재무	finansijski
재무	finansije
치과	zubar
치과	stomatologija
알렌	alan
인코딩	encode
몰리	moli
몰리	molly
몰리	morley
트루	tru
화살	strele
화살	strela
심리학자	psiholog
섹션	odeljak
섹션	sekcija
섹션	sekcije
햄릿	hamlet
그린란드	grenland
루브르	louvre
초원	meadow
무시	ignore
무시	odbacuju
무시	raspusti
땅콩	kikiriki
땅콩	nut
땅콩	nuts
땅콩	peanuts
닐스	nils
대표자	zastupnik
대표자	predstavnik
가끔은	ponekad
미러	ogledala
미러	ogledalo
결제	platiti
결제	plaćaju
결제	plati
결제	plate
결제	plaćanje
결제	isplata
결제	plaćanje
결제	plaćanja
트럼프	trump
갈릴레이	galilei
브룩	brooke
브룩	brook
카이사르	cezar
아름답다	lijepe
아름답다	lijepa
단자	connector
역설	paradoks
불행한	nezadovoljno
안도라	andora
마리야	marie
마리야	mari
띄어쓰기	spacing
폐기물	otpad
허가서	dozvola
허가서	licenca
허가서	dozvolu
허가서	licencu
호위함	fregata
어린시절	djetinjstvo
어메이징	amazing
어메이징	nevjerovatno
브렛	brett
알토	alto
올리비아	olivia
브라질리아	brasília
급한	hitna
솔리드	čvrsto
솔리드	čvrste
외할아버지	djed
외할아버지	dedo
캐머런	cameron
눈물이	suze
단순하게	prosto
단순하게	jednostavno
의사소통	komunikacija
충전	optužba
충전	naboj
넓이	wide
넓이	široki
넓이	široko
넓이	široka
베스	bet
임상	klinička
최단	najkraće
전세	povelja
몽키	majmun
터빈	turbina
사슴	jelen
시에라	sierra
로건	logan
카와시마	kawashima
기독교인	hrišćani
소원	želje
소원	želi
존경하는	poštovana
존경하는	poštovali
존경하는	poštovan
존경하는	cijenjen
비례	proporcionalnih
비례	proporcionalnost
비례	proporcija
런타임	runtime
베스트셀러	najprodavaniji
모니터링	pratila
모니터링	praćenje
모니터링	monitoring
모니터링	monitor
모니터링	monitora
모니터링	monitoru
엣지	edge
하모니카	harmonica
파이썬	python
쓸데없는	beskorisno
난이도	poteškoća
난이도	teškoće
브룩스	brooke
브룩스	brooks
나뭇잎	polazi
나뭇잎	ostavlja
나뭇잎	lišće
나뭇잎	list
현관	trijem
미니애폴리스	minneapolis
사담	sadam
팟캐스트	podcast
파라	farah
아이디어	ideja
아이디어	idejama
아이디어	ideje
아이디어	ideja
관습	carina
관습	carinska
캐롤라이나	karolina
인터랙티브	interaktivni
부상당한	ranjen
페널티	penala
페널티	kazna
합금	legura
케이시	casey
기꺼이	rado
퍼거슨	ferguson
드레이크	drake
애니멀	životinje
죄수	zarobljenike
죄수	zatvorenici
기증	donacija
기증	donaciju
맬컴	malcolm
푸틴	putin
패킷	packet
다카기	takagi
공학자	inženjer
프리덤	sloboda
서킷	kolo
요시키	yoshiki
동지	drug
동지	drugova
동지	drugovi
메이슨	mason
결정하기	odlučiti
결정하기	odluče
침묵	tiha
침묵	tišina
중성	neutral
헌트	lov
괴산	oteo
부등식	nejednakost
벵골	bengalski
벵골	bengala
여자들	žene
융합	fusion
비틀즈	beatles
니코	niko
니코	nico
장화	boots
스나이퍼	sniper
버팔로	buffalo
커리어	karijeru
커리어	karijere
커리어	karijera
커리어	karijere
공구	alat
일자리	jobs
일자리	poslovi
프로스트	mraz
셰인	shane
크릭	crick
둥지	gnijezdo
아바타	avatar
일시적	privremeno
일시적	privremeno
일시적	privremenu
일시적	privremene
맥도널드	mcdonald
맥도널드	macdonald
마늘	lukom
유머	humor
유머	humor
박쥐	bat
올림푸스	olympus
빙하	glečeri
푸앵카레	poincaré
듀엣	duet
스타킹	čarape
콤플렉스	kompleksan
콤플렉스	kompleks
콤플렉스	kompleksna
빈곤	siromaštvo
빈곤	siromaštva
보츠와나	bocvana
물결	talas
스트레이트	pravo
이탈리아인	italijani
이탈리아인	italijanski
생태계	ekosistem
생태계	ekosistema
생태계	ekosisteme
듀티	dužnosti
듀티	dužnost
홀리	holly
로체스터	rochester
발렌타인	valentin
처칠	churchill
랜스	lens
랜스	koplje
보손	bozoni
엑셀	excel
서스펜션	obustave
투자가	investitor
투자가	investitora
스킨	koža
지배자	dominantne
지배자	dominantan
지배자	dominantna
지배자	dominantni
퇴장	izbacivanje
헬레나	helena
이사벨라	izabela
각도	ugao
도망자	bjegunac
파이트	borbe
파이트	borbama
토네이도	tornado
습지	marsh
습지	močvara
습지	wetland
열쇠	ključeve
열쇠	ključa
봄바디어	bombardier
아들들	sinovi
아들들	sinova
시리얼	serijske
시리얼	serijski
시리얼	serijskog
시리얼	serijska
시리얼	žitarice
예언	vjerovjesnicima
점화	paljenja
점화	paljenje
프레스	press
프레스	štampa
마스터스	masters
마스터스	gospodar
마스터스	master
마스터스	majstor
토양	tlo
토양	tlu
레이첼	rachel
레이첼	rachael
아론	harun
아론	aron
신념	vjera
신념	uvjerenja
신념	vjerovanja
신념	vjerovanje
신념	vjerovanja
얼티밋	krajnji
변조	modulation
플라즈마	plazma
플라즈마	plazme
복음	evanđelje
복음	uputa
우표	pečat
우표	poštanska
조앤	joan
오리온자리	orion
오리온자리	oriona
소수점	decimalna
소수점	decimals
타악기	udaraljke
썬더	grom
마샬	maršal
라이징	rastuće
셰이크	šejh
창문	prozor
댄싱	plesu
댄싱	ples
저수지	reservoir
슈가	šećer
관리하기	upravljanje
버뮤다	bermudi
정보상자	infobox
정보상자	infoboxes
피사	pisa
체스터	chester
리오넬	lionel
판도라	pandora
인터럽트	organizatore
인터럽트	prekida
매스	masa
인디애나폴리스	indianapolis
주님	gospodara
주님	gospodar
주님	gospod
주님	gospodaru
주님	lord
마돈나	madonna
반영	odražavati
반영	odražavaju
반영	odraz
인플루엔자	gripa
인플루엔자	gripe
자바스크립트	javascript
마르티네스	martinez
전시관	izložba
전시관	izložbe
콜롬보	colombo
암살자	ubica
알랭	alain
코스모스	kosmosa
더럼	durham
세타	theta
시아파	šiita
궁궐	palata
궁궐	palača
미묘한	suptilna
퓨전	fusion
캄차카	kamčatka
랭커스터	lancaster
일하기	radna
일하기	radi
일하기	radeći
일하기	radio
일하기	radnu
프레이저	fraserovo
마커스	marcus
슈테판	stefan
슈테판	stephan
아나키즘	anarhizam
사보이	savoy
애비뉴	avenue
다운타운	centru
알칼리	bazno
바라며	nadaju
기쁨	radost
기쁨	zadovoljstvo
뉴펀들랜드	newfoundland
헌장	povelja
클러스터	jato
클러스터	skupovi
클러스터	skupova
핼리팩스	halifax
첸나이	chennai
프록시	proxy
바스	kupanje
핵분열	fisija
인피니트	beskonačno
아무나	svakoga
아무나	svako
아무나	neko
아무나	iko
스텔라	stella
릴리즈	puštanje
릴리즈	oslobađanje
제라드	gerrard
제라드	gerard
아바스	abbas
아바스	abbasa
궁수자리	strijelac
클레오파트라	kleopatra
시편	psalm
시편	zebur
잉카	inka
카라카스	caracas
도도	stepena
도도	stepeni
서식	formatting
산토스	santos
크라쿠프	kraków
산책	hod
플라잉	leteći
제롬	jerome
패트리어트	patriot
패트리어트	patriota
미학	estetika
미학	estetiku
물품	dobara
물품	robu
물품	roba
그리기	crtež
헤라클레스	herkules
용품	zalihe
용품	zaliha
용품	opskrbljuje
용품	namirnica
콘스탄티노스	konstantin
서포터	pristalica
서포터	pomagač
마술	sihr
마술	sihr
부담	teret
폭력적인	nasilno
그리니치	greenwich
허락	dozvolu
네덜란드인	holandija
네덜란드인	holanđanin
네덜란드인	holandski
본드	bondu
섹터	sektor
섹터	sektore
섹터	sektora
섹터	sektori
우주인	astronaut
장벽	barijere
장벽	barijera
비와	biwa
강조	isticanja
강조	istaknuta
강조	naglasak
강조	naglašavajući
강조	intenzitet
리브	liv
리브	reeve
탐구	istraga
탈선	prekidom
포춘	bogatstvo
수염	brade
수염	brada
미쳐	ludi
미쳐	lude
미쳐	lud
미쳐	ludo
트리오	trio
본질	suštinu
본질	suštini
본질	srž
리젠시	regency
돼지고기	svinjetina
욕망	želju
욕망	želja
욕망	lust
욕망	strastima
욕망	želje
매뉴얼	uputstvo
매뉴얼	priručnik
챌린저	izazivač
킹덤	kraljevina
킹덤	kraljevstvo
안전성	bezbjednost
안전성	bezbjednosti
안전성	sigurnost
우산	krovna
우산	kišobranom
남방	južni
서커스	cirkus
컴파일	compilation
이브라힘	ibrahim
볼링	bowling
초과	višak
향수	nostalgični
향수	parfema
브라질인	brazilci
국민투표	referendum
페가수스자리	pegaz
가와구치	kawaguchi
서스펜스	napetost
셀틱	celtic
실무	praktične
실무	praktična
실무	praktični
수니파	sunitska
케이타	keita
술집	pub
이더넷	ethernet
포브스	forbs
돌고래	delfin
돌고래	delfini
고소	tužiti
퍼시	percy
실비아	sylvia
실비아	silvia
에볼루션	evolucija
올림피아	olimpiji
지니	ginny
지니	džini
권장	preporučuje
권장	preporučio
권장	preporučila
부관	zamjenik
부관	posthumno
조슈아	joshua
우즈	woods
가이아	gaia
신탁	trust
신탁	povjerenje
엉덩이	ass
엉덩이	hip
엉덩이	kukova
엉덩이	tur
빌뉴스	vilnius
웍스	radovi
웍스	funkcioniše
웍스	radi
셀프	ćelija
가봉	gabona
셔먼	sherman
인테리어	enterijera
인테리어	enterijer
상어	ajkule
상어	ajkula
근로자	radnici
근로자	radnika
근로자	radnik
응답	odgovor
응답	odgovor
응답	odgovor
대략적인	približnu
저널리즘	novinarstvo
조립	assemble
텅스텐	volfram
카불	kabul
앵글로	anglosaksonski
앵글로	anglo
로사리오	rosario
장점	prednosti
장점	prednost
오렌지색	orange
오렌지색	narandžasta
내시	nash
검사관	inspektor
등대	svjetionik
제이콥	jakov
차이콥스키	čajkovski
던지기	bacanje
던지기	baci
브롱크스	bronx
상상	imaginarni
상상	imaginarna
상상	zamisli
밀스	mills
카르타고	kartaga
통계학	statistika
통계학	statistička
통계학	statističke
커넥션	veze
커넥션	veza
서프라이즈	iznenađenje
픽션	fikcija
학업	akademik
학업	akademska
학업	akademske
혐오	gađenje
혐오	mržnja
혐오	mržnjom
혐오	mržnje
혐오	mržnja
혐오	mržnje
혐오	mrzim
혐오	hate
혐오	mrze
블라인드	slijepa
등산	penje
등산	usponom
혼슈	honshū
착용	nose
레베카	rebeka
천장	plafonu
페라리	ferrari
다면체	poliedar
슈트라우스	strauss
아우크스부르크	augsburg
하든	harden
옴니아	omnia
모리셔스	mauricijusa
신용카드	kredit
러닝	traje
러닝	teče
대리석	mramor
노르만	norman
노르만	normana
계란	jaja
계란	jaje
렉스	rex
자비	milosti
자비	milost
핸드	šaka
외모	pojavljivanja
외모	izgled
보행자	pješački
보행자	pješaka
보행자	pješak
보행자	pješake
이르쿠츠크	irkutsk
미네르바	minerva
노블	plemeniti
형제들	braće
형제들	braća
행진곡	mart
외로운	lonely
외로운	usamljeni
트레이시	tracy
팔이	ruka
프레스턴	preston
벽돌	cigli
벽돌	cigla
라이	lai
파라나	parana
폴란드인	poljaci
백금	platina
하인	sluga
캘린더	kalendar
사이공	saigon
재규어	jaguar
걷기	walking
걷기	hod
카를스루에	karlsruhe
사바나	savannah
바지	pantalone
바지	pantalone
바지	hlače
라플라스	laplace
설득	uvjere
설득	uvjeriti
광업	rudarstvo
페가수스	pegaz
부트	but
애슬론	athlon
써니	sunčan
써니	sani
타타르	tatarski
니카라과의	nikaragve
아크라	accra
어려움	poteškoća
어려움	teškoće
어려움	poteškoće
어려움	poteškoća
어려움	teškoće
어려움	teškom
어려움	teški
어려움	težak
어려움	teško
어려움	teška
껍질	ljuske
껍질	shell
껍질	peel
네트워킹	umrežavanja
네트워킹	povezivanje
완화	ublažavanje
완화	olakšavanju
그리드	mreži
클랜시	clancy
파이어니어	pioneer
파이어니어	pionir
탱고	tango
윌리스	willis
회귀	nazadovanje
텐서	tensor
언리얼	nestvarno
떠나기	napustiti
떠나기	ostavi
떠나기	napusti
떠나기	odlazak
떠나기	napušta
