and	그리고
with	함께
from	출신
this	이거
utc	utc
utc	표준시
his	그의
not	아님
talk	talk
which	어느
also	또한
but	그런데
but	그러나
but	근데
but	하지만
one	하나
first	우선
first	퍼스트
first	처음
first	먼저
page	페이지
you	당신은
you	귀하
you	당신
they	그들이
they	그들은
article	기사
who	who
all	모두
all	전체
their	그들의
there	거기
there	거기에
made	made
made	만든
people	국민
people	사람
people	명인
people	사람들
other	기타
other	다른
two	두두
two	두분
score	점수
score	득점
her	그녀
her	그녀의
more	기타
she	그녀
she	그녀는
about	소개
about	대략
when	언제쯤
when	언제
time	시간
time	타임
time	time
team	team
american	아메리칸
american	미국인
discussion	토론
discussion	논의
links	링크
only	단발
only	오직
some	일부
united	united
united	유나이티드
years	수년
school	학교
school	학교는
school	스쿨
school	학원
world	월드
world	세상
world	세계
university	대학교
university	대학
out	아웃
state	상태
state	국가
national	국립
national	내셔널
national	국민
wikipedia	위키백과의
wikipedia	위키백과
year	year
year	연도
most	대부분의
most	대부분
city	도시
city	시티
used	사용함
used	사용됨
used	사용
then	그렇다면
then	그러면
then	그때
external	외부
where	어디서
where	어디
where	어디에
where	어디로
delete	삭제
delete	지우기
delete	삭제하기
january	일월
march	행진
march	행진곡
august	아우구스트
film	필름
film	영화
him	그를
many	많은
south	남부
south	사우스
south	남쪽
september	구월
use	이용하기
use	사용하기
use	사용
use	이용
use	사용하다
war	전쟁
them	그들
april	에이프릴
april	사월
born	born
born	출생
born	탄생
link	링크
while	동안
later	나중에
part	부분
part	부품
part	파트
players	플레이어
players	선수
players	플레이어스
list	리스트
list	목록
list	명단
please	부탁합니다
following	팔로우
known	알려진
second	둘째
second	두번째
name	이름
group	그룹
group	집단
history	역사
history	내역
history	히스토리
history	기록
series	시리즈
just	단지
just	그냥
north	북부
north	북쪽
north	노스
work	퇴근
work	직장
work	작업
before	이전
before	전에
since	언제부터
since	이후
since	이후부터
season	시즌
season	계절
both	둘다
high	높음
high	하이
through	통해
now	이제
now	지금
comments	댓글
because	왜냐면
because	왜냐하면
football	축구
football	미식축구
football	풋볼
music	음악
music	뮤직
diff	diff
diff	차이점
century	세기
league	동맹
league	리그
edits	편집
edits	수정
debate	토론
debate	논쟁
title	타이틀
title	제목
articles	기사
same	같은
same	동일
same	똑같이
including	포함
english	영어
english	잉글리시
album	앨범
album	음반
number	숫자
number	번호
family	가족
family	가족과
family	패밀리
user	사용자
based	기반
based	기반으로
area	구역
area	영역
area	지역
area	면적
york	요크
life	생명
life	생활
life	라이프
life	인생
british	브리티시
british	영국인
british	영국
international	국제
international	인터내셔널
game	게임
game	경기
club	클럽
early	초기
early	일찍
best	최고
best	베스트
west	서쪽
west	서부
west	웨스트
house	하우스
company	회사
company	컴퍼니
company	기업
general	장군
general	일반
general	일반인
left	좌파
left	왼쪽
very	아주
very	매우
here	여기
here	여기에
don	don
living	생활
day	하루
day	데이
several	여러개
place	장소
party	party
party	파티
college	대학교
college	대학
college	칼리지
college	대학생
result	결과
keep	유지
subsequent	후속
even	심지어
even	조차도
class	학급
class	계급
class	클래스
class	수업
government	정부
how	어떻게
each	각각
found	찾았다
found	찾았습니다
found	발견됨
center	중앙
center	중심
center	센터
style	스타일
com	com
country	나라
country	국가
country	시골
country	컨트리
back	다시
back	뒤로
way	웨이팅
way	way
way	웨이
www	www
modify	수정
end	종료
end	끝내기
make	make
public	공공
public	공개
public	공중
another	또다른
released	발매
released	개봉
added	추가되었습니다
added	추가됨
support	지원
support	지지
support	후원
games	게임
films	필름
films	영화
church	교회
east	동부
east	이스트
east	동쪽
line	라인
major	전공
major	메이저
members	멤버
members	구성원
members	멤버들
good	좋다
much	많이
much	훨씬
image	그림
image	이미지
show	표시
show	보이기
show	공연
still	아직도
still	여전히
think	생각하기
think	생각
below	아래쪽
below	아래
below	아래에
town	시내
town	도시
town	타운
town	마을
last	마지막
last	라스트
system	체계
system	시스템
right	오른쪽
song	송송
song	노래
section	섹션
single	싱글
single	단일
included	포함
included	포함됨
align	정렬
home	집에
home	고향
home	집으로
home	가정
women	여자들
women	여자
women	여성
television	텔레비전
seed	시드
seed	seed
seed	씨앗
member	멤버
member	회원
goals	목표
sources	소스
sources	출처
station	역시
order	순서
order	주문
old	늙은
old	오래된
information	정보
set	집합
set	세트
set	설정
own	소유
text	텍스트
text	문자
text	문구
band	밴드
point	지점
point	포인트
local	로컬
local	현지
around	주위
around	주변
top	인기
top	top
main	메인
language	언어
french	프랑스
french	프랑스어
french	프렌치
french	프랑스인
https	https
off	끄기
note	노트
note	참고
career	경력
career	직업
career	커리어
original	원본
original	오리지널
age	연령
age	나이에
age	나이
service	서비스
established	설립
said	말했다
website	웹사이트
population	인구순
population	인구
air	항공
air	에어
air	공기
german	독일
german	독일인
german	독일어
law	법칙
law	법률
law	법학
military	군사
clubs	클럽
published	게시
published	출판
published	출판됨
president	회장
president	대통령
park	파크
park	공원
official	공식
official	official
case	대소문자
case	케이스
case	사례
london	런던
times	타임스
times	타임즈
although	비록
small	작아
small	소작
third	세번째
third	셋째
different	달라
different	다름
different	다르다
get	get
get	받기
village	빌리지
village	마을
closed	비공개
closed	닫힌
art	예술
art	미술
art	아트
player	플레이어
player	재생기
player	선수
final	기말고사
final	파이널
final	결승전
community	커뮤니티
community	공동체
again	다시
again	또다시
army	육군
army	군대
without	without
death	죽음
death	사망
death	데스
men	멘트
men	남성
men	남자
large	대형
site	사이트
using	사용하기
white	하얀
white	화이트
white	흰색
white	하얀색
white	하얗게
five	다섯
five	파이브
central	중부
central	센트럴
road	도로
road	로드
children	아동
children	어린이들
children	자녀
children	어린이
children	아이들
free	free
free	무료
free	자유
england	잉글랜드
include	포함
association	협회
down	다운
down	아래로
given	주어진
source	소스
source	원본
source	출처
california	캘리포니아
man	남자
man	남성
man	사람
version	버전
written	서면
created	생성
created	만들었습니다
media	미디어
black	검은색
black	검정
black	검정색
black	블랙
php	php
report	신고
report	보고서
report	보고
building	건물
building	건축
building	빌딩
take	take
division	사단
division	디비전
comment	댓글
comment	코멘트
edit	편집
edit	편집하기
edit	수정
stadium	경기장
stadium	스타디움
ship	선박
research	조사
research	연구
record	레코드
record	녹음
record	녹화
record	기록
archive	아카이브
archive	보관
places	음식점
places	장소
undo	취소
cup	cup
records	레코드
often	자주
few	몇몇
received	받았습니다
received	받은
received	받음
side	측면
side	사이드
power	파워
power	전력
power	권력
education	교육학
education	교육
education	학력
category	카테고리
category	범주
category	분류
water	물이
water	워터
political	정치
political	정치적
species	종족
field	필드
field	현장
near	근처
australia	오스트레일리아
australia	오스트레일리아의
video	동영상
video	비디오
form	형식
form	형태
form	양식
find	찾기
play	놀기
play	재생
play	연주
play	플레이
project	프로젝트
radio	라디오방송
radio	라디오
works	웍스
works	작동
works	작품
every	꼴찌
development	개발
development	발달
example	예제
example	예시
live	생방송
live	라이브
union	동맹
union	연맹
union	유니언
union	연합
india	인디아
india	인도
next	다음
next	넥스트
special	특수
special	특별한
special	스페셜
special	특별
court	법정
court	재판소
court	법원
region	지방
region	지역
little	리틀
short	짧게
short	쇼트
short	짧은
william	윌리엄
western	웨스턴
western	서부
western	서양
son	아들
france	프랑스
council	협의회
council	평의회
others	기타
royal	로열
royal	로얄
current	현재
current	전류
street	거리가
street	스트리트
street	거리
street	길거리
full	가득
red	붉은
red	붉은색
red	레드
red	빨간색
red	빨강
department	부서
help	도움
help	도움말
james	제임스
open	오픈
open	열기
force	강제
force	포스
position	직위
position	위치
position	포지션
head	헤드
head	머리
director	디렉터
director	감독
father	아버지
track	트랙
track	추적
http	http
canada	캐나다
never	절대
never	never
never	절대로
australian	오스트레일리아
australian	오스트레일리아의
george	조지
george	죠지
jpg	jpeg
jpg	jpg
level	레벨
level	수준
late	늦은
late	지각
late	늦게
summer	여름
society	사회
moved	감동
office	사무소
office	사무실
office	오피스
period	기간
period	시대
period	주기
championship	챔피언십
championship	챔피언쉽
round	라운드
story	이야기
story	스토리
story	소식
songs	노래
songs	songs
file	파일
days	데이즈
land	육지
land	랜드
business	업체
business	사업
business	비즈니스
reason	이유
america	아메리카
million	백만명
million	백만
term	용어
six	여섯
post	게시
post	게시글
post	포스트
post	게시물
produced	제작
subject	주제
subject	제목
young	영영
young	젊은
total	총액
total	전체
david	데이비드
david	다윗
david	데이빗
david	다비드
science	사이언스
science	과학
related	관련
rock	바위
rock	rock
railway	철도
led	led
students	학생
students	학생들
students	유학생
started	시작되었습니다
started	시작했습니다
started	시작됨
news	뉴스
news	소식
role	역할
election	선거
albums	앨범
albums	음반
present	현재
present	선물
indian	인도인
indian	인도
indian	인디언
kingdom	왕국
kingdom	킹덤
important	중요
important	중요하다
northern	북부
love	러브
love	사랑
run	달려
run	실행
run	달리기
run	런닝
canadian	캐나디안
canadian	캐나다인
press	프레스
press	누르기
type	형식
type	타입
type	종류
type	유형
act	act
editor	편집기
editor	편집자
editor	에디터
schools	학교
