znamenitosti	palatandaan
markus	markus
talas	alon
sierra	sierra
bush	bush
upada	raid
pjevao	sang
slab	mahina
hitovi	hits
alexis	alexis
banda	gang
krista	krista
jelo	ulam
pilota	pilots
hiv	hiv
koplja	spears
koplja	javelin
bra	bra
lakers	lakers
pušenje	naninigarilyo
pušenje	paninigarilyo
ilirska	illyrian
churchill	churchill
direktan	direktang
direktan	direct
direktan	direkta
siciliji	sicilia
mergedrow	mergedrow
okoliša	kapaligiran
allahu	god
allahu	diyos
théâtre	théâtre
boli	masakit
sdp	sdp
otkrije	tuklasin
otkrije	tumuklas
otkrije	matuklasan
otkrije	natuklasan
kum	ninong
operativnu	nagpahayag
papua	papua
kriterij	criterion
stepa	steppe
pijanist	pianist
misty	misty
administracija	pangangasiwa
administracija	pangasiwaan
čarobnjak	wizard
suđenja	trials
tragovima	yapak
upravljaju	pinamamahalaan
theodor	theodor
udp	udp
paz	paz
ikona	imahen
ikona	icon
glad	kagutuman
glad	gutom
parc	parc
planirana	binalak
access	access
stalnih	matiyaga
stalnih	nonstop
principi	prinsipyo
izgubi	mawalan
izgubi	mawala
izgubi	mawawalan
homer	homer
republikanska	republican
classic	classic
classic	klasikong
classic	klasiko
gandhi	gandhi
jednaki	pantay
izdavanje	issuing
hubble	hubble
einstein	einstein
civilna	civil
civilna	sibil
civilna	civilian
teritorijalna	teritoryal
stabilan	matatag
stabilan	stable
emily	emily
nosača	carrier
kuna	kuna
dođu	dumating
dođu	darating
dođu	lumapit
attr	attr
operacijama	operations
operacijama	operasyon
hepburn	hepburn
ribolov	pangingisda
naboj	singil
naboj	charge
siva	gray
siva	abo
siva	grey
kane	kane
šupljina	cavity
pokrivaju	cover
pokrivaju	pabalat
pokrivaju	takpan
osmi	ikawalong
hamlet	hamlet
bekr	bakr
wimbledon	wimbledon
udata	kasal
udata	ikinasal
udata	pinakasalan
skladištenje	imbakan
skladištenje	storage
idejama	ideya
obnovio	nabago
obnovio	renew
ponuda	alok
ponuda	offer
ekspedicija	tiki
rumunski	romanian
tvorac	gumawa
tvorac	lumikha
tvorac	creator
puteve	pathways
studijama	araling
studijama	aral
upravnik	warden
budizam	budismo
čovječnosti	sangkatauhan
potpuna	complete
potpuna	kumpletuhin
potpuna	kompleto
potpuna	kumpleto
kasiopeja	cassiopeia
logos	logo
princeton	princeton
izdavačke	paglalathala
izdavačke	publishing
arheološka	archaeological
levi	levi
mečeva	tumutugma
brz	mabilis
brz	kabilis
brz	fast
leslie	leslie
uzorak	sample
uzorak	halimbawa
melbourne	melbourne
vjerskim	relihiyoso
govornika	nagsasalita
odabran	napili
odabran	pinili
odabran	piling
izvrši	maipatupad
izloženi	nakalabas
basic	basic
wallis	wallis
držala	hinawakan
držala	gaganapin
ograničeni	nakakulong
gómez	gómez
kornjača	pagong
čeljusti	kuko
jabuke	mansanas
jedinstveno	natatanging
jedinstveno	kakaibang
jedinstveno	unique
jedinstveno	natatangi
uzimajući	nagtatagal
tajno	palihim
jutro	umaga
jutro	morning
ostvaruju	pairalin
ostvaruju	ituloy
roosevelt	roosevelt
pokrenuta	inilunsad
deutsche	deutsche
auguste	auguste
roberts	roberts
vista	vista
lociran	matatagpuan
kontinentalno	inland
advokat	abugado
advokat	attorney
advokat	abugado
advokat	abogado
shell	shell
mehanika	mechanics
fer	fer
fer	patas
prolaza	pasilyo
ltd	ltd
carlsen	carlsen
nazvane	pinangalanang
nazvane	pinangalanan
nazvane	nagngangalang
objavljivanje	publikasyon
objavljivanje	publication
sony	sony
avanture	adventures
bros	bros
organska	organic
trend	uso
trend	trend
bogovima	gods
pažljivo	maingat
