در	dveře
رده	třída
رده	třídy
از	ze
از	od
که	ktery
که	kdo
که	který
که	koho
که	who
که	to
که	že
این	tento
این	toto
این	tohle
را	učinit
را	udělat
را	vyrobit
میلادی	desetiletí
میلادی	dekády
یک	jedno
یک	jednu
یک	jeden
یک	jedna
سال	léta
سال	roků
سال	let
سال	roky
سال	sale
سال	sal
سال	roku
سال	rok
سال	ročník
سال	roce
آن	anne
آن	anna
ایران	írán
برای	pro
برای	za
اهل	ahl
شهرستان	hrabství
شهرستان	okres
آمریکا	amerika
آمریکا	ameriko
آمریکا	ameriky
فهرست	katalog
فهرست	katalogu
فهرست	seznam
فهرست	katalog
فهرست	katalogu
بود	bylo
بود	byl
بود	byla
دارد	má
او	ona
او	jeho
او	jeho
او	nej
او	ho
او	její
او	jí
او	ji
او	ní
تا	májový
تا	máj
تا	květen
تا	května
تا	dokud
تا	dokud
وابسته	závislé
وابسته	závislý
وابسته	závislá
وابسته	přidružené
وابسته	související
فوتبال	fotbal
فوتبال	fotbal
ساعت	hodin
ساعت	hodiny
ساعت	hodinu
ساعت	hodinový
ساعت	hodinka
ساعت	hodina
ساعت	hodinové
ساعت	hodiny
پایه	základ
پایه	nadace
پایه	základy
پایه	základ
پایه	základna
پایه	základ
پایه	báze
پایه	základnu
پایه	základy
پایه	základní
نام	jméno
نام	jmeno
نام	name
نام	název
استان	provincie
استان	provincii
استان	region
استان	regionu
استان	oblast
استان	kraj
شهر	město
شهر	městečko
شهر	město
ملی	vnitrostátní
ملی	celostátní
ملی	národní
کشور	zemi
کشور	země
تاریخ	datum
تاریخ	rande
تاریخ	dějiny
تاریخ	dějepis
تاریخ	historie
تاریخ	historii
فیلم	filmová
فیلم	film
فیلم	filmová
فیلم	film
فیلم	filmy
فیلم	kina
بخش	odbor
بخش	oddělení
بخش	sektor
بخش	odvětví
بخش	sektoru
بخش	sekci
بخش	úsek
بخش	oddíl
بخش	sekce
بخش	okres
بخش	okrsek
جمعیت	dav
جمعیت	davy
جمعیت	dav
جمعیت	zástup
جمعیت	davu
جمعیت	obyvatelstvo
جمعیت	populace
دو	dva
دو	dvě
دو	dvojka
