категория	kategória
для	for
как	hogyan
как	mint
как	like
как	tetszik
был	volt
его	őt
его	neki
также	szintén
также	egyben
также	úgyszintén
это	ezt
это	ez
это	ez
после	után
после	after
после	miután
после	utána
области	térségek
области	területek
год	évjárat
год	éve
год	évi
год	év
было	volt
время	ideje
время	időpont
время	idő
состав	összetétel
состав	összetétele
была	volt
место	folt
место	foltos
место	hely
место	helyszín
место	hely
место	elhelyezkedés
были	voltak
район	környéken
район	szomszédság
район	környék
район	körzet
район	járás
район	kerület
район	terület
район	környék
вид	faj
вид	állatfaj
вид	fajok
вид	megtekintés
вид	kilátás
вид	nézet
под	alatt
под	alatta
под	alá
только	csak
только	kizárólag
только	csak
язык	nyelve
язык	nyelv
язык	nyelv
ссср	szovjetunió
районе	környéken
районе	szomszédság
районе	környék
код	kód
более	több
более	more
более	további
более	tobb
мая	may
мая	május
мая	májusi
мая	májusban
дата	dátum
дата	időpont
ноября	november
ноября	novemberi
ноября	novemberben
деревня	település
деревня	falusi
деревня	falu
где	hol
где	ahol
января	januári
января	január
января	januárban
марта	marta
марта	martha
марта	március
марта	márciusi
все	mindent
все	minden
все	mindegyik
все	mind
все	minden
все	mindenki
все	mindenkinek
августа	augusztusban
августа	august
августа	augusztus
августа	augusta
том	tomi
том	tom
октября	októberi
октября	októberben
октября	október
сентября	szeptemberben
сентября	szeptember
сентября	szeptemberi
статьи	árucikkek
статьи	cikkek
уже	már
уже	máris
июня	júniusi
июня	june
июня	június
июня	júniusban
апреля	april
апреля	április
апреля	áprilisi
апреля	áprilisban
сша	usa
который	ami
который	melyik
который	mely
который	amely
название	neve
название	név
название	cím
название	címe
название	beosztás
поселение	megegyezés
поселение	elszámolási
поселение	rendezés
поселение	egyezség
поселение	település
поселение	elszámolás
человек	személy
человек	személyre
человек	ember
человек	emberi
человек	férfi
человек	ember
смерти	halálesetek
смерти	haláleset
лет	évek
лет	év
февраля	februárban
февраля	februári
февраля	február
они	ők
того	togo
города	city
города	városi
города	város
города	városok
города	városok
города	városokat
может	talán
может	lehetne
может	tud
может	can
может	lehet
войны	háborúk
войны	háború
можно	tud
можно	can
можно	lehet
когда	mikor
когда	amikor
однако	azonban
однако	mindamellett
однако	mindazonáltal
однако	azonban
которые	ami
которые	melyik
которые	mely
которые	amely
высота	magasság
высота	magassága
высота	magasság
переписи	népszámlálás
переписи	népszámlálás
село	település
село	falusi
село	falu
стал	lettem
стал	lett
стал	vált
статья	árucikk
статья	cikk
род	rúd
род	rod
один	egyedül
один	odin
один	egy
без	nélkül
без	anélkül
реки	folyami
реки	folyó
реки	folyók
реки	rivers
между	között
статус	állapot
статус	státusz
населения	populáció
населения	népesség
населения	lakosság
годы	évek
годы	év
через	via
через	keresztül
через	át
национальный	nemzeti
национальный	országos
национальный	national
область	tartomány
область	tartományban
область	régió
область	régiók
область	terület
область	környék
список	jegyzék
список	lista
сельское	vidék
сельское	vidéki
сайт	weboldal
сайт	honlap
сайт	webhely
сайт	helyszín
сайт	helyén
сайт	webhely
века	évszázadok
века	évszázadokkal
официальный	hivatalos
официальный	tisztviselő
часть	részben
часть	rész
часть	része
против	ellene
против	ellen
этот	ezt
этот	ez
будет	will
будет	fog
будет	akarat
несколько	számos
несколько	többszörös
несколько	többszörösen
несколько	valamennyire
несколько	némileg
город	városban
город	town
город	város
город	city
город	városi
город	város
мира	béke
мира	mira
первое	először
первое	első
части	alkatrész
части	alkatrészek
части	részek
описание	megnevezés
описание	leírása
описание	leírás
всего	teljes
всего	összesen
первый	először
первый	első
среди	között
файл	fájl
файл	file
файл	akta
карты	kártyák
карты	lapok
карты	kártya
карты	térkép
карты	térképeket
карты	térképek
два	kettő
всех	mindegyik
всех	mind
всех	minden
всех	mindenki
всех	mindenkinek
раз	egyszer
там	ott
территории	területek
второй	másodszor
второй	másodperc
второй	második
очень	nagyon
карта	térkép
карта	térképet
карта	kártya
площадь	plaza
площадь	square
площадь	szögletes
площадь	négyzetes
площадь	tér
площадь	négyzet
площадь	terület
площадь	környék
всё	mindent
всё	minden
даже	még
затем	akkor
затем	aztán
группы	csoport
группы	csoportban
группы	csoportok
группы	csoportoknak
основания	indokok
размер	mérete
размер	méret
поселения	telepek
поселения	települések
почтовый	postai
над	vége
над	át
страны	ország
страны	országban
страны	országokban
страны	országok
ему	őt
ему	neki
входит	belép
индекс	index
индекс	mutató
улица	utca
население	demográfiai
население	populáció
население	népesség
население	lakosság
работы	munkahelyi
работы	munka
имена	nevek
имена	neveket
вместе	együtt
здесь	itt
истории	történetek
истории	történeteket
истории	mesék
истории	bejegyzések
истории	történelme
истории	előzmények
истории	történelem
которая	ami
которая	melyik
которая	mely
которая	amely
александр	alexandre
александр	sándor
александр	alexander
армии	sereg
армии	hadsereg
деление	hadosztály
деление	körzet
деление	részleg
деление	divízió
хотя	habár
хотя	bár
хотя	habár
хотя	bár
кроме	kivéve
игроки	játékosok
игроки	szereplők
другие	egyéb
другие	más
другие	másoknak
другие	egyéb
другие	mások
другие	egyebek
история	sztori
история	történet
история	story
история	története
история	mese
история	történelme
история	előzmények
история	történelem
себя	magam
себя	magad
совета	tanács
фильм	filmet
фильм	mozi
фильм	film
фильм	fólia
фильм	film
рождения	születés
рождения	születési
рождения	szülés
пункты	tárgyak
пункты	tételek
пункты	elemek
пункты	bekezdés
пункты	bekezdések
времени	ideje
времени	időpont
времени	idő
участник	tag
участник	résztvevő
страница	oldalt
страница	oldal
участие	bevonása
участие	részvétel
участие	részvétel
википедии	wikipédia
три	három
человека	ember
человека	emberi
автор	író
автор	szerző
республики	köztársaság
внутреннее	belső
внутреннее	belső
эти	ezek
эти	ezeket
статей	árucikkek
статей	cikkek
случае	ügy
случае	case
случае	eset
центр	középre
центр	központ
центр	center
центр	középre
центр	központ
центр	centrum
округ	megyei
округ	megye
округ	körzet
округ	járás
округ	kerület
жизни	élet
жизни	életem
жизни	life
жизни	él
жизни	életek
генерал	általános
генерал	tábornok
родился	született
родился	megszületett
союза	union
союза	unió
