teolog	teolog
dizajniran	navrženo
dizajniran	navržený
dizajniran	konstruované
dizajniran	navrhl
dizajniran	navržené
mart	mart
mart	martu
neutrona	neutrony
pallas	pallas
mlad	mladá
mlad	mladé
mlad	mladý
mlad	young
mlad	mladí
ponavlja	opakuje
kritički	kriticky
miro	miro
hansen	hansen
hasan	hasan
hasan	hassan
vožnje	atrakce
vožnje	jízdy
vožnje	jezdí
run	rune
rog	roh
rog	horn
antonija	antonia
antonija	antonius
prisiljeni	donutil
prisiljeni	donucen
prisiljeni	nucené
posude	hrnce
frankfurt	frankfurtu
zabrana	zakázat
zabrana	zákaz
oblak	oblak
oblak	mrak
oblak	cloud
projektil	projektil
projektil	střela
projektil	raketa
herbert	herbert
vijetnamu	vietnamu
vijetnamu	vietnam
slatina	slatina
chang	chang
bibliografija	bibliografie
upale	zánětu
upale	zánět
carla	carla
carla	carlo
carla	carlu
paolo	paolo
odgovornosti	odpovědnosti
odgovornosti	zodpovědnost
odgovornosti	povinnosti
odgovornosti	odpovědnost
odgovornosti	zodpovědnost
odgovornosti	odpovědnost
odgovornosti	zodpovědnost
odgovornosti	odpovědnost
rođak	příbuzná
rođak	relativně
rođak	relativní
rođak	příbuzný
rođak	sestřenice
rođak	bratranec
reformi	reformy
završi	dokončit
operi	opera
operi	opery
operi	operu
operi	umýt
operi	mytí
slava	chvála
slava	chválím
slava	sláva
slava	slávy
slava	slávu
slava	sláva
slava	slávu
slava	glory
odabrao	vybral
bubrega	ledvin
bubrega	ledvina
bubrega	ledviny
bubrega	ledvinu
doprinosa	příspěvky
doprinosa	příspěvků
jača	silnější
pustinja	pouště
pustinja	poušti
pustinja	poušť
pustinja	pouštní
zaklada	nadace
zaklada	základy
zaklada	základ
pojmovi	pojmy
ustavom	ústava
ustavom	ústavy
mey	mey
trup	trup
trup	trupu
lokaciju	lokace
lokaciju	místo
lokaciju	poloha
lokaciju	umístění
lokaciju	lokalita
evanđelje	evangelium
sims	sims
sims	simms
zmaja	draku
zmaja	drak
domaća	domácí
domaća	domácí
atentat	zavraždění
atentat	atentát
single	svobodná
single	jednotné
single	singl
single	svobodný
zločini	zločiny
balkanu	balkán
balkanu	balkánu
brunner	brunner
jupiter	jupiter
born	bourne
pomogla	pomohli
pomogla	pomáhal
pomogla	pomohly
pomogla	pomohl
pomogla	pomohla
strategija	strategie
strategija	strategii
balkan	balkán
balkan	balkánu
balkan	balkán
balkan	balkánu
peć	sporák
peć	kamna
peć	peci
peć	pec
peć	troubu
peć	trouba
peć	pec
peć	trouby
ramena	ramena
pablo	pablo
regionalni	oblastní
regionalni	regionální
letove	lety
predaja	kapitulace
protivnici	soupeři
protivnici	odpůrci
bizantskog	byzantský
pločica	dlaždice
morgan	morganová
morgan	morgana
morgan	morgan
pretrpio	vydržel
pretrpio	trpěli
pretrpio	trpěla
pretrpio	trpěl
holmes	holmes
holmes	holmese
anemone	sasanka
pojavljivanje	vzhled
izvoz	export
izvoz	vývoz
izvoz	export
izvoz	exportovat
izvoz	vývoz
freske	fresky
rođeni	narodil
rođeni	narozena
rođeni	narozen
godišnjice	výročí
blokada	zátaras
blokada	zátarasy
blokada	blokádu
teleskopa	teleskopy
adaptacija	přizpůsobování
adaptacija	adaptace
adaptacija	přizpůsobení
izumitelj	vynálezce
hoya	hoya
zaštitni	ochranný
zaštitni	ochranná
leti	létat
leti	moucha
leti	leť
leti	much
leti	mouchy
leti	letí
leti	létání
leti	létající
leti	lítání
etiopiji	etiopie
socijalno	společensky
socijalno	sociálně
objašnjenja	vysvětlení
objašnjenja	vysvětlivky
preuzimanje	stahování
preuzimanje	stáhnout
preuzimanje	stažení
preuzimanje	stahování
