enciklopedije	encyclopaedia
šerif	balju
ograničenje	beperk
kukuruz	mielie
turner	turner
psihologija	sielkunde
geometrija	afmetings
geometrija	meetkunde
pravno	legally
alfons	alfonso
libija	libië
klarinet	klarinet
prebačen	oorgedra
ostavi	los
ostavi	verlof
ostavi	verlaat
einar	einar
sistematski	sistematies
jamie	jamie
izložena	blootgestel
izložena	kaak
nafta	petroleum
nafta	nafta
željeznički	rail
željeznički	spoor
željeznički	spoorweg
željeznički	spoorlyn
luz	luz
šesnaest	sestien
šesnaest	sixteen
bomba	bomb
bomba	bom
lloyd	lloyd
stop	ophou
kuba	cuba
kuba	kuba
elektronska	elektronies
elektronska	elektroniese
dole	ondertoe
dole	neer
dole	af
instrumente	instruments
instrumente	instrumente
navare	viana
poručnik	luitenant
iure	jure
zaustavlja	ophou
nestala	ontbreek
nestala	vermis
nestala	afwesig
odsustvo	afwesigheid
tragova	voetspore
slobodi	loose
okružena	omring
spomenut	genoem
ponedjeljak	maandag
px}}	px}}
ofanziva	aanstootlik
geometrijski	geometriese
postotak	persentasie
panama	panama
spriječi	voorkom
datumi	datums
interese	belangstellings
panzer	panzer
izložen	blootgestel
izložen	kaak
kenneth	kenneth
izdavača	uitgewers
carska	imperial
tame	donkerte
počast	honour
počast	gestand
počast	eer
počast	tribute
počast	hulde
ozbiljne	ernstige
ozbiljne	ernstig
vice	vice
nuklearni	nuclear
prisiljeni	geforseer
prisiljeni	gedwing
hronika	chronicles
hronika	kronieke
prezentacija	voorlegging
prezentacija	presentation
metan	metaan
dubai	dubai
friends	vriende
kancelar	chancellor
britannica	britannica
born	gebore
poplave	vloede
ukrajinci	oekraïners
demokratija	demokrasie
vivo	vivo
schmidt	schmidt
reforma	hervorm
usmjeren	regie
usmjeren	gerig
profesionalne	professioneel
profesionalne	professionele
andersson	andersson
doors	deure
doors	doors
talasi	golwe
pobunjenika	rebels
pobunjenika	rebelle
pobunjenika	rebel
hronologija	tydlyn
lane	lane
nowrap	nowrap
sljedbenici	volgelinge
zalihe	voorrade
baterije	batterye
delfin	dolfyn
crtež	skets
crtež	tekening
grah	boontjie
grah	bean
plata	plata
darwin	darwin
oklopnih	armoured
inteligencija	intelligensie
hassan	hassan
memorija	geheue
memorija	herinnering
dizel	diesel
strategije	strategieë
noviji	nuwer
trave	gras
sirius	sirius
unix	unix
planova	reëlings
planova	planne
dem	dem
laboratorija	laboratoriums
laboratorija	laboratorium
laboratorija	laboratorium
laboratorija	lab
doza	hoeveelhede
doza	dose
robovi	slawe
din	din
din	dean
svuda	oral
svuda	orals
predaja	teruggawe
predaja	uitlewering
obnovu	hernuwing
obnovu	restourasie
obnovu	rehabilitasie
ključa	sleutels
senegal	senegal
chase	chase
nadh	nadh
sergei	sergei
otrov	poison
sutra	môre
sutra	more
konzul	consul
autorska	kopiereg
diane	diane
zahtjevi	versoeke
zahtjevi	vereistes
mostovi	bridges
mostovi	brûe
opremljen	toegerus
povuče	ontrek
bon	bon
počeci	beginnings
nasilje	geweld
povećane	toegeneem
povećane	verhoogde
tehnička	tegniese
beskonačno	oneindige
everton	everton
wells	wells
fran	fran
legio	legio
kate	kate
abo	abo
procjenu	beoordeling
move	beweeg
baterija	battery
blogs	blogs
kuvajt	kuwait
puk	regiment
spontano	spontaan
spontano	spontane
uništi	verwoes
uništi	vernietig
sveukupno	overall
promocija	promosie
mil	mil
gvatemala	guatemala
individualne	individuele
individualne	individu
sfere	sfere
palo	palo
uspješnu	suksesvol
uspješnu	suksesvolle
arterije	arteries
afrička	afrikaanse
afrička	afrikaan
afrička	afrika
afrička	african
slavni	bekende
slavni	beroemd
slavni	famous
rum	rum
moderno	stylvolle
baražu	reservoir
marx	marx
deklaracija	verklaring
alpsko	alpine
honduras	honduras
eriksson	eriksson
spasi	manlik
fan	waaier
fan	aanhanger
fan	bewonderaar
glagola	werkwoorde
ppm	ppm
ein	ein
muller	muller
hrom	chrome
hrom	chroom
hrom	chroom
caroline	caroline
svile	silk
drive	aandrywer
barij	barium
direktni	direk
direktni	rig
direktni	direkte
instalacija	installasie
poteškoće	woes
služiti	dien
služiti	bedien
dell	dell
adis	addis
vođen	begeleide
mrtvi	dooie
mrtvi	dood
stepenu	graad
šok	shocking
šok	shock
šok	skok
dijalekt	dialek
julian	julian
meša	mesa
take	neem
take	tree
take	vat
abdullah	abdullah
neill	neill
slavio	vier
utisak	indruk
utisak	besoek
infrastruktura	infrastruktuur
helij	helium
građanin	burger
građanin	citizen
čitava	hele
čitava	geheel
rft	rft
camille	camille
giorgio	giorgio
mašinski	mechanical
mašinski	meganiese
pčela	bee
cole	cole
siemens	siemens
aspx	aspx
parkovi	parke
vilnius	vilnius
selby	selby
formata	formateer
angelo	angelo
neda	ned
lorenzo	lorenzo
izumio	uitgevind
sihr	toor
sihr	magic
plivanju	swem
masi	skare
razvijao	ontwikkel
inicijativa	inisiatief
urbana	urban
urbana	stedelike
žiri	jury
havaji	hawaii
federalni	federale
federalni	federal
prepreka	hindernisse
prepreka	hindernis
preglednik	blaaier
lancaster	lancaster
birmingham	birmingham
xvii	xvii
mogućnostima	moontlikhede
proton	proton
commons	commons
protoka	vloei
protoka	flow
takmičar	mededinger
detalje	besonderhede
soko	falcon
soko	hawk
vega	vega
hunter	hunter
hunter	jagter
louvre	louvre
vlasništva	eienaarskap
ujedinjena	vereenigde
ujedinjena	united
ujedinjena	verenigde
erectus	erectus
srednjim	medium
bacač	pitcher
nordijska	norse
nordijska	nordic
