dan	그리고
dari	출신
ini	이거
dengan	함께
tahun	수년
tahun	year
tahun	연도
juga	또한
tidak	아님
indonesia	인도네시아
bagian	섹션
bagian	부분
bagian	부품
bagian	파트
bagian	섹션
bagian	부품
bagian	부분
spesies	종족
orang	사람
orang	국민
orang	사람
orang	명인
orang	사람들
luar	밖에서
luar	외부
luar	바깥
mereka	그들
mereka	그들이
mereka	그들은
satu	하나
score	점수
score	득점
kota	시내
kota	도시
kota	타운
kota	마을
kota	도시
kota	시티
kota	도시
pranala	링크
pranala	링크
pranala	하이퍼링크
karena	왜냐면
karena	왜냐하면
desa	마을
desa	빌리지
desa	마을
ada	거기
ada	거기에
ada	존재함
lebih	기타
nama	이름
nama	이름
kayu	나무
kayu	우드
kayu	목재
pertama	우선
pertama	퍼스트
pertama	처음
pertama	먼저
bahasa	언어
bahasa	언어
class	학급
class	계급
class	클래스
class	수업
asteroid	소행성
asteroid	소행성
lain	기타
lain	다른
lain	기타
besar	대형
film	필름
film	영화
film	영화
film	필름
film	영화
film	영화
saat	언제쯤
saat	언제
kelas	클래스
kelas	수업
kelas	학급
kelas	계급
kelas	클래스
kelas	수업
beberapa	다중
beberapa	여러개
beberapa	일부
salah	잘못된
salah	거짓
salah	가짜
negara	나라
negara	국가
negara	시골
negara	컨트리
negara	상태
negara	국가
biasanya	보통
biasanya	일반적으로
biasanya	일반적으로
kemudian	그렇다면
kemudian	그러면
kemudian	그때
kemudian	나중에
banyak	많은
banyak	많이
banyak	훨씬
kabupaten	리젠시
lalat	날아라
lalat	플라이
isi	콘텐츠
isi	컨텐츠
isi	내용
isi	목차
isi	콘텐츠
isi	내용
isi	채워
isi	fill
isi	채우기
daftar	리스트
daftar	목록
daftar	명단
barat	서쪽
barat	서부
barat	웨스트
barat	웨스턴
barat	서부
barat	서양
namun	그러나
wilayah	구역
wilayah	영역
wilayah	지역
wilayah	면적
wilayah	지방
wilayah	지역
wilayah	지역
wilayah	영토
wilayah	영토
wilayah	준주
tanggal	날짜
tanggal	데이트
tanggal	날짜
tanggal	데이트
dunia	월드
dunia	세상
dunia	세계
dunia	세계
timur	동부
timur	이스트
timur	동쪽
timur	동부
timur	동방
tempat	장소
tempat	음식점
tempat	장소
dua	두두
dua	두분
selatan	남부
selatan	남방
selatan	남부
selatan	사우스
selatan	남쪽
amerika	아메리칸
amerika	미국인
amerika	아메리카
amerika	아메리카
atas	윗쪽
atas	상위
kingdom	왕국
kingdom	킹덤
september	구월
anak	아들
anak	아동
anak	어린이들
anak	자녀
anak	어린이
anak	아이들
anak	아이유
species	종족
hidup	생명
hidup	생활
hidup	라이프
hidup	인생
hidup	alive
lagu	송송
lagu	노래
lagu	노래
lagu	songs
provinsi	지방
provinsi	지역
utara	북부
utara	북쪽
utara	노스
utara	북부
jawa	자바
jawa	자와어
daerah	지역
daerah	구역
daerah	영역
daerah	지역
daerah	면적
daerah	지방
daerah	지역
daerah	섹션
sekolah	학교
sekolah	학교
sekolah	학교는
sekolah	스쿨
sekolah	학원
hanya	단발
hanya	오직
hanya	단지
hanya	그냥
