maría	maría
vlk	vlk
vlk	wolf
algoritmus	algoritmus
algoritmus	algoritmu
jeruzalém	jeruzalem
jeruzalém	jeruzalema
jeruzalém	jeruzaleme
stručný	krátky
stručný	stručná
stručný	stručné
stručný	krátke
stručný	stručný
zásobování	zásoby
zásobování	zásobovanie
zásobování	dodávky
zásobování	zásobovanie
obviněn	obvinená
obviněn	obvinený
obviněn	obvinili
obviněn	obvinených
obviněn	obvinená
obviněn	obvinený
obviněn	nabitý
fórum	fórum
fórum	fór
fórum	fóra
fórum	fórum
fórum	fóra
fórum	forum
módní	módne
módní	fashion
módní	móda
módní	módna
módní	módy
knížecí	kniežací
papír	papiera
papír	papierové
papír	papier
papír	papierová
vrtulník	vrtuľník
vrtulník	helikoptéra
vrtulník	vrtuľník
lomu	lomu
strakonice	strakonice
bydlení	žijúci
bydlení	žijúce
bydlení	žiť
bydlení	bývania
bydlení	ubytovanie
bydlení	bývanie
ateliér	štúdia
ateliér	studio
ateliér	štúdio
trup	trup
trup	trup
trup	trupu
občany	občanov
občany	občania
lezení	lezenie
colorado	colorado
detaily	podrobnosti
detaily	detaily
tvrdé	tvrdá
tvrdé	tvrdo
tvrdé	silno
tvrdé	ťažké
tvrdé	ťažko
hrobka	hrobke
hrobka	hrobka
hrobka	hrob
hrobka	hrobky
hrobka	hrobku
kurzy	kurzy
kurzy	kurzov
finalista	finalistka
sdh	sdh
šestý	šiesta
šestý	šiestej
šestý	šieste
šestý	šiesty
inc	inc
sara	sara
sara	sára
sara	saru
pohádka	rozprávka
pohádka	rozprávkové
finské	fínsky
finské	fínska
finské	fínskom
finské	fínske
spis	súboru
spis	súbor
sloupy	stĺpce
sloupy	stĺpy
pablo	pablo
villa	vila
villa	villa
kanály	kanály
kanály	kanálov
kanály	kanalizácie
kanály	kanáloch
egyptské	egyptský
těžký	ťažká
těžký	ťažký
těžký	ťažké
russell	russell
side	strana
side	bočný
side	side
side	sid
ludmila	ludmila
kroměříž	kroměříž
připravit	pripraviť
vyloučen	vylúčený
vyloučen	vylúčený
vyloučen	vyňaté
vyloučen	vylúčená
vyloučen	vylúčení
vyloučen	vylúčené
kontrolní	kontrola
kontrolní	ovládanie
kontrolní	ovládať
kontrolní	kontrolovať
úzké	úzka
úzké	úzky
úzké	úzke
kat	kata
kat	kat
kat	kata
kat	kat
kat	kat
zvýšit	zvýšenia
zvýšit	zvýšiť
zvýšit	nárast
zvýšit	zvýšenie
zvýšit	zväčšiť
zvýšit	zdvihnúť
zvýšit	zvýšiť
zvýšit	zvyšovať
křižovatka	križovatke
křižovatka	križovatky
křižovatka	križovatka
křižovatka	prienik
křižovatka	križovatky
křižovatka	križovatke
křižovatka	križovatka
křižovatka	križovatke
křižovatka	križovatka
křižovatka	križovatky
teoreticky	teoreticky
pracující	pracuje
pracující	pracovných
pracující	pracovná
pracující	práca
pracující	pracovné
polární	polárne
hills	kopcov
hills	hills
hills	kopce
hip	hip
hip	bok
hip	boky
duet	duet
baterie	batéria
baterie	batérie
baterie	baterka
baterie	akumulátory
baterie	batérie
baterie	batérií
baterie	baterky
objeven	objavila
objeven	objavili
objeven	objavené
objeven	objavil
vyvíjí	vyvíja
vyvíjí	rozvíja
melbourne	melbourne
princezny	princezná
princezny	princezna
princezny	princezné
bělorusko	bielorusko
pietro	pietro
modernizace	modernizácie
modernizace	modernizácia
modernizace	upgrade
modernizace	modernizácia
modernizace	vylepšiť
modernizace	vylepšenie
modernizace	modernizácie
modernizace	vylepšenie
modernizace	modernizácia
modernizace	modernizácie
modernizace	modernizáciu
modernizace	modernizácia
běží	chode
běží	beh
běží	beží
běží	trvá
běží	beží
běží	uteká
italsky	talianske
italsky	talian
italsky	taliansky
italsky	talianska
přístroj	prístroj
přístroj	automat
přístroj	stroj
přístroj	prístroj
přístroj	prístroje
express	vyjadrite
express	express
express	vyjadriť
charlese	charles
erich	erich
nejhorší	najhoršia
nejhorší	najhorší
nejhorší	najhoršie
slaný	slané
roll	roll
tramvajové	električkové
serena	serenu
serena	serena
přístupné	prístupná
přístupné	prístupný
přístupné	prístupné
hrdinové	hrdinov
hrdinové	hrdinovia
islám	islamu
islám	islam
ověřit	overiť
ověřit	overte
ověřit	overiť
ověřit	overenie
ověřit	overuje
