ausscheiden	pengunduran
hamm	gam
auschwitz	auschwitz
zeitgenössische	kontemporer
planungen	merencanakan
planungen	berencana
planungen	perencanaan
planungen	rencana
beendigung	pemutusan
beendigung	penghentian
detroit	detroit
emma	emma
publikation	publikasi
publikation	publikasi
publikation	penerbitan
publikation	terbitan
stoff	kain
stoff	zat
stoff	substansi
stoff	kain
fremden	alien
fremden	aliens
fremden	asing
fremden	stranger
ernsthaft	serius
ernsthaft	serious
ernsthaft	serius
ernsthaft	seriously
gelben	kuning
krankheiten	penyakit
krankheiten	penyakit
krankheiten	gangguan
krankheiten	penyakit
zentimetern	sentimeter
bukarest	bucharest
bukarest	bukares
mans	mans
denkmäler	monumen
maine	maine
rief	disebut
rief	dipanggil
rief	menangis
entlassung	pengosongan
entlassung	debit
entlassung	pemecatan
entlassung	redundansi
kongo	kongo
kongo	ekuador
stämme	suku
siebten	ketujuh
siebten	seventh
musikern	musisi
grob	rough
grob	kasar
grob	kasar
dialekt	dialek
dialekt	amoy
dialekt	dialek
philologie	filologi
hofmann	hofmann
südkorea	taiwan
südkorea	korea
südkorea	seoul
beachtung	perhatian
beachtung	oleng
beachtung	mengindahkan
technischer	teknis
grimm	grimm
merkmal	karakteristik
merkmal	fitur
merkmal	sifat
orthodoxen	ortodoks
orthodoxen	ortodoksi
orthodoxen	ortodoks
orthodoxen	orthodox
epoche	kala
epoche	epoch
engineering	teknik
engineering	rekayasa
rechnung	rekening
rechnung	account
rechnung	akun
rechnung	tagihan
rechnung	penagihan
rechnung	faktur
rechnung	tagihan
rechnung	bill
rechnung	tagih
rechnung	ruu
rechnung	tagihan
rechnung	faktur
browser	browser
browser	peramban
browser	browser
verwiesen	direferensikan
verwiesen	dirujuk
verwiesen	dikeluarkan
verwiesen	diusir
verwiesen	direferensikan
verwiesen	disebut
verwiesen	dirujuk
konsul	konsul
stab	tusuk
stab	menusuk
stab	stab
stab	tikam
stab	rod
draft	draf
draft	draft
draft	konsep
benannten	ditunjuk
wertung	skor
wertung	peringkat
wertung	penilaian
wertung	rating
vorschriften	peraturan
vorschriften	rules
vorschriften	peraturan
vorschriften	aturan
vorschriften	persyaratan
vorschriften	spesifikasi
vorschriften	spesifikasinya
vorschriften	ketentuan
vorschriften	perbekalan
eintracht	eintracht
eintracht	keharmonisan
eintracht	harmoni
eintracht	harmony
eintragen	daftarkan
eintragen	register
eintragen	masukkan
eintragen	enter
ähnelt	menyerupai
ähnelt	menyerupai
rad	roda
rad	radikal
rad	rad
götter	dewa
vfb	vfb
lass	biarkan
lass	biarlah
lass	let
harz	harz
harz	getah
harz	resin
beitragen	berkontribusi
beitragen	menyumbangkan
beitragen	berkontribusi
beitragen	kontribusi
lars	lars
kopiert	disalin
lucas	lucas
südtirol	südtirol
schiedsrichter	arbiter
schiedsrichter	wasit
schiedsrichter	ref
schiedsrichter	wasit
dünn	skinny
dünn	kurus
dünn	tipis
dünn	kurus
dünn	sparse
bestimmungen	peraturan
bestimmungen	ketentuan
bestimmungen	perbekalan
mauern	wall
mauern	tembok
mauern	dinding
mauern	tembok
mauern	dinding
berechnet	dihitung
berechnet	dihitung
berechnet	ditagih
berechnet	dibebankan
three	tiga
three	three
verlieren	kalah
verlieren	kehilangan
verlieren	longgar
verlieren	loose
verlieren	kehilangan
verlieren	kalah
gefangenschaft	tawanan
gefangenschaft	tahanan
gefangenschaft	tawan
gefangenschaft	tawanan
gefangenschaft	hukuman
gefangenschaft	penahanan
gefangenschaft	penangkaran
henning	henning
comics	komik
comics	komik
comics	comic
umfassenden	komprehensif
sainte	sainte
moon	rembulan
moon	bulan
moon	moon
wem	siapa
wem	who
teufel	hell
teufel	neraka
teufel	setan
teufel	iblis
teufel	devil
teufel	setan
notre	notre
leinwand	kanvas
leinwand	canvas
leinwand	screen
leinwand	layar
hauptdarsteller	bintangi
hauptdarsteller	dibintangi
hauptdarsteller	membintangi
rugby	rugby
rugby	rugbi
vorhaben	project
vorhaben	proyek
vorhaben	projek
vorhaben	proyek
verarbeitet	diproses
verarbeitet	tempa
riga	riga
gültigen	valid
gültigen	sah
kameramann	kameramen
kameramann	sinematografer
vorn	front
vorn	depan
hansestadt	hanseatic
madonna	madonna
roberto	roberto
bedeutend	signifikan
wohnen	perumahan
wohnen	live
wohnen	jalani
wohnen	langsung
vorfahren	leluhur
vorfahren	leluhur
level	aras
level	level
level	tingkatan
level	tingkat
ressourcen	sumberdaya
ressourcen	sumberdaya
laura	laura
zeichnen	draw
zeichnen	imbang
zeichnen	menggambar
zeichnen	gambar
zeichnen	menggambar
essays	esai
bürgerschaft	kewarganegaraan
vorträge	kuliah
vorträge	ceramah
vorträge	perkuliahan
vorträge	pidato
vorträge	konferensi
vorträge	presentasi
vorträge	perundingan
vorträge	pembicaraan
vorträge	kuliah
vorträge	ceramah
vorträge	perkuliahan
marianne	marianne
wilde	wild
wilde	liar
wilde	biadab
wilde	wilde
wilde	savage
wilde	buas
wilde	biadab
mathias	mathias
österreichisch	austria
mont	mont
rumpf	hull
rumpf	lambung
rumpf	torso
rumpf	bagasi
rumpf	belalai
anfangen	mulai
anfangen	mulailah
anfangen	start
anfangen	mulai
anfangen	begin
arabische	arab
arabische	arab
arabische	arabic
lyrik	puisi
lyrik	lirik
lyrik	lyrics
wahlbezirk	konstituensi
belgrad	belgrade
maryland	maryland
abhängigkeit	dependensi
abhängigkeit	ketergantungan
abhängigkeit	ketergantungan
abhängigkeit	kecanduan
abhängigkeit	ketergantungan
ankunft	kedatangan
ankunft	tiba
ankunft	kedatangan
gerichte	piring
gerichte	pengadilan
mörder	killers
mörder	pembunuh
mörder	killer
mörder	pembunuh
mörder	pembunuh
mörder	pembunuh
mörder	assasin
mörder	assassin
mörder	pembunuh
kats	kats
sofia	sofia
verändern	mengubah
verändern	berubah
verändern	modifikasi
verändern	ubah
verändern	memodifikasi
verändern	alter
abu	abu
glasgow	glasgow
stürmer	forward
stürmer	maju
stürmer	striker
heller	heller
befreit	dibebaskan
befreit	dibebaskan
emanuel	emanuel
emanuel	emmanuel
naturschutz	konservasi
naturschutz	alam
naturschutz	nature
anliegen	kekhawatiran
anliegen	keprihatinan
kohle	batubara
kohle	adonan
kohle	dough
kohle	arang
erteilt	diterbitkan
erteilt	dikeluarkan
erteilt	diberikan
erteilt	dikabulkan
graham	graham
hauptsitz	markas
caroline	caroline
kaiserreich	imperium
kaiserreich	empire
kaiserreich	kekaisaran
kaiserreich	imperial
konzern	corporate
konzern	korporasi
konzern	group
konzern	kelompokkan
konzern	grup
konzern	kelompok
konzern	consolidated
konzern	konsolidasi
konzern	perusahaan
konzern	corporation
konzern	korporasi
marokko	morocco
marokko	maroko
marokko	tangier
nordischen	norse
nordischen	nordik
nordischen	nordik
nordischen	nordic
gebeten	ditanyakan
gebeten	ditanya
gebeten	bertanya
gebeten	doa
wörtlich	harafiah
wörtlich	harfiah
wörtlich	literal
wörtlich	harafiah
wrestling	bergulat
wrestling	wrestling
wrestling	gulat
ryan	ryan
manga	manga
demo	demo
renault	renault
turner	pesenam
turner	turner
einnahmen	pendapatan
einnahmen	penghasilan
einnahmen	pemasukan
einnahmen	income
einnahmen	pendapatan
einnahmen	penghasilan
einnahmen	kuitansi
einnahmen	pendapatan
kritiken	ulasan
kritiken	review
kritiken	resensi
kritiken	tinjauan
kritiken	kritikus
kritiken	kritik
kritiken	peninjau
kritiken	tinjauan
dorothea	dorothea
renoviert	diperbaharui
renoviert	direnovasi
renoviert	memulihkan
renoviert	dipulihkan
suhrkamp	suhrkamp
kreuzung	menyeberang
kreuzung	crossing
kreuzung	penyeberangan
kreuzung	melintas
kreuzung	perempatan
kreuzung	perempatan
kreuzung	perpotongan
kreuzung	persimpangan
kreuzung	junction
kreuzung	persimpangan
kreuzung	perempatan
kreuzung	persimpangan
kritisierte	dikritik
gilbert	gilbert
jemals	pernah
jemals	ever
verschwunden	gone
verschwunden	menghilang
aufeinander	berturut
aufeinander	berturut
benennung	janji
benennung	penamaan
benennung	nominasi
benennung	penunjukan
captain	capt
captain	kapten
kirchliche	gerejawi
ausgang	output
ausgang	keluaran
ausgang	exit
ausgang	keluar
estland	tallinn
estland	estonia
startet	meluncurkan
startet	peluncuran
startet	luncurkan
clara	clara
erwachsenen	dewasa
erwachsenen	dewasa
nad	nad
garde	garde
anzeige	tampilkan
anzeige	tampilan
anzeige	display
anzeige	iklan
systemen	sistem
systemen	systems
sierra	sierra
meißen	meissen
trennen	memisahkan
trennen	putus
trennen	putuskan
trennen	pemisahan
trennen	berpisah
trennen	terpisah
trennen	pisahkan
trennen	memisahkan
trennen	dipisah
sogn	sogn
entscheidende	menentukan
entscheidende	krusial
stralsund	stralsund
zwingend	ojek
zwingend	wajib
zwingend	wajib
spezialisiert	spesialis
transportiert	diangkut
innenraum	interior
innenraum	interior
innenraum	indoor
kennedy	kennedy
karin	karin
händler	pedagang
händler	dealer
händler	pengedar
händler	distributor
händler	pedagang
händler	trader
händler	pengecer
händler	peritel
händler	distributor
händler	penyalur
händler	dealer
händler	pengedar
beförderung	promosi
mönchengladbach	mönchengladbach
germanistik	jermanik
singen	sing
singen	nyanyi
singen	nyanyikan
singen	nyanyian
singen	menyanyi
singen	bernyanyi
singen	chant
camp	kemah
camp	perkemahan
camp	kamp
camp	camp
minden	minden
gefecht	battle
gefecht	pertempuran
gefecht	peperangan
campbell	campbell
mind	mind
mind	pikiran
mind	mnt
mind	min
beine	legs
beine	kaki
anführer	leader
anführer	pemimpin
anführer	pemimpin
techniken	teknik
techniken	teknik
asteroiden	asteroid
asteroiden	asteroid
woher	bagaimana
woher	how
franco	franco
betrachtung	renungan
betrachtung	perenungan
betrachtung	kontemplasi
überprüfung	tinjauan
überprüfung	review
überprüfung	tinjau
überprüfung	ulasan
überprüfung	ulas
überprüfung	meninjau
überprüfung	verifikasi
böden	tanah
böden	lantai
böden	tanah
böden	tanahnya
option	opsi
ägyptischen	mesir
stade	stade
lukas	luke
lukas	lukas
lukas	lukas
lukas	lucas
morgan	morgan
ständigen	standing
ständigen	berdiri
ständigen	permanen
ständigen	permanent
bühnen	platform
bühnen	tahapan
bühnen	pentas
bühnen	tahap
bühnen	panggung
bühnen	stage
porsche	porsche
vermehrt	disebarkan
beurteilung	penghakiman
beurteilung	evaluasi
beurteilung	penilaian
beurteilung	menghakimi
abgehalten	dipegang
abgehalten	ditahan
abgehalten	diadakan
flecken	tambalan
flecken	patch
flecken	bintik
japanisch	jepang
japanisch	japanese
gewählten	terpilih
sat	sab
sat	sabtu
sat	sat
fliehen	kabur
fliehen	escape
stoffe	kain
stoffe	zat
erkenntnis	berlakukan
erkenntnis	realisasi
erkenntnis	persepsi
erkenntnis	kognisi
erkenntnis	wawasan
erkenntnis	insight
château	château
fraglich	dipertanyakan
fraglich	meragukan
fraglich	diragukan
fraglich	ragu
steven	steven
parker	parker
empfangen	menerima
empfangen	diterima
empfangen	menerima
bruders	bâ
bruders	saudara
bruders	brother
bruders	kakak
diff	diff
pflicht	duty
pflicht	kewajiban
pflicht	ojek
pflicht	kewajiban
pflicht	wajib
pflicht	wajib
talent	bakat
talent	talenta
talent	bakatnya
talent	bakat
talent	talenta
talent	bakatnya
talent	talent
fire	fire
fire	api
fire	kebakaran
türkisch	turki
türkisch	turkish
nummern	bilangan
nummern	nomor
nummern	angka
passagiere	penumpang
passagiere	penumpang
generalsekretär	sekretaris
generalsekretär	menteri
generalsekretär	sekertaris
schnellen	fast
schnellen	cepat
schnellen	puasa
bahnen	apian
theologische	teologi
thompson	thompson
konstantinopel	konstantinopel
konstantinopel	istanbul
henriette	henrietta
four	empat
four	four
dichtung	menyegel
dichtung	penyegelan
dichtung	puisi
dichtung	segel
dichtung	meterai
dichtung	seal
hinreichend	kecukupan
hinreichend	memadai
theoretisch	teoritis
theoretisch	teori
robinson	robinson
decken	selimut
decken	sampul
decken	cover
