عوام	commons
غم	sadness
غم	anguish
غم	sorrow
غم	sad
لائوس	lao
لائوس	laos
پرنس	prince
فصول	seasons
آقایان	gentlemen
محرمانه	secret
محرمانه	confidential
لان	lan
لان	lon
آنکارا	ankara
رولینگ	rolling
رولینگ	rowling
گمینا	gmina
حیوانی	animal
ایدئولوژی	ideology
پین	pin
نمره	grade
نمره	grades
نمره	score
نمره	scores
ماجراجویی	adventure
امثال	proverbs
بسازید	pyre
بسازید	build
اسقف	bishop
بنفشه	violet
بنفشه	viola
بنفشه	violets
احضار	summoning
احضار	summons
احضار	summoned
احضار	summon
مصور	comic
قیمتی	priceless
قیمتی	price
گوگرد	sulfur
باشی	bashi
یاخته	cell
لزوماً	necessarily
واردات	import
مشاهدات	glimpses
مشاهدات	observations
ویدیویی	video
جرایم	crimes
جرایم	crime
دانا	dana
ژوراسیک	jurassic
کلینتون	clinton
فرستنده	transmitter
فرستنده	issuer
فرستنده	sender
فرستنده	senders
وود	wood
کاسته	lightened
کاسته	diminished
عبدالرحمن	abdulrahman
فرسایش	erosion
انتزاعی	abstract
متمم	amendment
متمم	complement
متمم	complementary
هارت	hart
اوبلاست	oblast
حلال	lawful
گارسیا	garcia
گارسیا	garcía
جولیا	julia
فرگشت	evolution
ترمودینامیک	thermodynamics
ترمودینامیک	thermodynamic
هما	homa
رکود	depression
زئوس	zeus
نانسی	nancy
گرینلند	greenland
صدف	clam
صدف	oyster
صدف	shells
رندی	randy
کو	koo
روبرتو	roberto
مالاوی	malawi
ژرمن	germain
کلاید	clyde
برهنه	naked
برهنه	nude
برهنه	stocking
لوکاس	lucas
لوکاس	lukas
کوت	kut
کوت	cot
خاطره	memories
خاطره	memory
داوید	david
وجودی	existential
نوزادان	infants
نوزادان	babies
یوزف	joseph
تورات	torah
مولد	generator
امامت	imams
تجسمی	visualization
پنالتی	penalty
یکنواخت	steady
تاسمانی	tasmania
رحمت	mercy
رحمت	caste
ضمیمه	enclosed
درجات	ranks
مجرای	canal
مجرای	channel
اورتون	everton
سولفات	sulfate
ارس	juniperus
ارس	aras
نامنظم	irregular
قوت	strength
مجالس	pass
ابری	clouds
ابری	cloud
ابری	cloudy
ابری	clouded
تایم	time
سومی	third
کوپر	cooper
جانداران	fauna
جولی	julie
ساختگی	dummy
شارلوت	charlotte
اتوماتیک	automatic
لوید	lloyd
گاندی	gandhi
ثانی	sani
ثانی	thani
گریه	cry
گریه	crying
ذات	magnificence
واگن	wagon
لئونارد	leonard
راد	rad
راد	rod
هفتگی	weekly
مستمر	continual
مستمر	continuous
مستمر	occupations
مارسی	marseille
مارسی	marcy
مارسی	marci
مارسی	marseilles
درامز	drums
مرتکب	commit
مرتکب	perpetrated
مرتکب	committing
تدریجی	gradual
مستندات	documentation
نوشهر	nevşehir
رقابتی	competitive
کسری	deficit
کسری	fractional
نخ	yarn
نخ	thread
میلیمتر	millimeter
میلیمتر	millimeters
شاعری	poet
سیارات	planetary
سیارات	planets
مخالفم	disagree
روشنفکران	intellectuals
غلات	cereal
پاسکال	pascal
مقدونی	macedonian
مقدونی	macedon
ترغیب	persuasion
عطر	perfume
هجده	eighteen
آندری	andrey
آندری	andrei
عنکبوت	spider
قیاس	monumental
