athenaeum	athenaeum
festői	γραφικό
aragón	aragón
nancy	νάνσι
nancy	νάνσυ
filmeket	ταινίες
filmeket	ταινίες
mesterek	μάστερς
mesterek	αφέντες
anita	ανίτα
lausanne	lausanne
készülék	συσκευή
készülék	συσκευές
készülék	συσκευές
készülék	συσκευή
hétvégén	σαββατοκύριακα
hétvégén	σκ
hétvégén	σαββατοκύριακο
házas	παντρεμένοι
házas	παντρεμένος
házas	παντρεμένη
házas	παντρεύτηκε
házas	παντρεύτηκα
tirol	tirol
extrém	ακραία
extrém	ακραίες
extrém	ακραίο
márka	μάρκα
terra	terra
sawyer	σόγιερ
sawyer	σώγιερ
birkózó	πάλη
birkózó	παλαιστής
birkózó	παλαιστή
vladimir	βλαντιμίρ
vladimir	βλάντιμιρ
atom	ατομική
atom	άτομο
menő	δροσερό
menő	κουλ
menő	cool
basszusgitáros	μπασίστα
szabványos	στάνταρ
szabványos	πρότυπο
szabványos	standard
októberi	οκτώβριος
októberi	οκτώβριο
októberi	οκτωβρίου
arabul	αραβικά
arabul	αραβική
arabul	αραβικό
milliméter	χιλιοστά
kábel	καλώδιο
kábel	καλώδια
kábel	καλωδιακή
büntetést	τιμωρείται
büntetést	τιμωρηθεί
nyak	λαιμό
nyak	σβέρκο
nyak	λαιμός
légitársaság	αερογραμμές
légitársaság	airlines
érsekség	αρχιεπισκοπή
többségi	πλειοψηφία
többségi	πλειονότητα
spears	σπίαρς
univerzum	σύμπαν
indulás	αποχώρηση
indulás	αναχώρηση
kenny	κένι
kenny	kenny
jakob	jakob
műholdas	δορυφόρος
műholdas	δορυφόρο
műholdas	δορυφορική
cső	πίπα
cső	σωλήνας
cső	σωλήνα
cső	σωληνάριο
cső	σωλήνας
cső	σωλήνα
könyvtárosok	βιβλιοθηκάριοι
gyümölcs	καρποί
gyümölcs	καρπός
gyümölcs	φρούτο
gyümölcs	φρούτα
gyümölcs	καρποί
gyümölcs	φρούτα
model	μοντελο
model	υπόδειγμα
model	μοντέλο
model	πρότυπο
szociológiai	κοινωνιολογικές
elisabeth	ελισάβετ
specifikus	ειδικές
specifikus	συγκεκριμένα
specifikus	συγκεκριμένος
természettudós	φυσιοδίφης
diktatúra	δικτατορία
rachel	rachel
rachel	ρέιτσελ
projektek	σχέδια
projektek	έργα
projektek	εργα
viselkedése	συμπεριφορά
oldódik	διαλυτό
csillagkép	αστερισμό
#fff	#fff
holló	κοράκι
holló	κρόου
holló	κοράκι
holló	ρέιβεν
anti	αντι
hírességek	διασημότητα
hírességek	διάσημος
hírességek	διάσημοι
hírességek	διασημότητες
hírességek	διάσημοι
auguste	ογκίστ
werder	werder
térbeli	χωρικών
hetente	εβδομαδιαία
hetente	εβδομαδιαίες
hetente	εβδομαδιαίο
köd	ομίχλη
köd	φογκ
köd	ομίχλη
köd	νεφέλωμα
tang	τανγκ
demográfiai	δημογραφικά
demográfiai	δημογραφικές
demográfiai	δημογραφική
demográfiai	δημογραφικά
baptista	βαπτιστής
mostanában	πρόσφατα
mostanában	προσφάτως
mostanában	τελευταία
kompatibilis	συμβατό
kompatibilis	συμβατά
kompatibilis	συμβατή
kompatibilis	συμβατός
edge	άκρη
fokozott	αυξημένος
fokozott	αυξημένο
fokozott	αυξημένη
jam	μαρμελάδα
creek	κρικ
creek	ρυάκι
ajánlom	προτείνετε
ajánlom	προτείνω
sarki	πολική
sarki	πολικές
figyelmeztetés	προειδοποίηση
figyelmeztetés	ειδοποίηση
figyelmeztetés	συναγερμός
figyelmeztetés	προειδοποιήσεις
narancssárga	πορτοκάλι
narancssárga	πορτοκαλί
meggyilkolták	δολοφονήθηκε
meggyilkolták	δολοφονήθηκαν
meggyilkolták	δολοφόνησε
scooby	σκούμπι
lent	κατωτέρω
lent	κάτω
lent	παρακάτω
lent	κατω
lent	κάτω
boldogság	ευτυχία
boldogság	ευτυχής
boldogság	ευτυχισμένη
boldogság	χαρούμενος
boldogság	χαρούμενη
boldogság	ευτυχισμένος
szög	καρφί
szög	νύχι
szög	γωνία
megválasztott	εκλεγμένος
megválasztott	εκλεγεί
megválasztott	εκλέγεται
megválasztott	εξελέγη
időszakos	περιοδική
időszakos	διαλείπουσα
julian	τζούλιαν
julian	julian
biológus	βιολόγος
vienne	vienne
trombita	σάλπιγγα
trombita	τρομπέτα
pan	τηγάνι
pan	παν
pan	pan
péntek	παρασκευη
péntek	παρασκευή
moldova	μολδαβίας
moldova	μολδαβία
monumentális	μνημειώδες
bányászati	εξόρυξης
bányászati	ορυχεία
bányászati	εξόρυξη
poroszország	πρωσία
korrekt	σωστή
korrekt	σωστό
korrekt	σωστά
korrekt	σωστός
korrekt	δίκαιος
korrekt	δίκαιο
korrekt	δίκαια
korrekt	δίκαιη
korrekt	πανηγύρι
annie	άνι
annie	άννυ
annie	annie
kalauz	οδηγό
kalauz	οδηγός
kalauz	αγωγός
kalauz	μαέστρος
vasutak	σιδηρόδρομοι
vasutak	σιδηρόδρομος
vasutak	σιδηροδρόμων
vizsgált	εξετάστηκαν
vizsgált	εξετάστηκε
vizsgált	εξέτασε
tölgy	quercus
tölgy	βελανιδιά
tojás	αβγά
tojás	αυγά
tojás	αβγό
tojás	αυγό
tojás	ωάριο
létesítmény	εγκατάσταση
létesítmény	εγκατάσταση
létesítmény	διευκόλυνση
létesítmény	ίδρυση
megszállt	κατείχε
megszállt	κατεχόμενα
klorid	χλωριούχο
klorid	χλωρίδια
mialatt	ενώ
mialatt	ενω
fix	φτιάξε
fix	φτιάξω
fix	σταθερό
fix	σταθερή
fix	σταθερά
homok	άμμου
homok	σαντ
homok	άμμος
homok	άμμο
homok	σαντς
homok	άμμος
csók	φιλάκια
csók	φιλιά
csók	φιλια
csók	φιλί
csók	kiss
veszteségeket	απώλειες
veszteségeket	ήττες
veszteségeket	ζημίες
spontán	αυθόρμητα
spontán	αυθόρμητο
spontán	αυθόρμητη
spontán	αυθόρμητα
derby	ντέρμπι
