категорија	kategória
година	évjárat
година	éve
година	évi
година	év
како	hogyan
како	mint
како	like
како	tetszik
дека	ez
бил	bill
бил	számla
кои	ki
кои	aki
кои	ami
кои	melyik
кои	mely
кои	amely
кој	ki
кој	aki
тоа	ez
други	egyéb
други	más
други	másoknak
други	egyéb
други	mások
други	egyebek
која	ami
која	melyik
која	mely
која	amely
била	volt
македонија	macedónia
додека	miközben
додека	mialatt
додека	míg
додека	amíg
кога	mikor
кога	amikor
страна	oldalra
страна	oldalam
страна	side
биле	voltak
дел	részben
дел	rész
дел	része
дел	del
дел	dell
околу	kb
околу	nagyjából
околу	körülbelül
околу	körül
околу	körbe
време	ideje
време	időpont
време	idő
век	évszázad
век	század
под	alatta
под	alatta
под	alatt
под	alatta
под	alá
може	lehetne
може	tud
може	can
може	lehet
еден	egy
врски	nyakkendő
врски	linkek
врски	hivatkozások
врски	kapcsolatok
исто	ugyanez
исто	ugyanaz
надворешни	külső
повеќе	több
повеќе	more
повеќе	további
повеќе	tobb
податоци	adatok
податоци	adat
податоци	adatforgalom
каде	hol
каде	ahol
многу	nagyon
многу	sok
многу	sokat
многу	sok
многу	tétel
објекти	létesítmények
објекти	tárgyak
објекти	objektumok
години	évek
години	év
календар	naptár
календар	naptári
сите	mindegyik
сите	mind
сите	minden
сите	mindenki
сите	mindenkinek
една	egy
меѓу	között
меѓу	között
било	bármelyik
било	bármely
било	bármilyen
пред	előtte
пред	előtt
пред	mielőtt
ова	ezt
ова	ez
јазик	nyelve
јазик	nyelv
јазик	nyelv
само	csak
само	kizárólag
само	csak
каталог	katalógus
каталог	katalógus
број	szám
број	száma
овој	ezt
овој	ez
градот	city
градот	városi
градот	város
беше	volt
општ	általános
општ	generikus
кон	felé
оваа	ezt
оваа	ez
тие	azok
тие	ők
нов	újdonság
нов	új
селото	sapporo
времето	időjárás
времето	ideje
времето	időpont
времето	idő
некои	néhány
претставува	képviseli
место	folt
место	foltos
место	hely
место	helyszín
овие	ezek
овие	ezeket
општина	község
општина	település
општина	önkormányzat
започнува	kezdődik
започнува	kezdődik
светот	világ
светот	world
светот	vilag
преку	via
преку	keresztül
преку	át
македонски	macedón
неколку	kevesen
неколку	pár
неколку	kevés
неколку	kevesek
неколку	néhány
неколку	számos
земјата	föld
две	kettő
небо	égbolt
небо	sky
небо	ég
небо	égbolt
небо	ég
уште	még
уште	több
уште	more
уште	további
уште	tobb
список	jegyzék
список	lista
септември	szeptemberben
септември	szeptember
септември	szeptemberi
споменува	említ
кое	ami
кое	melyik
кое	mely
кое	amely
сјај	csillogás
сјај	csillám
сјај	ragyogás
сјај	ragyog
град	városban
град	town
град	város
град	city
град	városi
град	város
агол	sarkon
агол	kanyar
агол	sarok
агол	szög
село	település
село	falusi
село	falu
информации	info
информации	infó
информации	információ
информации	infók
информации	információk
информации	információ
информации	tájékoztatás
информации	információk
германија	németország
помеѓу	között
црква	templom
црква	egyház
подоцна	később
познати	ismeretes
познати	ismertek
познати	ismert
познати	híres
познати	híresség
жители	lakói
жители	lakosok
жители	lakos
жители	lakói
жители	lakók
жители	lakosok
бидејќи	mert
треба	kell
треба	szükséges
мини	mini
мини	aknák
мини	minnie
против	ellene
против	ellen
голем	nagyok
голем	nagyméretű
голем	nagy
голем	nagyok
голем	nagy
период	időszak
период	időtartam
период	periódus
луѓе	férfi
луѓе	férfiak
луѓе	emberek
луѓе	emberek
војна	háború
сад	usa
скопје	skopje
република	köztársaság
три	három
без	nélkül
без	anélkül
помош	segítségnyújtás
помош	segíteni
помош	segítség
помош	mayday
поделба	hadosztály
поделба	körzet
поделба	részleg
поделба	divízió
поделба	partíció
космос	kozmosz
космос	koszmosz
освен	kivéve
над	vége
над	át
над	fölötte
над	felett
над	fölött
над	fent
над	fenti
над	felette
иако	habár
иако	bár
иако	habár
иако	bár
низ	keresztül
низ	át
села	falvak
пример	példa
јазици	nyelveket
јазици	nyelvek
јазици	nyelveken
потоа	akkor
потоа	aztán
потоа	utána
денес	ma
видот	látása
два	kettő
точка	dot
точка	pont
точка	point
заедно	együtt
литература	irodalom
пак	újra
пак	pac
него	őt
него	neki
покрај	amellett
покрај	mellett
покрај	mellé
сепак	mindamellett
сепак	mindazonáltal
сепак	még
сепак	mégis
постојат	léteznek
постојат	létezni
постојат	létezik
објект	objektum
објект	tárgy
објект	létesítmény
јануари	januári
јануари	január
јануари	januárban
систем	rendszer
систем	system
име	neve
име	név
десно	jobbra
основни	elengedhetetlen
основни	nélkülözhetetlen
основни	lényeges
основни	alapvető
основни	alap
основни	alapvető
сателитот	műholdas
сателитот	műhold
можат	tud
можат	can
можат	lehet
користи	használat
користи	használata
користи	felhasználás
користи	használni
нив	ők
нив	őket
класификација	osztályozási
класификација	besorolás
класификација	osztályozás
група	csoport
група	csoportban
истражувања	felmérés
истражувања	felmérések
истражувања	kutatás
истражувања	kutatások
истражувања	kutatási
европа	európa
европа	europe
европа	európában
прв	először
прв	első
држави	államok
држави	államokat
држави	országokban
држави	országok
откриен	feltárt
откриен	észlelt
откриен	felfedte
проучување	tanulok
проучување	tanul
проучување	tanulás
проучување	vizsgálat
проучување	tanulmányok
проучување	tanulás
проучување	tanulmány
пат	pat
пат	út
пат	uton
пат	közúti
галаксии	galaxisok
август	augusztusban
август	august
август	augusztus
вклучен	érintett
вклучен	jegyesek
вклучен	eljegyzés
предмет	tárgy
предмет	tétel
предмет	elem
предмет	objektum
предмет	tárgy
предмет	alany
предмет	figyelemmel
предмет	tárgy
соѕвездие	csillagkép
набљудување	észrevétel
набљудување	megfigyelés
мај	may
мај	május
мај	májusi
мај	májusban
истражувачи	kutatói
истражувачи	kutatók
критериуми	kritérium
критериуми	szempontok
критериуми	kritériumok
март	március
март	márciusi
користена	használt
користена	felhasznált
ѕвезди	csillagok
ѕвезди	sztárok
ѕвезди	csillag
голема	nagyok
голема	nagyméretű
голема	nagy
голема	nagyok
голема	nagy
секој	bárkinek
секој	valaki
секој	bárkit
секој	bárki
секој	minden
цел	gól
цел	cél
поделби	körzetek
поделби	osztályok
оние	azok
јули	júliusban
јули	júliusi
јули	július
америка	amerika
америка	america
цар	cár
цар	uralkodó
цар	császár
цар	cár
често	gyakran
често	gyakran
поправени	rögzített
поправени	fix
поправени	rögzítve
поправени	javított
истражување	felmérés
истражување	felmérést
истражување	felmérések
истражување	kutatás
истражување	kutatások
истражување	kutatási
работи	dolgok
работи	dolgokat
работи	működik
работи	dolgozó
работи	dolgozik
работи	dolgozom
работи	dolgozok
работи	cucc
работи	cuccok
градови	városok
градови	városok
градови	városokat
места	helyszínek
места	helyek
места	foltok
места	ülések
места	ülés
април	april
април	április
април	áprilisi
април	áprilisban
роден	született
роден	megszületett
октомври	októberi
октомври	októberben
октомври	október
земја	ország
земја	országban
земја	föld
повторно	újra
око	szemet
око	szeme
око	eye
око	szem
франција	franciaország
франција	france
димензии	méretek
димензии	méretei
округот	megyei
округот	megye
позната	ismeretes
позната	ismertek
позната	ismert
позната	híres
позната	híresség
позната	ismerős
галаксија	galaxis
галаксија	galaxy
игри	játék
игри	játékok
деклинација	deklináció
историја	történelme
историја	előzmények
историја	történelem
откако	után
откако	after
откако	miután
откако	utána
ноември	november
ноември	novemberi
ноември	novemberben
јуни	júniusi
јуни	june
јуни	június
јуни	júniusban
лакот	íj
станува	válik
живот	élet
живот	életem
живот	life
северна	észak
северна	északi
настани	események
настани	esemény
настани	rendezvények
ширина	szélessége
ширина	szélesség
култура	tenyésztés
култура	kultúra
центар	középre
центар	központ
центар	center
центар	középre
центар	központ
центар	centrum
втората	másodszor
втората	másodperc
втората	második
население	populáció
население	népesség
население	lakosság
декември	december
декември	decemberi
декември	decemberben
мери	mary
мери	mária
дела	működik
дела	deeds
дела	tettek
дела	della
ден	nap
ден	napon
