den	на
och	та
med	мед
som	подобається
som	зразок
som	like
som	какой
som	який
som	які
som	яке
som	яка
runt	around
runt	довкола
runt	навколо
runt	кругла
runt	круглий
runt	round
runt	раунд
månaden	щомісяця
månaden	місячного
månaden	місячний
månaden	місяця
månaden	місяць
nederbörd	опадами
nederbörd	опадів
ligger	лежить
ligger	брехня
ligger	бреше
ligger	брехні
ligger	розташовані
ligger	знаходиться
ligger	розташовано
ligger	розташований
ingår	включено
ingår	включені
ingår	включення
ingår	входить
ingår	включає
att	той
ett	одна
ett	one
ett	одне
ett	один
över	закінчилося
över	над
över	закінчено
över	закінчилась
familjen	сімейство
familjen	сімейний
familjen	сімейні
familjen	родина
för	для
inga	жодного
inga	відсутнє
inga	немає
inga	жодних
inga	відсутній
delen	частина
släktet	рід
underarter	підвид
life	життя
life	лайф
listade	зазначив
listade	перелічені
listade	зазначає
landet	країни
landet	країна
landet	кантрі
meter	метр
meter	метрів
meter	метри
meter	метрах
meter	метрів
meter	метри
meter	метр
meter	ярдів
huvudstaden	капітолій
huvudstaden	капітал
huvudstaden	столиця
havet	море
havet	океан
varmaste	передаємо
kallaste	найхолодніший
invånare	мешканці
invånare	мешканці
invånare	мешканців
invånare	громадяни
invånare	громадян
invånare	громадянам
januari	січні
januari	січень
januari	січня
millimeter	міліметр
millimeter	міліметрах
millimeter	міліметр
millimeter	міліметрах
genomsnitt	середній
genomsnitt	середнє
genomsnitt	середня
genomsnitt	середнього
genomsnittlig	середній
genomsnittlig	середнє
genomsnittlig	середня
genomsnittlig	середнього
var	вар
var	був
var	була
var	було
var	були
var	звідки
var	де
var	where
var	куди
juli	липень
juli	липні
juli	липня
juli	juli
han	хан
han	хана
har	має
har	маю
har	маєш
har	have
per	пер
vattendrag	водотік
vattendrag	річок
vattendrag	річки
vattendrag	ріки
från	від
kanada	канаді
kanada	канади
kanada	канаду
kanada	канада
provinsen	провінція
men	але
högsta	supreme
högsta	максимальний
högsta	максимальне
högsta	максимальна
högsta	максимум
högsta	найвища
högsta	найвищий
augusti	серпні
augusti	серпня
augusti	серпень
kan	зміг
kan	могла
kan	змогли
kan	вдалось
kan	міг
kan	можна
länkar	лінки
länkar	посилання
länkar	посиланнями
länkar	посилань
externa	зовнішнє
externa	зовнішні
externa	зовнішній
externa	зовнішня
läge	розміщення
läge	місцезнаходження
läge	локація
läge	місце
läge	розташування
läge	режим
läge	лад
läge	mode
även	навіть
även	даже
även	також
februari	лютому
februari	лютий
februari	лютого
under	підчас
under	під
under	under
lake	озеро
lake	озера
sjö	озеро
sjö	озера
sjö	море
inte	не
inte	not
sig	sig
kommun	муніципалітет
kommun	край
två	два
två	дві
två	двоє
två	двох
två	двійка
lac	лак
terrängen	місцевість
long	довгий
long	хай
long	лонг
long	long
long	довга
long	довгі
juni	juni
juni	червня
juni	червні
juni	червень
lat	lat
lat	лінивий
lat	ліниві
december	грудень
december	грудня
december	грудні
växer	росте
växer	нарощування
växer	виростають
växer	рости
växer	вирощують
växer	ростуть
växer	росте
växer	зростати
växer	зростає
många	багато
många	багатьох
efter	після
nära	закрити
nära	близький
nära	близько
nära	близькі
nära	закриття
nära	поблизу
nära	поруч
nära	поряд
nära	близько
nära	біля
väster	захід
väster	вест
provins	провінція
öster	схід
först	перше
först	перша
först	перший
berg	гірський
berg	гора
berg	гірська
berg	берг
berg	гори
indonesien	індонезія
indonesien	індонезії
usa	сша
usa	usa
mars	березні
mars	березень
mars	березня
mars	марс
mars	mars
mindre	меншим
mindre	менша
mindre	менший
mindre	менше
mindre	менші
mindre	мінор
mindre	незначна
mindre	молодший
mindre	незначний
mindre	молодші
mindre	менше
norr	північна
norr	норт
norr	північний
norr	північ
oktober	жовтень
oktober	жовтня
oktober	жовтні
man	людина
man	чоловік
man	мужчина
man	man
september	вересня
september	вересні
september	вересень
större	мажор
större	майор
större	точніше
större	більший
större	більше
större	більшого
större	більшим
större	більший
större	більші
större	більше
större	більша
centrala	central
centrala	центральний
centrala	центральна
blev	став
blev	стали
blev	стало
andra	другий
andra	друге
andra	друга
andra	секунда
andra	інший
andra	інша
andra	інші
andra	інше
andra	інших
andra	інших
andra	інші
andra	іншими
hade	мали
hade	мав
där	туди
där	там
där	звідки
där	де
där	where
där	куди
county	графство
county	повіт
county	жупанія
nog	достатньо
nog	досить
huvudsakligen	переважно
huvudsakligen	головним
