regiment	படைப்பிரிவில்
feb	பிப்
feb	feb
artista	கலைஞர்
artista	கலைஞன்
artista	ஓவியர்
artista	கலைஞர்
artista	கலைஞன்
artista	ஓவியர்
titan	டைட்டானியம்
titan	டைட்டன்
marci	பிராண்டுகள்
marci	மார்க்ஸ்
exceptii	விதிவிலக்கு
valabil	செல்லுபடியாகும்
valabil	செல்லாத
valabil	முறையான
monroe	மன்றோ
duh	duh
facultate	கல்லூரியை
facultate	கல்லூரி
neptun	நெப்டியூன்
rome	ரோம்
manuscrise	manuscripts
teologice	theological
monarhiei	முடியாட்சி
negocieri	negotiations
raf	raf
saraci	ஏழை
saraci	பாவம்
saraci	மோசம்
randy	ராண்டி
administratorii	நிர்வாகி
administratorii	நிர்வாகிகள்
colorate	நிறமுள்ள
versiunile	பதிப்புகள்
dispare	மறைகிறது
seven	ஏழு
dorita	தேவை
pasarea	பறவை
tei	எலுமிச்சை
tei	சுண்ணாம்பு
vaduva	விதவை
vaduva	விதவை
vaduva	விதவை
garcia	கார்சியா
caseta	பேழை
caseta	டேப்
caseta	நாடா
caseta	பேழை
fericit	சந்தோஷமாக
fericit	இனிய
fericit	மகிழ்ச்சி
fericit	மகிழ்வான
patriei	தாய்நாடு
poze	புகைப்படங்கள்
poze	படங்கள்
poze	படங்கள்
procent	விழுக்காடு
procent	சதவீதம்
procent	சதவிகிதம்
procent	விழுக்காடு
procent	விகிதம்
procent	சதவீதம்
procent	சதவிகிதம்
mongolii	mongols
sodiu	சோடியம்
prenume	பெயரிடப்படாத
prinde	பிடிக்க
prinde	பிடி
lut	களிமண்
lut	ஆரம்பித்தான்
raspandire	பரப்புகிறது
raspandire	பரவியது
raspandire	பரவ
patricia	பாட்ரிசியா
liberty	லிபர்டி
esenta	சாரம்
esenta	சாரம்
cetatenia	குடியுரிமை
usd	usd
nice	அருமை
spada	வாள்
bolivia	பொலிவியா
ciuperci	காளான்கள்
ciuperci	காளான்
maryland	மேரிலேண்ட்
goga	கோகா
performante	செயல்திறன்
pakistan	பாகிஸ்தான்
pakistan	பாக்கிஸ்தான்
optica	ஒளியியல்
optica	ஒளியியல்
profesoara	ஆசிரியர்
profesoara	டீச்சர்
nad	nad
solide	பரு
solide	திடமான
solide	திடம்
solide	சாலிட்
artificiala	செயற்கை
artificiala	செயற்கை
banks	வங்கிகள்
instructiuni	வழிமுறைகள்
instructiuni	அறிவுரைகள்
instructiuni	ஆணைகள்
instructiuni	வழிமுறைகள்
instructiuni	அறிவுரைகள்
instructiuni	ஆணைகள்
aluminiu	அலுமினியம்
generali	தளபதிகள்
ziarist	பத்திரிகையாளர்
ziarist	நிருபர்
ziarist	பத்திரிக்கையாளர்
ziarist	பத்திரிகையாளர்கள்
generic	பிறப்பு
turismul	சுற்றுலாத்துறை
turismul	சுற்றுலா
ajax	ajax
flacara	சுடர்
flacara	சுடர்
flacara	சுடர்
grupari	குழுக்கள்
marion	மரியோன்
dinti	பற்கள்
nod	முடிச்சு
nod	முடிச்சு
glasgow	கிளாஸ்கோ
geniu	மேதை
broadway	பிராட்வே
autorilor	ஆசிரியர்கள்
abdul	abdul
abdul	அப்துல்
brand	ப்ராண்ட்
brand	பிராண்ட்
brand	புத்தம்
brand	பிராண்டு
coltul	மூலை
coltul	மூலையில்
coltul	கார்னர்
cuplu	ஜோடி
cuplu	தம்பதிகளின்
evanghelia	நற்செய்தி
marturie	சாட்சியம்
marturie	சான்று
marturie	சாட்சியம்
marturie	சான்று
emmanuel	இம்மானுவேல்
alpii	ஆல்ப்ஸ்
concursuri	போட்டிகள்
conditie	நிலையில்
conditie	நிபந்தனை
combinat	கூட்டுக்
grey	பழுப்பு
grey	சாம்பல்
cartiere	neighbourhoods
cartiere	மாவட்டங்கள்
stand	நிற்கும்
stand	நிற்க
stand	நில்
stand	அமர்ந்து
sanse	வாய்ப்புகளை
sanse	வாய்ப்புக்கள்
sanse	வாய்ப்பு
sanse	வாய்ப்புள்ளது
sanse	வாய்ப்புகளை
sanse	வாய்ப்புக்கள்
sanse	வாய்ப்பு
sanse	வாய்ப்புள்ளது
guvernele	அரசுகள்
guvernele	அரசுகளும்
confederatia	confederacy
confederatia	கூட்டமைப்பு
ward	வார்ட்
ward	வார்டு
localnicilor	உள்ளூர்வாசிகள்
organisme	உயிரினங்கள்
organisme	உடல்கள்
organisme	பிணங்கள்
deciziile	தீர்மானங்கள்
nevada	நெவாடா
iarba	புல்லை
iarba	புல்
iarba	பேதை
iarba	களை
iarba	புல்லை
iarba	புல்
iarba	பேதை
iarba	களை
completat	முடிந்தது
completat	நிறைவு
completat	முடிக்கப்பட்டது
completat	நிறைவுற்றது
comitet	கமிட்டி
capabila	மீதும்
capabila	மீதும்
masiva	பாரிய
saga	சாகா
celtic	செல்டிக்
arestarea	கைது
hart	ஹார்ட்
vanzarea	விற்பனை
bella	பெல்லா
daily	தினமும்
daily	அன்றாடம்
daily	தினசரி
daily	அன்றாட
daily	தினந்தோறும்
memoriam	memoriam
sociologie	சமூகவியல்
variabila	மாறி
variabila	மாறிகள்
variabila	மாறி
variabila	மாறிகள்
antrenat	பயிற்சிபெற்ற
divine	தெய்வீகம்
divine	தெய்வீக
grecesc	கிரீக்
grecesc	கிரேக்க
sabia	வாள்
proiectarea	வடிவமைப்பு
proiectarea	டிசைன்
existent	இருக்கும்
instalarea	நிறுவல்
instalarea	நிறுவுதல்
instalarea	நிறுவுகிறது
afectata	பாதிக்கப்பட்ட
afectata	பாதிக்கப்பட்டு
afectata	பாதிக்கப்பட்ட
