پِدر	father
پدرکشی	patricide
پِدرانہ	fatherly
پِدرانہ	paternal
پدرُود	departure
پدرُود	farewell
پدرُود	dismissal
پدک	medal
پدک	step
پدک	office
پدک	badge
پدک	position
پدِک	footman
پدِک	pedestrian
پدما	beautiful
پدمنی	lotus
پدنا	tire
پدنی	prostitute
پدوی	road
پدوی	opportunity
پدوی	path
پدوی	place
پدوی	surname
پدوی	status
پدوی	title
پدوی	way
پِدّی	cowardly
پدِید	public
پدِید	open
پدِید	manifest
پدِید	visible
پدِید	conspicuous
پدِید	evident
پدِید	clear
پدِیدار	apparent
پدھارنا	proceed
پدھارنا	depart
پدھارنا	arrive
پدّھی	piggyback
پڈّا	calf
پذیر	taking
پذیر	receiving
پذیر	accepting
پذیرا	acceptable
پذیرا	accepted
پذیرا	approved
پذیرائی	acceptance
پذیرائی	ovation
پذیرائی	welcome
پذیرائی	acceptance
پذیرائی	reception
پذیرائی	ovation
پذیرائی	welcome
پذیرُفتہ	accepted
پذیرُفتہ	approved
پذیری	taking
پر	hostile
پر	last
پر	previous
پر	beyond
پر	distant
پر	yet
پر	feather
پر	still
پر	quill
پر	subsequent
پر	but
پر	another
پر	after
پر	strength
پر	for
پر	pinion
پر	support
پر	alien
پر	power
پر	foreign
پر	other
پر	upon
پر	else
پر	hostile
پر	last
پر	previous
پر	beyond
پر	distant
پر	yet
پر	feather
پر	still
پر	quill
پر	subsequent
پر	but
پر	another
پر	after
پر	strength
پر	for
پر	pinion
پر	support
پر	alien
پر	power
پر	foreign
پر	other
پر	upon
پر	else
پربستگی	helplessness
پربستہ	helpless
پردار	free
پردار	winged
پردار	independent
پرزنی	fluttering
پرشکستہ	afflicted
پرشکستہ	disabled
پرقینچ	weak
پرقینچ	incapacitated
پرقینچ	dependent
پرکترنا	subdue
پرکترنا	overcome
پرکھُلا	free
پرکھُلا	independent
پروبال	power
پروبال	plumage
پردیس	abroad
پردیسی	wanderer
پردیسی	foreigner
پردیسی	stranger
پُر	exceeding
پُر	full
پُر	village
پُر	complete
پراثر	impressive
پراسرار	weird
پراسرار	mysterious
پراسرار	arcane
پراشتیاق	longing
پراشتیاق	desirous
پراشتیاق	craving
پرافسوں	enchanting
پرافسوں	fascinating
پرافسوں	alluring
پرافسوں	magical
پرالم	sorrowful
پرامن	peaceful
پرآب	shining
پرآب	watery
پرآشوب	stormy
پرآشوب	tumultuous
پرباد	swollen
پرباد	bloated
پرباد	arrogant
پرتاثیر	effective
پرتکلف	elaborate
پرجوش	enthusiastic
پرخار	thorny
پرخم	bent
پرخم	crooked
پرخم	entangled
پرخم	confused
پررنگ	active
پررنگ	vivid
پررنگ	colourful
پررونق	busy
پررونق	bustling
پررونق	flourishing
پررونق	fresh
پررونق	blooming
پررونق	successful
پررونق	splendid
پرزور	powerful
پرزور	forceful
پرسکون	satisfied
پرسکون	calm
پرسکون	peaceful
پرسکون	composed
پرسوز	sore
پرسوز	lighted
پرسوز	painful
پرسوز	sorrowful
پرغرور	arrogant
پرکدورت	malicious
پرگو	talkative
پرگو	prolific
پرگوشت	fleshy
پرلطف	pleasant
پرمغز	meaningful
پرنمود	showy
پرنور	beautiful
پرنور	illuminated
پرنور	illustrious
پرنور	attractive
پرا	file
پرا	herd
پرا	company
پرا	rank
پُرا	skin
پراپت	profit
پراپت	gain
پراپت	success
پراپت	approach
پراپت	access
پُراتم	ancient
پُراتم	wise
پُراتم	knowledgeable
پُراتم	experienced
پراجِت	defeated
پراجَے	defeat
پراچین	hedge
پراچین	ancient
پراچین	wall
پراچین	fence
پراچین	former
پراچین	old
پراچین	eastern
پرارتھ	desire
پرارتھ	craving
پرارتھ	longing
پرارتھنا	request
پرارتھنا	prayer
پراکرِت	uncultivated
پراکرِت	original
پراکرِت	natural
پراگندگی	disturbance
پراگندگی	dispersion
پراگندگی	distraction
پراگندہ	disturbed
پراگندہ	scattered
پراگندہ	distracted
پرالبدھ	fate
پرالبدھ	destiny
پران	beloved
پران	power
پران	strength
پران	life
پران	respiration
پران	breath
پران	soul
پُران	ancient
پُران	puranas
پُران	old
پرّاں	flying
پرانا	flee
پِرانا	hurt
پُرانا	ancient
پُرانا	stale
پُرانا	experienced
پُرانا	habitual
پُرانا	fill
پُرانا	complete
پُرانا	old
پُرانا	rotten
