din	から
care	who
mai	マイ
mai	もっと
pentru	for
lui	his
sunt	are
sit	サイト
sit	敷地
dupa	アフター
dupa	アフター
ale	エール
prin	through
prin	スルー
regiunea	リージョン
regiunea	地域
mare	グレート
mare	大きな
mare	大きい
mare	ビッグ
mare	sea
anul	イヤー
comuna	共通
comuna	市町村
comuna	共通
are	has
externe	外部
locuitori	住民
locuitori	住民
legaturi	リンク
legaturi	つながり
legaturi	接続
legaturi	リンク
vezi	見る
dar	でも
dar	しかし
cod	コード
cod	符号
cod	コッド
cod	タラ
populatie	人口
bucuresti	ブカレスト
bucuresti	ブカレスト
bucuresti	ブカレスト
fiind	being
romania	ルーマニア
romania	ルーマニア
jpg	jpg
lista	リスト
lista	リスト
ucraina	ウクライナ
nume	ワル
nume	名前
nume	氏名
nume	名称
ani	アニ
ani	年数
avea	had
pana	まで
pana	until
pana	まで
pana	フェザー
pana	羽根
pana	羽毛
poate	たぶん
poate	多分
poate	未定
doua	二つ
doua	二人
doua	二つ
doua	二人
rege	king
rege	国王
rege	キング
alte	その他
cand	いつ
cand	とき
cand	いつ
cand	とき
regiune	リージョン
regiune	地域
anii	年数
parte	パート
parte	部分
judetul	カウンティ
judetul	カウンティ
centura	シートベルト
centura	ベルト
centura	ベルト
dinastia	王朝
septembrie	九月
timp	タイム
timp	時間
despre	について
unde	どこ
majoritatea	過半数
densitate	密度
limba	言語
limba	言語
iunie	六月
multe	多数
prima	ファースト
prima	最初
prima	プレミアム
octombrie	十月
august	アウグスト
sat	村落
sat	ヴィレッジ
sat	sat
martie	マーチ
martie	行進曲
biserica	チャーチ
biserica	教会堂
biserica	教会
biserica	チャーチ
biserica	教会堂
biserica	教会
fisier	ファイル
fisier	ファイル
toate	all
toate	すべて
latns	latns
latd	latd
longd	longd
adresa	アドレス
adresa	住所
adresa	アドレス
adresa	住所
noiembrie	十一月
cum	how
imagine	画像
imagine	写真
imagine	画像
imagine	イメージ
statul	都道府県
statul	状態
avut	had
familia	家族
numele	名前
numele	氏名
numele	名称
timpul	タイム
timpul	時間
nord	ノース
nord	ノール
principala	メイン
principala	メイン
sud	サウス
aprilie	四月
aprilie	エイプリル
erau	were
loc	place
loc	場所
loc	スポット
primul	ファースト
primul	最初
doar	のみ
doar	ちょうど
doar	ジャスト
doar	ただ
editura	出版
editura	パブリッシャー
editura	出版社
asteroid	小惑星
februarie	二月
recensamantului	国勢調査
trei	三人
trei	three
trei	スリー
asteroizi	小惑星
longm	longm
latm	latm
discutie	話し合い
discutie	ディスカッション
discutie	話し合い
discutie	ディスカッション
discutie	話し合い
discutie	ディスカッション
franta	フランス
franta	フランス
franta	フランス
partea	パート
partea	部分
fara	なし
fara	なし
departamentul	部署
departamentul	学科
departamentul	部門
raionul	通路
data	デート
data	日付
data	データ
data	デート
data	日付
departament	部署
departament	学科
departament	部門
unul	一つ
unul	one
unul	一人
unul	ワン
apoi	それから
grup	集団
grup	グループ
locul	place
locul	場所
locul	スポット
oras	タウン
oras	シティ
oras	都市
oras	タウン
oras	シティ
oras	都市
oras	タウン
oras	シティ
oras	都市
pot	can
camp	camp
camp	キャンプ
camp	フィールド
germania	ドイツ
face	メイク
face	make
satul	村落
satul	ヴィレッジ
national	国民
national	ナショナル
national	国民
national	ナショナル
national	国民
national	ナショナル
note	注記
note	メモ
note	備考
note	ノート
perioada	期間
perioada	ピリオド
perioada	期間
perioada	ピリオド
minoritate	少数
general	全般
general	一般
general	将軍
razboi	戦争
razboi	戦争
peste	オーバー
peste	over
peste	魚類
peste	フィッシュ
romana	ローマン
romana	ロマン
romana	ローマ
afla	学習
afla	学ぶ
iii	iii
duce	公爵
duce	デューク
roman	ローマン
roman	ロマン
roman	ローマ
roman	小説
existand	既存
vedere	表示
vedere	見る
vedere	ビュー
wikipedia	wikipedia
