भ्रमित	বিভ্রান্ত
हिसार	হিসার
बाप	পিতার
बाप	বাপ
बाप	বাবা
बाप	পিতা
राजेंद्र	রাজেন্দ্র
नालंदा	নালন্দা
थाली	প্লেট
थाली	প্লেটে
नग्न	উলঙ্গ
नग्न	নগ্ন
नग्न	বিবস্ত্র
नग्न	নগ্ন
एनालॉग	অ্যানালগ
युगों	যুগ
प्रतिबिंब	প্রতিবিম্ব
प्रतिबिंब	প্রতিচ্ছবি
प्रतिबिंब	প্রতিফলন
प्रतिबिंब	আয়না
प्रतिबिंब	মিরর
प्रतिबिंब	আয়নার
ब्लेड	ব্লেড
सदिश	ভেক্টর
स्थगित	স্থগিত
स्थगित	অপেক্ষারত
स्थगित	অপেক্ষমান
स्थगित	অসমাপ্ত
गिरोह	গ্যাং
पावन	পবিত্র
पावन	হলি
मर्यादा	মর্যাদা
बैले	ব্যালে
बसंत	স্প্রিং
बसंत	ঝর্ণা
बसंत	বসন্তে
बसंत	বসন্ত
बसंत	ঝরনা
शर्ट	শার্ট
शर्ट	জামা
शर्ट	শার্টের
शर्ट	শার্ট
शर्ट	জামা
न्यायाधीशों	বিচারকদের
न्यायाधीशों	বিচারক
तेरी	তেরি
सेंसर	সেন্সর
स्टैंड	স্ট্যান্ড
स्टैंड	দাঁড়ায়
उपनिवेशों	কলোনি
उपनिवेशों	উপনিবেশ
बहुवचन	বহুবচন
एकाधिकार	একচেটিয়া
एकदिवसीय	ওডিআই
एकदिवसीय	ওয়ানডে
कार्गो	কার্গো
आमेर	আমের
दारा	দারা
फ़्रांसीसी	ফরাসী
फ़्रांसीसी	আর্সেনিক
फ़्रांसीसी	ফরাসি
जादूगर	উইজার্ড
जादूगर	জাদুকর
जादूगर	ঐন্দ্রজালিক
प्रतिमान	প্যাটার্ন
सच्चा	সত্য
सच्चा	প্রকৃত
सच्चा	সত্যিকারের
सच्चा	সত্যি
वोल्ट	ভোল্ট
अमोनिया	অ্যামোনিয়া
विश्लेषणात्मक	বিশ্লেষন
प्रतिबद्धता	অঙ্গীকার
प्रतिबद्धता	প্রতিশ্রুতি
डू	ডু
पकड़ा	ধরলাম
कॉफ़ी	কফি
वीणा	বীনা
उल्टा	বিপরীত
उल्टा	বিপরীত
एलेन	এলেন
किराए	ভাড়া
किराए	ভাড়ার
मांसपेशी	মাসল
मांसपेशी	পেশী
मांसपेशी	পেশি
विषाक्त	বিষাক্ত
तूफ़ान	ঝড়
तूफ़ान	টাইফুন
