que	toga
del	del
los	the
con	sa
las	the
una	jedan
una	jedna
categoría	kategoriju
categoría	kategorija
para	za
como	kako
como	kao
como	like
fue	bio
más	više
sus	njihov
sus	njihovi
sus	njihovo
sus	njihova
sus	njihove
sus	njegovo
sus	njegov
sus	njegova
sus	vaš
sus	tvoje
sus	your
sus	its
también	također
también	takođe
también	također
también	takođe
también	too
entre	među
entre	entre
entre	između
este	ove
este	istok
pero	ali
años	godina
dos	dos
dos	dva
son	su
sobre	oko
año	godina
desde	od
esta	ove
enlaces	veza
hasta	čak
hasta	do
externos	vanjska
externos	vanjski
ciudad	grad
ciudad	grad
ciudad	ciudad
ser	ser
parte	stranka
parte	partija
parte	dio
durante	tokom
sin	bez
sin	grijeha
sin	grijeh
donde	gdje
donde	gde
san	san
san	sveti
san	saint
era	bio
nacional	nacionalni
nacional	nacionalna
nacional	nacional
primera	prvo
primera	prvi
team	tim
team	ekipa
cuando	kada
nombre	ime
estados	države
estados	država
utc	utc
siglo	vijek
después	nakon
después	kasnije
españa	španija
tiene	ima
otros	ostala
otros	ostale
otros	drugim
otros	drugi
otros	ostali
otros	drugi
gran	velikih
gran	veliki
gran	velikih
gran	gran
gran	velika
gran	grand
gran	reisul
unidos	ujedinjene
unidos	united
unidos	ujedinjena
unidos	ujedinjeni
puede	može
estado	status
estado	država
estado	uslovom
estado	uslov
estado	stanje
uno	uno
uno	jedan
uno	jedna
lugar	mjesto
lugar	lokacija
primer	prvo
primer	prvi
población	populacija
muy	veoma
muy	vrlo
había	imao
mismo	ista
mismo	isti
mismo	isto
nueva	novi
fueron	bili
historia	priča
historia	historija
club	kluba
eran	bili
cual	kom
cual	koja
cual	koju
universidad	univerzitet
universidad	fakultet
universidad	koledž
forma	oblik
forma	formi
forma	oblik
forma	formirati
forma	forma
forma	formi
forma	formiraju
tres	tres
tres	tri
grupo	grupa
general	general
guerra	rat
guerra	ratu
aunque	iako
aunque	iako
tras	nakon
familia	porodice
familia	porodica
familia	porodično
además	također
además	takođe
además	plus
todo	sve
todo	all
todo	svi
todo	sve
sur	južni
sur	sur
sur	jug
mayor	major
tiempo	vremenska
tiempo	vrijeme
provincia	pokrajina
partido	stranka
partido	partija
partido	meč
contra	protiv
contra	contra
encuentra	nalaz
encuentra	nađe
encuentra	pronalaze
encuentra	pronaći
encuentra	find
encuentra	naći
encuentra	pronalazi
encuentra	nađe
encuentra	nalazi
municipio	township
municipio	općina
otras	ostala
otras	ostale
otras	drugim
otras	drugi
