les	το
est	ανατολή
est	ανατολική
est	ανατολικά
est	ανατολικό
est	ιστ
une	ένας
une	ενα
une	μία
une	ένα
une	μια
catégorie	κατηγορια
catégorie	κατηγορία
pour	για
pour	for
qui	ποιος
que	αυτό
que	ότι
que	that
avec	με
son	ήχο
son	ήχος
son	its
plus	συν
plus	plus
plus	περισσότερο
plus	περισσότεροι
plus	πιο
plus	περισσότερες
plus	περισσότερα
pas	όχι
pas	οχι
elle	αυτή
elle	εκείνη
elle	ελ
été	καλοκαιρι
été	καλοκαίρι
été	σάμμερ
été	σάμερ
avancement	progress
avancement	πρόοδος
avancement	πρόοδο
comme	όπως
comme	οπως
comme	like
comme	σαν
mais	αλλά
mais	αλλα
mais	μα
cette	αυτο
cette	αυτό
pop	pop
pop	ποπ
deux	δυο
deux	two
deux	δύο
ses	ses
ses	its
naissance	naissance
naissance	γεννήθηκα
naissance	γεννημένος
naissance	γεννήθηκε
naissance	γεννηθείς
naissance	γέννησης
naissance	γέννηση
naissance	γέννα
aussi	επισης
aussi	επίσης
france	γαλλία
saint	άγιο
saint	ιερό
saint	ιερά
saint	αγία
saint	αγιος
saint	άγιος
après	μετα
après	μετά
fait	φτιαγμένο
fait	φτιαγμένα
fait	φτιαγμένη
fait	έκανε
fait	κάνει
fait	έγινε
fait	εγινε
notes	νότες
notes	σημειώσεις
entre	ανάμεσα
entre	μεταξύ
entre	μεταξυ
sous	υπό
même	ιδια
même	ίδια
même	ίδιο
même	ίδιοι
nom	επίθετο
nom	επώνυμο
nom	ονομασία
nom	όνομα
nom	ονομα
français	français
français	γάλλοι
français	γάλλος
français	γαλλική
français	γαλλικό
français	γαλλικά
paris	paris
paris	πάρις
paris	παρίσι
lui	αυτόν
lieu	τόπος
lieu	μέρος
lieu	τόπος
lieu	τοποθεσία
cet	αυτο
cet	αυτό
autres	λοιπά
autres	αλλα
autres	άλλες
autres	άλλα
autres	άλλους
autres	άλλοι
autres	λοιποί
autres	αλλοι
autres	άλλα
décès	θάνατος
décès	θάνατο
décès	θανάτους
décès	θάνατοι
références	αναφορές
références	παραπομπές
liens	σύνδεσμοι
liens	δεσμοί
liens	συνδέσεις
liens	συνδέσμους
était	ήταν
commune	κοινές
commune	κοινή
commune	κοινός
commune	συχνές
ville	town
ville	πολη
ville	πόλη
ville	πολη
ville	πόλη
ville	city
jean	jean
jean	τζιν
jean	τζην
jean	ζαν
jean	τζων
jean	τζον
jean	john
jean	ιωάννης
date	ημερομηνία
date	ραντεβού
date	ημερομηνια
peut	μάη
peut	μάιος
peut	μέι
peut	μάης
peut	can
peut	μπορεί
depuis	απο
depuis	από
première	πρεμιέρα
première	πρώτο
première	πρώτον
première	πρώτη
première	πρώτα
première	πρώτος
ans	ans
ans	χρονια
ans	ετη
ans	χρόνια
ans	έτη
alors	τότε
alors	μετά
externes	εξωτερική
externes	εξωτερικά
externes	εξωτερικό
externes	εξωτερικός
site	website
site	ιστοσελίδα
site	ιστότοπος
site	site
premier	πρωθυπουργός
premier	premier
premier	πρώτο
premier	πρώτον
premier	πρώτη
premier	πρώτα
premier	πρώτος
ces	αυτά
ces	αυτές
ces	οἱ
ces	αυτα
fut	ήταν
http	http
film	ταινία
film	ταινια
film	μεμβράνη
film	ταινία
film	ταινια
film	φιλμ
voir	δείτε
voir	βλέπεις
voir	βλέπε
voir	δειτε
voir	θεα
voir	θέα
voir	όψη
voir	προβολή
voir	view
pays	χωρα
pays	χώρα
pays	χώρες
pays	χωρες
source	πηγή
source	πηγη
ils	αυτοί
grand	μεγάλα
grand	μεγάλο
grand	μεγάλη
grand	μεγάλα
grand	μεγάλος
grand	μεγάλο
grand	τέλεια
grand	υπέροχα
grand	χιλιάρικο
grand	grand
tout	ολα
tout	όλα
tout	ολα
tout	όλοι
tout	όλες
tout	όλα
groupe	ορχήστρα
groupe	συγκρότημα
groupe	μπάντα
groupe	όμιλος
groupe	ομαδα
groupe	group
groupe	ομάδα
également	επισης
également	επίσης
titre	τίτλος
monde	world
monde	κόσμο
monde	κόσμος
nord	βορρά
nord	βορεια
nord	βόρεια
nord	βορράς
nord	βόρειος
nord	βόρειο
nord	βόρεια
nord	βορεια
nord	nord
années	χρονια
années	ετη
années	χρόνια
années	έτη
bien	καλή
bien	καλο
bien	καλό
bien	καλά
bien	καλα
bien	λοιπόν
contre	ενάντια
contre	κόντρα
contre	εναντίον
liste	λίστα
liste	κατάλογος
puis	τότε
puis	μετά
équipe	απόσπασμα
équipe	διμοιρία
équipe	ομάδα
équipe	ομαδα
équipe	ομάδα
club	club
club	κλάμπ
club	λέσχη
club	κλαμπ
sud	sud
sud	νότιο
sud	νοτια
sud	νότια
sud	νότος
partie	πάρτυ
partie	κόμμα
partie	πάρτι
partie	party
partie	μέρος
partie	μεροσ
avant	μπροστινό
avant	μπροστά
avant	μέτωπο
avant	πρίν
avant	πριν
non	όχι
non	οχι
très	πολυ
très	πολύ
