ラオス	laos
デュオ	duo
りえ	rie
リビア	libya
ジェネレーション	henerasyon
ジェネレーション	generation
丹羽	niwa
ランス	lance
支配人	namamahala
支配人	manager
支配人	tagapamahala
クリニック	klinika
クリニック	klinika
クリニック	clinic
キッチン	kusina
レイプ	panggagahasa
ベータ	beta
すみれ	sumire
葛西	kasai
クイン	quinn
真珠	pearl
真珠	perlas
真珠	pearls
赤外線	infrared
マカオ	macau
スカート	skirt
スカート	palda
醤油	soy
アイン	anh
アイン	ein
マシュー	mateo
チャリティー	kawanggawa
チャリティー	charity
職場	pinagtatrabahuhan
ウェルズ	wells
ノリ	nori
ジェファーソン	jefferson
ウィスコンシン	wisconsin
英二	eiji
カタカナ	katakana
貴子	takako
淳一	junichi
隕石	meteorita
岩石	bato
買う	bilhin
買う	bibilhin
買う	bumili
投げる	throw
投げる	ihagis
盗賊	bandit
盗賊	bandits
シュトラウス	strauss
親戚	relatives
親戚	kamaganak
シモン	simon
羽根	feather
イルカ	dolphin
イルカ	dolphins
バーク	bark
バーク	burke
アンサンブル	ensemble
かご	basket
孤児	orphan
ホープ	umaasa
ホープ	umasa
ホープ	sana
アームストロング	armstrong
皮肉	panunuya
テクニカル	teknikal
書記官	clerk
蝦夷	ezo
華族	kazoku
絞り	aperture
拷問	torture
ルル	lulu
吸血鬼	bampira
吸血鬼	vampire
アクセル	axel
柳沢	yanagisawa
清掃	linis
清掃	paglilinis
排水	kanal
ダコタ	dakota
ヘレン	helen
立案	pagbalangkas
プロトタイプ	tularan
プロトタイプ	prototype
ウリ	melon
ウリ	milon
ウリ	uli
瀬川	segawa
天候	panahon
却下	tanggihan
却下	tinanggihan
シド	sid
名取	natori
スローガン	slogan
スローガン	islogan
綾瀬	ayase
負債	liabilities
肯定	affirmative
バルカン	vulcan
バルカン	balkan
承諾	pahintulot
承諾	acceptance
承諾	pagtanggap
添付	kalakip
添付	attachment
添付	attachment
ポーズ	pose
ルック	tumingin
ルック	look
カルシウム	calcium
迂回	diversion
克服	nagtagumpay
克服	overcome
波長	alonghaba
和歌	waka
フランチャイズ	franchise
ジュリア	julia
ボウリング	bowling
プリメーラ	primera
コソボ	kosovo
ジャッキー	jackie
マディソン	madison
サビ	kalawang
静香	shizuka
おもちゃ	toy
おもちゃ	laruan
おもちゃ	laruan
イヴ	eve
イヴ	eba
ポピュラー	popular
ポピュラー	sikat
鋼鉄	bakal
鋼鉄	steel
鋼鉄	asero
ケイト	kate
パンフレット	polyeto
パンフレット	polyeto
メーター	meter
リンダ	linda
体積	volume
体積	volume
組み立て	assembly
組み立て	pagpupulong
組み立て	pagtitipon
基底	basehan
陽一	yoichi
有名人	celebrity
有名人	celebrities
ロボ	robo
経費	gastos
経費	gastusin
経費	gastos
経費	dag
ハーバー	harbour
ホリデー	pista
ホリデー	holiday
ミルウォーキー	milwaukee
超過	sobra
超過	labis
ロク	rok
インテリア	panloob
公使	ministro
公使	minister
ジョッキー	jockey
キリスト教徒	christian
キリスト教徒	kristiyano
キリスト教徒	kristiyano
リヴァプール	liverpool
スコープ	scope
スコープ	saklaw
児島	kojima
カメ	pagong
カメ	turtles
制裁	sanksiyon
バックアップ	backup
ステファン	stefan
ステファン	stephan
スーダン	sudan
スーダン	sudan
細い	manipis
細い	ginhawa
細い	payat
エキス	extract
エキス	kunin
キッズ	pambata
改宗	convert
憲章	charter
釜石	kamaishi
正雄	masao
キティ	kitty
由美子	yumiko
敦子	atsuko
バースト	burst
警部補	tenyente
正治	masaharu
スキャンダル	scandal
スキャンダル	iskandalo
トンプソン	thompson
キプロス	cyprus
キプロス	cypriot
ナイジェリア	nigerian
ナイジェリア	nigeria
ターナー	turner
調和	pagkakatugma
調和	harmony
調和	pagkakaisa
早乙女	saotome
笑う	tawa
笑う	tumatawa
笑う	tawa
笑う	tumawa
アゼルバイジャン	azerbaijan
アゼルバイジャン	aserbayan
サントス	santos
支出	paggasta
マインド	isip
知多	chita
ミゲル	miguel
三船	mifune
元老院	senado
銘柄	tatak
肺炎	pulmonya
三角形	tatsulok
クジラ	whales
クジラ	balyena
レーニン	lenin
叫び	sumisigaw
ヴュルテンベルク	württemberg
上総	kazusa
ハープ	harp
ソプラノ	soprano
知人	kakilala
知人	kakilala
北京市	beijing
アミノ酸	asidong
遂に	wakas
竹下	takeshita
ムード	kalooban
ムード	mood
パブリッシング	paglalathala
パブリッシング	publishing
山岡	yamaoka
薬局	parmasya
薬局	botika
薬局	parmasya
薬局	pharmacy
下町	downtown
速水	hayami
ジョヴァンニ	giovanni
カラス	uwak
模倣	pekeng
序曲	overture
ウォルト	walt
発酵	pagbuburo
伯父	tito
伯父	tiyuhin
伯父	uncle
伯父	tiyo
楽しい	masaya
楽しい	katuwaan
七瀬	nanase
トマト	kamatis
トマト	kamatis
騒音	ingay
英明	matalino
基質	substrate
流す	flush
府県	prefectures
エステル	ester
エステル	estelle
ラルフ	ralph
ノーマル	normal
インタフェース	interface
遺物	artifact
遺物	relics
ナチュラル	likas
ナチュラル	natural
ボヘミア	bohemia
紡績	spinning
ディアス	díaz
ディアス	diaz
チャイナ	tsina
チャイナ	china
ディフェンダー	defender
ディフェンダー	kalaban
入国	imigrasyon
入国	pandarayuhan
入国	immigration
代理人	kinatawan
代理人	ahente
代理人	agent
