年	tahun
月	bulan
月	moon
月	bulan
月	bulan
日	hari
和	dan
村	kampung
人	lelaki
人	people
人	orang
人	rakyat
人	orng
小行星	asteroid
小行星	asteroid
大	besar
德	tak
重	berat
一	satu
一	one
定向	orientasi
但	tapi
但	tetapi
也	juga
拉	tarik
後	selepas
留言	mesej
市	city
市	bandaraya
市	bandar
市	kota
市	munisipaliti
市	perbandaran
克	gram
新	new
新	baharu
新	baru
站	stesyen
站	stesen
站	stand
站	berdiri
州	keadaan
州	negara
州	negeri
州	state
研究	study
研究	kajian
研究	studies
研究	kajian
研究	pengajian
研究	research
研究	kajian
研究	penyelidikan
日本	jepun
三	tiga
前	sebelum
家	rumah
近	berhampiran
近	near
近	dekat
米	nasi
米	beras
米	meter
多	lebih
多	lagi
多	more
使用	penggunaan
使用	kegunaan
使用	menggunakan
使用	guna
使用	diguna
使用	digunakan
基	kei
王	raja
王	king
王	wang
林	lam
林	lin
公司	korporat
公司	syarikat
公司	syarikat
李	lee
一個	satu
一個	one
西	west
西	barat
省	wilayah
省	provinsi
省	pentadbiran
度	darjah
度	ijazah
度	darjah
卡	kad
卡	card
卡	kad
二	dua
小	kecik
小	kecil
小	kecik
小	kecil
小	tiny
相似	serupa
相似	seiras
相似	kemiripan
相似	persamaan
區	zon
區	daerah
區	keluasan
區	kawasan
區	area
人口	demografi
人口	demografi
人口	demografi
人口	penduduk
人口	populasi
四	empat
四	four
政府	pemerintahan
政府	kerajaan
道	dao
將	will
將	akan
高	tinggi
高	tall
高	gao
美國	amerika
美國	america
集	set
集	episod
台灣	taiwan
布	kain
世界	world
世界	dunia
南	nan
南	selatan
南	nam
路	jalan
路	road
五	lima
本	ben
金	jin
金	emas
金	gold
金	kim
文	wen
林肯	lincoln
人民	people
人民	orang
人民	rakyat
人民	orng
包括	disertakan
包括	termasuk
包括	sertakan
包括	termasuk
包括	termasuk
包括	merangkumi
峰	puncak
峰	kemuncak
峰	puncak
位於	bertempat
其他	lain
其他	lain
塔	pagoda
塔	tower
塔	menara
縣	county
縣	kaunti
縣	canton
第一	pertama
第一	first
第一	dulu
第一	dahulu
任	ren
時間	waktu
時間	masa
時間	time
比	nisbah
元	meta
元	yuan
元	dolar
元	won
元	dimenangi
元	menang
中國	china
中國	cina
六	six
六	enam
主要	pengkhususan
主要	mejar
主要	major
主要	utama
城	city
城	bandaraya
城	bandar
城	kota
城	castle
城	istana
法	kaedah
中心	pusat
中心	pusat
中心	centre
中心	pusat
線	line
線	garisan
線	garisan
線	jaluran
線	bebenang
第二	second
第二	kedua
山	gunung
山	mountain
山	pergunungan
山	gunung
山	mount
山	lekap
山	bukit
山	hill
山	ganang
山	banjaran
山	pergunungan
加	add
加	plus
太空	ruang
太空	space
太空	angkasa
自己	diriku
自己	diri
張	chang
張	zhang
內	inner
內	batin
主	tuhan
主	lord
雷	ray
管理	pengurusan
管理	management
管理	menguruskan
管理	urus
管理	uruskan
管理	menguruskan
成為	become
建	binaan
建	membangun
建	membina
建	build
建	bina
建	dibina
性	seksualiti
性	seksual
性	jantina
性	seks
性	sex
成	sung
成	dinyanyikan
代表	perwakilan
代表	perwakilan
代表	wakil
代表	delegasi
那	barulah
那	then
那	kemudiannya
那	kemudian
公里	kilometer
公里	kilometer
公里	kms
公里	kilometer
海	sea
海	laut
海	samudera
海	lautan
海	ocean
這	ni
大學	universiti
大學	universiti
大學	kolej
版	edition
版	edisi
版	version
版	versi
從	dari
從	daripada
羅	luo
原	original
原	hara
工作	job
工作	kerja
工作	bekerja
工作	jobs
工作	pekerjaan
工作	berkerja
工作	berfungsi
工作	bekerja
北	kita
北	utara
北	north
政治	politik
政治	politik
星	star
星	bintang
星	bintang
她	she
陳	chen
陳	chan
陳	trần
面	mee
面	mie
面	mi
作品	works
作品	berfungsi
河	sungai
河	river
文化	kebudayaan
文化	budaya
條目	penyertaan
馬	kuda
馬	kuda
氏	clan
氏	suku
氏	puak
氏	thi
更	lebih
更	lagi
更	more
曼	mann
電影	movie
電影	cereka
電影	filem
電影	pawagam
電影	cinema
電影	filem
電影	movies
電影	cereka
電影	filem
季	musim
季	musim
龍	naga
龍	paru
龍	lung
龍	dragon
龍	naga
女	wanita
女	perempuan
女	betina
正式	officially
正式	formal
外	luar
外	diluar
明	venue
明	ming
美	cantik
美	indah
美	keindahan
美	kecantikan
美	beauty
字	perkataan
字	perkataan
因為	kerana
因為	sebab
北京	beijing
北京	peking
不同	berbeza
足球	soccer
足球	bolasepak
目前	semasa
所有	semua
部分	separa
部分	sebahagian
部分	partial
部分	sebahagiannya
中央	pusat
森	sen
森	mori
郡	county
郡	kaunti
國家	country
國家	negara
國家	keadaan
國家	negara
國家	negeri
國家	state
國家	national
國家	kebangsaan
國家	negara
球	bola
球	bebola
生	mentah
生	raw
但是	tapi
但是	tetapi
街	jln
街	street
提供	disediakan
提供	menyediakan
提供	sediakan
城市	city
城市	bandaraya
城市	bandar
城市	kota
城市	bandaraya
城市	bandar
一些	sesetengahnya
一些	sesetengah
長	panjang
長	long
水	air
人物	aksara
人物	watak
軍	tentera
軍	army
加入	join
加入	disertai
加入	joined
加入	menyertai
加入	accession
英	ying
上海	shanghai
史	shi
第三	ketiga
屬	genus
魚	ikan
波	ombak
波	lambai
波	wave
波	gelombang
回	belakang
回	punggung
無	tiada
吉	kat
你	anda
你	kau
方	taring
方	fang
話	loghat
東	timur
東	dong
英國	england
英國	inggeris
周	minggu
周	minggu
周	zhou
周	chow
石	shi
石	batu
事件	insiden
事件	insiden
事件	peristiwa
事件	acara
事件	peristiwa
事件	event
事件	acara
建立	penciptaan
建立	penubuhan
建立	pendirian
建立	binaan
建立	membangun
建立	membina
建立	build
建立	bina
生活	living
生活	life
生活	hidup
生活	kehidupan
生活	hidupan
派	pai
教育	pendidikan
教育	pendidikan
車站	stesyen
車站	stesen
之後	selepas
萬	wan
國際	antarabangsa
獎	anugerah
獎	prize
獎	penghargaan
獎	anugerah
完成	selesai
