кратеров	kraattereita
тан	tang
спектр	spectre
спектр	taajuuksien
спектр	kirjo
курт	kurt
курт	curt
ширину	leveys
нации	kansakunta
джин	jin
джин	gin
джин	giniä
джин	jean
джин	gene
джин	geeni
продано	myi
продано	myyty
продано	myydään
мощный	voimakasta
мощный	voimakkaita
мощный	voimakas
кругах	ympyrää
кругах	piireissä
записать	levy
записать	kirjataan
записать	ennätys
испанская	espanjan
испанская	espanjalaiset
испанская	espanjalainen
испанская	espanja
испанская	espanjaa
комплексы	komplekseja
мол	mal
мол	mol
моложе	nuoremman
моложе	nuorempia
моложе	nuorempi
интерпретации	tulkinnat
льда	jää
льда	jäitä
льда	jäät
льда	jäätä
северные	pohjoinen
северные	pohjois
сопровождении	saatettiin
обоснования	perustelut
зимний	talven
зимний	talvi
зимний	winter
зимний	talvella
институты	toimielimiin
институты	toimielimet
институты	laitokset
институты	toimielimiä
институты	toimielinten
немецкое	saksaa
немецкое	saksalainen
немецкое	saksa
немецкое	saksaksi
немецкое	saksan
норвежский	norjalainen
норвежский	norjaksi
норвежский	norjan
норвежский	norja
командиров	komentajat
взяв	ottaa
взяв	ottaminen
взяв	ottaen
взяв	ottamassa
лейтенанты	luutnantit
вулкан	tulivuori
дополнительная	lisä
дополнительная	ylimääräiset
дополнительная	ylimääräistä
дополнительная	extra
дополнительная	ylimääräinen
дополнительная	lisä
десятилетий	vuosikymmeniä
десятилетий	vuosikymmenten
десятилетий	vuosikymmenien
десятилетий	vuosikymmen
выросла	kasvoi
выросла	kasvanut
гостиницы	hotellia
гостиницы	hotellit
конкретный	erityiset
конкретный	erityinen
конкретный	erityisiä
конкретный	erityistä
конкретный	konkreettinen
конкретный	konkreettista
конкретный	konkreettisia
конкретный	konkreettiset
конкретный	betonia
верить	uskoa
верить	uskoo
верить	usko
купить	ostetaan
купить	ostaa
купить	osta
верность	uskollisuus
верность	uskollisuus
верность	uskollisuutta
поднять	nostaa
поднять	nosto
поднять	nosta
поднять	nostaa
поднять	nosta
поднять	kasvattaa
плата	maksu
плата	palkkio
плата	maksua
репутацию	mainetta
репутацию	maine
школьников	koululaisten
коммуникации	viestintä
коммуникации	tietoliikenne
коммуникации	viestinnän
костюм	puku
костюм	asu
костюм	puvun
костюм	puku
избирательный	valikoiva
избирательный	valikoivaa
маяк	majakka
маяк	beacon
маяк	majakka
норма	norma
норма	normi
норма	norm
отдельное	erikseen
отдельное	erilliset
отдельное	erillinen
воин	soturi
воин	taistelija
крус	cruz
отбора	valikoima
отбора	valinta
бойцы	taistelijoiden
бойцы	hävittäjiä
бойцы	taistelijoita
бойцы	hävittäjät
лук	allium
лук	sipuli
лук	sipulia
лук	sipulia
лук	sipuli
лук	keula
лук	kumartaa
лук	jousi
ушел	mennyt
ушел	poissa
прусской	preussin
бабушка	isoäiti
бабушка	mummo
бабушка	isoäiti
бабушка	mummi
бабушка	mummo
бабушка	mummi
бабушка	isoäiti
бабушка	mummo
фишер	fisher
фишер	fischer
симфония	sinfonia
скажите	sano
разрешено	valtuutettu
разрешено	sallittu
разрешено	sallitaan
разрешено	sallittua
разрешено	sallitut
разрешено	sallittu
разрешено	sallitaan
разрешено	sallitut
разрешено	sallittu
разрешено	valtuutettu
разрешено	sallittu
гражданские	siviili
гражданские	siviili
гражданские	siviilit
гражданские	siviilejä
марино	marinon
марино	marino
яковлев	jakovlev
богдан	bogdan
проектирование	suunnittelu
проектирование	suunnitella
проектирование	design
проектирование	muotoilu
функционирования	toimiva
низкая	matala
низкая	matalalla
низкая	vähä
низкая	alhainen
краснодар	krasnodar
завершено	suoritettu
завершено	päätökseen
завершено	päättynyt
завершено	valmis
завершено	valmiit
завершено	päättynyt
франс	frans
франс	ranska
франс	ranskan
индейцы	intialaiset
индейцы	intiaaneja
индейцы	intiaanit
трио	trio
польшу	puola
польшу	puolaa
польшу	puolan
толщиной	paksu
толщиной	paksua
толщиной	paksut
достоинство	ihmisarvo
достоинство	arvokkuutta
верующих	uskovat
верующих	uskollinen
верующих	uskolliset
пустыни	aavikkoa
пустыни	aavikon
пустыни	desert
пустыни	aavikot
оборона	puolustus
оборона	puolustukseen
оборона	puolustus
оборона	puolustusta
оборона	puolustaminen
оборона	puolustus
аллен	allen
технически	teknisesti
дяди	sedät
христос	kristus
героиня	sankaritar
снята	peruutettu
эрика	erika
эрика	erica
требовать	vaadi
требовать	vaatia
требовать	edellytä
приобретает	hankkii
согласиться	hyväksy
согласиться	sovittava
упомянуть	mainitse
упомянуть	mainita
упомянуть	maininta
пещера	luola
снимаю	kuvaaminen
снимаю	kuvaukset
снимаю	kuvaan
гости	vierailijoita
гости	vieraat
гости	vierailijat
гости	kävijöitä
гости	vieraita
гости	vieraat
гости	vieraita
обнаружена	löydetty
обнаружена	löydettiin
обнаружена	havaittu
обнаружена	havaitut
обнаружена	havaittiin
переворот	vallankaappauksen
переворот	vallankaappaus
южные	etelä
южные	etelän
южные	eteläinen
афганистан	afganistan
афганистан	afganistanin
перри	perryn
перри	perry
обслуживание	palvelujen
обслуживание	palvelut
обслуживание	palveluja
обслуживание	huollon
обслуживание	palvelun
обслуживание	palvelu
обслуживание	palvelua
религиозный	uskonnollinen
религиозный	uskonnolliset
сортов	lajikkeiden
сортов	lajikkeet
выделение	valikoima
выделение	valinta
вероятности	todennäköisyyksiä
степанов	stepanov
банки	pankit
банки	pankkien
используемый	käytetyt
используемый	käytetty
используемый	käytettyjä
настоящие	real
настоящие	todellinen
настоящие	oikea
настоящие	aito
настоящие	todellista
настоящие	aidot
настоящие	aito
тяжёлый	raskasta
тяжёлый	painava
тяжёлый	raskas
тяжёлый	raskaat
сорок	neljäkymmentä
сорок	forty
ларри	larryn
ларри	larry
курган	kurgan
зам	zam
стояла	seisoi
стояла	seissyt
запретить	kieltää
запретить	kiellä
запретить	kielto
запретить	kieltäminen
запретить	kieltää
запретить	kiellä
крыша	katolla
крыша	katto
крыша	kattoa
крыша	katon
промышленный	teollinen
продюсеры	tuottajia
продюсеры	valmistajat
продюсеры	tuottajat
объяснение	selitys
объяснение	selitykset
уэст	west
уэст	lännessä
уэст	läntinen
уэст	länsi
атмосферу	ilmakehä
атмосферу	ilmapiiri
атмосферу	tunnelma
атмосферу	tunnelmaa
добавления	lisäykset
добавления	lisäyksiä
добавления	lisäykset
добавления	liitteet
добавления	lisäyksiä
прорыв	läpimurto
прорыв	puhjennut
сложный	monimutkaista
сложный	monitahoinen
сложный	monimutkainen
сложный	monimutkaiset
сложный	monimutkaista
сложный	monimutkaiset
сложный	monimutkainen
лат	lat
мастерство	ammattitaito
мастерство	käsityötä
мастерство	taito
мастерство	taitoa
мастерство	taidot
сущность	olemus
дизель	diesel
приоритет	etusijalla
приоритет	ensisijainen
приоритет	prioriteetti
кратко	lyhyesti
кратко	lyhyt
кратко	lyhyesti
боли	kipu
боли	kipua
боли	tuska
боли	tuskaa
секс	seksiä
секс	sukupuoli
секс	seksi
секс	sex
уолтер	walterin
уолтер	valtteri
уолтер	walter
инцидент	välikohtaus
посредничества	sovittelu
посредничества	välitys
серый	gray
серый	harmaata
серый	harmaa
серый	harmaita
серый	harmaata
серый	harmaa
серый	grey
филармонии	filharmoninen
точность	tarkkuutta
точность	tarkkuus
точность	tarkkuuden
точность	tarkkuutta
точность	tarkkuus
просмотра	katsominen
просмотра	katselu
политбюро	politbyroon
альянс	liitto
альянс	allianssi
заявляет	julistetaan
заявляет	julistaa
изящных	dainty
проза	proosaa
упорно	itsepäisesti
белки	proteiini
белки	proteiinia
белки	proteiineja
белки	proteiinin
белки	proteiineja
белки	oravia
мяса	liha
мяса	lihaa
скандал	skandaalin
скандал	skandaali
разницы	marginaali
свадьбы	häät
свадьбы	häitä
свадьбы	häissä
свадьбы	häät
свадьбы	häitä
ранение	vaurio
ранение	vahinko
ранение	vahinkoa
ранение	vammat
ранение	vamma
ранение	haavaa
ранение	haavan
ранение	haava
фсб	fsb
пенсильвания	pennsylvanian
цепь	piiri
цепь	circuit
цепь	ketjun
цепь	ketjut
цепь	ketjussa
цепь	ketju
видна	näkyvä
видна	näkyvissä
видна	näkyy
видна	näkyvät
пруд	lampi
звёздный	stellar
пятой	viidenneksi
пятой	viides
волгоград	volgogradin
персона	persoona
умершего	kuolleet
умершего	edesmennyt
умершего	vainaja
умершего	kuollut
длиннее	kauemmin
длиннее	pidempään
длиннее	pidempi
длиннее	pitempi
длиннее	pitempään
заменены	korvattu
заменены	tilalle
заменены	korvattu
заменены	korvattiin
процессор	suoritin
процессор	cpu
изредка	välillä
изредка	ajoittain
изредка	satunnaisesti
изредка	toisinaan
эксперименты	kokeita
эксперименты	kokeiluja
эксперименты	kokeet
монах	munkin
монах	munkki
гражданина	kansalaista
гражданина	kansalainen
гражданина	kansalaisena
флоренции	florence
флоренции	firenzen
флоренции	firenze
флоренции	firenzessä
занят	kiire
занят	kiireinen
баз	baz
добровольцев	vapaaehtoisia
добровольцев	vapaaehtoiset
добровольцев	vapaaehtoistyö
добровольцев	vapaaehtoista
добровольцев	vapaaehtoiset
добровольцев	vapaaehtoinen
рождение	syntyneet
рождение	synnytys
рождение	synty
рождение	syntymä
отменить	peruuttaa
отменить	perua
отменить	peru
отменить	kumoa
отменить	peru
винтовки	kiväärit
самостоятельный	autonominen
самостоятельный	itsenäiset
самостоятельный	itsenäinen
доски	taulut
доски	lautoja
отступить	perääntyä
очевидна	ilmiselvä
очевидна	ilmeinen
очевидна	ilmeistä
вступление	intro
вступление	esittely
существо	wesen
существо	olento
существо	olio
существо	otus
открытая	avaa
знати	aateliset
принесли	tuotiin
принесли	toi
единство	yhtenäisyys
единство	yhtenäisyyttä
единство	yhtenäisyyden
восьмой	kahdeksan
восьмой	kahdeksas
столкновение	törmäys
столкновение	törmäyksen
столкновение	kolari
столкновение	clash
батарея	akku
батарея	akun
оценил	luokitellut
оценил	arvostettu
оценил	arvostaa
оценил	arvostetaan
топливо	polttoaineen
топливо	polttoaineet
топливо	polttoaine
топливо	polttoainetta
топливо	polttoaineiden
топливо	polttoaineet
зенит	zenith
педагогических	pedagoginen
кристаллическая	kiteinen
рико	rico
снятие	nostamiseen
снятие	nosto
снятие	nostaminen
снятие	peruuttaminen
снятие	peruuttamista
снятие	vetäytyminen
прекращения	päättäminen
прекращения	irtisanominen
купил	hankittu
купил	osti
купил	ostettu
купил	osti
купил	ostettu
срочно	kiireellinen
срочно	kiireellistä
петрозаводск	petroskoi
похожие	samanlaisia
похожие	samankaltaiset
похожие	samankaltaista
похожие	samanlaiset
похожие	samanlainen
похожие	samankaltainen
похожие	kaksoisolento
врачи	lääkäreitä
врачи	lääkärit
врачи	lääkäreitä
врачи	lääkärit
врачи	tohtorit
глубину	syvyys
глубину	syvyyteen
галактики	galakseja
собирать	kerätä
собирать	kerää
уникальный	ainutlaatuinen
уникальный	ainutlaatuista
уникальный	yksilöllinen
уникальный	yksilölliset
массачусетс	massachusettsin
мюллер	müller
мюллер	mueller
мюллер	müller
мюллер	muller
мостов	sillat
мостов	siltoja
мостов	siltojen
миллион	miljoona
миллион	miljoonaa
комнаты	huoneita
комнаты	huoneet
комнаты	huonetta
комнаты	eläkkeet
ралли	ralli
ралли	kokoontuminen
сократить	lyhentää
сократить	vähentää
сократить	vähennä
сократить	pienentää
сократить	leikkaa
сократить	leikata
стрельба	ammuskelua
стрельба	ammuskelu
стрельба	ampua
стрельба	ampuminen
стрельба	tulitusta
стрельба	tulitus
стрельба	ammuskelua
раскопки	kaivaus
корпорация	corporation
австрийская	itävaltalainen
австрийская	itävalta
австрийская	itävallan
вершина	apex
перестал	pysähtyi
перестал	lopetti
перестал	pysäytetty
стрелок	ampujan
стрелок	ampuja
региональный	alueellinen
региональный	alueelliset
региональный	alueellisten
резиденция	kotipaikka
резиденция	residence
резиденция	asuinpaikka
резиденция	oleskelu
катание	luistelu
католицизм	katolilaisuus
изготовление	valmistus
изготовление	valmistus
изготовление	tekeminen
изготовление	tekoa
победителей	voittajia
победителей	voittajat
пользователи	käyttäjät
пользователи	käyttäjien
пользователи	käyttäjiä
землетрясения	maanjäristykset
землетрясения	maanjäristys
колоний	siirtokuntia
христиане	kristityt
христиане	kristitty
христиане	christian
христиане	kristillinen
христиане	kristian
христиане	kristityt
христиане	kristittyjen
христиане	kristittyjä
рнк	rna
тыл	taka
кипр	kyproksen
кипр	kypros
мифы	myytit
судьбу	kohtalon
судьбу	kohtalo
судьбу	destiny
судьбу	kohtalon
судьбу	kohtalo
судьбу	kohtaloa
глубины	syvyys
глубины	syvyyteen
ногу	jalkaa
ногу	jalka
ногу	jalan
ногу	jalkaa
ногу	jalka
страх	pelkoa
страх	pelko
страх	pelkää
страх	kunnioitusta
интересная	mielenkiintoinen
интересная	mielenkiintoista
интересная	kiinnostavaa
заседания	kokoukset
заседания	tapaamiset
заседания	kokouksiin
побеждает	voittaa
разработчик	kehittäjä
статуи	patsaita
активная	aktiivisia
активная	aktiiviset
активная	aktiivinen
активная	aktiivisena
оперативной	operatiivinen
оперативной	toiminnassa
оперативной	toiminnallinen
начальное	ensisijainen
заметили	huomannut
заметили	huomasi
вмешательства	häiriöitä
вмешательства	häiriö
вмешательства	häirintä
вмешательства	häiriöt
вмешательства	interventio
вмешательства	väliintuloa
вмешательства	väliintulo
корона	kruunua
корона	crown
корона	kruunu
корона	kruunun
корона	corona
политиков	poliitikkoja
политиков	poliitikot
посла	suurlähettiläs
посла	lähettiläs
регулярного	säännöllisesti
регулярного	tavallinen
регулярного	säännöllinen
регулярного	säännölliset
нова	nova
разногласия	erot
разногласия	eroja
разногласия	erimielisyydet
разногласия	erimielisyyttä
разногласия	erimielisyydet
разногласия	erimielisyydet
операторы	toimijoiden
операторы	operaattorit
операторы	toimijat
производственного	tuottava
производственного	tuottavia
риа	ria
традиционный	perinteisiä
традиционный	perinteiset
традиционный	perinteinen
генералов	kenraalit
фонтан	suihkulähde
ресторан	ravintola
ресторан	ravintolassa
присутствовали	osallistuivat
присутствовали	osallistui
присутствовали	osallistunut
углы	kulmat
углы	kulmat
партизаны	partisaaneja
настоящим	täten
отчет	kertomus
отчет	mietinnön
отчет	raportin
отчет	raportti
экспорт	vienti
экспорт	vienti
экспорт	viennin
экспорт	vie
экспорт	vientiä
антония	antonia
целое	koko
целое	kokonaisena
целое	kokonainen
целое	kokonaiset
учебников	oppikirjoja
подтверждено	varmistettu
подтверждено	vahvistetut
подтверждено	vahvistanut
подтверждено	vahvistettu
лёгкий	kevyet
лёгкий	kevyt
шведская	ruotsiksi
шведская	ruotsalainen
шведская	ruotsi
шведская	ruotsin
враг	vihollisia
враг	viholliset
враг	vihollinen
изменилось	muutettu
изменилось	muuttunut
изменилось	muutti
изменилось	vaihdettu
богдана	bohdan
наследник	perijä
наследник	perillinen
коммунистическая	kommunisti
коммунистическая	kommunistinen
коммунистическая	kommunistit
широкая	laaja
широкая	laaja
широкая	leveä
мюзикл	musikaali
резерв	rahastot
резерв	varaukset
резерв	varannot
резерв	varaus
резерв	varata
резерв	varaa
репрессий	sorron
прозвища	lempinimiä
поняли	ymmärretty
интересный	mielenkiintoinen
интересный	mielenkiintoista
интересный	kiinnostavaa
реальные	real
реальные	todellinen
реальные	oikea
реальные	aito
реальные	todellista
теннис	tennis
теннис	tennistä
ключи	avaimet
сделанные	tehdyt
сделанные	tehty
сделанные	valmistettu
сделанные	made
восприятия	käsitykset
банды	jengit
духовное	henkinen
духовное	henkistä
духовное	hengellinen
славу	mainetta
славу	maine
славу	kuuluisuus
славу	kunniaa
славу	kunnia
поляна	poljana
таиланд	thaimaahan
таиланд	thaimaan
таиланд	thaimaa
таиланд	thaimaassa
финансирование	rahoitus
финансирование	rahoitusta
финансирование	rahoitus
финансирование	rahoitusta
финансирование	rahoitus
младшая	nuorin
младшая	nuoremman
младшая	nuorempia
младшая	nuorempi
глазго	glasgow
соперников	kilpailijoita
соперников	kilpailijat
пакистан	pakistaniin
пакистан	pakistan
пакистан	pakistanin
пакистан	pakistanissa
робин	robinin
робин	robin
робин	robyn
библиотек	kirjastot
библиотек	kirjastojen
угроза	uhkaus
угроза	uhkaa
угроза	uhka
мтс	mts
председатели	tuolit
председатели	puheenjohtajat
председатели	tuoleja
председатели	puheenjohtajat
председатели	puheenjohtajat
мозель	mosellen
подростков	teinit
подростков	teinit
демо	demo
демо	esittely
демо	demos
трагедия	traagista
трагедия	traaginen
трагедия	murhenäytelmä
трагедия	tragedia
заседание	istunto
заседание	istunnon
заседание	istuntoa
заседание	tapaaminen
заседание	kokous
ушла	mennyt
ушла	poissa
теоретик	teoreetikko
луки	luca
луки	luka
таиланда	thaimaahan
таиланда	thaimaan
таиланда	thaimaa
таиланда	thaimaassa
таиланда	thaimaan
таиланда	thai
пройдя	ohimenevä
советники	neuvonantajia
советники	neuvonantajat
советники	neuvonantajien
троллейбус	johdinauto
отправили	lähetetty
отправили	lähetetty
отправили	lähetetyt
отправили	lähetti
аэропорты	lentoasemat
аэропорты	lentoasemien
аэропорты	lentokentät
гитлер	hitlerin
гитлер	hitler
гитлер	hitleriä
связанный	yhdistetty
связанный	yhteydessä
оплаты	maksu
оплаты	maksaminen
организмов	organismit
организмов	organismien
присоединиться	liittyä
присоединиться	liity
хьюстон	houston
хьюстон	houstoniin
хьюстон	houstonin
плацдарм	sillanpää
счастье	onni
счастье	onnen
счастье	onnea
счастье	onnellisuus
загрузки	lataukset
холл	sali
холл	halliin
холл	hall
холл	halli
культ	kultti
лесных	metsän
лесных	metsät
лесных	metsää
лесных	metsä
никитин	nikitin
поколений	sukupolvet
поколений	sukupolvien
македония	makedonian
македония	makedonia
утверждено	hyväksytty
утверждено	hyväksyttiin
утверждено	hyväksynyt
утверждено	hyväksytyt
волос	karva
волос	hiukset
волос	tukka
волос	hiuksia
создатели	luojat
покрытия	kansi
покрытия	kattaa
покрытия	kannen
покрытия	suojaa
ферма	tila
ферма	maatila
ферма	maatilan
произносится	lausutaan
условие	ehto
условие	edellytys
условие	kunto
объединять	yhdistetään
объединять	yhdistä
объединять	yhdistää
португальский	portugalia
португальский	portugali
португальский	portugalin
низкий	matala
низкий	matalalla
низкий	vähä
низкий	alhainen
древесины	puu
древесины	puuta
древесины	puusta
уменьшить	vähentää
уменьшить	vähennä
уменьшить	pienentää
уменьшить	lasku
уменьшить	väheneminen
уменьшить	vähentynyt
уменьшить	psykiatri
типичный	tyypillistä
типичный	tyypillisiä
типичный	tyypillinen
геолог	geologi
мобильных	mobile
мобильных	liikkuva
мобильных	liikkuvat
мобильных	matkapuhelin
получены	vastaanotettu
получены	saadut
получены	saanut
получены	saatu
азота	typpi
азота	typpeä
азота	typen
усовершенствования	parannuksia
усовершенствования	parannukset
усовершенствования	parannuksia
усовершенствования	parannukset
дань	kunnianosoitus
мозг	aivoja
мозг	aivo
мозг	aivot
мозг	aivoja
мозг	aivot
поднял	kasvatettu
поднял	kasvatti
поднял	nostettu
поднял	kasvatit
поднял	kasvanut
бред	brad
бред	delirium
дэнни	danny
дэнни	denny
секция	jakso
секция	pääluokka
десятка	kymppi
десятка	ten
десятка	kymmenen
десятка	tusina
десятка	tusinaa
нацистской	natsi
богатых	rikkaita
богатых	rikkaat
богатых	rich
богатых	rikas
богатых	varakas
сау	sau
биология	biologian
акулы	haita
акулы	hait
акулы	hai
акулы	haita
акулы	hain
акулы	hait
сложность	vaikeuksia
сложность	vaikeudet
сложность	vaikeus
сложность	monimutkaisuuden
сложность	monimutkainen
сложность	monimutkaisuus
прибытия	saapumista
прибытия	saapuminen
прибытия	saapumisen
осло	oslo
осло	oslon
расписание	aikataulut
расписание	aikataulun
расписание	aikataulu
расписание	aikataulut
расписание	aikataulun
расписание	aikataulu
расписание	ajasta
квантовой	quantum
джонатан	jonathan
разрыв	ero
разрыв	repeämä
разрыв	kuilu
разрыв	aukko
пошла	meni
греки	kreikkalaisia
греки	kreikkalaiset
греки	kreikka
греки	kreikkalainen
греки	kreikkaa
греки	kreikan
греки	kreikkalaiset
проявления	ilmentymä
богослов	teologi
эволюция	evoluution
эволюция	evoluutio
эволюция	kehitys
эволюция	kehittyminen
подписания	allekirjoitus
подписания	allekirjoittaa
подписания	allekirjoittaminen
подписания	allekirjoitus
леонардо	leonardo
сеньор	señor
сеньор	signor
сеньор	señor
водитель	ajaja
водитель	kuljettajan
водитель	kuljettaja
водитель	kuski
постоянная	pysyvää
постоянная	vakituinen
постоянная	pysyvä
постоянная	jatkuvasti
постоянная	jatkuvaa
постоянная	jatkuva
постоянная	vakio
монахов	munkkeja
монахов	munkit
монахов	munkkien
паоло	paolo
завоевать	valloittaa
вино	viinit
вино	viiniä
вино	viini
бокс	nyrkkeilyä
бокс	nyrkkeily
прожил	asunut
прожил	asui
прожил	elänyt
рабов	orjia
рабов	orjat
формируется	muodostaminen
формируется	muodostaa
формируется	muodostavat
боливии	bolivian
боливии	bolivian
популярная	suosittu
популярная	suosittua
популярная	suosittuja
популярная	suositut
желающие	toivoo
шейх	sheikki
шейх	sheikki
охлаждения	jäähdytys
путешественник	matkustaja
путешественник	matkaaja
путешественник	matkustaja
путешественник	matkaaja
гаити	haitin
арсенал	arsenal
отбор	valikoima
отбор	valinta
заменена	tilalle
заменена	korvattu
заменена	korvattiin
автономии	autonomian
автономии	riippumattomuus
автономии	itsenäisyys
мадам	rouva
мадам	madam
мадам	rouva
мадам	madame
молока	maidon
молока	maito
молока	maitoa
специалиста	erikoistunut
специалиста	asiantuntija
специалиста	erikoistuneet
словари	sanakirjat
длительность	voimassaoloaika
длительность	kesto
окончательный	lopullinen
окончательный	finaali
мера	mitata
мера	mitta
мера	toimenpide
мера	toimenpiteen
мера	mittaa
департаменты	osastot
фазы	vaiheita
фазы	vaiheet
рекорды	levyt
рекорды	records
меню	valikko
меню	menu
белград	belgradin
вилли	willy
вилли	willi
вилли	willie
хлеба	leipää
хлеба	leipä
владельцев	omistajia
владельцев	omistajille
владельцев	omistajat
кислот	hapot
археологических	arkeologinen
сорока	neljäkymmentä
сорока	forty
сорока	harakka
соблюдать	tarkkailla
соблюдать	tarkkaile
наталия	natalia
инициатором	alullepanijana
дерби	derby
голода	nälänhätä
голода	nälkään
голода	nälänhätä
голода	nälkä
голода	nälän
испанию	espanjan
испанию	espanja
испанию	espanjassa
ассамблеи	kokoonpanot
ассамблеи	edustajakokouksen
ассамблеи	kokoonpano
ассамблеи	kokoontuminen
фернандес	fernandez
фернандес	fernández
фернандес	fernandes
снаружи	ulkona
снаружи	ulkopuolella
снаружи	ulkopuolelle
археолог	arkeologi
отмечена	merkitty
отмечена	merkityt
отмечена	merkitsi
отмечена	merkitty
отмечена	merkityt
баскетбол	korista
баскетбол	koripalloa
баскетбол	koripallo
константинополь	konstantinopoli
гектаров	hehtaaria
предпочтение	suositaan
предпочтение	suosi
общение	viestintä
общение	tiedonanto
общение	tiedonannon
общение	tiedottaminen
общение	viestintä
общение	kommunikoi
встретились	tapasivat
встретились	met
встретились	tavattiin
встретились	tavanneet
встретились	tavannut
джефф	geoff
джефф	jeffin
джефф	jeff
луч	säde
противоречия	ristiriitaisuuksia
противоречия	ristiriitoja
противоречия	ristiriidat
противоречия	ristiriita
аст	ast
амстердам	amsterdam
амстердам	amsterdamiin
амстердам	amsterdamissa
амстердам	amsterdamin
эми	amy
эми	amyn
антуан	antoine
цветок	kukkaa
цветок	kukka
философские	filosofinen
частная	yksityisiä
частная	yksityiset
частная	sotamies
частная	yksityisen
частная	yksityinen
цру	cia
цру	cia
цру	cla
калия	kaliumia
ленте	rehun
ленте	syöte
ленте	rehua
ленте	rehu
ленте	syötteen
морган	morganin
морган	morgan
прокурор	syyttäjä
мигель	miguel
мигель	miguelin
равных	tasa
равных	equal
коммуне	kommuuni
коммуне	kunta
сомали	somalian
сомали	somaliassa
сомали	somalian
арк	arc
арк	kaari
арк	arkin
арк	arkki
чай	tea
чай	teetä
чай	tee
этапы	vaiheita
этапы	vaiheet
этапы	vaiheissa
этапы	vaiheita
этапы	vaiheet
этапы	vaiheita
этапы	vaiheet
этапы	askelia
этапы	portaat
этапы	askeleet
размягчения	pehmentää
родственники	sukulaiset
родственники	sukulaisia
содержащий	sisältävien
содержащий	sisältävät
доверие	luottamuksen
доверие	luottamus
доверие	luottamusta
доверие	luottaa
доверие	luottamusta
доверие	luottamus
доверие	luota
интерьер	sisustus
уничтожено	tuhottu
уничтожено	hävitetty
уничтожено	tuhosi
уничтожено	tuhoutunut
мэтт	matt
мэтт	matti
блоки	korttelia
михаэль	mikko
михаэль	mikael
михаэль	michael
аргентинский	argentiinan
хью	hugh
леопольд	leopold
склоне	rinne
сер	herra
нормальная	tavallinen
нормальная	normaali
нормальная	normaalia
нормальная	tavanomainen
нос	nenä
нос	nenän
нос	nenää
произношение	ääntämistä
наследника	perijä
наследника	perillinen
пит	pete
пит	peten
пит	piet
адама	adam
уверенно	varma
уверенно	itsevarma
уверенно	luottavainen
кукол	nuket
кукол	nukkeja
луций	lucius
зерна	jyviä
зерна	viljan
зерна	vilja
зерна	viljaa
зерна	jyvät
зерна	jyviä
зерна	jyvät
еврейские	juutalaista
еврейские	juutalaiset
еврейские	juutalainen
габриэль	gabriel
габриэль	gabrielin
габриэль	gabrielle
дракон	lohikäärme
дракон	lohikäärmeen
дракон	dragon
тенденции	suuntauksia
тенденции	suuntaukset
монархии	monarkia
разбил	rikkoi
разбил	rikottu
пекин	pekingin
пекин	pekingissä
девочек	tyttöjä
