ve	và
bir	xả
bir	một
bir	one
bu	này
bu	thế
bu	rằng
bu	điều
bu	mà
bu	vn
de	nói
de	tràng
ile	với
ile	bằng
için	cho
daha	thêm
sonra	rồi
sonra	theo
sonra	sau
sonra	sau
ilk	trước
ilk	đầu
utc	utc
çok	cực
çok	rất
çok	nhiều
yer	nơi
yer	chỗ
gibi	như
gibi	thích
gibi	like
dış	ngoài
dış	dis
büyük	lớn
büyük	lớn
büyük	to
büyük	đúc
büyük	đại
büyük	big
büyük	huge
bağlantılar	xích
bağlantılar	links
iki	iki
iki	hai
iki	two
center	tâm
arasında	giữa
ayrıca	cũng
ayrıca	vả
istanbul	istanbul
türk	turk
türk	turkish
diğer	khác
yeni	new
yeni	mới
yeni	sâm
un	bột
her	mỗi
her	hằng
aynı	cùng
kulüp	club
kulüp	clb
bağlı	chủa
bağlı	bound
bağlı	chủa
bağlı	tùy
iyi	tốt
iyi	hay
iyi	ngon
iyi	ổn
iyi	khỏe
ne	gì
ilgili	related
son	cuối
son	end
son	kết
alan	field
alan	trường
alan	miền
alan	alan
alan	loạt
alan	vực
alan	vùng
dünya	giới
dünya	đất
abd	kỳ
abd	mỹ
abd	usa
bulunan	nằm
eski	cũ
eski	tuổi
eski	già
eski	oldies
önemli	trọng
madde	chất
madde	clause
madde	nguyên
sağlık	wellness
sağlık	khỏe
genel	generic
genel	tướng
genel	chung
mart	mart
mart	march
adı	tên
film	phim
film	phim
film	phim
film	film
film	phim
haziran	june
mayıs	may
dosya	tệp
dosya	tệp
dosya	file
ocak	jan
ocak	lò
yıl	năm
dan	dan
kasım	qasim
kasım	nov
avrupa	âu
avrupa	europa
ama	nhưng
karşı	dũng
karşı	chống
toplam	sum
toplam	tổng
jpg	jpg
ikinci	giây
ağustos	august
önce	trước
önce	trước
önce	đầu
tüm	toàn
tüm	hẹt
tüm	whole
den	böll
den	chử
den	den
resim	ảnh
resim	nh
resim	hình
resim	ảnh
resim	tranh
resim	sơn
ye	ăn
ekim	oct
şehir	phố
şehir	phố
şehir	by
ptt	ptt
zaman	gian
zaman	thời
bazı	cầy
aralık	dec
köy	làng
yüksek	cao
birçok	nhiều
şubat	tháng
şubat	feb
sadece	chỉ
sadece	duy
sadece	chỉ
sadece	funny
yol	đường
yol	đường
yol	road
fakat	nhưng
grup	ban
grup	band
grup	group
grup	nhóm
takım	squad
takım	đội
takım	tạo
takım	đội
takım	lớp
takım	team
kendi	chính
şekilde	đường
tek	singles
tek	single
tek	đơn
bilgi	info
kez	lần
kez	times
hakkında	khoảng
hakkında	về
hakkında	ban
latns	latns
longew	longew
latd	latd
osmanlı	ottoman
longd	longd
longm	longm
latm	latm
devlet	bang
devlet	phủ
ankara	ankara
lats	lats
colspan	colspan
üç	tre
üç	ba
üç	three
tarihi	ngày
küçük	nhỏ
küçük	lil
küçük	nhỏ
küçük	tiểu
müzik	nhạc
resmi	ảnh
devam	giữ
kupası	cup
kupası	cốc
kupası	tách
fazla	thụ
okulu	trường
okulu	học
aldı	taken
aldı	bắt
aldı	chụp
em	mút
em	suck
em	bú
sahip	dominus
sahip	sahib
farklı	khác
doğru	phải
doğru	đúng
doğru	thật
doğru	đúng
doğru	đúng
on	mười
özel	tư
özel	cống
biri	somebody
biri	xả
biri	một
biri	one
alanı	field
alanı	trường
alanı	loạt
alanı	vực
alanı	vùng
vikipedi	wikipedia
uzun	cao
uzun	taller
uzun	lâu
uzun	dài
uzun	long
şarkı	hát
şarkı	hót
şarkı	song
eden	eden
lig	league
orta	trung
orta	giữa
orta	đọng
orta	vừa
orta	medium
orta	trung
orta	mid
orta	tâm
orta	centre
oyuncu	player
oyuncu	diễn
geri	ngược
geri	ngược
#ccf	#ccf
mesaj	chữ
elektrik	điện
elektrik	điện
elektrik	điện
ardından	theo
ardından	sau
merkezi	trung
merkezi	central
merkezi	tâm
merkezi	centre
kısa	bài
kısa	ngắn
kısa	short
kısa	lá
güney	nam
almanya	đức
kişi	người
değil	không
değil	ko
kuzey	bắc
kuzey	bắc
açıklama	caption
açıklama	tả
team	tạo
team	đội
team	lớp
team	team
ortaya	lộ
bilgileri	info
fransa	pháp
amerika	châu
amerika	mỹ
amerika	kỳ
amerika	mỹ
amerika	usa
el	tay
burada	đây
yok	không
yok	chưa
gol	hồ
gol	tiêu
gol	đo
ana	chính
ana	main
ana	ana
ana	mẹ
suyu	juice
ilköğretim	tiểu
birleşik	united
birleşik	hoa
ödülü	thưởng
gün	ngày
gün	day
doğu	đông
doğu	orient
süre	gian
süre	thời
sabit	hằng
eğitim	luyện
eğitim	training
su	nước
yaklaşık	khoảng
yaklaşık	approx
yaklaşık	khoảng
yaklaşık	về
yaklaşık	ban
alman	đức
az	nhỏ
az	tiểu
az	bớt
az	ít
az	giảm
millî	gạt
kaynak	nguồn
kaynak	hàn
evi	evi
ali	ali
kullanılan	phơi
paşa	pasha
ligi	league
görev	task
halk	công
halk	người
tv	tv
tv	tivi
onun	ngành
onun	her
onun	cổ
yine	lại
yılı	năm
telefon	đt
yeniden	lại
yeniden	tái
içme	nhậu
içme	uống
ben	ben
ben	crack
sezon	mùa
sezon	season
john	gioan
john	john
albüm	album
albüm	album
albüm	albums
ingiliz	brit
ingiliz	british
puan	beat
puan	chấm
puan	điểm
puan	điểm
puan	điểm
batı	tây
batı	tây
altında	dưới
altında	under
tür	kiểu
tür	gõ
tür	loại
tür	loài
amerikan	american
amerikan	mỹ
savaş	battle
savaş	trận
savaş	tranh
savaş	chiến
savaş	combat
tekrar	lại
tekrar	replay
anadolu	anatolia
anadolu	anadolu
söz	hứa
söz	lời
söz	từ
rağmen	nghênh
grubu	group
grubu	nhóm
bgcolor	bgcolor
elde	hoài
elde	đạt
https	https
ait	thuộc
kadın	nữ
kadın	nữ
türkçe	turkish
wikipedia	wikipedia
kullanıcı	dùng
tam	say
tam	full
tam	đầy
tam	tam
birliği	union
birliği	hợp
kanalizasyon	cống
maç	mac
maç	game
maç	chơi
maç	thủ
maç	khớp
white	trắng
white	white
white	bạch
http	http
roma	phòng
roma	rome
roma	roma
roma	roma
at	ngựa
at	thảy
at	chọi
at	quăng
at	vứt
at	ném
bölüm	chương
bölüm	division
bölüm	tập
bölüm	episode
bölüm	phần
bölüm	saga
bölüm	part
bölüm	phần
bölüm	sở
bölüm	khu
sıra	hàng
sıra	hàng
ulusal	gạt
köyü	làng
teknik	ktv
deniz	marine
deniz	deniz
deniz	biển
uygun	hợp
bütün	toàn
bütün	hẹt
bütün	whole
yakın	closer
yakın	gần
yakın	close
yakın	đóng
yakın	gần
yakın	kín
listesi	kê
listesi	list
listesi	danh
dört	bốn
iç	sigh
iç	uống
iç	ly
club	club
club	clb
from	khỏi
from	từ
alt	hạ
alt	sub
alt	dưới
alt	bậc
alt	đáy
alt	bottom
alt	đánh
alt	phật
alt	alt
asfalt	nhựa
fransız	pháp
mehmet	mehmet
mehmet	mehmed
belediye	municipality
rusya	belarus
rusya	nga
genellikle	thuồng
genellikle	thường
com	com
bar	bar
bar	pub
parti	đảng
parti	party
parti	tiệc
erkek	hãm
erkek	buồng
erkek	đực
erkek	nam
erkek	người
