teologiju	teológia
leconte	leconte
mac	mac
mac	maca
niska	nízko
niska	nízke
niska	nízky
niska	nízka
niska	low
istraživači	prieskumníci
istraživači	výskumníkov
istraživači	výskumníci
draconarius	draconarius
hvar	hvar
jefferson	jefferson
ibm	ibm
vježbe	cviky
vježbe	cvičení
vježbe	cvičenia
vježbe	cvičenie
vježbe	cvičiť
podiže	vyvoláva
organizirati	usporiadať
organizirati	organizovať
organizirati	zorganizovať
organizirati	usporiadať
organizirati	organizovať
organizirati	zorganizovať
sjaja	jasu
sjaja	jas
owen	owen
mrtav	mŕtve
mrtav	mŕtva
mrtav	mŕtvi
mrtav	mŕtvy
mrtav	dead
prevodi	prekladať
prevodi	preložiť
prevodi	preklady
prevodi	prekladov
prevodi	prekladá
napravljeno	made
napravljeno	vyrobený
napravljeno	vyrobené
napravljeno	vyrobená
autoritet	autorita
autoritet	právomoc
autoritet	orgán
autoritet	úrad
richards	richards
jelo	miska
jelo	múka
jelo	jedlo
jelo	múčka
suđenja	skúškach
suđenja	skúšky
suđenja	pokusov
suđenja	pokusy
rijetke	vzácne
rijetke	zriedkavé
rijetke	vzácny
obavljanje	vykonávajúci
zima	zime
zima	zimný
zima	zimná
zima	zima
zima	zimné
dell	dell
teolog	teológ
dizajniran	projektované
dizajniran	navrhnuté
dizajniran	konštruované
dizajniran	navrhnutá
dizajniran	navrhnutý
mart	mart
neutrona	neutróny
pallas	pallas
mlad	mladé
mlad	mlada
mlad	mladí
mlad	young
mlad	mladá
ponavlja	opakuje
kritički	kriticky
miro	miro
hansen	hansen
eventualno	eventuálne
eventualno	prípadne
hasan	hasan
hasan	hassan
vožnje	jazdy
vožnje	jazdí
run	runa
rog	rog
rog	roh
rog	trúba
antonija	antonia
antonija	antonius
prisiljeni	nútená
prisiljeni	nútené
prisiljeni	nútený
prisiljeni	donútili
posude	koše
posude	hrnce
frankfurt	frankfurte
frankfurt	frankfurt
zabrana	ban
zabrana	zakázať
zabrana	zákaz
oblak	oblak
oblak	mrak
oblak	cloud
projektil	projektil
projektil	strela
projektil	raketa
herbert	herbert
vijetnamu	vietname
vijetnamu	vietnam
vijetnamu	vietnamu
uspostaviti	nadviazať
uspostaviti	zriadiť
slatina	slatina
chang	chang
bibliografija	bibliografia
upale	zápal
carla	carla
paolo	paolo
odgovornosti	zodpovednosť
odgovornosti	zodpovednosti
odgovornosti	povinnosti
odgovornosti	zodpovednosť
odgovornosti	zodpovednosť
rođak	relatívne
rođak	relatívny
rođak	relatívna
rođak	príbuzný
rođak	sesternica
rođak	bratranec
reformi	reforiem
reformi	reformy
završi	dokončiť
operi	opera
operi	opery
operi	operu
operi	umyť
operi	umývať
slava	pochváliť
slava	pochvalu
slava	chváliť
slava	chvála
slava	sláva
slava	slávu
slava	fame
slava	sláva
slava	slávu
odabrao	vybrala
odabrao	vybral
odabrao	zvolili
odabrao	vyberal
odabrao	vyberala
bubrega	obličky
bubrega	obličku
bubrega	obličiek
doprinosa	príspevky
doprinosa	príspevkov
jača	silnejšia
jača	silnejší
jača	silnejšie
pustinja	púšte
pustinja	púšť
pustinja	púšti
zaklada	nadácia
zaklada	základ
ustavom	ústave
ustavom	ústavu
ustavom	ústava
ustavom	ústavy
trup	trup
lokaciju	umiestnenie
lokaciju	miesto
lokaciju	umiestnenia
lokaciju	poloha
lokaciju	lokalita
evanđelje	evanjelium
sims	sims
sims	simms
zmaja	draka
zmaja	dračí
zmaja	drak
domaća	domáci
domaća	vnútroštátna
domaća	domáca
domaća	domáce
domaća	domáci
domaća	domácu
domaća	domáce
atentat	atentát
atentat	vražda
single	slobodná
single	jednotného
single	jednotné
single	single
single	slobodný
single	jednotný
zločini	zločiny
balkanu	balkán
balkanu	balkánu
brunner	brunner
jupiter	jupiter
born	bourne
pomogla	pomohlo
pomogla	pomohol
pomogla	pomohli
pomogla	pomohla
strategija	stratégia
strategija	stratégie
strategija	stratégiu
strategija	stratégii
balkan	balkán
balkan	balkánu
balkan	balkán
balkan	balkánu
peć	sporák
peć	pece
peć	kotol
peć	pec
peć	trúba
peć	pec
peć	rúra
ramena	plecia
ramena	ramená
pablo	pablo
regionalni	regionálnej
regionalni	regionálne
regionalni	regionálny
regionalni	regionálna
letove	lety
letove	letov
letove	letom
predaja	odovzdanie
predaja	vzdať
protivnici	súperov
protivnici	oponentov
bizantskog	byzantský
pločica	dlaždice
morgan	morgan
pretrpio	vydržala
pretrpio	vydržali
pretrpio	trpela
pretrpio	trpel
pretrpio	utrpelo
pretrpio	utrpeli
pretrpio	utrpel
pretrpio	trpeli
holmes	holmes
anemone	anemone
pojavljivanje	vzhľad
izvoz	export
izvoz	vývoz
izvoz	export
izvoz	exportovať
izvoz	vývoz
freske	freskami
rođeni	narodená
rođeni	narodené
rođeni	narodený
godišnjice	výročia
blokada	zátarasy
blokada	blokády
blokada	blokáda
teleskopa	teleskopy
adaptacija	prispôsobenia
adaptacija	prispôsobenie
adaptacija	prispôsobovanie
izumitelj	vynálezca
hoya	hoya
zaštitni	ochranný
zaštitni	ochranná
zaštitni	ochranné
leti	fly
leti	letieť
leti	letia
leti	lietať
leti	mucha
leti	muchy
leti	lieta
leti	letí
leti	lietania
leti	lietanie
leti	lietajúce
metković	metković
etiopiji	etiópii
socijalno	sociálne
socijalno	spoločensky
objašnjenja	vysvetlenia
objašnjenja	vysvetlenie
objašnjenja	vysvetlivky
preuzimanje	stiahnutie
preuzimanje	stiahnuť
preuzimanje	sťahovanie
preuzimanje	sťahujem
preuzimanje	sťahovanie
preuzimanje	prevzatia
preuzimanje	prevzatie
unuka	vnučka
unuka	vnuka
unuka	vnuk
opstanak	prežívanie
opstanak	prežitie
lokalitetu	lokalita
lokalitetu	lokalitu
lokalitetu	lokalite
lokalitetu	lokality
lud	šialené
lud	šialený
lud	crazy
lud	šialené
lud	blázon
lud	šialenstvo
minimalno	minimálne
minimalno	minimum
minimalno	minimálny
minimalno	minimálna
minimalno	minimálny
minimalno	minimálne
minimalno	minimálna
dramu	dráma
dramu	drámy
dramu	drámu
sean	sean
sean	seana
perzijanci	peržanov
azija	ázii
azija	ázia
azija	áziu
azija	ázie
prijetnja	ohrozenie
prijetnja	hrozba
baden	baden
datoteke	súborov
datoteke	súbory
živote	žije
živote	životy
živote	životov
apollo	apollo
admin	admin
admin	administrátor
nestala	chýbajúci
nestala	chýbajúce
nestala	nezvestný
nestala	chýba
nestala	chýbajú
bird	vtáčik
bird	bird
bird	vták
bird	vtáka
vjerojatnost	pravdepodobnosti
vjerojatnost	pravdepodobnosť
plaća	mzda
plaća	plat
plaća	platí
plaća	vypláca
plaća	plati
plaća	zaplatí
plaća	zaplatiť
plaća	platiť
plaća	plat
terapija	terapie
terapija	terapiu
terapija	liečba
terapija	terapia
ribeiro	ribeiro
hahn	hahn
johannes	johannes
statut	štatútu
statut	štatút
platforma	plošina
platforma	platforma
platforma	platformy
platforma	platformu
wallace	wallace
cipar	cyprus
cipar	cyperská
wunderlich	wunderlich
georges	georges
misa	hmota
misa	omšu
misa	hmotnosť
misa	misa
kat	kat
kat	podlaha
kat	poschodie
kat	podlahové
tamno	dark
tamno	temné
tamno	tmavá
tamno	tmavé
tamno	tmavý
miris	vôňa
miris	čuch
miris	vôňa
miris	zápach
miris	vôňa
miris	vôňu
potrošnje	výdavky
potrošnje	spotreba
potrošnje	konzumácia
potrošnje	spotrebu
potrošnje	spotreby
sadržavati	obsahovať
sadržavati	obsahujú
zhao	zhao
dejan	dejan
bilje	rastlín
bilje	rastliny
bilje	bylín
bilje	bylinky
marino	maríno
kombinacije	kombinácie
ricardo	ricardo
trake	kazety
trake	pásky
dizel	naftu
dizel	diesel
dizel	dieselové
dizel	nafta
bryant	bryant
stražnji	zadné
stražnji	zadná
stražnji	zadný
tiskana	vytlačené
tiskana	potlačené
tiskana	tlačené
fan	ventilátor
fan	fanúšik
fan	fan
fan	fanúšika
očeve	otcov
očeve	otcovia
rich	bohaté
rich	bohatá
rich	rich
rich	bohatý
dopuštenje	povolenie
simfonija	symfónia
doseljenici	osadníkov
osudio	odsúdený
osudio	odsúdená
osudio	odsúdili
osudio	odsúdené
osudio	odsúdení
generatora	generátorov
generatora	generátory
fang	fang
specifične	špecifické
specifične	konkrétne
specifične	špecifická
specifične	osobitné
specifične	konkrétnych
specifične	špecifický
zanimanja	povolaní
zanimanja	povolania
zanimanja	profesie
