din	fra
care	hvem
care	hvilket
care	hvilken
care	hvilke
fost	blevet
fost	været
mai	mai
mai	mere
mai	flere
pentru	til
pentru	for
lui	lui
lui	hans
sunt	er
sit	site
după	efter
ale	ale
lea	lea
prin	gennem
prin	igennem
regiunea	region
mare	fantastisk
mare	fedt
mare	stor
mare	skønt
mare	herligt
mare	big
mare	store
mare	stor
mare	stort
mare	søs
mare	sea
mare	hav
mare	havet
anul	aars
anul	året
anul	år
comună	almindelige
comună	fælles
comună	almindelig
are	har
locuitori	indbyggerne
locuitori	indbyggere
locuitori	beboere
locuitori	fastboende
locuitori	bosiddende
locuitori	residenter
locuitori	indbyggere
locuitori	beboere
legături	link
legături	links
legături	tilslutninger
legături	forbindelser
vezi	se
dar	men
cod	koder
cod	kode
cod	koden
cod	torsk
cod	cod
populație	befolkningen
populație	indbyggertal
populație	befolkning
populație	indbyggere
bucurești	bukarest
românia	rumænien
jpg	jpg
lista	liste
lista	list
ucraina	ukraine
nume	betegnelse
nume	navn
ani	ani
ani	år
avea	havde
avea	haft
între	mellem
între	imellem
până	till
până	indtil
comuna	kommune
comuna	kommunen
comuna	kommun
comuna	almindelige
comuna	fælles
comuna	almindelig
poate	måske
poate	måske
două	to
rege	konge
rege	kongens
rege	kong
rege	kongen
rege	king
sub	under
alte	andre
alte	andet
când	da
când	når
când	hvornår
regiune	region
anii	år
parte	del
județul	county
județul	amtet
județul	amt
județul	amtskommune
centura	sikkerhedssele
centura	bælte
centura	sele
centura	bæltet
dinastia	dynasti
septembrie	september
timp	tid
timp	tidspunkt
timp	gang
timp	klokkeslæt
timp	tiden
despre	om
despre	omkring
unde	hvor
majoritatea	højst
majoritatea	mest
majoritatea	majoritet
majoritatea	flertal
majoritatea	flertallet
densitate	densitet
densitate	massefylde
densitate	befolkningstæthed
densitate	vægtfylde
densitate	tæthed
limbă	tunge
limbă	tongue
limbă	tungen
limbă	sprog
limbă	sproget
iunie	juni
iunie	june
multe	mange
socorro	socorro
prima	første
prima	først
octombrie	oktober
august	august
sat	village
sat	landsbyen
sat	landsby
sat	sat
sat	siddet
sat	sad
martie	marts
martie	march
martie	marchere
biserica	church
biserica	kirken
biserica	kirke
fișier	file
fișier	filen
fișier	fil
decembrie	december
toate	alle
toate	alt
ianuarie	januar
latns	latns
latd	latd
longd	longd
adresă	adresse
noiembrie	november
cum	hvordan
imagine	billed
imagine	billede
imagine	image
imagine	billede
imagine	billedet
statul	stat
statul	state
statul	delstat
statul	tilstand
lor	deres
fie	enten
avut	havde
avut	haft
familia	familien
familia	familie
familia	family
numele	betegnelse
numele	navn
timpul	tid
timpul	tidspunkt
timpul	gang
timpul	klokkeslæt
timpul	tiden
nord	nordpå
nord	nordlige
nord	north
nord	nord
nord	nord
principală	vigtigste
principală	main
sud	sydpå
sud	sydlige
sud	syd
aprilie	april
erau	var
loc	stedet
loc	place
loc	sted
loc	plads
primul	første
primul	først
astfel	således
astfel	dermed
iulie	juli
doar	kun
doar	bare
editura	forlægger
editura	udgiver
editura	forlag
asteroid	asteroide
februarie	februar
recensământului	optælling
recensământului	folketælling
listă	liste
listă	list
trei	tre
trei	three
asteroizi	asteroider
limba	tunge
limba	tongue
limba	tungen
limba	sprog
limba	sproget
lats	lats
longm	longm
latm	latm
discuție	diskussioner
discuție	diskussion
discuție	drøftelser
discuție	drøftelse
discuție	debat
franța	frankrig
franța	france
partea	del
mult	much
mult	meget
fără	uden
departamentul	afdeling
departamentul	departement
departamentul	afdelingen
foarte	meget
data	date
data	dato
data	oplysninger
data	data
departament	afdeling
departament	departement
departament	afdelingen
unul	et
unul	en
unul	én
apoi	derefter
apoi	så
grup	gruppe
grup	group
grup	gruppen
locul	stedet
locul	place
locul	sted
locul	plads
oraș	town
oraș	byen
oraș	by
oraș	city
oraș	byen
oraș	storby
oraș	by
pot	kan
pot	can
camp	lejren
camp	camp
camp	lejr
germania	tyskland
face	lav
face	foretag
face	lave
satul	village
satul	landsbyen
satul	landsby
național	nationale
național	nationalt
național	national
național	landsdækkende
note	noter
note	sedler
perioada	tidsrum
perioada	periode
perioada	perioden
minoritate	mindretallet
minoritate	minoritet
minoritate	mindretal
ucraineană	ukrainsk
ucraineană	ukrainske
cadrul	rammer
cadrul	ramme
general	generelt
general	generel
general	generelle
general	almindelig
război	krigen
război	krig
război	war
război	krige
peste	over
peste	derover
peste	slut
română	rumænske
română	rumænsk
află	lære
află	lær
început	startet
început	påbegyndt
început	begyndte
început	begyndt
început	startede
început	begynder
început	begyndelse
început	begyndelsen
iii	iii
duce	duke
duce	hertug
duce	duce
român	rumænske
român	rumænsk
provincia	provins
provincia	provinsen
existând	bestående
existând	eksisterende
vedere	vis
vedere	udsigt
wikipedia	wikipedia
specie	dyrearter
specie	art
specie	dyreart
specie	arter
punct	prik
punct	dot
punct	punkt
punct	peg
punct	point
stat	stat
stat	state
stat	delstat
stat	tilstand
unite	forenet
unite	united
unite	forenede
moldova	moldovas
moldova	moldova
file	faner
atunci	derefter
atunci	så
aceste	disse
secolul	århundrede
una	et
una	en
una	én
aceasta	dette
aceasta	denne
life	liv
life	livet
life	livstid
life	life
reședință	opholdssted
reședință	ophold
reședință	bopæl
reședință	bolig
orașul	city
orașul	byen
orașul	storby
orașul	by
tot	alle
tot	alt
tot	stadig
tot	stadigvæk
chiar	selv
făcut	made
făcut	lavet
făcut	foretaget
cunoscute	vidst
cunoscute	kendte
cunoscute	kendt
film	movie
film	film
film	folie
film	filme
film	film
perioadă	tidsrum
perioadă	periode
perioadă	perioden
vorbitori	talere
vorbitori	højtalere
vorbitori	højttalere
date	datoer
date	dadler
date	oplysninger
date	data
trebuie	må
trebuie	skal
cunoscută	vidst
cunoscută	kendte
cunoscută	kendt
decât	end
aici	her
mari	big
mari	store
mari	stor
mari	stort
mari	mari
zile	dage
față	front
față	foran
față	forside
față	ansigt
față	ansigtet
față	fjæs
față	face
club	klub
club	club
club	natklub
club	kølle
club	klubben
componente	bestanddele
componente	komponenterne
componente	komponenter
ulterior	efterfølgende
est	east
est	østpå
est	øst
est	est
nou	ny
nou	nyt
nou	nye
ales	valgt
ales	udvalgt
ales	valgte
numai	kun
ioan	johannes
ioan	john
ion	ion
rusă	russeren
rusă	russer
rusă	russiske
rusă	russisk
isbn	isbn
populația	befolkningen
populația	indbyggertal
populația	befolkning
populația	indbyggere
doi	to
același	samme
membru	medlem
dată	date
dată	dato
numit	opkaldt
numit	navngivet
numit	navngivne
numit	kaldt
numit	ringet
numit	kaldet
numit	ringede
numit	kaldte
descrisă	beskrevet
descrisă	beskrevne
descrisă	beskrev
oficial	officielt
oficial	embedsmand
oficial	tjenestemand
oficial	officiel
oficial	officielt
nici	hverken
împotriva	imod
împotriva	mod
deși	selvom
deși	skønt
deși	skønt
saint	sankt
saint	helgen
saint	saint
împreună	sammen
specia	dyrearter
specia	art
specia	dyreart
specia	arter
vest	west
vest	vest
vest	vestpå
vest	vestlig
vest	vest
vest	western
vest	vestligt
vest	vestlige
italia	italia
italia	italien
puțin	små
puțin	lille
excentricitate	excentricitet
încă	stadig
încă	stadigvæk
descoperit	opdagede
descoperit	opdaget
descoperit	afsløret
descoperit	afdækket
înainte	fremadrettet
înainte	frem
înainte	fremad
înainte	inden
înainte	før
lemn	wood
lemn	træ
noi	ny
noi	nyt
noi	nye
nicolae	nicholas
nicolae	nicolae
națională	nationale
națională	nationalt
națională	national
națională	landsdækkende
subspecii	underarter
statele	stater
statele	staterne
roman	romerske
roman	roman
roman	romer
roman	romersk
roman	novelle
roman	roman
roman	novellen
drept	lige
drept	straight
mod	tilstand
mod	mode
mod	forsvarsministeriet
mod	mod
american	amerikaner
american	american
american	amerikanske
american	amerikansk
fiecare	hver
fiecare	hver
prezent	nutiden
prezent	nuværende
prezent	nutid
casa	house
casa	huset
casa	hus
acestea	disse
printre	blandt
printre	iblandt
printre	blandt
printre	iblandt
categorie	kategori
text	tekst
text	sms
text	teksten
cluj	cluj
bine	god
bine	gode
bine	godt
bine	okay
http	http
site	site
articole	artikler
articole	genstande
articole	artiklerne
articole	punkterne
articole	poster
articole	genstande
articole	punkter
alexandru	alexandru
alexandru	alexander
unele	nogle
milioane	millioner
milioane	millioner
apă	vand
doua	to
iași	iași
ori	ori
țară	landet
țară	land
țară	lande
sate	landsbyer
sate	landsbyerne
târziu	sen
târziu	forsinket
târziu	sent
istoria	historik
istoria	historie
maria	maria
cunoscut	vidst
cunoscut	kendte
cunoscut	kendt
patru	fire
patru	four
republica	republik
republica	republikken
râul	river
râul	floden
râul	flod
formată	stiftet
formată	dannet
paris	paris
gheorghe	gheorghe
gheorghe	george
tip	fyr
tip	guy
tip	gut
tip	indtast
tip	skriv
tip	type
premiul	præmie
premiul	tilslag
premiul	award
premiul	tildeling
putea	kunne
putea	ku
persoane	personer
persoane	personers
persoane	mennesker
persoane	personer
persoane	folk
persoane	people
constantin	constantin
constantin	konstantin
constantin	constantine
etc	etc
etc	mv
etc	osv
exemplu	eksempel
descriere	billedtekst
descriere	overskrift
descriere	beskrivelse
george	george
născut	born
născut	fødte
născut	født
numărul	tal
numărul	antal
numărul	nummer
comitatul	county
comitatul	amtet
comitatul	amt
comitatul	amtskommune
harta	kort
harta	landkort
john	johannes
john	john
jos	down
jos	ned
jos	nede
marea	søs
marea	sea
marea	hav
marea	havet
deoarece	fordi
localitate	lokalområde
localitate	lokalitet
aproape	næsten
scris	skriftlig
scris	skrevet
raport	rapporter
raport	anmelde
raport	betænkning
raport	rapport
echipa	trup
echipa	holdet
echipa	hold
echipa	teamet
echipa	team
diferite	forskellige
diferite	forskelligt
diferite	anderledes
diferite	forskellig
baza	base
baza	basen
baza	basis
special	særligt
special	særlige
special	speciel
special	specielle
special	særlig
valea	dal
valea	valley
valea	dalen
comune	joint
comune	fælles
ele	de
stadium	stadion
stadium	stadium
svg	svg
zona	område
zona	zone
zona	areal
zona	område
dat	givet
dat	givne
dat	given
slovenia	slovenien
americii	america
americii	amerika
americii	usa
satului	village
satului	landsbyen
satului	landsby
împărat	kejseren
împărat	kejser
localitatea	lokalområde
localitatea	lokalitet
resedinta	opholdssted
resedinta	ophold
resedinta	bopæl
resedinta	bolig
viața	liv
viața	livet
viața	livstid
viața	life
bun	god
bun	gode
bun	godt
cet	cet
format	stiftet
format	dannet
format	formater
format	format
primit	modtages
primit	modtagne
primit	modtog
primit	modtaget
președinte	præsidenten
președinte	formand
președinte	præsident
președinte	formand
președinte	bestyrelsesformand
lângă	nær
oameni	mennesker
oameni	personer
oameni	folk
oameni	people
istoric	historiske
istoric	historisk
istoric	historiker
istoric	historiske
istoric	historisk
istoric	historik
istoric	historie
suprafață	overflade
suprafață	overfladen
suprafață	areal
suprafață	område
europa	eu
europa	europe
europa	europa
europa	europa
universitatea	university
universitatea	universitet
universitatea	universitetet
team	holdet
team	hold
team	teamet
team	team
copii	børn
copii	kids
copii	unger
copii	børn
copii	børns
aproximativ	omtrentlige
aproximativ	omtrentlig
aproximativ	groft
lucru	ting
lucru	arbejder
lucru	arbejd
lucru	arbejde
lucru	arbejdet
români	rumænske
români	rumænsk
români	rumænere
folosit	brugte
folosit	anvendt
folosit	brugt
folosit	udnyttet
clubnat	clubnat
ibn	ibn
mihai	mihai
mihai	michael
acum	nu
recensământul	optælling
recensământul	folketælling
centrul	centrum
centrul	midtpunkt
centrul	center
centrul	midten
centrul	centreret
centrul	centret
centrul	centrum
centrul	centre
centrul	center
centrul	centreret
reprezintă	repræsenterer
reprezintă	repræsenterer
reprezintă	repræsentere
san	san
teritoriul	område
teritoriul	territorium
van	varevogn
van	van
van	varevognen
ungaria	ungarn
număr	tal
număr	antal
număr	nummer
cauza	årsag
cauza	årsagen
bulgaria	bulgarien
engleză	englændere
engleză	engelske
engleză	engelsk
engleză	english
serie	serier
serie	serie
serie	serien
sua	usa
vechi	gammelt
vechi	old
vechi	gamle
vechi	gammel
reședința	opholdssted
reședința	ophold
reședința	bopæl
reședința	bolig
munții	bjergene
munții	bjerge
limbi	sprog
fel	venlig
apelor	waters
apelor	farvande
apelor	vandområder
apelor	farvand
fotbal	fodbold
fotbal	fodbold
fotbal	football
regele	konge
regele	kongens
regele	kong
regele	kongen
regele	king
fiul	søn
anterior	tidligere
anterior	tidligere
anterior	foregående
anterior	forrige
anterior	forudgående
nouă	ny
nouă	nyt
nouă	nye
nouă	ni
nouă	nine
evoluția	evolution
evoluția	udviklingen
evoluția	udvikling
viteză	fart
viteză	hastighed
viteză	speed
viteză	hastigheden
paul	poul
paul	paulus
paul	paul
palomar	palomar
orașe	byerne
orașe	storbyer
orașe	byer
institutul	instituttet
institutul	institute
institutul	institut
satele	landsbyer
satele	landsbyerne
lansat	frigjort
lansat	udgivet
lansat	løsladt
lansat	frigivet
lansat	igangsat
lansat	lanceret
lansat	iværksat
istorice	historiske
istorice	historisk
trecut	fortid
trecut	forbi
trecut	fortiden
mulți	mange
viață	liv
viață	livet
viață	livstid
viață	life
informații	oplysning
informații	information
informații	oplysninger
informații	underretning
titlu	overskriften
titlu	overskrift
titlu	betegnelse
titlu	overskrift
titlu	titel
titlu	afsnit
goluri	målsætninger
goluri	mål
goluri	goals
titlul	betegnelse
titlul	overskrift
titlul	titel
titlul	afsnit
album	album
album	plade
album	albummet
york	york
von	von
pagina	siden
pagina	side
pagina	page
imperiul	empire
imperiul	imperiet
imperiul	imperium
moartea	death
moartea	død
moartea	døden
moartea	dødsfald
fața	ansigt
fața	ansigtet
fața	fjæs
fața	face
armata	hær
armata	hæren
armata	hærens
armata	army
formă	formen
formă	forme
formă	form
formă	formular
formă	blanket
formă	form
formă	formen
color	farver
color	farve
color	farver
color	farve
german	tysk
german	tysker
german	tyske
ștefan	stephen
ștefan	ştefan
ștefan	stefan
rolul	rolle
mică	small
mică	små
mică	småt
mică	lille
mică	glimmer
des	des
des	tit
des	ofte
transilvania	transsylvanien
epocă	vintage
epocă	årgang
începând	begynder
începând	start
începând	startende
începând	starter
principal	vigtigste
principal	main
principal	vigtigste
principal	hovedstol
principal	hovedstolen
principal	rektor
forma	formen
forma	forme
forma	form
forma	formular
forma	blanket
