メチル	মিথাইল
おば	আন্টি
おば	খালার
おば	খালা
おば	চাচি
ベイビー	বাবু
ベイビー	শিশু
ベイビー	বাচ্চা
ベイビー	বেবি
ベイビー	বাচ্চার
ベイビー	সোনা
キルギス	কিরগিজস্তান
とにかく	তথাপি
アダムス	অ্যাডামস
ブライト	উজ্জ্বল
参事官	কাউন্সিলর
トレーラー	ট্রেলার
トレーラー	ট্রেইলার
毛皮	পশম
コロシアム	কলোসিয়াম
シンフォニー	symphony
選任	সাক্ষাৎকার
選任	নির্বাচন
ゴールキーパー	গোলরক্ষক
条文	জীবিকা
ニクソン	নিক্সন
ハーブ	ঔষধি
ハーブ	ভেষজ
フィアット	ফিয়াট
ドロシー	ডরোথি
ヒスパニック	হিস্পানিক
一律	uniformly
チェ	চৌ
チェ	চৈ
チェ	চে
フェンダー	ফেন্ডার
キール	kir
ジョーク	রসিকতা
ジョーク	কৌতুক
ジョーク	তামাশা
ジョーク	ধাধা
ジョーク	কৌতুক
ジョーク	জোকস
フォスター	ফস্টার
クロスオーバー	crossover
孵化	ফোটাতে
コウモリ	ব্যাট
コウモリ	বাদুর
コウモリ	ব্যাট
バチカン	ভ্যাটিকান
バール	বার
ヴィラ	vila
ヴィラ	ভিলা
ユーモア	হাস্যরসাত্মক
ユーモア	হাস্যরস
ユーモア	হাস্যরস
溶液	সমাধান
溶液	দ্রবণ
転覆	উৎখাতের
ウイスキー	হুইস্কি
ウイスキー	হুইস্কি
バッド	খারাপ
バッド	বাজে
アレクセイ	আলেক্সি
アレクセイ	আলেক্সি
アレクサンドリア	আলেকজান্দ্রিয়া
総局	অধিদপ্তর
誠実	আন্তরিকতা
コンポーネント	অংশবিশেষ
コンポーネント	সামগ্রী
コンポーネント	অংশ
コンポーネント	কম্পোনেন্ট
コンポーネント	উপাদানগুলি
コンポーネント	উপাদান
聴覚	শোনার
聴覚	শ্রবণ
聴覚	শুনানী
トリガー	ট্রিগার
チューリップ	টিউলিপ
チューリップ	টিউলিপ
ガッツ	সাহস
リップ	রিপ
リップ	rip
プランニング	প্ল্যানিং
プランニング	পরিকল্পনা
煉瓦	ইট
煉瓦	ইট
煉瓦	ব্রিক
ペイン	কষ্ট
ペイン	যন্ত্রণা
ペイン	ব্যথা
ペイン	ব্যাথা
薬剤師	ফার্মাসিস্ট
自律	স্বশাসিত
ニコル	নিকোল
名字	surnames
ハーグ	হেগ
ミーティング	সভা
ミーティング	সভা
カーペット	গালিচা
カーペット	কার্পেট
カビ	অবয়বে
ギャップ	ফাঁক
ギャップ	গ্যাপ
地層	strata
アルス	ars
シェリー	শেলী
乗り物	যানবাহনের
乗り物	যানবাহন
乗り物	যানবাহন
ダニ	টিক
伊奈	ইনা
数量	পরিমাণ
チャイコフスキー	tchaikovsky
カナリア	ক্যানারি
テンプル	মন্দির
テンプル	টেম্পল
偽造	কৃত্রিম
エメラルド	পান্না
テレサ	তেরেসা
テレサ	থেরেসা
太い	পুরু
アニー	অ্যানি
ベルン	বার্ন
ベルン	বার্ণ
匂い	সুগন্ধ
匂い	গন্ধ
精神病	সাইকোসিস
ゴメス	গোমেজ
ナラ	নালার
ゲーテ	গ্যোটে
無条件	নিঃশর্তভাবে
無条件	নিঃশর্ত
オスカル	অস্কার
リハーサル	মহড়া
祝う	উদযাপন
サラダ	সালাদ
サラダ	সালাদ
エクアドル	ইকুয়েডরের
エクアドル	ইকুয়েডর
ルワンダ	রুয়ান্ডা
ドーピング	doping
シューマン	schumann
レナード	লিওনার্ড
グライダー	গ্লাইডার
ベルナール	বার্নার্ড
ひどい	ভয়ানক
ババ	baba
ババ	বাবা
野手	ফিল্ডার
ポーツマス	পোর্টসমাউথ
オスロ	অসলো
ヴァンガード	ভ্যানগার্ড
モニカ	মনিকা
モニカ	মনিকা
スペシャリスト	বিশেষজ্ঞ
リガ	রিগা
ロコ	লোকো
パワフル	শক্তিশালী
パワフル	ক্ষমতাশালী
パワフル	শক্তিশালি
ジョシュ	জোশ
スカーレット	স্কারলেট
スカーレット	স্কারলেট
放射能	radioactivity
ペレス	পেরেজ
ペレス	পেরেজ
泣く	কাঁদে
泣く	কাঁদা
泣く	কান্না
泣く	ক্রন্দন
泣く	কান্না
泣く	কাঁদতে
インディー	ইন্ডি
ペガサス	পেগাসাস
ディエゴ	ডিয়েগো
ディエゴ	দিয়েগো
観念	ধারণা
観念	আইডিয়া
観念	বুদ্ধি
前例	নজিরবিহীন
前例	অভূতপূর্ব
叫ぶ	চিত্কার
叫ぶ	চিৎকার
ケネス	কেনেথ
シャドウ	ছায়া
マンガン	ম্যাঙ্গানিজ
教訓	পাঠ
ハト	কবুতর
スモール	ক্ষুদ্র
スモール	স্বল্প
スモール	ছোট
給料	বেতনের
給料	বেতন
打楽器	সঙ্ঘাত
エドワーズ	এডওয়ার্ডস
スズ	টিনের
スズ	টিন
ベネット	বেনেট
ミミ	মিমি
ミミ	মিমির
肩書	শিরোনাম
肩書	শীর্ষক
肩書	নাম
ダライ	দলাই
ダライ	দালাই
コンペティション	প্রতিযোগিতা
役立つ	উপযোগী
役立つ	উপকারী
世俗	ধর্মনিরপেক্ষ
成虫	imago
ドリンク	পান
ドリンク	পানীয়
ドリンク	পানীয়
子宮	জরায়ুর
子宮	গর্ভে
子宮	গর্ভ
グラスゴー	গ্লাসগো
航法	পরিভ্রমণ
航法	ন্যাভিগেশন
航法	পরিদর্শন
航法	নেভিগেশন
シアン	সায়ান
シェパード	শেফার্ড
贈り物	উপহার
贈り物	গিফট
贈り物	উপহার
オビ	obi
ベネディクト	বেনেডিক্ট
検閲	সেন্সরশিপ
オペレーション	অপারেশন
オペレーション	কাজ
ガーディアン	অভিভাবক
ガーディアン	গার্ডিয়ান
小麦	গম
物事	জিনিসগুলি
物事	জিনিস
物事	জিনিষ
描画	অঙ্কন
ノンストップ	বিরতিহীন
パレット	প্যালেট
マギー	ম্যাগি
フューチャー	ভবিষ্যত
フューチャー	ভবিষ্যৎ
フューチャー	ভবিষ্যতের
フューチャー	হবু
狂気	উন্মাদ
狂気	পাগলামি
狂気	পাগলামি
リマ	লিমা
懸賞	পুরস্কার
ロバ	গাধা
ジュリー	জুলি
大麻	মাদকদ্রব্য
大麻	গাঁজা
村落	গ্রাম
村落	গ্রামে
村落	গ্রামের
生態系	ইকোসিস্টেম
かわいい	cute
かわいい	দুরে
かわいい	মিষ্টি
モニュメント	স্মৃতিসৌধ
モニュメント	স্মৃতিস্তম্ভ
ジャッジ	বিচার
ジャッジ	জজ
ジャッジ	বিচারক
ローラン	লরেন্ট
ザグレブ	জাগ্রেব
マジカル	ঐন্দ্রজালিক
マジカル	যাদুকরী
銃器	আগ্নেয়াস্ত্র
ソート	সাজানো
ソート	সাজাও
ソート	ক্রমবিন্যাস
ソート	সজ্জা
ソート	বাছাই
覚書	স্মারকলিপি
サンダー	বজ্রপাত
サンダー	থান্ডার
紅茶	চা
紅茶	চায়ের
デア	der
デア	ডার
ノーラン	নোলান
信じる	ঈমান
信じる	বিশ্বাস
ヴィンセント	ভিনসেন্ট
