فرعون	paraon
سهره	finch
هارون	harun
شنوایی	pagdinig
شنوایی	pandinig
جواهر	hiyas
جواهر	jewel
جواهر	alahas
هیجان	kaguluhan
هیجان	kilig
هیجان	excited
برانگیز	himukin
پرتره	portrait
تومور	tumor
تومور	bukol
فضاپیما	spacecraft
فضاپیما	spaceship
کپسول	capsule
بیسبال	baseball
کروموزوم	chromosomes
کروموزوم	kromosomang
خستگی	nakakapagod
بسامد	dalas
بسامد	kadalasan
استعفای	pagbibitiw
چاپلین	chaplin
الکتریسیته	elektrisidad
الکتریسیته	kuryente
کریک	creek
پنجاب	punjab
غیرممکن	imposible
غیرممکن	imposibleng
غیرممکن	impossible
اشیا	bagay
مشت	punch
مشت	kamao
ربع	quarter
سهولت	kadalian
سهولت	madalian
کنسولگری	konsulado
جسیکا	jessica
مجنون	insane
مجنون	galit
ویکیپدیای	wikipedia
بالکان	balkan
باروری	pertilidad
هوافضا	aerospace
عزاداری	pagluluksa
اضطراب	balisa
اضطراب	pagkabalisa
شرلوک	sherlock
نسیم	breeze
نسیم	simoy
اضطراری	emerhensiyang
اضطراری	emerhensiya
اضطراری	emergency
ثور	thor
فروهر	kakanyahan
باکس	box
باکس	kahon
اسکوشیا	scotia
تعصب	intolerance
تعصب	dogma
تفنگداران	musketero
تفنگداران	corps
کرک	kirk
درصدی	porsiyento
درصدی	porsyento
درصدی	percentage
سنتز	sintesis
افغانی	afghan
نیر	nir
اصولی	sistematikong
سپید	maputi
سپید	puti
واسکو	vasco
متناهی	finite
هدر	heather
نیکولا	nicola
نیکولا	nikola
دریچه	valve
احساسی	emosyonal
انجیر	ficus
انجیر	fig
ثالث	tertiary
جوهر	tinta
جوهر	ink
پلاستیکی	plastik
پلاستیکی	plastic
پن	penn
پن	pan
سس	sarsa
سس	sauce
تیغ	blade
مولر	mueller
مولر	muller
انتقالی	transitional
مبدا	pinanggalingan
مبدا	origin
مبدا	pinagmulan
آرژانتینی	argentinian
آرژانتینی	argentine
کیل	kale
کیل	kiel
وقفه	pagkaantala
گواهینامه	lisensiya
گواهینامه	lisensya
گواهینامه	sertipiko
گواهینامه	certificate
گواهینامه	katibayan
روال	gawain
فراموشی	forgetting
آمینه	asidong
زامبیا	zambia
تم	tam
تم	theme
تم	tema
فاش	ibunyag
فاش	ilantad
فاش	pagsisiwalat
ویروسی	viral
بابلی	babilonya
بابلی	babylon
بابلی	kalendaryong
صداهای	tinig
سوسن	susan
رینگ	ring
رینگ	singsing
رینگ	tawagan
کفایت	sasapat
کفایت	biyernes
هاردی	hardy
مخالفین	pagsalungat
گوزن	mus
گوزن	usa
نیومن	newman
نیومن	neumann
الیاس	elijah
الیاس	elias
الیاس	elias
لیزری	laser
پاداش	bonus
پاداش	gantimpala
نفرین	sumpa
لمس	touch
لمس	hipo
لمس	hawakan
سوئیسی	swiss
سویا	balatong
کارن	karen
مهندسین	inhinyero
قشر	cortex
طاووس	peacock
اسکلت	kalansay
پدربزرگ	lolo
پدربزرگ	lolo
گروپ	grupo
گروپ	pangkat
گروپ	group
منجمد	frozen
منجمد	nagyeyelo
فلامینگو	flamingo
خدایی	god
خدایی	diyos
سیار	cellphone
پادگان	garison
خلاقیت	pagkamalikhain
خلاقیت	creative
خلاقیت	malikhain
امریکایی	amerikano
بارون	baron
بارون	ulan
بارون	umulan
بیکر	baker
گی	bading
گی	gay
گی	bakla
تهمت	paninira
تاسیسات	pasilidad
تاسیسات	facility
حسگر	sensor
مستعمره	kolonya
بودا	buda
بودا	buddha
مکاتب	communicator
صاریغ	virginiana
خودگردان	autonomous
خودگردان	awtonomong
خودگردان	sosyalistikong
محققین	nananaliksik
محققین	mananaliksik
قسطنطنیه	constantinople
ایمن	ligtas
ایمن	safe
ایمن	ayman
ایمن	ligtas
ایمن	secure
جفرسون	jefferson
کاوشگر	pagsisiyasat
کاوشگر	lander
کاوشگر	explorer
ویرانی	destruction
غده	tumor
غده	bukol
غده	gland
بروک	brooke
بروک	brook
یزید	yazid
کاله	calais
مرمر	marmol
مقاصد	hangarin
مقاصد	destinasyon
زیارتگاه	shrine
