par	關於
gada	每年
arī	還
arī	也
kas	誰
pēc	後
pēc	之後
līdz	直到
bet	但
bet	不過
bet	但是
var	may
var	梅
var	五月份
var	五月
tas	這
tas	這個
tas	那個
dzimis	生於
dzimis	誕生
dzimis	出生
dzimis	天生
valsts	國家
valsts	國家
valsts	州
nav	無
tās	她們
tās	他們
tās	它們
atrodas	位於
tikai	只
tikai	只有
tikai	只是
tikai	只要
viņa	他的
viņa	她
kad	當
gadu	年度
gadu	年份
gadu	年
pilsētas	城鎮
pilsētas	城市
vieta	地點
vieta	場地
vieta	會場
vieta	地方
vieta	地點
vieta	所在地
vieta	位置
vieta	地點
vieta	網站
vieta	工地
kara	戰
kara	戰爭
iela	街頭
iela	街道
iela	街
jau	已經
miris	逝者
miris	已故
miris	死
novada	出院
novada	退伍
kopā	共計
kopā	總計
kopā	在一起
kopā	一起
krievijas	俄語
krievijas	俄文
attēls	照片
attēls	圖片
attēls	影象
attēls	影像
attēls	圖片
attēls	圖
pilsēta	城鎮
pilsēta	鎮
pilsēta	城市
pilsēta	市
pilsēta	城
vēlāk	後來
vēlāk	稍後
vēlāk	以後
viens	一
viens	one
viens	一個
eiropas	歐洲
taču	但
taču	不過
taču	但是
utc	utc
tomēr	然而
ļoti	非常
vācu	德文
vācu	德語
vēl	仍然
vēl	依然
vēl	然而
viena	一
viena	one
viena	一個
pagasts	教區
vairāk	多
vairāk	更多
vairāk	更
daļa	共用
daļa	共享
daļa	分享
daļa	share
jpg	jpg
tad	那
tad	然後
tad	那麼
tie	她們
tie	他們
tie	它們
pirms	以前
pirms	前
pirms	之前
zemes	地球
zemes	大地
zemes	陸地
zemes	土地
zemes	地面
šaha	象棋
šaha	棋
šaha	西洋棋
pirmā	首先
pirmā	第一
centrs	中心
centrs	中心
psrs	蘇聯
kurš	誰
trīs	三
trīs	三個
parasti	一般
parasti	通常
parasti	通常
parasti	平時
pat	甚至
pat	pat
jūras	海事
http	http
pirmais	首先
pirmais	第一
spēles	games
spēles	遊戲
nosaukums	名字
nosaukums	名稱
nosaukums	姓名
team	團隊
team	球隊
team	隊伍
sezonas	季節
sezonas	季
sezonas	季節
sezonas	四季
sezonas	季
sezonas	季節
visu	一切都
visu	一切
visu	全部
visu	所有
visu	all
grupas	群組
grupas	群
grupas	群組
grupas	團體
vienu	一
vienu	one
vienu	一個
ieguva	元
laika	天氣
laika	氣象
laika	時光
laika	時間
gads	年度
gads	年份
gads	年
