터치스크린	pekskärm
가속	acceleration
가속	påskyndat
가속	påskyndade
테크노	techno
노스웨스트	nordvästra
노스웨스트	nordväst
상속	ärver
상속	arvinge
상속	arvtagare
상속	arvingar
상속	arvtagare
상속	arv
맞춤법	stavning
버디	polaren
버디	buddy
버디	kompis
시어도어	theodore
시어도어	theodor
조종	manipulera
조종	manipulerar
보헤미아	böhmen
간략하게	kortfattat
간략하게	kortvarigt
휠체어	rullstolar
휠체어	rullstol
럭키	tur
럭키	lucky
스노보드	snowboard
스노보드	snowboard
미타	mita
인스턴트	omedelbar
애틀랜틱	atlantic
애틀랜틱	atlanten
애틀랜틱	atlantiska
호놀룰루	honolulu
정치국	politbyrån
정치국	politbyrå
쇼크	chock
쇼크	stöt
단말기	anordning
단말기	enhet
단말기	enheten
아바나	havanna
나이로비	nairobi
셰퍼드	shepherd
셰퍼드	herden
셰퍼드	herde
그라나다	granada
루키	lou
부드럽게	mjuk
부드럽게	mjuka
부드럽게	soft
부드럽게	mjukt
부드럽게	slät
부드럽게	jämn
부드럽게	slätt
부드럽게	smidigt
부드럽게	smidig
부드럽게	varsamt
부드럽게	försiktigt
묘사	beskrivning
묘사	skildringar
제미니	gemini
미란다	miranda
항만	hamn
항만	harbor
항만	hamnen
트랜지스터	transistor
세이	uppsats
세이	uppsatsen
코발트	kobolt
몰락	undergång
차이점	jämförelse
차이점	diff
차이점	skillnad
차이점	skillnaden
차이점	olikheter
차이점	meningsskiljaktigheter
차이점	skillnader
논리학	logiken
논리학	logiska
논리학	logisk
논리학	logiskt
논리학	logik
버틀러	butler
버틀러	betjänt
마르셀	marcelle
마르셀	marcel
이니셜	ursprungligt
이니셜	initial
이니셜	ursprunglig
이니셜	inledande
이니셜	initialer
이니셜	initialerna
일치	matcher
일치	matchar
일치	tändstickor
일치	matchning
일치	matchar
일치	matchande
일치	matchning
일치	match
일치	matchar
일치	matcha
일치	matchade
일치	matchas
성숙한	moget
성숙한	mogen
성숙한	mogna
갈라타사라이	galatasaray
나오코	naoko
비정상적인	onormal
비정상적인	onormala
비정상적인	avvikande
비정상적인	onormalt
코스트	kusten
코스트	kust
코스트	coast
바스크	baskiska
음절	stavelse
간섭	interventioner
간섭	ingripande
간섭	intervention
간섭	störningar
간섭	störning
간섭	interferens
간섭	inblandning
켈러	keller
비너스	venus
손상	skadade
손상	skadat
손상	skadad
손상	skador
손상	skada
소매	detaljhandeln
소매	detaljhandel
소매	ärmar
소매	ärm
인피니티	oändligheten
인피니티	oändligt
인피니티	oändlighet
호흡	andedräkt
호흡	andetag
호흡	andas
호흡	andas
호흡	andning
호흡	andningen
호흡	andningen
호흡	andning
경쟁력	konkurrenskraftigt
경쟁력	konkurrenskraftig
경쟁력	konkurrenskraftiga
경쟁력	konkurrenskraft
캐럴	carol
캐럴	carroll
파이브	fem
파이브	five
긴자	ginza
사라예보	sarajevo
침대	bäddar
침대	sängar
침대	säng
침대	sängen
침대	bädd
모닝	godmorgon
모닝	morgon
모닝	morning
카린	karin
페루자	perugia
악당	skurk
인디언스	indier
인디언스	indianer
인디언스	indianerna
사노	sano
보르네오	borneo
합법적인	lagligt
합법적인	äkta
합법적인	legitimt
합법적인	rättsligt
합법적인	rättslig
합법적인	lagligt
합법적인	juridiska
합법적인	rättsliga
나미비아	namibia
휴식	paus
휴식	break
휴식	rast
휴식	bryta
휴식	brytning
휴식	bryt
휴식	vilande
휴식	vilar
휴식	vila
휴식	avkoppling
리코	ricoh
북극	arktis
북극	arktiska
퀄컴	qualcomm
똑바로	straight
똑바로	rakt
똑바로	rak
똑바로	raka
캘거리	calgary
친절한	snäll
로테르담	rotterdam
빌드	bygg
빌드	bygga
빌드	bygger
학술지	tidskrift
학술지	journal
학술지	tidning
실리콘	silikon
실리콘	silicon
실리콘	kisel
실리콘	silikon
생선	fisk
생선	fiska
생선	fiskar
레프	lev
리에주	liège
브루나이	brunei
쌓인	staplade
움직여	drag
움직여	flytta
냉방	kylning
냉방	kyla
냉방	nedkylning
급속한	rapid
급속한	snabb
정화	rening
나카타	nakata
원고	käranden
원고	käranden
크리스티	christie
해외로	utomlands
해외로	utomeuropeiska
해외로	utlandet
해외로	utomlands
엑스포	mässan
엑스포	expo
컴파일러	sammanställningen
컴파일러	sammanställning
컴파일러	kompilatorer
컴파일러	kompilator
앙상블	ensemble
시체	body
시체	kropp
시체	kroppen
시체	kropps
시체	lik
시체	liket
시체	lik
시체	kadaver
거미	spindel
거미	spindeln
거미	spider
거미	spindlar
그릇	bowl
그릇	skålar
힐러리	hillary
힐러리	hilary
힐러리	hilary
모델링	modellering
모델링	modellering
캅카스	kaukasus
캅카스	kaukasien
캅카스	polis
캅카스	cop
캅카스	snut
나카니시	nakanishi
촛불	ljus
촛불	stearinljus
촛불	ljus
촛불	stearinljus
가축	boskap
가축	nötboskap
가축	nötkreatur
가축	boskap
웨딩	bröllop
우랄	ural
상점	handla
상점	butiken
상점	butik
상점	butiker
상점	lagrar
상점	butiker
상점	förvaras
상점	lagra
상점	butiken
상점	butik
스티븐스	steven
스티븐스	stevens
부재	avsaknad
부재	frånvaro
바꾸기	ersätta
바꾸기	ersätt
바꾸기	byt
바꾸기	strömbrytare
바꾸기	byta
바꾸기	växla
바꾸기	byt
바꾸기	byta
바꾸기	ändra
바꾸기	byt
바꾸기	ändring
바꾸기	förändring
바꾸기	byta
분홍색	rosa
분홍색	pinks
요리사	cook
요리사	kock
요리사	kock
요리사	kocken
할당된	tilldelade
할당된	tilldelat
할당된	tilldelad
저작권자	copyright
저작권자	upphovsrätt
저작권자	upphovsrätten
말하기	talande
말하기	talar
말하기	tala
말하기	talar
헤더	huvud
헤더	heather
헤더	huvuden
산술	aritmetiska
십자	cross
십자	kryss
십자	korsa
십자	kors
의자	stol
레일	järnväg
레일	räls
사산	dödfött
간격	mellanrum
간격	lucka
간격	gap
간격	intervall
간격	avstånd
간격	mellanrum
간격	mellanrum
간격	öppningar
간격	luckor
카스트로	castros
카스트로	castro
라이스	rice
라이스	ris
페르미	fermi
사춘기	tonåring
사춘기	puberteten
사춘기	tonåren
베넷	bennett
액정	lcd
후드	huven
후드	huva
후드	hood
페인	payne
페인	paine
요셉	joseph
요셉	josef
포커	poker
프론티어	gränser
프론티어	gräns
디아블로	diablo
커플	par
커플	par
커플	paret
불안	osäkert
불안	osäkra
불안	osäker
불안	ångest
퀸즈	drottningar
퀸즈	queens
프린터	utskrift
프린터	tryckeri
프린터	tryckning
프린터	skrivare
프린터	skrivaren
프린터	skrivare
터미네이터	terminator
일렉트로니카	electronica
인문학	humaniora
인문학	humanistiska
양서류	groddjur
채소	grönsaker
채소	vegetabiliskt
채소	grönsak
채소	vegetabiliska
채소	grönsaker
문구	bildtext
문구	text
문구	texten
문구	meningar
문구	fraser
스트라스부르	strasbourg
키르기스스탄	kirgizistan
도마뱀	ödlor
도마뱀	ödlor
도마뱀	ödlan
도마뱀	ödla
무라타	murata
이끼	mossa
이끼	moss
계몽	upplysning
바트	bart
시리우스	sirius
킹스턴	kingston
소실	försvinnanden
소실	försvinnande
소실	försvinnandet
협조	samarbeta
부활절	påsken
부활절	påsk
랄프	ralf
랄프	ralph
클릭	klick
클릭	klicka
클릭	klick
클릭	klickar
하디	hardy
직물	textil
직물	textilier
직물	tyger
직물	vävnader
직물	textil
직물	textilier
파스타	pasta
벽화	väggmålningar
벽화	väggmålning
메시	messi
다스	darth
북서	northwestern
북서	nordvästra
북서	nordvästra
북서	nordväst
페르시아어	persiska
노르딕	nordic
노르딕	nordisk
노르딕	nordiska
매리너스	sjömän
플랜	planerar
플랜	planen
플랜	plan
플랜	planera
플랜	planerar
플랜	planer
의미있는	meningsfullt
의미있는	meningsfull
의미있는	meningsfulla
해명	klargörande
해명	förtydligande
신용	kredit
신용	credit
미아	mia
야채	grönsaker
야채	vegetabiliskt
야채	grönsak
야채	vegetabiliska
야채	grönsaker
렌더링	återgivning
렌더링	återge
바이애슬론	skidskytte
적분	integrerad
삼각주	delta
사각형	torg
사각형	square
사각형	fyrkantig
사각형	kvadrat
사각형	fyrkant
사각형	torget
사각형	fyrhörning
사각형	rektangel
사각형	rektangulära
사각형	rektangulär
청소	städning
청소	rensning
청소	städar
청소	rengöring
청소	rena
청소	städa
청소	ren
청소	rent
청소	clean
청소	städat
청소	städade
청소	rensade
거기	där
세미	semi
중등	sekundära
중등	sekundär
중등	sekundärt
베이시스트	basist
캐롤	carol
캐롤	carroll
캐롤	carole
엘리	ellie
엘리	eli
부채	skulder
부채	skulder
부채	skulder
부채	skuldsättning
부채	skuld
눈부신	bländande
발효	jästa
발효	jäst
발효	jäsning
발효	fermentering
체리	körsbär
체리	cherry
체리	körsbär
경관	polisman
경관	officer
경관	liggande
경관	landskap
퍼텐셜	potentiella
퍼텐셜	potential
퍼텐셜	potentiell
퍼텐셜	potentiellt
생각하기	tror
생각하기	tycker
생각하기	tänk
생각하기	tänka
버섯	svampar
버섯	svamp
버섯	svampar
버섯	svamp
익숙한	bekanta
익숙한	bekant
익숙한	familjär
익숙한	välbekant
파이팅	slåss
파이팅	kämpa
파이팅	fighting
파이팅	slagsmål
파이팅	kämpar
파이팅	kämpande
튀니스	tunis
매력	glamour
매력	dragningskraft
매력	charm
매력	charming
매력	charmig
매력	charmerande
태양광	sol
태양광	solar
태양광	solenergi
선진	utvecklat
선진	utvecklad
선진	utvecklades
선진	utvecklade
선진	utvecklats
선진	befordran
공연장	mötesplats
공연장	lokalen
타카기	takagi
조건부	villkorlig
조건부	villkorliga
조건부	villkorligt
메세지	budskap
메세지	meddelande
아우디	audi
벨트	bälten
벨트	skärp
벨트	bältet
벨트	bälte
비엔나	wien
비엔나	vienna
예의	uppförande
예의	artigt
예의	artig
예의	artighet
예의	artig
노리치	norwich
선구자	pionjärer
받았습니다	fått
받았습니다	mottaget
받았습니다	fick
