stregone	ساحر.
elefante	فیل
esporre	کھلا
esporre	آزار
esporre	پُرخطر.
unanime	متفقہ
prostituzione	قحبگی
prostituzione	تخریب
coinvolgere	عمل
festeggia	تہوار
festeggia	باشرف
unitaria	واحدی
lente	تال
lente	روشنی
lente	عدسہ
lente	تال
lente	روشنی
immediate	متقاضی.
immediate	فوری
immediate	بلاواسطہ
immediate	وہبی
separatamente	علاحدگی
separatamente	افتراق
prussiana	پروشیائی
opposti	مدّمقابل.
opposti	ڈنڈی
salti	from
salti	اچھلنا
salti	کدانا
salti	اضطراب.
salti	چھلانگ.
salti	in
salti	چڑھنا
salti	قیمتوں
salti	چڑھانا.
salti	from
salti	اچھلنا
salti	کدانا
salti	زقند
salti	اضطراب.
salti	چھلانگ.
salti	in
salti	چڑھنا
salti	قیمتوں
salti	چڑھانا.
salti	of
pacifica	پُرسکون.
jolly	نفر.
jolly	مرغوب
jolly	رسم.
jolly	رنگیلا
jolly	بجائے
jolly	مگن
jolly	ضیافت
jolly	خوشگوار
jolly	دعوت
jolly	تقریب
jolly	پچکارنا.
jolly	بہت
migrazione	مہاجرت
infiorescenza	ٹہنی
tanner	کھٹیک.
tanner	دبّاغ
tanner	کھٹیک.
feroce	متشدّد
feroce	شدید
feroce	اڑیل
feroce	مشین)
feroce	سخت
feroce	خونخوار
feroce	جنگلی
feroce	خونخوار
feroce	جنگلی
feroce	وحشی
letale	مہلک.
letale	مردنی
letale	انتہائی
letale	ظالم
letale	بالکل
letale	ازحد
letale	نہایت
letale	سفّاک.
letale	افسردہ.
letale	قاتل
letale	مہلک
letale	مہلک
palm	ہتھیلی
passioni	لگاؤ
jungle	ابتر
jungle	پیچیدہ
ornato	پیچیدہ.
sabine	سبینی.
scimmia	دھمس.
scimmia	بندر
scimmia	دھمس.
scimmia	بُوزنہ
scimmia	چمپانزی
swing	جھولنے
swing	سُبک
swing	لچک
swing	لٹکنے
swing	رواں
swing	جھلانا
swing	جھونک
swing	لپک.
swing	جھولنا
script	ڈرامے
matto	لٹّو
matto	فاترالعقل.
matto	فدا
matto	احمقانہ
matto	جنونی
comprensibile	شریک
visivo	عینی.
visivo	بصری
visivo	عینی.
visivo	نظری
gap	درّہ.
gap	خلا
gap	مذاق
gap	شگاف.
gap	گھاٹی
gap	فصل
gap	اختلاف.
gap	ریخ
gap	درّہ.
gap	خلا
gap	رخنہ
gap	مذاق
gap	شگاف.
gap	گھاٹی
gap	فصل
gap	اختلاف.
gap	ریخ
disperazione	چھوڑنا
ventesimo	بیستم
ventesimo	بیسویں
ventesimo	بیسواں
kick	زور
kick	توانائی
kick	گرمانے
kick	ترنگ
cardinal	خاص
lavoratore	مزدور.
lavoratore	کامی
lavoratore	مزدور.
lavoratore	کارکن
crew	جتھا
inversione	پلٹا
inversione	تقلیب
sorriso	روشن
sorriso	مسکرانا
sorriso	بہلانا.
sorriso	out
sorriso	تبسّم
sorriso	مسکراہٹ
sorriso	ہنسی.
sorriso	خوشنودی
cult	مذہب.
cult	مسلک
scarsi	شاذ.
scarsi	بمشکل
scarsi	ناکافی.
scarsi	شاذ.
scarsi	بمشکل
scarsi	ناکافی.
scarsi	کمیاب
beast	حیوان
promise	اقرار.
promise	قول
promise	عہد
promise	اقرار.
promise	قول
promise	وعدہ
solidi	کٹّر.
solidi	اصلی
solidi	مسطّح
solidi	پختہ
solidi	مسلسل
solidi	مجسّم.
solidi	معتبر
solidi	ہموار
solidi	یکجا
solidi	متّحد
solidi	کٹّر.
solidi	اصلی
solidi	مسطّح
solidi	پختہ
solidi	مسلسل
solidi	مجسّم.
solidi	معتبر
solidi	ہموار
solidi	ٹھوس
solidi	مضبوط
solidi	سخت
solidi	یکجا
solidi	متّحد
affine	مشابہت
affine	عزیز
affine	مطابقت.
candidata	امیدوار
ripartire	تجدید
numismatico	مسکوکاتی.
numismatico	سکّوں
skin	رگڑنا.
skin	چمڑی.
skin	جلد
skin	اسٹینسل.
skin	رگڑنا.
skin	چمڑی.
skin	جلد
skin	اسٹینسل.
skin	کھال
skin	پوست
ammettere	گنجائش
soddisfazione	تسلی
soddisfazione	تسلی
soddisfazione	تسکین
soddisfazione	طمانیت
imitazione	مثنّیٰ.
imitazione	نقلی.
imitazione	نقالی.
imitazione	جعلی
imitazione	مثنّیٰ.
imitazione	نقلی.
imitazione	نقالی.
imitazione	جعلی
imitazione	نقل
erigere	نافذ
erigere	اٹھانا
erigere	عمودی.
erigere	(قضیب
erigere	نصب
twin	جوڑا
twin	مثنیٰ
kaiser	قیصر
riservati	to
riservati	خاموش
riservati	بچاکر
instabilità	نااستواری
instabilità	نامحکمی.
profitto	بھلائی
profitto	سود.
profitto	بھلائی
profitto	فائدہ
profitto	یافت
profitto	نفع
profitto	سود.
distanti	مرتبے
distanti	بھٹکا
distanti	حیثیت
distanti	مبہم
distanti	خفیف
distanti	متفاوت
distanti	مرتبے
distanti	بھٹکا
distanti	حیثیت
distanti	مبہم
distanti	خفیف
distanti	متفاوت
distanti	دُور
distanti	بعید
pacchetti	مراعات
pacchetti	مصنوعات
curiosa	نادر.
curiosa	متجسس
curiosa	فحش
curiosa	نادر.
curiosa	انوکھا
curiosa	متجسس
curiosa	فحش
curiosa	عجیب
dissoluzione	آوارگی
dissoluzione	انشقاق
dissoluzione	انجام
dissoluzione	خاتمہ
dissoluzione	نیستی.
dissoluzione	عّیاشی.
dissoluzione	موت.
dissoluzione	تقسیم
dissoluzione	آوارگی
dissoluzione	انشقاق
dissoluzione	انجام
dissoluzione	خاتمہ
dissoluzione	نیستی.
dissoluzione	عّیاشی.
dissoluzione	موت.
dissoluzione	تحلیل
dissoluzione	تقسیم
connesso	ہمرشتہ
connesso	مسلسل
connesso	متعلق
connesso	منسوب.
controverso	جھگڑا
controverso	نزاع
ottimale	تعدیل.
terminali	حد
terminali	زبردست-
terminali	نہائی.
terminali	نہایت.
terminali	انتہا
dente	اثر
dente	سن
dente	دنداں
dente	اثر
dente	سن
dente	دنداں
dente	دانت
met	موسمیاتی.
faida	طویل
attenta	چوکس.
placca	طشتری
placca	رکابی
placca	لوحین.
placca	دھات
gravitazionale	تجاذبی.
cera	جھونجل
cera	(بعدہ
cera	مومیانا
nightmare	ہول
nightmare	ہراس
nightmare	دہشت.
manto	غلاف
manto	چادر
manto	ملوک
manto	۱۳:۲)
libanese	لبنانی.
visualizzazione	استبصار
visualizzazione	محاکات
visualizzazione	نظارگی
visualizzazione	نظرفریبی.
visualizzazione	مظاہرہ.
visualizzazione	تماشا.
visualizzazione	نمائش
visualizzazione	دکھاوا
chief	فائق
chief	ممتاز
chief	برتر
warrior	جنگی
creativo	مخترع
creativo	موجد
creativo	خلاّق.
riflesso	اضطراری
riflesso	نشانی
riflesso	علامت
riflesso	مظہر
riflesso	عکس.
riflesso	اشعاع
riflesso	upon
riflesso	پرتو
riflesso	انعکاس
incapacità	معذوری
musa	موسیقی
cassetta	فیتہ
vision	بینائی
vision	بینائی
vision	نظر
impact	ٹکراؤ.
impact	اثر
impact	دابنا.
impact	جکڑنا
coloniali	مستعمراتی
hammer	ہرانا
hammer	بجانا
hammer	پچکانا
fertile	مخترع
intermediazione	دلالی
intermediazione	ثالثی
intermediazione	ثالث
intermediazione	پنچ
intermediazione	حکَم.
freddi	جوش
freddi	بالکل
freddi	جذبہ
freddi	مہر
freddi	زکام
freddi	مدّھم
freddi	یکلخت
freddi	شیتل
freddi	جوش
freddi	سرد
freddi	بالکل
freddi	جذبہ
freddi	بارِد
freddi	نزلہ
freddi	مہر
freddi	زکام
freddi	مدّھم
freddi	یکلخت
freddi	شیتل
ricetta	گُر
input	انداختہ.
artigli	دبوچنا
artigli	کھسوٹنا
artigli	کُھجانا
bloom	شادابی
bloom	رعنائی
smart	ممتاز.
smart	تیزی
smart	درست
smart	ہوشیار
smart	پھرتیلا.
smart	پھرتی
smart	طرار
smart	وضعدار
smart	تیز
smart	خلش.
smart	عیار
smart	طرحدار
smart	زوردار.
basale	اساسی
basale	بنیادی
strong	شدید-
strong	حاوی
strong	خالص
strong	واضح
strong	پکّا
strong	تند
strong	متحد
strong	شدید-
strong	حاوی
strong	خالص
strong	واضح
strong	پکّا
strong	مضبوط
strong	تند
strong	متحد
burning	کھلا
burning	شدید
burning	نہایت
burning	ظاہر
esplicita	سہل
esplicita	خیال
esplicita	بیّن
esplicita	مفصل
esplicita	واضح
esplicita	کھرا
esplicita	(علم
esplicita	غیرمبہم.
cascate	جھرنا.
cascate	جھرنا.
cascate	آبشار
arrendersi	جذبے
arrendersi	تسلیم.
generatore	ڈائنمو.
generatore	موجد
generatore	جنریٹر
generatore	مخترع.
generatore	گیس
chandler	پنساری
chandler	صابن
chandler	تیل
nozione	ایما
