din	від
care	хто
care	who
care	какой
care	який
care	які
care	яке
care	яка
fost	був
fost	було
fost	були
mai	май
mai	більше
pentru	для
lui	lui
lui	його
sunt	надаються
sit	сайт
după	після
ale	ale
ale	ель
lea	леа
prin	крізь
prin	наскрізь
prin	через
prin	передивився
regiunea	ділянку
regiunea	регіон
mare	великий
mare	чудово
mare	великі
mare	велике
mare	велика
mare	великий
mare	біг
mare	море
anul	рік
comună	спільними
comună	поширені
comună	спільне
comună	загальні
comună	common
are	має
externe	зовнішнє
externe	зовнішні
externe	зовнішній
externe	зовнішня
locuitori	мешканці
locuitori	мешканці
locuitori	мешканців
legături	лінки
legături	посилання
legături	посиланнями
legături	посилань
vezi	подивитися
vezi	див
vezi	бачите
vezi	бачу
vezi	переглянути
dar	але
cod	код
populație	населення
bucurești	бухарест
bucurești	bucurești
fiind	проводиться
fiind	будучи
fiind	буття
românia	румунії
românia	румунія
jpg	jpg
lista	перелік
lista	list
lista	список
ucraina	україна
ucraina	україні
nume	назва
ani	ані
ani	роки
avea	мали
avea	мав
între	поміж
între	між
până	доки
până	till
până	поки
până	доки
până	до
până	поки
comuna	муніципалітет
comuna	край
comuna	спільними
comuna	поширені
comuna	спільне
comuna	загальні
comuna	common
poate	maybe
poate	можливо
două	два
două	дві
două	двоє
două	двох
două	двійка
rege	кінг
rege	король
rege	цар
sub	під
sub	under
alte	інший
alte	інша
alte	інші
alte	інше
alte	інших
când	коли
regiune	ділянку
regiune	регіон
anii	роки
parte	частина
județul	графство
județul	повіт
județul	жупанія
centura	пасок
centura	пояс
dinastia	династія
septembrie	вересня
septembrie	вересні
septembrie	вересень
timp	тайм
timp	час
despre	приблизно
despre	інфо
despre	про
despre	щодо
unde	звідки
unde	де
unde	where
unde	куди
majoritatea	найцікавіше
majoritatea	більшість
majoritatea	більшість
majoritatea	більшістю
densitate	щільність
densitate	щільності
limbă	язик
limbă	язика
limbă	мова
limbă	мови
limbă	мову
iunie	червня
iunie	червні
iunie	червень
multe	багато
multe	багатьох
prima	перше
prima	перша
prima	перший
octombrie	жовтень
octombrie	жовтня
octombrie	жовтні
august	серпні
august	серпня
august	серпень
sat	село
sat	сб
sat	сидячи
sat	сіли
sat	сидів
sat	sat
martie	березні
martie	березень
martie	березня
biserica	церква
biserica	костел
fișier	файл
decembrie	грудень
decembrie	грудня
decembrie	грудні
toate	усі
toate	всі
toate	все
toate	всіх
ianuarie	січні
ianuarie	січень
ianuarie	січня
latns	latns
latd	latd
longd	longd
adresă	адреса
adresă	звертайтеся
adresă	адресу
noiembrie	листопаді
noiembrie	листопад
noiembrie	листопада
cum	як
imagine	picture
imagine	зображення
imagine	картинка
imagine	фото
imagine	зображення
statul	стан
statul	держава
lor	своїх
lor	їхньому
lor	свої
lor	їхнє
fie	або
avut	мали
avut	мав
familia	сімейство
familia	сімейний
familia	сімейні
familia	родина
numele	назва
timpul	тайм
timpul	час
nord	північна
nord	норт
nord	північний
nord	північ
nord	nord
principală	головний
principală	основне
principală	головна
principală	головні
principală	головне
sud	південна
sud	південь
sud	південний
aprilie	квітень
aprilie	квітня
aprilie	квітні
erau	були
loc	місце
primul	перше
primul	перша
primul	перший
iulie	липень
iulie	липні
iulie	липня
doar	лише
doar	тільки
doar	просто
doar	щойно
editura	видавець
asteroid	астероїд
asteroid	астероїди
februarie	лютому
februarie	лютий
februarie	лютого
recensământului	перепис
listă	перелік
listă	list
listă	список
trei	три
trei	втрьох
trei	трійка
asteroizi	астероїди
limba	язик
limba	язика
limba	мова
limba	мови
limba	мову
lats	лат
longm	longm
latm	latm
discuție	дискусії
discuție	дискусія
discuție	обговорення
franța	франції
franța	франція
franța	францію
partea	частина
mult	багато
mult	сильно
fără	без
departamentul	департамент
departamentul	відділ
foarte	дуже
raionul	проході
data	дату
data	дата
data	датою
data	дані
data	data
departament	департамент
departament	відділ
unul	одна
unul	one
unul	одне
unul	один
apoi	потім
apoi	тоді
grup	група
grup	групова
grup	груповий
grup	групу
grup	спільнота
locul	місце
oraș	містечко
oraș	місто
oraș	місто
pot	можна
camp	табір
germania	німеччини
germania	німеччині
germania	німеччина
germania	німеччину
face	make
face	зробити
satul	село
național	національна
național	націонал
național	національне
național	національний
național	національні
note	нотаток
note	нотатки
note	примітки
perioada	строк
perioada	період
minoritate	меншості
ucraineană	український
ucraineană	українець
ucraineană	українська
cadrul	каркас
cadrul	рамках
general	загальні
general	генерал
general	загальний
general	загальне
război	війна
peste	закінчилося
peste	над
peste	закінчено
peste	закінчилась
română	румунська
află	дізнатися
află	вчити
află	вчитись
află	навчитися
început	почалося
început	почалось
început	почали
început	розпочато
început	почався
început	почато
început	початок
iii	ііі
iii	iii
duce	герцог
duce	дюк
român	румунська
provincia	провінція
existând	існуюче
existând	існуючий
existând	існуючі
existând	існуючу
vedere	перегляд
vedere	вигляд
vedere	view
vedere	вид
vedere	переглянути
wikipedia	вікіпедія
specie	виді
specie	вид
specie	види
punct	крапка
punct	точка
punct	точку
punct	point
stat	стан
stat	держава
unite	united
unite	юнайтед
moldova	молдова
moldova	молдові
moldova	молдови
file	вкладок
file	вкладки
atunci	потім
atunci	тоді
aceste	ці
secolul	ст
secolul	століття
secolul	century
una	одна
una	one
una	одне
una	один
aceasta	цей
aceasta	ця
life	життя
life	лайф
reședință	резиденція
orașul	місто
tot	усі
tot	всі
tot	все
tot	всіх
tot	still
tot	ще
tot	надалі
tot	досі
chiar	навіть
chiar	даже
făcut	зробила
făcut	made
cunoscute	відома
cunoscute	відоме
cunoscute	відомі
film	фільм
film	кіно
film	фільм
film	плівка
perioadă	строк
perioadă	період
vorbitori	спікерів
date	дати
date	дані
date	data
trebuie	мусить
trebuie	має
trebuie	повинен
cunoscută	відома
cunoscută	відоме
cunoscută	відомі
aici	тут
mari	великі
mari	велике
mari	велика
mari	великий
mari	біг
mari	марі
zile	днів
zile	дні
față	front
față	спереду
față	передні
față	фронт
față	передній
față	обличчя
față	обличчям
față	face
club	club
club	клуб
componente	компоненти
componente	компонентів
ulterior	послідовно
est	схід
est	est
nou	нові
nou	нове
nou	нова
nou	новий
nou	створити
ales	обраний
ales	вибрано
ales	вибрана
ales	вибране
ales	вибраний
numai	лише
numai	тільки
ioan	джон
ioan	іоанн
ioan	іван
ioan	йоан
ioan	іоан
ion	іон
rusă	російська
rusă	російською
rusă	російську
isbn	isbn
populația	населення
doi	два
doi	дві
doi	двоє
doi	двох
doi	двійка
același	збігається
același	однаковий
același	однакові
același	same
același	самий
membru	член
membru	учасник
membru	учасника
membru	члена
dată	дату
dată	дата
dată	датою
numit	названий
numit	назвали
numit	названо
numit	назвали
numit	викликала
numit	називається
numit	викликали
descrisă	описано
descrisă	описані
oficial	офіційні
oficial	офіційна
oficial	офіційний
oficial	офіційне
oficial	офіційно
nici	ані
împotriva	проти
deși	хоча
deși	хоча
deși	щоправда
saint	святий
saint	saint
saint	сен
împreună	разом
specia	виді
specia	вид
specia	види
vest	захід
vest	вест
vest	західний
vest	західні
vest	західна
italia	italia
italia	італії
italia	італія
italia	італію
puțin	маленька
puțin	маленький
puțin	маленькі
excentricitate	ексцентриситет
încă	still
încă	ще
încă	надалі
încă	досі
descoperit	виявив
descoperit	виявили
descoperit	відкрив
descoperit	відкрили
înainte	переслати
înainte	вперед
înainte	пересилання
înainte	перед
înainte	before
lemn	вуд
lemn	деревина
lemn	лісова
noi	нові
noi	нове
noi	нова
noi	новий
noi	створити
nicolae	миколай
nicolae	ніколас
nicolae	миколая
nicolae	ніколае
națională	національна
națională	націонал
națională	національне
națională	національний
națională	національні
subspecii	підвид
statele	стани
statele	штати
roman	роман
drept	чесні
drept	стріт
drept	прямі
drept	прямо
drept	відверта
mod	режим
mod	лад
mod	mode
mod	mod
american	американський
american	американець
american	американські
american	американська
american	американської
fiecare	кожен
fiecare	кожні
fiecare	кожну
fiecare	кожного
fiecare	кожному
fiecare	кожен
fiecare	кожна
prezent	сьогодення
prezent	подарунок
prezent	теперішній
prezent	присутні
prezent	присутня
casa	хати
casa	будинок
acestea	ці
printre	серед
printre	серед
categorie	категорія
text	текстовий
text	текст
cluj	клуж
bine	хороші
bine	гарні
bine	добрий
bine	добре
bine	ясно
bine	ок
bine	гаразд
bine	добре
http	http
site	сайт
articole	статті
articole	статтями
articole	статей
articole	елементів
articole	пункти
articole	елементи
alexandru	александру
alexandru	олександр
alexandru	александер
unele	дехто
unele	деякі
unele	якесь
unele	якийсь
unele	трохи
milioane	мільйон
milioane	мільйонами
milioane	мільйони
apă	вода
apă	водні
apă	водяний
apă	водяне
doua	два
doua	дві
doua	двоє
doua	двох
doua	двійка
iași	ясси
țară	країни
țară	країна
țară	кантрі
sate	селах
sate	села
sate	сіл
târziu	запізнюється
târziu	пізно
târziu	запізно
istoria	журнал
istoria	історія
istoria	історії
maria	марія
cunoscut	відома
cunoscut	відоме
cunoscut	відомі
patru	четвірка
patru	чотирьох
patru	чотири
republica	республіка
cca	приблизно
râul	річка
râul	ріка
formată	сформована
