kategória	categoría
egy	unha
egy	un
hogy	a
hogy	para
hogy	que
nem	non
volt	tiña
volt	que
volt	tiven
volt	era
volt	estaba
volt	foi
vagy	ou
első	primeiro
első	primeira
csak	único
csak	só
csak	única
csak	de
csak	só
még	nin
még	incluso
még	aínda
még	mesmo
még	sequera
még	aínda
még	segue
van	que
van	ter
van	teñen
van	temos
van	teño
település	aldea
település	da
település	pobo
település	vila
település	concello
már	xa
között	entre
között	os
között	as
között	entre
között	os
mint	como
mint	coma
mint	como
mint	coma
mint	así
után	tras
után	de
után	despois
után	logo
további	máis
további	lonxe
további	adicional
további	máis
nagy	grande
nagy	gran
nagy	grandes
nagy	grande
nagy	grandes
nagy	gran
személyek	persoas
ország	país
évek	anos
klub	clube
klub	salvavidas
klub	club
így	así
így	que
így	entón
így	tan
több	máis
információk	información
született	nacín
született	naceu
született	nacer
született	naciches
született	nacen
lett	foi
lett	a
lett	converteuse
lett	nunha
lett	nun
lett	en
lett	se
lett	converteu
vita	discusión
vita	debate
aki	quen
aki	que
ezt	isto
ezt	esta
ezt	este
itt	aquí
akkor	logo
akkor	despois
akkor	entón
akkor	e
akkor	daquela
azonban	porén
azonban	con
azonban	todo
azonban	sen
azonban	embargo
azonban	pero
azonban	aínda
amerikai	estadounidense
amerikai	americanos
amerikai	americana
amerikai	americano
német	alemán
német	alemana
német	alemaña
német	alemáns
francia	franceses
francia	francés
francia	francesa
francia	francesas
január	xaneiro
január	de
május	poden
május	pode
május	maio
május	que
május	podo
kell	precisamos
kell	necesitamos
kell	que
kell	preciso
kell	precisa
kell	ten
kell	necesita
kell	necesidades
kell	debo
kell	que
kell	debe
kell	debemos
kell	deben
kell	hai
ahol	onde
csapat	equipo
csapat	de
amely	que
amely	cal
más	diferentes
más	distintas
más	distinto
más	distintos
más	diferente
más	outra
más	outros
más	outro
más	outras
március	marzo
március	de
március	marcha
augusztus	de
augusztus	agosto
minden	todo
minden	o
minden	todo
minden	todos
minden	todas
minden	os
minden	as
minden	todos
minden	cada
minden	todas
ami	que
ami	cal
lehet	poden
lehet	podo
lehet	podes
lehet	podemos
lehet	pode
lehet	non
sem	nin
sem	non
július	xullo
július	de
szeptember	setembro
szeptember	de
június	xuño
alatt	na
alatt	debaixo
alatt	por
alatt	baixo
alatt	abaixo
alatt	embaixo
alatt	seccionada
alatt	baixo
alatt	debaixo
alatt	de
október	outubro
október	de
második	segundo
második	segunda
megye	do
megye	condado
megye	o
megye	nado
megye	de
megye	departamento
megye	axentes
február	febreiro
február	de
mert	porque
mert	por
később	despois
később	máis
később	tarde
később	logo
december	decembro
december	de
november	novembro
november	de
bar	pola
bar	de
bar	taberna
bar	bar
cikkek	artigos
április	abril
április	de
város	cidade
város	pobo
város	vila
város	aldea
város	city
város	cidade
város	da
amikor	cando
amikor	se
létrehozott	creamos
létrehozott	creou
létrehozott	creado
létrehozott	creei
létrehozott	creados
három	tres
három	3
nemzetközi	international
nemzetközi	internacional
nemzetközi	internacionais
díj	nobel
díj	pulitzer
díj	o
díj	premio
díj	premio
található	atópanse
mivel	desde
mivel	xa
mivel	que
mivel	dende
mellett	lado
mellett	ao
kép	foto
kép	imaxe
kép	fotografía
kép	imaxe
kép	foto
által	de
által	por
által	pola
által	polo
jános	john
től	de
től	da
től	do
től	dende
istván	stephen
lásd	ver
lásd	vexo
szent	santo
szent	san
szent	sagrado
szent	santo
szent	santos
szent	sagrada
szent	sagrado
szent	sagrados
angol	a
angol	británico
angol	británica
angol	británicos
angol	británicas
angol	inglesa
angol	inglés
angol	ingleses
angol	inglesa
ezért	polo
ezért	tanto
ezért	por
ezért	iso
ezért	daquela
király	xenial
király	ben
király	fresco
során	durante
során	na
ezek	estas
ezek	estes
előtt	de
előtt	antes
mely	que
mely	cal
nemzeti	nacional
nemzeti	nacionais
nemzeti	national
józsef	wilson
józsef	joseph
élő	vivo
élő	vivir
élő	vivindo
élő	vida
élő	vivir
élő	vivo
élő	viven
élő	vive
élő	viva
voltak	eran
voltak	estaban
voltak	foron
évi	ano
század	empresa
század	compañía
század	século
század	xiii
ferenc	francis
hivatalos	oficial
saját	propio
saját	propia
saját	seu
ellen	ellen
ellen	en
ellen	contra
ellen	os
sok	moita
sok	moreas
sok	moitas
sok	moito
sok	moitos
sok	moitos
sok	cantas
sok	moitas
sok	cantos
sok	canto
sok	grazas
sok	moito
sok	máis
sok	tanto
sok	moito
sok	moita
sok	moitos
sok	moitas
nincs	non
nincs	hai
végeredmény	resultado
először	primeiro
először	primeira
szövetség	asociación
része	parte
jobbra	ben
ilyen	tan
ilyen	como
ilyen	tal
nagyon	moi
következő	próxima
következő	ao
következő	seguinte
következő	lado
következő	próximo
következő	o
kis	pequeno
kis	pequenos
kis	pequenas
kis	pequena
kis	pouco
kis	algo
kis	pequeno
kis	pequena
együtt	xuntos
team	equipo
team	de
néhány	poucos
néhány	poucas
néhány	uns
néhány	algunhas
néhány	algúns
néhány	unhas
néhány	algúns
néhány	algunhas
néhány	algo
néhány	de
néhány	un
utolsó	último
utolsó	últimos
utolsó	pasado
utolsó	última
utolsó	o
utolsó	onte
utolsó	final
utolsó	derradeira
utolsó	último
utolsó	axuntémonos
utolsó	todos
utolsó	definitivo
ott	alí
ott	hai
ott	aí
templom	templo
templom	igrexa
templom	á
templom	da
volna	sería
volna	que
magyarország	hungría
elhunyt	pasaran
elhunyt	morreu
elhunyt	aprobouse
elhunyt	transmitiron
elhunyt	pasou
elhunyt	pasar
elhunyt	falecido
legjobb	mellores
legjobb	mellor
európa	europa
európa	en
olasz	italiano
olasz	italiana
olasz	italianos
hivatkozások	enlaces
hivatkozások	ligazóns
kapott	recibín
kapott	recibiron
kapott	recibimos
kapott	recibiu
számos	varios
számos	varias
számos	moitas
teljes	total
teljes	de
teljes	chea
teljes	cheo
teljes	completo
teljes	total
teljes	completa
teljes	completar
teljes	completo
legnagyobb	máis
legnagyobb	grandes
legnagyobb	maiores
legnagyobb	maior
legnagyobb	mellor
legnagyobb	meirandes
legnagyobb	grande
legnagyobb	duns
legnagyobb	maior
legnagyobb	máis
legnagyobb	maior
legnagyobb	máis
legnagyobb	grande
legnagyobb	mellor
óta	desde
óta	xa
óta	que
óta	dende
egyesült	dos
egyesült	nos
egyesült	unidos
egyesült	unidas
egyesült	ficade
egyesült	ee
egyesült	eua
család	familia
család	familiar
falu	aldea
falu	da
falu	pobo
falu	vila
neve	nome
neve	se
igen	si
igen	si
halál	a
halál	morte
bár	pola
bár	de
bár	taberna
bár	bar
bár	aínda
bár	que
bár	non
bár	pero
bár	malia
bár	aínda
bár	que
bár	se
szett	conxunto
készült	fixen
készült	fixo
készült	feito
születési	a
születési	luz
születési	nacemento
születési	orixe
születési	de
katolikus	católica
katolikus	católico
katolikus	catholic
film	película
film	filme
film	cine
film	cinema
film	película
film	filme
from	de
from	da
from	do
from	dende
kapcsolódó	asociados
kapcsolódó	coa
kapcsolódó	asociado
kapcsolódó	conectadas
kapcsolódó	coa
négy	catro
négy	4
eredeti	orixinal
eredeti	orixinais
éve	ano
áll	de
áll	pé
áll	estar
áll	estaba
áll	parados
áll	está
áll	entre
áll	queda
adott	lle
adott	a
adott	dado
adott	se
adott	deume
adott	deu
adott	a
míg	mentres
míg	tempo
györgy	george
györgy	xurxo
nagyobb	máis
nagyobb	grandes
nagyobb	grande
nagyobb	é
nagyobb	maior
nagyobb	máis
nagyobb	ampla
nagyobb	máis
nagyobb	grandes
nagyobb	grande
nagyobb	maiores
nagyobb	é
nagyobb	son
nagyobb	máis
nagyobb	altos
nagyobb	alta
nagyobb	maior
nagyobb	altas
nagyobb	tan
nagyobb	alto
sándor	alexander
európai	europea
európai	europeas
jegyzőkönyv	minutos
lajos	luis
lajos	louis
őket	eles
őket	os
őket	deles
egész	toda
egész	todo
egész	enteiro
egész	a
vett	mercou
vett	merquei
vett	merqueino
vett	merqueille
vett	comprou
szintén	tamén
károly	charles
károly	carlos
károly	karl
különböző	diferentes
különböző	distintas
különböző	distinto
különböző	distintos
különböző	diferente
különböző	varias
különböző	varios
különböző	con
péter	peter
péter	pedro
szó	palabra
harmadik	terceira
harmadik	terceiro
harmadik	terzo
belül	dentro
belül	interior
belül	no
belül	en
belül	dentro
belül	de
belül	nos
belül	dun
kiadó	renda
kiadó	aluguer
kiadó	alugar
női	mulleres
női	as
mind	todo
mind	todos
mind	todas
lenne	sería
lenne	que
tudományos	científica
tudományos	científico
jelentős	significativas
jelentős	significativa
