borneo	borneo
nus	nod
inclinació	înclină
inclinació	înclina
inclinació	înclinare
inclinació	înclinare
consagració	consacrare
formigó	concret
formigó	beton
formigó	concrete
fem	fem
cirurgia	operație
cirurgia	chirurgie
cirurgia	chirurgia
semblança	asemănare
semblança	asemănare
enderrocar	răstoarne
enderrocar	răsturnarea
espectador	spectator
lenin	lenin
fibra	fibre
fibra	fibra
fibra	fibră
aficionats	amatori
aficionats	amatorilor
aficionats	amatorii
bordeus	bordeaux
ètica	etica
ètica	etică
geogràfic	geografice
geogràfic	geografic
geogràfic	geografică
mou	mută
mou	misca
mou	mutare
àrtic	arctică
àrtic	arctic
àrtic	arctica
agafa	apuca
agafa	apucă
mirall	oglinda
mirall	oglindă
güell	güell
essencials	esențială
essencials	esențiale
essencials	esențial
essencials	esential
vacances	vacanța
vacances	vacanta
vacances	concediu
vacances	vacanță
vacances	sarbatori
vacances	sărbători
vacances	sărbătorile
precedents	precedent
estratègica	strategică
estratègica	strategice
estratègica	strategic
interval	interval
interval	intervalul
interval	intervalul
interval	interval
brandenburg	brandenburg
vitamina	vitamine
vitamina	vitamina
amenaces	amenintari
amenaces	amenințări
ideals	idealurile
ideals	idealuri
ideals	ideală
ideals	ideal
ideals	ideala
ideals	ideale
preocupació	preocuparea
preocupació	îngrijorare
preocupació	preocupare
alcalá	alcalá
nomenclatura	nomenclatura
humida	ud
humida	umed
humida	ude
humida	umedă
humida	udă
lambert	lambert
reich	reich
arxiduc	arhiducele
cannes	cannes
recepció	primire
recepció	recepție
recepció	receptie
punk	derbedeu
punk	punk
aristòtil	aristotel
glucosa	glucoză
llombardia	lombardia
òxid	oxid
esculls	recifurile
entertainment	divertisment
entertainment	entertainment
transports	transporturi
transports	transport
transports	transportul
ocean	oceanul
ocean	ocean
tons	tonuri
aterratge	debarcarea
aterratge	aterizarea
aterratge	debarcare
aterratge	aterizare
provocat	provocate
provocat	provocat
provocat	provocată
inclusió	incluziunea
inclusió	incluziune
inclusió	includere
inclusió	includerea
auto	auto
cabra	capră
cabra	capra
pressions	presiunile
pressions	presiuni
percussió	percuție
polonesos	polonezi
polonesos	polonezii
badajoz	badajoz
oise	oise
