氣壓	tekanan
戰區	teater
微波	microwave
液體	diperam
液體	cecair
液體	bendalir
液體	cecair
回顧	recap
住宿	penginapan
住宿	penginapan
信念	iman
槍擊	penembakan
槍擊	penggambaran
槍擊	shooting
荷馬	homer
落地	landing
落地	pendaratan
彈頭	peluru
彈頭	bullet
內心	inside
內心	didalam
內心	inner
內心	batin
新鮮	fresh
新鮮	segar
沼澤	rawa
沼澤	paya
沼澤	marsh
沼澤	bog
圍攻	pengepungan
表情	ungkapan
表情	expression
表情	ekspresi
幻影	phantom
幻影	mirage
氟化	fluorida
遙遠	faraway
遙遠	jauh
躲避	mengelak
各式	kepelbagaian
各式	assorted
塑像	patung
塑像	arca
塑像	patung
塑像	arca
牛肉	beef
樓梯	tangga
狩獵	memburu
狩獵	hunt
狩獵	pemburuan
狩獵	memburu
狩獵	pemburuan
專科	pengkhususan
穩	steady
穩	mantap
等候	menunggu
末日	kiamat
動機	motif
動機	motivasi
動機	motif
軌跡	trek
軌跡	runut
軌跡	trajektori
軌跡	setapak
軌跡	lokus
風景	permandangan
風景	landskap
風景	lanskap
滴	gugurkan
滴	drop
滴	drip
滴	titisan
昏迷	koma
微型	miniature
微型	micro
微型	mikro
海豹	seal
海豹	mohor
海豹	meterai
海豹	seal
大廳	lobi
大廳	lobby
神廟	temple
神廟	kuil
斯德哥爾摩	stockholm
岩手	iwate
日誌	jurnal
日誌	log
喊	teriak
喊	teriak
喊	shout
花瓣	ranggi
花瓣	kelopak
蜥蜴	cicak
蜥蜴	biawak
蜥蜴	cicak
總和	sum
著作權	hakmilik
著作權	hakcipta
熱心	keghairahan
熱心	beria
安倍	abe
放射	radiologi
放射	radioactivity
放射	sinaran
放射	radioaktif
開支	perbelanjaan
平板	slab
平板	tablet
平板	tablet
摩擦	gosokkan
摩擦	gosok
摩擦	meraba
摩擦	menggosok
摩擦	geseran
敵方	musuh
敵方	musuhnya
理工學院	politeknik
繁榮	kemakmuran
繁榮	boom
繁榮	makmur
繁榮	sejahtera
輪胎	tayar
輪胎	tayar
輪胎	tyre
輪胎	tayar
輪胎	tire
輪胎	tayar
蟬	reriang
肺炎	pneumonia
波長	wavelength
親屬	kerabat
禁令	injunksi
衍生物	terbitan
擴散	diffusion
醬	ngam
珠寶	permata
珠寶	kemas
珠寶	perhiasan
珠寶	perhiasan
斧	kapak
尼加拉瓜	nicaragua
非凡	extraordinary
焊接	weld
焊接	terpatri
焊接	kimpalan
焊接	welding
國防軍	idf
獎學金	biasiswa
獎學金	biasiswa
偵查	recon
偵查	reconnaissance
視訊	video
阻礙	halangan
侄子	nephew
墳	kubur
資本主義	kapitalis
資本主義	kapitalisme
辛苦	susah
辛苦	hard
辛苦	keras
有毒	beracun
有毒	toksik
有毒	beracun
排水	longkang
排水	saliran
奇異	eksotik
奇異	tunggal
雉	pegar
慢性	kronik
馬達	motors
馬達	motor
光榮	mulia
光榮	gemilang
光榮	kemegahan
光榮	glory
光榮	kemuliaan
光榮	keagungan
胡椒	pepper
胡椒	lada
自信	confident
自信	kepercayaan
自信	keyakinan
殖民者	colonists
染色體	kromosom
枕	bantal
寺廟	temple
寺廟	kuil
寺廟	kuil
相交	persilangan
相交	bersilang
鈾	uranium
伴侶	pendamping
電荷	cas
電荷	caj
電荷	charge
電荷	libas
廚房	kitchen
廚房	dapur
溫柔	tender
溫柔	gentle
溫柔	lembut
紳士	gentleman
紳士	mithali
潮汐	tides
事變	insiden
陀螺	gyro
抒情	lyrical
愛麗絲	alice
申訴	aduan
申訴	rungutan
申訴	keluhan
申訴	aduan
蔓延	sprawl
蔓延	merebak
蔓延	menyebarkan
蔓延	sebarkan
漂流	hanyut
燈塔	suar
加勒比	carribean
加勒比	caribbean
陡	curam
血腥	berdarah
粉碎	smash
醜聞	scandal
醜聞	skandal
骨頭	bones
骨頭	tulang
骨頭	bone
骨頭	tulang
經理人	pengurus
經理人	manager
堡壘	katelum
堡壘	kubu
堡壘	benteng
堡壘	fort
工資	gaji
工資	upah
工資	upah
憲兵	gendarmerie
犀牛	badak
犀牛	rhinoceros
犀牛	badak
思想家	pemikir
思想家	pemikir
乘車	ride
乘車	tunggangan
寂寞	kesepian
寂寞	sepi
寂寞	sunyi
叢	bundle
花卉	bunga
花卉	flowers
庭院	ela
庭院	yard
樞紐	hab
樞紐	hub
仙女	fairy
蘇維埃	soviet
蘇維埃	soviet
煙花	kembang
煙花	firework
筋	tendon
安藤	ando
和諧	keharmonian
和諧	harmony
和諧	harmoni
室外	luar
室外	diluar
室外	outdoor
室外	luaran
室外	luaran
鵝	angsa
刺殺	pembunuhan
彈劾	impeachment
坐標	koordinat
坐標	menyelaras
坐標	koordinat
永恆	abadi
永恆	keabadian
永恆	timeless
津貼	elaun
破解	crack
捲	roll
捲	gulung
卡車	lori
卡車	trak
卡車	trak
麻雀	pipit
阻力	heret
阻力	drag
阻力	seret
阻力	seretan
阻力	perlawanan
阻力	resistance
關懷	caring
沙拉	salad
耳朵	telinga
耳朵	telinga
熔岩	lava
啟發	inspired
啟發	diinspirasikan
啟發	diilhamkan
盧森堡	luxembourg
疼痛	kepedihan
疼痛	sakit
疼痛	keperitan
疼痛	kesakitan
疼痛	pain
鷗	camar
佔有	pemilikan
獨家	ekslusif
獨家	exclusive
獨家	eksklusif
冥王星	pluto
停火	ceasefire
約束	kekangan
掩護	penutup
掩護	cover
鈍	tumpul
復原	pemulihan
復原	restoration
復原	pemulihan
復原	recovery
真主	allah
清潔	kebersihan
清潔	pembersih
清潔	pembersihan
清潔	pencuci
清潔	membersih
清潔	bersih
友誼	persahabatan
多元化	diversification
多元化	kepelbagaian
多元化	kemajmukan
多元化	kepelbagaian
多元化	mempelbagaikan
多元化	pluralism
友善	mesra
友善	friendly
友善	ramah
友善	bersahabat
山麓	piemonte
山麓	piedmont
山麓	foothills
甜蜜	sweet
瘦	skinny
瘦	kurus
瘦	slim
瘦	ramping
瘦	elak
瘦	nipis
學界	academia
甲烷	metana
優質	kualiti
優質	quality
優質	berkualiti
書法	kaligrafi
船員	kru
船員	krew
前衛	vanguard
稀少	jarang
山羊	kambing
丟	baling
丟	balingan
雪梨	sydney
批量	pukal
鳳蝶	papilio
消化	pencernaan
消化	penghadaman
消化	pencernaan
成效	keberkesanan
樹木	pokok
樹木	pokok
樹木	pohon
樹木	trees
陶器	tembikar
租賃	automobil
租賃	pajakan
租賃	rental
租賃	sewaan
租賃	sewa
租賃	penyewaan
租賃	pajakan
凱撒	caesar
馬達加斯加	madagascar
告別	perpisahan
告別	farewell
胖	gemuk
胖	lemak
狹窄	sempit
狹窄	merapatkan
無力	berdaya
節省	penjimatan
磚	bata
磚	bongkah
磚	bata
利率	kadar
利率	rate
高大	tall
意向	niat
意向	niat
意向	niat
壓制	repression
進度	kemajuan
進度	progres
進度	perkembangan
進度	progress
哺乳動物	mamalia
哺乳動物	mamalia
爺爺	atok
爺爺	datuk
爺爺	atuk
突襲	raid
突襲	serbuan
情侶	pasangan
情侶	couple
情侶	lovers
交接	handover
示範	model
示範	demonstrasi
示範	demo
保全	pemeliharaan
宮殿	istana
宮殿	palace
智力	intelligence
智力	kecerdasan
智力	perisikan
智力	intelektual
爆破	blasting
羽田	haneda
渡口	feri
渡口	ferry
糾紛	pertikaian
糾紛	pertelingkahan
糾紛	perselisihan
糾紛	pertikaian
糾紛	pertikaikan
發光	bersinar
發光	glowing
發光	luminous
發光	teja
發光	bercahaya
發光	berseri
結盟	perikatan
結盟	persekutuan
結盟	pakatan
阿拉伯語	arab
係數	pekali
係數	pekali
抱怨	merungut
抱怨	mengeluh
抱怨	mengadu
抱怨	mengeluh
窮	kesian
投球	pic
銀色	perak
小牛	sebati
小牛	betis
訪談	interview
訪談	otai
訪談	temuduga
訪談	temuduga
口味	perisa
口味	selera
宗派	sectarian
揚州	yangzhou
就職	pelantikan
人性	kemanusiaan
噴發	letusan
饒	rao
失誤	kesilapan
溶解	dibubarkan
公報	communiqué
主觀	subjektif
桃源	taoyuan
天平	timbangan
天平	penimbang
天平	sisik
外國人	alien
外國人	foreigner
反感	jijik
反感	meluat
神仙	fairy
李子	plum
李子	plum
腸	sosej
腸	usus
腸	usus
腸	usus
鹼	alkali
石板	tablet
秋山	akiyama
液晶	lcd
福爾摩斯	holmes
野心	ambition
別墅	villa
別墅	villas
印地安人	indian
籠	sangkar
籠	cage
籠	kandang
顯示器	display
顯示器	monitor
有害	merbahaya
有害	berbahaya
銀河系	galaxy
銀河系	galaksi
葡萄糖	glukosa
鋰	litium
千秋	chiaki
劍橋	cambridge
詛咒	sumpahan
詛咒	kutukan
詛咒	mencarut
達拉斯	dallas
徒步	kenaikan
草莓	strawberry
草莓	strawberi
草莓	ichigo
草莓	strawberi
奶奶	nenek
蚊	nyamuk
補償	pampasan
蝙蝠俠	batman
肽	nukleotid
廁所	tandas
葉子	daun
葉子	daunnya
葉子	dedaun
葉子	daun
葉子	yoko
激進	radikal
乙醇	etanol
有罪	bersalah
有罪	berdosa
大塚	otsuka
禮拜	sembah
禮拜	beribadat
禮拜	beribadah
樣式	gaya
樣式	style
樣式	gaya
樣式	subjenis
樣式	bergaya
樣式	stail
遷徙	penghijrahan
遷徙	migrasi
交響樂團	simfoni
交響樂團	symphony
抄襲	plagiat
海倫	helen
螢	ying
讀音	sebutan
聖殿	basilica
聖殿	temple
聖殿	kuil
郵票	cop
郵票	cap
郵票	setem
郵票	sirim
多瑙河	danube
阿爾及利亞	algeria
騷擾	gangguan
騷擾	mengganggu
冷卻	penyejukan
冷卻	menyejukkan
冷卻	cooling
攝影機	kamera
攝影機	camera
拜訪	melawati
拜訪	melawat
皇宮	istana
皇宮	palace
法老	firaun
微小	kecil
微小	tiny
出版商	penerbit
出版商	penerbit
精美	beautifully
溫和	gentle
溫和	lembut
溫和	kesederhanaan
溫和	sederhana
公升	liter
公升	liter
公升	liter
公升	liter
相對論	relativiti
相對論	kerelatifan
對面	opposite
香料	rempah
香料	rempah
香料	spice
悼念	penghormatan
悼念	berkabung
辣椒	chilli
辣椒	pepper
辣椒	lada
賭場	kasino
賭場	kasino
賭場	casino
國徽	lambang
悲劇	tragis
悲劇	tragik
悲劇	tragedi
鎖定	lock
鎖定	kunci
鎖定	dikunci
鎖定	berkunci
租金	sewaan
租金	sewa
租金	penyewaan
租金	rental
租金	sewaan
租金	sewa
租金	penyewaan
租金	sewa
光輝	shining
喀麥隆	cameroon
彎曲	melengkung
彎曲	dibengkokkan
溫暖	hangat
溫暖	suam
溫暖	kehangatan
解剖	anatomi
解剖	dibedah
神像	gato
手套	sarung
手套	mittens
手套	glove
硬幣	syiling
硬幣	coin
硬幣	syiling
纜車	gondola
朝代	dinasti
你好	hello
皂	sabun
承包商	kontraktor
承包商	contractor
承包商	kontraktor
草坪	rumput
草坪	lawn
草坪	lawns
方舟	ark
方舟	bahtera
編譯	kompil
編譯	kompilasi
編譯	compile
鉛	plumbum
鉛	lead
鉛	pimpin
鞭	sebat
錐	kon
界定	takrif
界定	mentakrifkan
界定	mentakrif
氣溫	suhu
氣溫	suhu
概括	generalization
馬賽	marseille
彈性	anjal
彈性	fleksibel
彈性	fleksibiliti
彈性	keanjalan
彈性	elastic
彈性	flex
長老	elder
長老	sulung
野牛	kerbau
野牛	buffalo
野牛	bison
特許	kelonggaran
特許	konsesi
盾牌	perisai
盾牌	perisainya
盾牌	perisai
盾牌	perisainya
走私	penyeludupan
走私	diseludup
走私	menyeludup
紀念館	memorial
戒指	ring
戒指	cincin
戒指	berbunyi
祭司	imam
握手	bersalam
酒井	sakai
乘法	pendaraban
繪圖	pemetaan
繪圖	lukisan
繪圖	grafik
繪圖	melukis
繪圖	lukisan
乙酸	asetat
大屠殺	holocaust
食堂	kantin
食堂	kafeteria
劫持	penculikan
劫持	rampasan
誓	sumpah
損壞	rosak
損壞	rosak
損壞	kerosakan
損壞	kerosakan
專長	niche
專長	kepakaran
專長	pengkhususan
專長	kepakaran
羅素	russell
基底	substrat
基底	basement
骨架	rangka
更正	pembetulan
更正	pembetulan
特種部隊	swat
音速	sonic
叻	lat
密西西比州	mississippi
標語	slogan
標語	slogan
摩天大樓	skyscraper
摩天大樓	skyscrapers
雙邊	bilateral
迷失	lost
迷失	kehilangan
迷失	hilang
警務	policing
警務	polis
仙女座	andromedae
仙女座	andromeda
橘子	orange
橘子	jeruk
川口	kawaguchi
死亡率	mortality
歌聲	menyanyi
歌聲	bernyanyi
歌聲	nyanyian
散射	selerak
布加勒斯特	bucharest
污水	kumbahan
存款	deposit
獨裁	autokrasi
獨裁	diktator
朝倉	asakura
宮廷	istana
宮廷	palace
想象	imaginasi
想象	terbayang
想象	bayangkan
想象	imagine
祈禱	solat
祈禱	pray
祈禱	berdoalah
祈禱	sembahyang
祈禱	doa
祈禱	berdoa
祈禱	doa
相容	serasi
相容	keserasian
廚師	chef
廚師	masak
廚師	cook
天王星	uranus
王冠	mahkota
王冠	crown
營養	nutrisi
營養	pemakanan
營養	nutrition
營養	nutrisi
愛媛	ehime
橡膠	getah
教義	ajaran
教義	ikrar
教義	ugama
教義	doktrin
扳機	picu
探險	ekspedisi
探險	kembara
探險	adventure
探險	cabaran
探險	pengembaraan
探險	ekspedisi
區塊	blok
區塊	sekat
區塊	block
亞熱帶	subtropika
地道	terowong
地道	terowong
所羅門	solomon
所羅門	sulaiman
腕	pergelangan
附上	terkurung
機長	kapten
聲援	perpaduan
聲援	solidariti
核子	nuklear
莖	stem
雨林	rainforests
雨林	rainforest
廢棄	peninggalan
廢棄	terbiar
廢棄	ditinggalkan
廢棄	terbengkalai
檢視	viewing
檢視	view
學說	doktrin
大提琴	selo
大提琴	cello
加熱	panas
加熱	haba
加熱	pemanas
加熱	pemanasan
加熱	dipanaskan
還原	pulih
暴風	ribut
暴風	storm
巴頓	patton
華沙	warsaw
誘惑	rayuan
誘惑	godaan
掃描	pengimbasan
掃描	mengimbas
掃描	imbasan
掃描	imbasan
掃描	imbas
掃描	scan
法典	codex
法典	kodeks
壺	periuk
壺	pot
壺	cerek
壺	pot
壺	jug
電報	telegram
電報	telegraph
蒸	mengukus
蒸	kukus
