ajettu	駕駛
murhaa	謀殺
murhaa	謀殺案
murhaa	謀殺罪
ulf	ulf
bayer	bayer
vuosisata	世紀
periaatteita	原則
sisarukset	姐妹
sisarukset	姊妹
sisarukset	兄妹
sally	莎莉
sally	sally
konkurssin	破產
sisäiset	內部
todellisuutta	現實
piirrokset	素描
piirrokset	草圖
piirrokset	圖畫
piirrokset	圖紙
piirrokset	繪圖
loistava	輝煌
lahjakas	才華
pyrkimys	追求
riita	爭吵
riita	爭端
riita	糾紛
riita	爭議
tavalliset	普通
tavalliset	平凡
suoritin	cpu
vastakohta	對面
arvokas	寶貴
arvokas	珍貴
arvokas	珍寶
arvokas	寶貴
matkustajia	乘客
matkustajia	旅客
tulkintaa	口譯
welcome	歡迎
kemia	化學
tiukka	緊
tiukka	嚴格
tiukka	嚴謹
laurent	laurent
alppien	阿爾卑斯
autio	荒涼
sademäärä	降雨量
sademäärä	雨量
sademäärä	降雨
loki	日誌
javier	javier
rms	rms
jarrut	煞車
jarrut	制動
jarrut	煞車
jarrut	制動
omar	omar
viiniä	酒
viiniä	葡萄酒
trevor	trevor
yksikköä	各單位
yksikköä	單元
yksikköä	單位
yksikköä	股
yksikköä	單元
yksikköä	單位
kristitty	基督教
kristitty	基督徒
patriarkka	族長
savage	野人
savage	野蠻
harkita	考慮
valencian	valencia
biologinen	生物
biologinen	生物學
ming	阿明
ming	明
riskiä	風險
räjähdys	爆炸
räjähdys	爆
räjähdys	爆炸
välttämätön	必要
välttämätön	必需
välttämätön	不可或缺
välttämätön	必不可少
swift	swift
pysyvää	永久
gif	gif
ihastunut	暗戀
sos	sos
que	que
korjaus	修復
korjaus	維修
korjaus	修理
korjaus	修繕
korjaus	改正
korjaus	糾正
korjaus	校正
korjaus	更正
lumen	lumen
ign	ign
julma	殘酷
julma	殘忍
julma	野蠻
julma	殘酷
julma	殘暴
kommunismin	共產主義
tavoitteita	目標
kansalaiset	市民
kansalaiset	公民
kansalaiset	國民
konferenssi	會議
viljaa	穀物
viljaa	穀類
viljaa	糧食
viljaa	穀物
viljaa	糧
hidasta	緩慢
hidasta	慢
odotetaan	預計
odotetaan	預期
odotetaan	等候
odotetaan	等待
bonnie	bonnie
kerätään	收集
kerätään	收集
malesiassa	馬來西亞
epäonnistunut	失敗
lohikäärmeen	龍
lohikäärmeen	神龍
tuore	新鮮
tuore	清新
gil	gil
esiintymiset	外表
esiintymiset	表象
analyysi	分析
voimistelu	體操
uusittu	翻新
uusittu	裝修
uusittu	翻新
uusittu	翻修
ashley	ashley
lionel	lionel
klein	klein
viljan	穀物
viljan	穀類
viljan	糧食
viljan	穀物
viljan	糧
polku	路徑
miehityksen	職業
miehityksen	佔領
vaunu	電車
vaunu	馬車
tottenham	tottenham
soita	玩
soita	彈
soita	播放
soita	致電
soita	電話
soita	打電話
soita	通話
soita	呼叫
renkaan	輪胎
renkaan	胎
renkaan	輪胎
renkaan	tyre
tunteet	情感
tunteet	感情
tunteet	情緒
tunteet	情感
tunteet	情感
tunteet	感情
tunteet	情緒
tunteet	感受
tunteet	感情
ohjelmointi	程式設計
laadittu	草擬
vanhentunut	過時
vanhentunut	過期
vanhentunut	過時
valmistetut	製造
stella	stella
aloitteen	倡議
katarina	katarina
käsitteet	術語
käsitteet	概念
käsitteet	理念
ajattelua	思維
ajattelua	思考
saralla	sara
kenttää	欄位
terra	高地
terra	terra
todistajat	證人
todistajat	目擊者
todistajat	見證
todistajat	證人
laukausta	鏡頭
kurssi	課程
alapuolelle	下方
alapuolelle	以下
mls	mls
arvostusta	升值
arvostusta	威信
arvostusta	威望
arvostusta	聲望
keskinäinen	相互
keskinäinen	互
pohjaan	下方
pohjaan	底
pohjaan	底部
pohjaan	底下
arc	弧
alkoholi	醇
alkoholi	酒精
alkoholi	酒
alkoholi	酒類
reagoivat	反應
taidot	技能
