年	año
月	luna
月	moon
月	meses
月	mes
日	día
日	dia
日	day
和	y
村	pueblo
村	poblado
村	villa
村	aldea
人	man
人	hombre
人	pueblo
人	gente
人	personas
小行星	asteroides
小行星	asteroide
小行星	asteroides
大	big
大	grande
大	gran
大	grandes
德	tak
重	pesado
重	heavy
重	pesadas
重	pesados
重	pesada
一	una
一	one
一	uno
定向	orientación
定向	direccional
但	sino
但	pero
也	igualmente
也	además
也	también
也	tambien
拉	tiren
拉	tira
拉	tirar
拉	tire
拉	jala
後	despues
後	after
後	tras
後	después
留言	mensajes
留言	mensaje
市	ciudad
市	municipalidad
市	municipio
克	gramos
新	novedad
新	nuevas
新	nuevos
新	nuevo
新	novedades
新	nueva
站	estacion
站	estación
站	stand
州	state
州	estado
研究	estudio
研究	estudiar
研究	estudia
研究	estudios
研究	investigaciones
研究	investigación
研究	investigacion
日本	japon
日本	japón
三	tres
前	antes
家	hogar
家	casa
家	inicio
近	cerca
米	arroz
米	metros
多	más
多	mas
多	more
使用	uso
使用	utilización
使用	usando
使用	utilizando
使用	uso
使用	usar
使用	utilización
使用	utilizar
使用	utilizada
使用	usada
使用	usado
使用	utilizado
使用	utilizados
使用	usados
基	kei
王	king
王	rey
王	wang
林	lam
林	lin
公司	corporativas
公司	corporativo
公司	empresarial
公司	corporativa
公司	compañia
公司	empresa
公司	compañía
公司	companía
公司	compañias
公司	empresas
公司	compañías
李	lee
一個	una
一個	one
一個	uno
西	occidental
西	west
西	occidente
西	oeste
省	provincia
省	gobernación
省	voivodato
度	grados
度	títulos
度	titulaciones
度	grado
度	licenciatura
卡	cartas
卡	naipes
卡	baraja
卡	tarjetas
卡	tarjeta
卡	tarjetas
卡	card
二	dos
二	two
小	small
小	pequeñas
小	pequeño
小	pequeña
小	pequeños
小	poco
小	little
小	pequeño
小	pequeña
小	poquito
小	pequeño
小	peque
小	tiny
相似	parecido
相似	similar
相似	similares
相似	parecidos
相似	parecido
相似	semejanza
相似	parecido
相似	similitud
相似	semejanza
區	zona
區	zone
區	distrito
區	superficie
區	zona
區	area
區	área
人口	demográficos
人口	demografía
人口	demográficos
人口	demográfica
人口	demográficas
人口	demográfico
人口	demografía
人口	población
四	cuatro
四	four
政府	gobiernos
政府	gobierno
道	dao
將	will
將	voluntad
將	testamento
高	alto
高	high
高	elevada
高	alta
高	alto
高	gao
美國	america
美國	américa
集	conjunto
集	set
集	fijado
集	plató
集	episodio
台灣	taiwán
台灣	taiwan
布	tela
布	telas
布	paño
世界	mundial
世界	mundo
世界	world
南	nan
南	sur
南	nam
路	road
路	camino
路	carretera
五	cinco
五	five
本	ben
金	jin
金	oro
金	dorada
金	dorado
金	gold
金	kim
曾	zeng
文	wen
林肯	lincoln
人民	pueblo
人民	gente
人民	personas
包括	incluidos
包括	incluidas
包括	incluida
包括	incluído
包括	incluido
包括	incluye
包括	incluyen
包括	incluya
包括	incluyan
包括	incluir
包括	incluyendo
包括	incluida
包括	incluido
包括	incluidos
包括	incluye
峰	pico
峰	picos
位於	localizada
位於	localizado
位於	ubicado
位於	situado
其他	otras
其他	otro
其他	otros
其他	otras
其他	otros
塔	pagoda
塔	torre
塔	tower
縣	condado
縣	cantón
縣	canton
第一	primera
第一	primeras
第一	primer
第一	primeros
第一	primero
任	ren
時間	hora
時間	tiempo
時間	time
比	coeficiente
比	ratio
比	proporción
比	cociente
元	meta
元	yuan
元	dólar
元	dolar
元	ganados
元	ganó
元	ganado
元	gané
元	gano
中國	porcelana
中國	china
中國	vajilla
六	seis
六	six
主要	comandante
主要	major
主要	mayor
主要	main
主要	principales
主要	principal
城	ciudad
城	castillo
法	método
中心	centra
中心	centros
中心	centrar
中心	centro
中心	center
中心	centro
中心	centre
線	línea
線	line
線	linea
線	líneas
線	lines
線	lineas
線	hilos
線	hilo
第二	segundos
第二	segunda
第二	segundas
第二	segundo
山	montañas
山	montaña
山	monte
山	montura
山	montar
山	colina
山	cerro
山	hill
山	montañas
山	montes
山	montaña
加	agregar
加	agrega
加	añadir
加	añade
加	add
加	plus
加	además
太空	espaciales
太空	space
太空	espacial
太空	espacio
張	chang
張	zhang
內	interior
主	lord
主	señor
雷	rayo
雷	rayos
雷	ray
管理	gerencia
管理	gestión
管理	dirección
管理	administración
管理	gestión
管理	administra
管理	gestionar
管理	gestione
管理	administrar
成為	convertirse
建	construya
建	construir
建	construye
建	construidos
建	construido
建	construida
性	sexualidad
性	sexuales
性	sexual
性	sexuales
性	sex
性	sexos
性	sexo
成	cantada
成	sung
成	cantado
代表	representantes
代表	representativas
代表	representativos
代表	representativa
代表	representatividad
代表	representante
代表	representativo
代表	delegada
代表	delegados
代表	delegar
代表	delegado
那	luego
那	entonces
公里	kilómetros
公里	kilómetro
公里	kms
公里	kilómetros
公里	kilometros
海	mar
海	océano
海	mar
海	oceano
這	este
這	esto
這	esta
大學	universidades
大學	universitario
大學	universitarios
大學	universidades
大學	universidad
大學	college
大學	colegio
大學	universidad
版	edición
版	edition
版	version
版	versión
從	from
從	de
從	desde
羅	luo
原	original
原	originales
原	hara
工作	job
工作	empleo
工作	trabajo
工作	obra
工作	trabajos
工作	trabaje
工作	trabajo
工作	trabajar
工作	trabajos
工作	jobs
工作	empleos
工作	empleo
工作	trabajando
工作	funcionando
工作	trabajar
北	kita
北	norte
政治	políticos
政治	politicas
政治	políticas
政治	politica
政治	política
政治	político
星	estrella
星	star
星	estelar
星	estrellas
星	stars
她	ella
陳	chen
陳	chan
陳	trần
他的	sus
他的	su
面	fideos
面	tallarines
作品	trabajos
作品	trabaja
作品	obras
作品	funciona
河	rio
河	río
文化	cultivo
文化	cultura
文化	cultivos
文化	culturas
條目	entradas
馬	caballos
馬	caballo
馬	caballos
氏	clan
氏	thi
更	más
更	mas
更	more
曼	mann
電影	pelicula
電影	cine
電影	movie
電影	película
電影	cine
電影	cinema
電影	pelicula
電影	cine
電影	película
電影	film
電影	peliculas
電影	cine
電影	películas
季	temporada
季	estaciones
季	temporadas
龍	dragones
龍	pulmones
龍	lung
龍	pulmón
龍	pulmonar
龍	dragones
龍	dragón
龍	dragon
女	mujer
女	mujer
女	hembra
女	hembras
女	femenino
正式	formalmente
正式	oficialmente
正式	formales
正式	formal
外	fuera
外	afuera
外	exterior
明	ming
美	hermoso
美	guapa
美	hermosos
美	hermosa
美	bellos
美	belleza
美	hermosura
字	word
字	palabra
字	palabras
因為	porque
北京	pekín
北京	beijing
不同	distinta
不同	diferente
不同	distintos
不同	distinto
不同	diferentes
足球	soccer
足球	fútbol
足球	futbol
足球	fútbol
足球	futbol
目前	actualidad
目前	actual
目前	corriente
目前	actualmente
所有	todas
所有	all
所有	todo
所有	todos
部分	parciales
部分	parcial
部分	parcialmente
中央	céntrica
中央	central
中央	centrales
中央	céntrico
森	sen
森	mori
