valtiomies	statesman
omega	omega
työkaluja	kasangkapan
kuuli	nakarinig
kuuli	narinig
näkymä	pagtingin
näkymä	tingnan
näkymä	tignan
näkymä	panonood
näkymä	view
liikkeeseen	sirkulasyon
sotia	wars
kilpailivat	competed
simpson	simpson
heinz	heinz
vaihtoehtoja	alternatibo
vaihtoehtoja	opsyon
vaihtoehtoja	options
ylimääräinen	sobra
ylimääräinen	labis
ylimääräinen	dagdag
ylimääräinen	extra
saku	saku
mahdoton	imposible
mahdoton	imposibleng
mahdoton	impossible
willie	willie
lohikäärme	dragon
katja	katya
videoita	videos
verrata	ikumpara
verrata	ihambing
verrata	paghambingin
menossa	pagpunta
menossa	pupunta
ajax	ajax
shakespearen	shakespeare
tilojen	holdings
rannikko	baybay
rannikko	baybayin
kysyy	nagtatanong
teiden	daan
itsenäisyyttä	independence
itsenäisyyttä	kalayaan
som	som
kansalaisia	mamamayan
ladata	upload
ladata	download
käsitteitä	konsepto
niemimaa	tangway
diskografia	discography
kaksikymmentä	bente
kaksikymmentä	dalawampu
metsään	kagubatan
metsään	woods
metsään	kakahuyan
piirretty	inilabas
piirretty	cartoon
ricardo	ricardo
massaa	mass
massaa	misa
massaa	masa
trans	trans
microsoftin	microsoft
ruusu	rose
harryn	harry
bergman	bergman
lähtö	alis
quest	quest
islamilaisen	islamic
ikuisesti	forever
ikuisesti	magpakailanman
vatsa	tiyan
vatsa	sikmura
vatsa	puson
vatsa	tiyan
vatsa	belly
aukko	aperture
aukko	butas
aukko	puwang
aukko	gap
päätä	head
päätä	ulo
päätä	magdesisyon
päätä	magpasya
kurki	crane
tasainen	flat
tasainen	patag
tasainen	steady
gps	gps
curtis	curtis
arvioita	pagtantiya
tykit	baril
tykit	cannon
islamilainen	islamic
jyp	jyp
puuttuminen	kawalan
puuttuminen	kakulangan
kiinteää	solid
huomautus	tala
huomautus	tandaan
asunnon	apartment
halo	halo
lewisin	lewis
circuit	circuit
montana	montana
vuosikymmenten	dekada
pelaamisen	gaming
pelaamisen	paglalaro
dei	dei
temple	templo
jalkaa	paa
jalkaa	hita
jalkaa	binti
jalkaa	leg
huvila	villa
ulkoasu	layout
ulkoasu	anyo
ulkoasu	itsura
ulkoasu	hitsura
today	ngayon
ohjelmiston	software
