dhe	и
një	одна
një	one
një	одно
një	один
nga	от
nga	from
nga	из
për	для
për	for
për	за
edhe	даже
tij	его
nuk	не
ishte	был
ishte	было
ishte	была
janë	являются
duke	имея
shumë	очень
por	но
pas	после
pas	after
këtë	this
këtë	это
këtë	эта
këtë	этот
parë	видел
parë	видели
tyre	их
tyre	их
mund	может
mund	мог
mund	могла
mund	может
mund	могу
mund	можно
mund	can
gjatë	длинный
gjatë	длинная
gjatë	длинные
gjatë	долго
gjatë	лонг
disa	некоторых
disa	некоторые
lidhje	связи
lidhje	ссылки
lidhje	взаимосвязь
lidhje	взаимоотношения
lidhje	отношения
lidhje	связь
lidhje	подключение
lidhje	соединение
lidhje	линк
lidhje	связать
lidhje	ссылка
lidhje	ссылку
kjo	this
kjo	это
kjo	эта
kjo	этот
kjo	это
kjo	that
kur	когда
kur	when
mbi	over
mbi	над
mbi	выше
deri	до
jashtme	внешнее
jashtme	внешние
jashtme	внешняя
jashtme	внешних
jashtme	внешний
jashtme	внешние
jashtme	внешняя
saj	ее
saj	ей
saj	её
kishte	имел
ajo	she
ajo	она
vetëm	одна
vetëm	одни
vetëm	один
vetëm	только
vetëm	просто
vetëm	только
ata	их
ata	те
ata	они
tjera	другой
tjera	другая
tjera	другое
tjera	другие
tjera	прочие
pjesë	запчасти
pjesë	частей
pjesë	части
pjesë	часть
pjesë	частично
atë	его
atë	ему
shqiptare	албанцев
madhe	большая
madhe	big
madhe	большие
madhe	большой
madhe	биг
rreth	about
rreth	о
rreth	вокруг
para	money
para	деньги
para	кэш
para	наличными
para	наличные
para	до
para	перед
para	прежде
ishin	были
per	about
per	о
per	для
per	for
per	за
këto	эти
banorë	обитатели
banorë	жители
banorë	жителей
banorë	резиденты
banorë	жители
komuna	муниципалитеты
komuna	муниципалитетов
komuna	муниципалитет
cila	которое
cila	которая
cila	которые
cila	который
nje	одна
nje	one
nje	одно
nje	один
kundër	счетчик
kundër	против
madh	огромные
lista	перечень
lista	список
lista	перечни
lista	списки
kantoni	кантон
gjithashtu	также
cilat	которое
cilat	которая
cilat	которые
cilat	который
ndryshme	разные
ndryshme	различных
duhet	нужно
duhet	нужна
duhet	потребность
duhet	должен
duhet	должно
duhet	должны
sipërfaqe	поверхностей
sipërfaqe	поверхности
sipërfaqe	поверхность
sipërfaqe	поверхности
ato	их
ato	они
ato	те
përgjithshëm	общие
përgjithshëm	генерал
tjetër	другой
tjetër	другая
tjetër	другое
tjetër	другие
tjetër	прочие
tjetër	далее
tjetër	следующий
tjetër	следующая
tjetër	next
njohur	знакомы
njohur	знакомый
njohur	знакомые
njohur	знакомое
njohur	знакомая
njohur	знакомо
njohur	признано
njohur	признана
njohur	признанные
njohur	признали
njohur	признанных
njohur	признан
njohur	признано
njohur	признали
njohur	признанных
njohur	известные
njohur	известное
njohur	известный
njohur	известен
njohur	известная
shqiptar	албанцев
style	style
style	стиль
dytë	секунда
dytë	второй
dytë	вторая
dytë	второе
mirë	хорош
mirë	хороша
mirë	хороший
mirë	хорошее
mirë	хорошо
fundit	последние
fundit	последнее
fundit	last
fundit	последний
fundit	последняя
fundit	latest
pasi	после
pasi	after
shiko	видишь
shiko	посмотреть
shiko	см
shiko	посмотри
shiko	смотрите
shiko	смотри
shiko	посмотрите
nën	ниже
nën	под
jpg	jpg
herë	времена
herë	таймс
herë	times
viti	год
sot	сегодня
sot	today
çdo	каждая
çdo	каждую
çdo	каждый
çdo	каждое
çdo	любой
çdo	любую
çdo	любые
çdo	любое
çdo	любая
lartë	высокий
lartë	high
lartë	высоко
lartë	высокого
lartë	высокая
popullsi	населения
popullsi	население
kosovës	косово
komunë	муниципалитет
jetë	life
jetë	жизнь
jetë	жизни
president	президент
president	председатель
bërë	сделано
mes	средняя
mes	ближнем
mes	средний
mes	среднее
mes	середина
mes	середине
mes	между
vonë	опаздывает
vonë	поздний
vonë	поздно
vonë	опоздал
vend	страна
vend	страны
vend	место
shqipëri	албании
shqipëri	албания
pak	little
pak	маленький
pak	маленькая
pak	мало
pak	маленькие
pak	немного
pak	незначительно
pak	слегка
francë	франции
francë	франс
francë	франция
francë	france
fshat	деревне
fshat	деревне
fshat	село
fshat	деревня
zyrtare	официальных
zyrtare	официальное
zyrtare	официальный
zyrtare	официальная
zyrtare	официальные
kryetari	выступающий
kryetari	спикер
kryetari	оратор
kryetari	председателю
kryetari	председателя
kryetari	председатель
vendosur	расположенных
vendosur	расположенный
pasur	имел
pasur	богат
pasur	богатых
pasur	рич
pasur	богатая
pasur	богатый
pasur	богатые
sepse	причиной
sepse	причина
kishin	имел
vitet	годы
vitet	лет
vitet	years
tre	три
tre	трое
fund	юбка
fund	юбку
fund	окончание
fund	конец
fund	конце
fund	end
fund	конец
marrë	принято
marrë	принятых
marrë	взяты
tjerë	другие
tjerë	прочие
harta	карта
harta	карту
harta	карт
harta	карты
mbreti	король
mbreti	кинг
mbreti	царь
mbreti	king
midis	между
vogël	крошечный
vogël	крошечные
kosovë	косово
vjet	годы
vjet	лет
vjet	years
pastaj	тогда
pastaj	потом
pastaj	затем
shtetit	штат
shtetit	состояние
shtetit	государство
tiranë	тирана
tiranë	тиране
kombëtare	национальные
kombëtare	национальных
kombëtare	national
kombëtare	национальная
kombëtare	национальный
emrin	имя
emrin	название
mori	получено
mori	получен
mori	полученная
mori	полученные
mori	получены
mori	забрала
mori	взял
mori	забрал
filloi	начали
filloi	начато
filloi	начал
filloi	началось
ish	бывший
ish	прежний
ish	бывшей
ish	бывшие
ish	бывшая
mars	марш
mars	март
mars	марта
mars	марс
file	файл
presidenti	президент
presidenti	председатель
lindur	родилась
lindur	родился
lindi	линди
lindi	роды
lindi	рождения
lindi	рождение
kryesore	основная
kryesore	основные
kryesore	главная
kryesore	основных
qyteti	town
qyteti	город
qyteti	городок
qyteti	city
qyteti	город
qyteti	города
politike	политических
politike	политическая
politike	политический
qershor	июнь
qershor	джун
qershor	июня
pse	зачем
pse	почему
maj	мая
maj	мэй
maj	май
maj	майские
nëntor	ноября
nëntor	ноябрь
janar	январь
janar	января
thotë	говорит
shtator	сентября
shtator	сентябрь
vet	его
brenda	бренда
brenda	внутри
brenda	изнутри
brenda	внутрь
shteteve	государства
shteteve	штатов
shteteve	штаты
kryesisht	преимущественно
shqiptarë	албанцев
prill	эйприл
prill	апрель
prill	апреля
ditë	день
