категория	categoria
для	por
для	para
как	como
как	like
как	curta
как	como
был	estava
был	era
был	tava
был	foi
его	seu
его	his
его	sua
его	ele
также	igualmente
также	também
это	este
это	esta
это	isso
это	isto
это	essa
это	esse
это	essa
это	isso
это	que
после	após
после	after
после	depois
области	áreas
год	ano
было	estava
было	era
было	tava
было	foi
время	hora
время	horário
время	tempo
время	time
состав	composição
была	estava
была	era
была	tava
была	foi
место	spot
место	lugar
место	place
место	local
место	sítio
место	localização
были	estavam
были	foram
были	eram
район	bairro
район	vizinhança
район	distrito
район	area
район	área
вид	espécies
вид	espécie
вид	vista
вид	ver
вид	visualizar
под	sob
под	under
только	só
только	apenas
только	somente
только	unicamente
только	só
только	apenas
есть	got
язык	língua
язык	lingua
язык	língua
язык	idioma
язык	linguagem
ссср	urss
районе	bairro
районе	vizinhança
код	codigo
код	código
более	mais
более	more
мая	may
мая	maio
мая	pode
дата	data
ноября	novembro
деревня	vila
деревня	aldeia
где	aonde
где	onde
января	janeiro
марта	marta
марта	marta
марта	martha
марта	march
марта	marchar
марта	marcha
марта	março
все	everything
все	tudo
все	todas
все	tudo
все	todos
все	todos
августа	augusto
августа	august
августа	agosto
августа	augusta
том	tom
октября	outubro
октября	toc
октября	out
сентября	setembro
статьи	artigos
уже	já
уже	ja
июня	june
июня	junho
апреля	april
апреля	abril
сша	eua
сша	usa
который	qual
название	nome
название	titulo
название	título
поселение	liquidação
поселение	povoamento
поселение	assentamento
человек	pessoa
человек	humano
человек	humanas
человек	humana
человек	human
человек	man
человек	pá
человек	cara
человек	homem
смерти	óbitos
смерти	mortes
лет	years
лет	anos
февраля	fevereiro
февраля	fev
февраля	fevereiro
они	eles
они	elas
того	togo
города	cidade
города	vilas
города	cidades
может	talvez
может	poderiam
может	podia
может	poderia
может	podiam
может	pode
может	podem
может	lata
может	can
она	ela
она	she
войны	wars
войны	guerras
войны	guerra
войны	war
войны	guerras
можно	pode
можно	podem
можно	lata
можно	can
когда	quando
когда	when
которые	qual
высота	altitude
высота	altura
переписи	recenseamento
переписи	censo
переписи	recenseamentos
село	vila
село	aldeia
статья	artigo
род	género
род	gênero
род	vara
род	rod
род	haste
род	cana
один	alone
один	sozinha
один	sozinho
один	sozinhos
один	odin
один	um
один	uma
один	one
без	sem
реки	rio
реки	rios
между	entre
статус	status
статус	estatuto
статус	estado
населения	população
годы	years
годы	anos
через	via
через	através
через	through
национальный	national
национальный	nacionais
национальный	nacional
область	província
область	região
область	oblast
область	area
область	área
список	lista
список	listar
сельское	rural
сельское	rurais
сайт	website
сайт	site
сайт	sítio
сайт	site
века	idades
века	séculos
официальный	oficial
официальный	funcionário
официальный	official
официальный	oficiais
часть	part
часть	parte
против	contra
этот	este
этот	esta
этот	isso
этот	isto
этот	essa
этот	esse
будет	will
будет	vontade
несколько	vários
несколько	varios
несколько	várias
несколько	múltiplas
несколько	múltiplos
несколько	múltipla
несколько	múltiplo
несколько	razoavelmente
город	vila
город	cidade
город	cidade
мира	paz
мира	mira
первое	primeira
первое	primeiros
первое	primeiramente
первое	primeiro
чем	than
части	peças
части	partes
описание	descrição
всего	total
первый	primeira
первый	primeiros
первый	primeiramente
первый	primeiro
файл	arquivo
файл	ficheiro
карты	cartões
карты	cartas
карты	cards
карты	mapas
карты	mapa
два	duas
два	two
два	dois
всех	todas
всех	tudo
всех	todos
всех	todos
раз	outrora
раз	once
там	ai
там	ali
там	aí
там	lá
территории	territórios
второй	segunda
второй	second
второй	segundo
очень	muito
главы	capítulos
карта	mapa
карта	card
карта	cartão
площадь	praça
площадь	plaza
площадь	quadrada
площадь	praça
площадь	square
площадь	quadrado
площадь	quadrados
площадь	area
площадь	área
всё	everything
всё	tudo
затем	então
затем	depois
группы	grupo
группы	agrupar
группы	grupos
основания	motivos
основания	fundamentos
размер	size
размер	tamanho
размер	dimensão
имеет	tem
поселения	assentamentos
почтовый	postal
над	over
страны	pais
страны	país
страны	países
ему	ele
входит	entra
индекс	index
индекс	indice
индекс	índices
индекс	índice
улица	rua
улица	street
население	demografia
население	população
работы	trabalhos
работы	trabalho
работы	trabalhar
работы	trabalhe
имена	nomes
вместе	juntos
вместе	juntas
упоминание	mencionar
упоминание	mencionando
упоминание	mencionar
упоминание	menção
здесь	aqui
истории	histórias
истории	historia
истории	história
которая	qual
александр	alexandre
александр	alexandre
армии	exércitos
армии	exército
армии	tropa
армии	army
деление	divisão
деление	subdivisões
деление	subdivisão
деление	cisão
деление	fissão
хотя	embora
хотя	embora
кроме	excepto
кроме	exceto
игроки	jogadores
другие	outro
другие	outros
другие	outras
другие	outra
другие	outros
другие	outras
получил	got
история	story
история	história
история	historia
история	história
совета	concílio
совета	conselho
фильм	filme
фильм	película
фильм	filmes
фильм	películas
фильм	filme
рождения	parto
рождения	nascimento
пункты	itens
пункты	artigos
пункты	parágrafos
времени	hora
времени	horário
времени	tempo
времени	time
участник	membro
участник	participante
страница	pagina
страница	página
страница	page
участие	participação
участие	envolvimento
участие	participação
википедии	wikipédia
википедии	wikipedia
три	tres
три	three
три	três
человека	humano
человека	humanas
человека	humana
человека	human
автор	autor
автор	autora
республики	república
внутреннее	internas
внутреннее	internos
внутреннее	interno
внутреннее	interna
внутреннее	interior
эти	estes
эти	essas
эти	estas
эти	esses
статей	artigos
случае	case
случае	caso
центр	centralizar
центр	centrar
центр	centro
центр	center
центр	centrar
центр	centralizar
центр	centro
центр	centre
округ	condado
округ	okrug
округ	distrito
жизни	vida
жизни	life
жизни	lives
жизни	mora
жизни	vidas
жизни	vive
генерал	generalidades
генерал	gerais
генерал	geral
генерал	general
родился	born
родился	nascido
родился	nascida
родился	nasceu
союза	union
союза	união
кто	oms
кто	who
кто	quem
связи	ligações
связи	links
связи	comunicações
связи	comunicação
день	dia
именно	exatamente
именно	exactamente
период	periodo
период	período
община	comunidade
индексы	índices
индексы	índices
округа	bairros
округа	distritos
округа	condados
франции	franca
франции	frança
группа	grupo
группа	agrupar
имя	nome
игры	games
игры	jogos
цифровой	digitais
цифровой	digital
санкт	sankt
идентификатор	identificador
ширина	largura
ширина	amplitude
просто	só
просто	apenas
регион	região
тогда	então
тогда	depois
конце	end
конце	final
конце	terminar
конце	fim
отечественной	patriótico
отечественной	patriótica
отечественной	patriota
вот	aqui
работал	trabalhou
работал	trabalhava
работал	funcionou
работал	trabalhadas
работал	trabalhados
работал	trabalhado
церкви	igrejas
церкви	igrejas
церкви	igreja
клуб	club
клуб	clube
наук	ciências
ввп	pib
больше	mais
больше	more
федерации	federação
федерации	federações
наиболее	most
изображения	imagens
изображения	image
изображения	imagem
советский	soviético
советский	soviéticos
советский	soviéticas
советский	soviética
степени	graus
степени	licenciatura
степени	grau
степени	graus
северо	northwestern
северо	noroeste
изображение	image
изображение	imagem
награды	honras
награды	recompensas
награды	recompensa
награды	prémios
награды	premiação
награды	awards
награды	prêmios
ранее	anteriormente
ранее	anteriormente
ранее	antigamente
википедия	wikipédia
википедия	wikipedia
перед	antes
германии	alemã
германии	alemães
германии	alemão
германии	alemanha
владимир	vladimír
владимир	vladimir
москва	moscou
москва	moscovo
системы	sistemas
стороны	laterais
стороны	lados
стороны	festas
стороны	partidos
совет	concílio
совет	conselho
академии	academy
академии	academia
две	duas
две	two
две	dois
николай	nicolai
николай	nikolai
николай	nicolás
николай	nicholas
николай	nicolau
николай	nikolai
николай	nikolay
некоторые	alguns
некоторые	algum
некоторые	algumas
менее	menos
роль	papel
юго	sudoeste
дом	home
дом	casa
дом	lar
дом	dom
дом	casa
значимость	significância
значимость	significado
значимость	relevância
