din	från
care	vilka
care	vem
care	who
care	vilka
care	vilket
care	vilken
care	som
fost	varit
mai	mai
mai	mys
mai	mera
mai	more
mai	fler
mai	mer
pentru	för
lui	hans
sunt	är
sunt	are
sit	webbplatsen
sit	site
sit	webbplats
după	efteråt
după	after
după	efter
ale	ale
lea	lea
prin	igenom
prin	genom
regiunea	region
regiunea	regionen
mare	jättebra
mare	härligt
mare	toppen
mare	big
mare	stora
mare	stor
mare	stort
mare	sea
mare	sjö
mare	hav
mare	havet
anul	year
anul	årsmodell
anul	året
anul	år
comună	vanligt
comună	gemensamt
comună	vanlig
comună	vanliga
comună	gemensamma
are	har
externe	extern
externe	externt
externe	yttre
externe	externa
locuitori	invånare
locuitori	innevånare
locuitori	invånare
locuitori	boende
locuitori	bosatta
legături	anknyter
legături	länkar
legături	anslutningar
legături	förbindelser
legături	kopplingar
vezi	see
vezi	se
dar	men
cod	code
cod	kod
cod	torsk
cod	cod
cod	torsken
populație	populationen
populație	befolkning
populație	befolkningen
populație	folkmängd
populație	population
bucurești	bukarest
bucurești	bucurești
românia	rumänien
jpg	jpg
lista	förteckning
lista	list
lista	lista
ucraina	ukrainska
ucraina	ukraina
nume	namnge
nume	namn
nume	name
ani	ani
ani	years
ani	åratal
ani	åren
ani	år
avea	had
avea	hadde
avea	hade
avea	haft
între	emellan
între	mellan
până	tills
până	tills
comuna	kommunen
comuna	kommun
comuna	vanligt
comuna	gemensamt
comuna	vanlig
comuna	vanliga
comuna	gemensamma
poate	kanske
poate	kanske
două	två
rege	king
rege	kungen
rege	kung
rege	konung
sub	under
alte	annan
alte	övrig
alte	övriga
alte	andra
alte	övrigt
alte	annat
când	när
regiune	region
regiune	regionen
anii	years
anii	åratal
anii	åren
anii	år
parte	delen
parte	del
județul	county
județul	länet
județul	län
centura	skärp
centura	bältet
centura	bälte
dinastia	dynastin
septembrie	september
timp	tid
timp	tidpunkt
timp	dags
timp	klockslag
timp	tiden
despre	ungefär
unde	var
unde	där
unde	vart
majoritatea	most
majoritatea	mest
majoritatea	majoriteten
majoritatea	majoritet
densitate	densitet
densitate	täthet
limbă	tungor
limbă	tungan
limbă	tunga
limbă	språket
limbă	språk
iunie	juni
iunie	june
multe	många
socorro	socorro
prima	först
prima	första
octombrie	oktober
august	august
august	augusti
sat	byn
sat	by
sat	village
sat	sat
sat	satt
sat	suttit
sat	lör
martie	marsch
martie	marschera
martie	march
martie	demonstrationståg
martie	mars
biserica	kyrkan
biserica	kyrka
fișier	arkiv
fișier	file
fișier	fil
decembrie	december
toate	allt
toate	alla
ianuarie	januari
adresă	adress
adresă	address
noiembrie	november
cum	hur
imagine	bilden
imagine	bild
imagine	avbild
imagine	bilden
imagine	image
imagine	bild
statul	stat
statul	statliga
statul	delstat
statul	statligt
lor	deras
lor	sina
fie	antingen
fie	endera
avut	had
avut	hadde
avut	hade
avut	haft
familia	familjen
familia	familj
familia	family
familia	släkt
numele	namnge
numele	namn
numele	name
timpul	tid
timpul	tidpunkt
timpul	dags
timpul	klockslag
timpul	tiden
nord	norr
nord	norra
nord	norrut
nord	nord
nord	nord
principală	huvudsakliga
principală	main
principală	huvudsaklig
principală	viktigaste
sud	syd
