brussels	bruselj
planets	planete
planets	planeti
theatrical	gledališki
reconnaissance	izvidniška
shots	streli
complaint	pritožba
batman	batman
espn	espn
investigate	raziskati
verify	preveri
verify	potrdi
discontinued	prekinjeno
absent	odsotna
absent	odsoten
absent	odsotnosti
girlfriend	dekle
girlfriend	punco
girlfriend	punca
resignation	odpoved
resignation	odstop
fossil	fosilnih
tang	tang
inches	palcev
inches	centimetrov
proven	dokazane
proven	dokazano
proven	dokazana
franco	franco
dying	umiranje
tribal	plemenski
tyler	tyler
surrender	predajo
surrender	predaje
surrender	predaja
glenn	glenn
substance	snov
luxembourg	luksemburg
colored	barvne
administered	danega
explosion	eksplozija
explosion	eksplozije
explosion	eksplozijo
pushed	potisnil
pushed	porinil
generations	generacije
generations	generacij
duck	duck
duck	račka
duck	raca
porter	porter
porter	porterja
permanently	trajno
memphis	memphisu
memphis	memphis
salvador	salvador
emma	ema
emma	emma
mit	mit
zoo	zoo
gibson	gibson
emerging	nastajajočih
notre	notre
macedonia	makedonijo
macedonia	makedonija
ethics	etiko
ethics	etična
ethics	etika
curtis	curtis
rescued	rešeni
rescued	rešena
slovakia	slovaška
elevated	povišana
elevated	zvišana
elevated	povišan
elevated	povečan
jeremy	jeremy
impressive	impresivno
bradley	bradley
egg	jajce
conquest	osvajanja
conquest	osvojitev
conquest	osvajanje
rod	roda
rod	rod
algorithm	algoritem
burn	gorela
burn	zažgal
burn	zgori
thesis	tezo
lover	ljubimec
capitol	capitol
remembered	spomnil
ferdinand	ferdinand
marshal	maršal
judaism	judovstvo
balls	žoge
balls	žogice
balls	kroglice
balls	jajca
nacional	nacional
ahmed	ahmed
sin	greha
sin	greh
holocaust	holokavst
edgar	edgar
saxophone	saksofon
curriculum	kurikuluma
wishes	želje
ruins	ruševinah
ruins	ruševine
ruins	ruševin
ibm	ibm
rochester	rochester
nigerian	nigerijski
jesse	jesse
malaysian	malezijski
atlas	atlas
telegraph	telegraf
performer	izvajalec
cannon	top
cannon	topa
encounter	srečanje
emily	emily
dissolved	raztopljenega
catalogue	katalog
discrimination	diskriminacijo
discrimination	diskriminacija
myspace	myspace
reveal	razkril
reveal	razkrili
reveal	razkriti
wizard	čarovnik
teen	teen
teen	najstnik
teen	najstniška
spots	pege
bomber	bombnik
foods	živila
quest	pohod
quest	iskanje
connor	connor
screenplay	scenarij
motors	motorji
minimal	minimalno
minimal	minimalne
minimal	minimalna
muscle	mišice
muscle	mišica
prestigious	prestižno
sustainable	trajnostno
sustainable	trajnostne
sustainable	trajnostni
sustainable	trajnostna
chelsea	chelsea
strict	stroga
strict	strogi
strict	stroge
kingston	kingston
sheep	ovca
sheep	ovco
sheep	ovce
andrea	andrea
complaints	pritožbe
connects	povezuje
defenders	zagovorniki
richardson	richardson
triangle	trikotnik
triangle	trikotnika
nato	nato
teeth	zobe
teeth	zobje
occasional	občasno
strictly	strogo
harper	harper
fluid	tekočine
fluid	tekočina
newfoundland	newfoundland
disbanded	razpuščena
comparable	primerljiva
comparable	primerljive
comparable	primerljivi
comparable	primerljiv
comparable	primerljivo
documentation	dokumentacija
documentation	dokumentacijo
brien	brien
compounds	spojine
edmund	edmund
naturally	naravno
ussr	zssr
laser	laserski
laser	laser
laser	lasersko
lat	lat
sculptor	kipar
guild	ceha
observer	opazovalec
observer	opazovalka
observer	opazovalca
worlds	svetov
worlds	svetovi
worlds	svetove
wrestler	rokoborec
praise	pohvala
praise	pohvale
bones	bones
bones	kosti
bones	kosteh
css	css
cox	cox
contracts	naročila
contracts	pogodbe
consequences	posledice
provisions	določbe
circulation	kroženje
circulation	obtok
circulation	obtoku
butterfly	metulja
butterfly	metulj
hugo	hugo
abolished	odpravljena
abolished	ukinjena
abolished	odpravljene
algeria	alžirija
edu	edu
armies	armade
armies	vojske
separation	ločitev
separation	ločevanje
spy	vohun
spy	vohunka
cliff	pečine
cliff	cliff
technically	tehnično
reactions	reakcije
reactions	odzivi
lithuanian	litovski
trick	ukana
trick	trik
trick	finta
curve	ovinek
curve	krivulja
curve	krivuljo
curve	krivulje
accidents	nesreče
accidents	nezgode
horizontal	horizontalno
horizontal	vodoravna
horizontal	vodoravno
legends	legende
legends	legend
enzyme	encim
enzyme	encima
freight	tovorni
freight	tovor
hydrogen	vodika
hydrogen	vodik
viii	viii
caroline	caroline
plymouth	plymouth
twentieth	twentieth
cuts	rezi
cuts	kosi
mediation	posredovanje
mediation	mediacije
catalog	katalog
catalog	kataloga
dale	dale
synthesis	sintezo
rape	posilstva
rape	posilstvo
seoul	seulu
engagement	zaroka
coin	kovanci
coin	kovanec
lucy	lucija
lucy	lucy
consequently	posledično
platinum	platine
twins	dvojčici
twins	dvojčka
twins	dvojčki
memories	spomine
memories	spominov
memories	spomini
robertson	robertson
verified	preverjene
verified	preverjena
verified	preverjeno
verified	preverjen
anthology	antologije
milton	milton
geological	geološke
geological	geološko
defining	opredeljevanje
dinner	večerja
hosting	gostovanje
thriller	triler
retreat	umik
albany	albany
abdul	abdul
ignore	ignorirati
migration	migracije
migration	selitev
migration	migracija
carefully	previdno
sudan	sudan
manages	upravlja
duration	trajanje
henderson	henderson
explorer	raziskovalec
marco	marco
fusion	fuzijske
aids	aids
aids	pripomočki
gathered	zbrala
gathered	zbrane
gathered	zbrani
gathered	zbrano
privately	zasebno
reflected	odraža
afraid	prestrašen
afraid	prestrašeno
presbyterian	presbyterian
automobile	avtomobil
estates	posestva
pound	funt
allegedly	domnevno
delay	zakasnitev
delay	zamik
delay	zamuda
developers	razvijalci
semifinals	polfinale
belfast	belfast
arctic	arktični
kurt	kurt
mayors	županov
windsor	windsor
assumption	domneva
assumption	predpostavka
plates	tablice
plates	krožniki
plates	plošče
fourteen	štirinajst
monroe	monroe
hearts	src
hearts	srca
belgrade	beograd
victories	zmag
victories	zmage
pale	bled
pale	bleda
pale	bledo
pursuit	zasledovanje
pursuit	pregon
glory	slava
glory	slavi
glory	slavo
destroyer	uničevalec
destroyer	rušilec
deeply	globoko
lectures	predavanja
lectures	predavanj
preston	preston
deceased	umrli
deceased	preminil
deceased	umrl
speaks	govori
gathering	nabiranje
gathering	zbiranje
angry	jezna
angry	jezen
angry	jezni
angry	jezno
incomplete	nedokončano
incomplete	nepopolna
incomplete	nepopolno
incomplete	nepopoln
incomplete	nepopolni
enrolled	vpisali
enrolled	vpisal
enrolled	vpisan
enrolled	vključenih
configuration	nastavitve
configuration	nastavitev
brad	brad
skill	veščine
skill	spretnost
skill	veščina
intense	intenzivno
intense	napeto
intense	intenzivna
tasmania	tasmanija
commitment	zavezo
commitment	zaveza
commitment	zavezanost
loved	ljubljena
loved	ljubil
reforms	reforme
rulers	vladarji
uruguay	urugvaj
napoleon	napoleon
confirm	potrditev
confirm	potrdi
breed	pasme
auxiliary	pomožni
auxiliary	pomožno
auxiliary	pomožna
auxiliary	pomožne
enabled	omogočen
enabled	omogočeno
discography	diskografija
licence	dovoljenje
licence	licenco
licence	licenca
refugees	begunci
refugees	beguncev
adrian	adrian
pipe	cev
pipe	cevi
pipe	pipa
karen	karen
altered	spremenjen
altered	spremenjeno
budapest	budimpešti
designers	oblikovalci
heir	dedič
heir	naslednik
heir	dediča
advisor	svetovalec
illustrate	ponazoritev
authorized	pooblaščen
authorized	pooblaščeni
hide	skrij
announcement	obvestilo
compact	kompakten
tissue	robček
tissue	tkiva
tissue	tkivo
particles	delce
particles	delci
refuses	zavrača
refuses	odkloni
refuses	zavrne
receiver	prejemnik
receiver	sprejemnik
civilians	civiliste
civilians	civilisti
marsh	močvirja
marsh	marsh
marsh	močvirje
vinyl	vinil
delayed	zamudo
delayed	zamuja
wednesday	srede
