категория	categoría
през	través
през	a
през	por
като	como
като	coma
като	como
като	coma
като	así
година	ano
след	tras
след	de
след	despois
след	logo
това	isto
това	esta
това	este
или	ou
той	el
той	que
той	está
част	parte
години	anos
време	momento
време	tempo
време	vez
време	hora
със	con
със	coa
със	co
която	que
която	cal
което	que
което	cal
град	cidade
град	pobo
град	vila
град	aldea
град	city
град	cidade
град	da
много	moi
много	moitos
много	cantas
много	moitas
много	cantos
също	tamén
век	século
век	xiii
село	aldea
село	da
село	pobo
село	vila
един	unha
един	un
между	entre
между	os
около	redor
около	arredor
около	por
около	aquí
други	outra
други	outros
други	outro
други	outras
други	aos
други	outros
други	demais
други	outras
още	aínda
още	segue
още	máis
война	guerra
война	a
само	único
само	só
само	única
само	de
само	só
област	rexión
област	do
област	sudeste
област	distrito
област	fiscal
област	do
област	área
област	zona
под	baixo
под	debaixo
под	de
община	concello
така	así
така	que
така	entón
така	tan
място	lugar
място	casa
място	sitio
когато	cando
когато	se
вид	escribir
вид	tipo
вид	de
вид	clase
вид	especie
вид	especies
една	edna
една	unha
една	un
всички	todo
всички	todos
всички	todas
всички	todo
всички	o
всички	mundo
всички	todos
семейство	familia
семейство	familiar
започва	comeza
започва	comeza
започва	a
започва	empeza
сащ	eua
над	por
над	de
над	sobre
над	ascende
над	por
над	riba
над	da
над	enriba
над	arriba
него	el
него	o
него	lle
срещу	en
срещу	contra
срещу	os
тези	estas
тези	estes
тези	eses
тези	esas
тези	os
души	almas
мини	minas
република	república
късно	tarde
май	poden
май	pode
май	maio
май	que
май	podo
път	camiño
път	senda
път	seu
път	ruta
път	estrada
път	camiño
отбор	equipo
отбор	de
няколко	poucos
няколко	poucas
няколко	uns
няколко	algunhas
няколко	algúns
няколко	unhas
няколко	varios
няколко	varias
август	de
август	agosto
роден	nacín
роден	naceu
роден	nacer
роден	naciches
роден	nacen
беседа	conversación
беседа	conversa
беседа	sobre
септември	setembro
септември	de
преди	de
преди	antes
името	nome
името	se
група	banda
група	grupo
група	de
език	lingua
език	idioma
език	linguaxe
език	a
език	lingua
юли	xullo
юли	de
някои	algúns
някои	algunhas
някои	algo
някои	de
някои	un
тях	eles
тях	os
тях	deles
река	río
януари	xaneiro
януари	de
юни	xuño
две	dous
две	dúas
октомври	outubro
октомври	de
име	nome
име	se
заедно	xuntos
фон	von
фон	de
фон	fondo
американски	estadounidense
американски	americanos
американски	americana
американски	americano
ако	se
март	marzo
март	de
март	marcha
ноември	novembro
ноември	de
април	abril
април	de
върху	no
върху	en
върху	na
върху	veña
декември	decembro
декември	de
чрез	través
чрез	via
чрез	rúa
чрез	través
чрез	a
чрез	por
история	historia
история	relato
история	historia
история	da
жители	habitantes
жители	residentes
различни	diferentes
различни	distintas
различни	distinto
различни	distintos
различни	diferente
различни	varias
различни	varios
различни	con
без	sen
често	a
често	miúdo
често	moito
често	veces
често	acotío
получава	se
февруари	febreiro
февруари	de
работи	traballo
работи	traballar
работи	funciona
работи	traballa
провинция	provincia
провинция	do
център	centro
център	center
център	de
център	centro
център	cerne
повече	máis
няма	non
няма	hai
вече	xa
сред	entre
сред	os
сред	as
три	tres
три	3
страна	país
страна	lado
страна	secundarios
въпреки	pesar
въпреки	a
въпреки	malia
градове	vilas
градове	cidades
градове	nas
население	poboación
население	mundial
завършва	termina
завършва	remata
завършва	fin
завършва	listo
бил	bill
бил	billete
бил	conta
бил	dereitos
бил	contrato
малко	pouco
малко	algo
малко	pequeno
малко	pequena
хора	xente
хора	persoas
хора	a
хора	pobo
университет	universidade
университет	de
университет	da
университет	universidades
университет	universitaria
германия	alemaña
могат	poden
могат	podo
могат	podes
могат	podemos
могат	pode
могат	non
син	azul
син	azuis
син	fillo
награда	recompensa
награда	nobel
награда	pulitzer
награда	o
награда	premio
награда	premio
голяма	grande
голяма	gran
голяма	grandes
голяма	grande
голяма	grandes
голяма	gran
италия	italia
сайт	sitio
сайт	web
сайт	páxina
сайт	zona
сайт	lugar
световна	mundial
световна	mundo
световна	no
край	fin
край	final
използва	usa
сезон	tempada
сезон	de
окръг	do
окръг	condado
окръг	o
окръг	nado
окръг	distrito
окръг	fiscal
окръг	do
днес	hoxe
днес	día
смъртта	a
смъртта	morte
франция	francia
франция	franza
национален	nacional
национален	nacionais
национален	national
гърция	grecia
вижте	ver
вижте	vexo
русия	rusia
английски	inglés
английски	ingleses
английски	inglesa
едно	unha
едно	un
първи	primeiro
първи	primeira
отново	outra
отново	vez
отново	máis
отново	novo
отново	de
член	membro
член	da
член	membros
член	artigo
височина	altura
дъщеря	filla
там	alí
там	hai
там	aí
система	sistema
система	de
нея	ela
нея	a
нея	seu
нея	súa
училище	instituto
училище	escola
училище	colexio
били	billy
света	mundo
села	aldeas
села	pobos
филми	filmes
филми	filmes
филми	cinema
александър	alexander
умира	morre
умира	morren
умира	morte
умира	morrendo
умира	morrer
умира	moribundos
умира	por
южна	do
южна	sur
южна	sur
южна	do
южна	sudáfrica
европа	europa
европа	en
европа	europa
всеки	ninguén
всеки	calquera
всеки	alguén
всеки	a
всеки	todo
всеки	o
всеки	mundo
всеки	todos
всеки	os
всеки	as
всеки	todos
всеки	cada
всеки	todas
всеки	entre
всеки	cada
всеки	uns
всеки	un
части	partes
баща	pai
баща	o
баща	padre
нова	novo
нова	novas
нова	nova
нова	novos
крал	king
крал	rei
крал	o
крал	xurxo
армия	exército
армия	do
църква	igrexa
църква	á
църква	da
докато	mentres
докато	tempo
докато	ata
докато	que
докато	até
официален	oficial
официален	formal
северна	ao
северна	norte
северна	do
северна	do
северна	norte
времето	♫
времето	tempo
времето	do
времето	este
времето	ben
времето	momento
времето	tempo
времето	vez
времето	hora
освен	excepto
освен	só
освен	pero
освен	agás
освен	menos
места	lugares
места	sitios
места	onde
места	asentos
начин	así
начин	xeito
начин	como
начин	maneira
начин	forma
начин	camiño
период	período
период	periodo
период	tempo
период	a
период	adolescencia
резултат	resultado
резултат	arranxar
резултат	consecuencia
резултат	resultado
данни	datos
данни	puntos
данни	información
картинка	foto
картинка	imaxe
картинка	fotografía
картинка	imaxe
родени	nacín
родени	naceu
родени	nacer
родени	naciches
родени	nacen
играе	tocar
играе	xogar
играе	xogan
играе	xogo
играе	xoga
играе	xogando
играе	xogar
играе	tocando
играе	tocar
живот	vida
живот	a
тук	aquí
император	emperador
църквата	igrexa
църквата	á
църквата	da
ден	días
ден	día
жени	mulleres
жени	as
руски	rusa
руски	ruso
известен	coñecido
известен	coñecidos
известен	de
известен	famoso
известен	famosos
известен	famosa
добре	bo
добре	ben
добре	boa
добре	boas
добре	bos
мария	maria
мария	maría
дори	nin
дори	incluso
дори	aínda
дори	mesmo
дори	sequera
води	leads
води	leva
води	lévame
води	conducir
води	levar
води	a
води	até
тогава	logo
тогава	despois
тогава	entón
тогава	e
тогава	daquela
голям	grande
голям	gran
голям	grandes
голям	grande
голям	grandes
голям	gran
филм	película
филм	filme
филм	cine
филм	cinema
филм	película
филм	filme
почти	case
печели	gaña
страни	dos
страни	festas
страни	partidos
страни	lados
страни	bandos
страни	caras
страни	países
страни	paises
страни	dos
площ	área
площ	zona
острови	illas
код	código
код	code
френски	franceses
френски	francés
френски	francesa
френски	francesas
генерал	xeral
генерал	xeneral
генерал	o
защото	porque
защото	por
държава	país
държава	estado
дата	cita
дата	a
дата	día
дата	data
двете	tanto
двете	dúas
двете	dous
двете	os
двете	ambos
обикновено	habitualmente
обикновено	normalmente
обикновено	adoita
обикновено	xeral
обикновено	adoitan
обикновено	normalmente
обикновено	normalmente
големи	grande
големи	gran
големи	grandes
големи	grande
големи	grandes
големи	gran
деца	nenos
деца	fillos
деца	rapaces
деца	os
деца	cativos
деца	mozos
деца	nenos
деца	os
деца	cativos
деца	fillos
деца	nenas
петър	peter
петър	pedro
остава	segue
остава	queda
остава	a
остава	ser
остава	restos
остава	continúa
остава	fica
сили	poderes
сили	as
сили	forzas
дължина	lonxitude
албум	ubicación
гръцки	grego
дни	días
съюз	unión
съюз	sindicato
съюз	sindicalista
съюз	sindical
съюз	do
партия	festa
партия	partido
брат	irmán
брат	meu
работа	traballo
работа	traballo
работа	traballar
остров	island
остров	illa
председател	presidente
председател	vicepresidente
председател	o
председател	presidente
среща	cita
среща	a
среща	día
среща	data
среща	con
среща	xunta
среща	reunión
среща	encontro
среща	cita
групи	dous
групи	grupos
информация	información
нови	novo
нови	novas
нови	nova
нови	novos
включва	inclúe
пъти	as
пъти	veces
пъти	times
пъти	tempos
херцог	duque
министър	ministro
министър	ministra
министър	pastor
министър	cabinet
министър	o
цел	obxectivo
цел	obxectivo
цел	para
цел	propósito
цел	fin
цел	intención
цел	serve
цел	obxectivo
цел	obxectivo
цел	obxectiva
цел	obxectivo
участие	participación
участие	implicación
участие	participar
участие	participación
войната	guerra
войната	a
море	mar
отбора	equipo
отбора	de
списък	lista
списък	listaxe
дава	da
дава	dá
дава	dálle
историята	historia
историята	da
брой	contan
брой	contar
брой	conde
брой	con
брой	conta
брой	número
култура	cultura
култура	cultivo
култура	a
всяка	os
всяка	as
всяка	todos
всяка	cada
всяка	todas
всяка	entre
всяка	cada
всяка	uns
всяка	un
същата	mesmo
същата	mesmas
същата	mesma
известни	coñecido
известни	coñecidos
известни	de
известни	famoso
известни	famosos
известни	famosa
степен	de
степен	grao
статия	artigo
територията	territorio
регион	rexión
регион	do
регион	sudeste
повечето	a
повечето	maioría
повечето	parte
повечето	máis
редактор	de
редактор	edición
разположен	atópanse
друг	outra
друг	outros
друг	outro
друг	outras
друг	outro
друг	outra
джон	john
малки	pequeno
малки	pequenos
малки	pequenas
малки	pequena
малки	pouco
малки	algo
малки	pequeno
малки	pequena
вероятно	probablemente
вероятно	que
организация	organización
организация	sindicato
договор	contrato
север	ao
север	norte
север	do
изток	leste
изток	oriente
изток	este
изток	do
изток	próximo
изток	orientais
изток	oriental
изток	este
четири	catro
четири	4
особено	especialmente
особено	neno
особено	moi
особено	particularmente
особено	sobre
особено	todo
особено	particular
особено	especialmente
особено	sobre
особено	todo
разположено	atópanse
човек	persoa
човек	alguén
човек	humanos
човек	humana
човек	humano
човек	home
човек	meu
общо	total
общо	de
рим	roma
статии	artigos
управление	de
управление	xestión
управление	dirección
управление	a
управление	controla
литература	literatura
дейност	actividade
цар	king
цар	rei
цар	o
цар	xurxo
цар	tsar
хората	xente
хората	persoas
хората	a
хората	pobo
видове	especie
видове	especies
видове	tipos
власт	poder
власт	o
живота	vida
живота	a
тип	escribir
тип	tipo
тип	de
тип	clase
военни	militares
военни	militar
военни	exército
изчезване	extinción
изчезване	desaparecendo
изчезване	desaparición
изчезване	desaparecer
изчезване	desaparición
съвет	consello
съвет	punta
съвет	dan
съвет	propinas
свързани	asociados
свързани	coa
свързани	asociado
свързани	coa
свързани	conectados
свързани	conectada
свързани	conectado
свързани	con
свързани	conectadas
свързани	conectan
свързани	conectadas
исторически	históricas
исторически	histórica
исторически	históricos
исторически	histórico
исторически	histórica
кръг	círculo
кръг	redondo
кръг	redondos
кръг	xira
кръг	arredor
кръг	preto
майка	nai
майка	á
майка	mamá
карта	mapa
карта	carta
карта	tarxeta
карта	de
карта	unha
карта	documento
англия	inglaterra
нов	novo
нов	novas
нов	nova
нов	novos
неговата	o
неговата	seu
неговата	súa
неговата	seus
неговата	a
песни	cancións
песни	canción
песни	escribir
втори	segundo
втори	segunda
политика	político
политика	política
политика	a
политика	de
политика	póliza
политика	política
политика	a
политика	políticas
стара	anos
стара	vellos
стара	vello
стара	vella
форма	forma
форма	dunha
форма	figura
форма	forma
форма	xeito
семейството	familia
семейството	familiar
съпруга	muller
съпруга	esposa
съпруга	dona
втора	segundo
втора	segunda
район	rexión
район	do
район	sudeste
район	distrito
район	fiscal
район	do
район	área
район	zona
музика	música
близо	preto
близо	preto
близо	do
близо	da
близо	de
представлява	representa
манастир	mosteiro
манастир	convento
награди	premios
немски	alemán
немски	alemana
немски	alemaña
немски	alemáns
помощ	axuda
помощ	axudar
помощ	a
помощ	axuda
помощ	evitalo
вода	auga
първоначално	orixinalmente
карл	karl
карл	carl
свят	mundo
скоро	en
скоро	canto
скоро	axiña
скоро	pronto
западна	oeste
западна	occidente
западна	occidental
западна	do
западна	da
западна	west
западна	occidental
войски	tropas
войски	as
стил	estilo
живее	vidas
живее	vida
живее	vive
достига	chega
избран	escollida
марк	mark
марк	marca
марк	a
марк	marcos
африка	áfrica
африка	sudáfrica
запад	oeste
запад	occidente
запад	occidental
запад	do
запад	da
запад	west
революционер	revolucionario
революционер	revolucionaria
уебсайт	sitio
уебсайт	web
уебсайт	páxina
земята	terra
земята	mundo
земята	da
земята	earth
връзка	conexión
връзка	enlace
връзка	conectarnos
връзка	relación
роля	rol
роля	papel
италиански	italiano
италиански	italiana
италиански	italianos
създава	crea
москва	moscova
как	como
как	que
как	canto
китай	china
линия	liña
линия	fila
великобритания	bretaña
великобритания	gran
свети	santo
свети	san
свети	sagrado
свети	santo
свети	santos
свети	sagrada
кариера	carreira
кариера	súa
развитие	desenvolvemento
развитие	da
развитие	de
развитие	xapón
развитие	proxecto
роман	novela
източници	fontes
политически	políticas
политически	políticos
политически	político
политически	política
америка	américa
америка	ee
америка	america
америка	estados
америка	unidos
америка	uu
америка	nos
книги	os
книги	libros
служба	servizo
служба	de
другите	aos
другите	outros
другите	demais
другите	outras
произход	orixe
точка	momento
точка	punto
фридрих	frederick
първо	primeiro
първо	primeira
предимно	principalmente
предимно	maioría
предимно	sobre
предимно	todo
предимно	maiormente
предимно	maioritariamente
силно	forte
силно	alto
силно	alta
силно	voz
силно	forte
силно	fortes
силно	difícil
силно	duro
писатели	escritores
годината	ano
членове	membros
членове	do
всичко	todo
всичко	o
всичко	todo
всичко	todos
всичко	todas
включително	incluíndo
включително	mesmo
включително	incluído
включително	incluídos
включително	a
такива	tan
такива	como
такива	tal
птица	paxaro
птица	aves
птица	ave
възраст	anos
възраст	idade
комитет	comité
добър	bo
добър	ben
добър	boa
добър	boas
добър	bos
езици	idiomas
езици	linguaxes
езици	linguas
езици	as
езици	faladas
държави	unidos
държави	ee
държави	estados
държави	uu
държави	eua
държави	países
държави	paises
държави	dos
бързо	rápido
бързо	axiña
бързо	rápida
бързо	veña
бързо	marchar
бързо	rápido
бързо	velocidade
сега	agora
връх	pico
учи	estudar
учи	estudo
учи	estudamos
учи	despacho
битката	batalla
ред	orde
ред	para
ред	xiro
ред	postal
ред	vermello
ред	vermella
ред	vermellos
ред	roxa
ред	comunista
ред	fila
мач	partido
мач	xogo
мач	videoxogos
мач	de
дивизия	división
макар	aínda
макар	que
макар	non
макар	pero
макар	malia
макар	aínda
макар	que
макар	se
събития	eventos
събития	sucesos
събития	feitos
събития	adversos
събития	os
събития	xuntanzas
събития	acontecementos
серия	serie
серия	de
градът	cidade
градът	pobo
градът	vila
градът	aldea
градът	city
градът	cidade
градът	da
планина	montaña
планина	montañosa
нещо	algo
нещо	cousa
ляво	esquerda
ляво	queda
сан	san
сан	andrews
причина	razón
причина	motivo
причина	pola
причина	que
бразилия	brasil
начало	a
начало	comezar
начало	empezar
начало	comezando
начало	comezo
начало	principio
начало	empezando
движение	movemento
движение	mover
движение	moverse
движение	a
движение	movemento
движение	movementos
движение	movimento
движение	xesto
актьор	actor
централна	central
централна	primordiais
централна	centro
париж	parís
починал	falecido
музей	museo
книга	libro
какво	que
какво	o
едва	apenas
йорк	york
йорк	iorque
главно	principalmente
главно	maioría
главно	sobre
главно	todo
главно	maiormente
главно	maioritariamente
голямо	grande
голямо	gran
голямо	grandes
голямо	grande
голямо	grandes
голямо	gran
япония	xapón
командир	comandante
носи	a
носи	levar
носи	levar
носи	levo
носи	levas
носи	non
носи	as
австралия	australia
сила	fortaleza
сила	forzas
сила	forza
сила	a
сила	radica
сила	forza
сила	a
сила	policía
сила	exército
сила	poder
сила	o
цялата	toda
цялата	todo
цялата	enteiro
цялата	a
потребител	usuario
потребител	de
точно	exactamente
точно	mesmo
точно	o
смърт	a
смърт	morte
германски	alemán
германски	alemana
германски	alemaña
германски	alemáns
правителство	goberno
правителство	do
президент	presidente
президент	vicepresidente
президент	o
футбол	fútbol
случай	caso
случай	se
означава	significa
означава	dicir
означава	que
означава	medios
означава	quere
против	en
против	contra
против	os
раждане	a
раждане	luz
раждане	nacemento
раждане	orixe
раждане	de
изкуство	arte
изкуство	art
изкуство	a
азия	asia
азия	de
версия	versión
малка	pequeno
малка	pequenos
малка	pequenas
малка	pequena
малка	pouco
малка	algo
малка	pequeno
малка	pequena
театър	teatro
театър	recinto
театър	teatro
пак	outra
пак	vez
пак	máis
пак	novo
пак	de
източна	orientais
източна	oriental
източна	este
индия	india
лондон	londres
лондон	london
британски	a
британски	británico
британски	británica
британски	británicos
британски	británicas
британски	inglesa
отношение	actitude
отношение	atrancos
отношение	pensas
текст	texto
текст	de
текст	mensaxe
текст	mensaxes
пет	cinco
пет	5
образование	educación
образование	a
главен	principal
главен	importante
понякога	veces
понякога	ás
някой	alguén
някой	alguén
някой	que
въстание	rebelión
въстание	rebeldes
военен	militares
военен	militar
военен	exército
казва	di
казва	que
казва	dixo
следва	segue
малък	pequeno
малък	pequenos
малък	pequenas
малък	pequena
малък	pouco
малък	algo
малък	pequeno
малък	pequena
сметка	relato
сметка	contas
сметка	conta
разлика	diferenza
разлика	diferenzas
разлика	diferencia
разлика	mesmo
рок	rocha
рок	pedra
рок	rock
рок	de
създаването	creación
дом	fogar
дом	casa
дом	á
дом	na
кралство	reino
кралство	ceos
същото	mesmo
същото	mesmas
същото	mesma
учител	profesor
учител	mestra
учител	mestre
известна	coñecido
известна	coñecidos
известна	de
известна	famoso
известна	famosos
известна	famosa
починали	falecido
точки	puntos
игри	xogos
игри	xogar
игри	videoxogos
игри	os
напълно	totalmente
напълно	totalmente
напълно	completamente
напълно	completo
напълно	por
напълно	totalmente
клуб	clube
клуб	salvavidas
клуб	club
щати	unidos
щати	ee
щати	estados
щати	uu
щати	eua
бряг	costa
бряг	beach
бряг	praia
бряг	costa
бряг	marfil
бряг	na
месеца	meses
мексико	méxico
състояние	posición
състояние	statu
състояние	status
състояние	condición
състояние	situación
състояние	doenza
състояние	estado
превод	tradución
директор	director
директор	dirección
директор	de
директор	director
директор	principal
институт	instituto
канада	canadá
сигурност	de
сигурност	seguridade
мен	min
мен	me
основни	principal
основни	importante
основни	básica
основни	básicos
основни	básico
основни	básicas
основни	as
действия	acción
действия	as
действия	accións
метра	metros
събрание	xunta
събрание	reunión
събрание	encontro
събрание	cita
войни	guerreiros
войни	guerras
войни	guerra
имена	nomes
имена	nome
имена	os
изключително	moi
изключително	extremadamente
изключително	tremendamente
жена	muller
жена	unha
жена	muller
жена	esposa
жена	dona
доклад	informe
доклад	informar
унгария	hungría
изследвания	exames
изследвания	probas
изследвания	tests
изследвания	estudos
изследвания	estudios
изследвания	análises
изследвания	estudo
изследвания	investigación
изследвания	de
изследвания	investigacións
изследвания	investigar
реката	río
формула	fórmula
номер	número
обща	xeral
обща	xeneral
обща	o
обща	común
обща	comúns
обща	total
обща	de
вестник	xornais
вестник	xornal
опит	experiencia
опит	experimentar
опит	experimentan
животни	animais
животни	os
животни	animais
животни	animal
нито	nin
нито	non
разпространение	se
разпространение	estendeu
разпространение	distribución
разпространение	de
актриса	actriz
художник	pintor
художник	artista
художник	artistas
мачове	mistos
мачове	partidos
територия	territorio
сингъл	cada
сингъл	simple
сингъл	soa
сингъл	só
сингъл	única
сингъл	único
друго	outra
друго	outros
друго	outro
друго	outras
победа	gañar
победа	vitoria
победа	da
победа	victoria
победа	a
права	dereitos
права	os
права	dos
права	carta
права	dereito
университета	universidade
университета	de
университета	da
университета	universidades
университета	universitaria
княз	príncipe
княз	o
режисьор	director
режисьор	dirección
режисьор	de
служи	servir
служи	serven
служи	e
съществува	existe
съществува	real
съществува	exista
програма	programa
програма	de
програма	programar
решение	decisión
решение	solución
решение	solucións
защита	protexer
защита	protexen
защита	protexelos
защита	protexerse
защита	para
защита	protección
защита	defensa
защита	da
защита	defensa
гора	bosque
идва	vén
идва	se
идва	ven
идва	que
идва	vir
