and	in
was	bil
was	bila
for	za
that	to
that	tisto
from	iz
from	od
this	to
this	ta
this	tole
this	tega
utc	utc
his	njegovo
his	njegove
his	njegov
his	njegova
not	ni
not	ne
are	so
talk	govori
talk	govorjenje
talk	pogovor
talk	pogovori
which	katero
which	kateri
which	katere
which	katerih
which	ki
which	katerega
also	tudi
has	ima
were	bili
but	toda
but	ampak
but	vendar
have	imajo
have	imeti
one	enga
one	ena
one	en
one	eden
one	eno
new	novo
new	nov
new	novi
new	nove
new	nova
first	prva
first	prvo
first	prvi
first	najprej
page	stran
you	si
you	ti
they	so
had	imelo
had	imeli
had	imel
had	imela
article	članek
article	člena
article	člen
article	izdelek
who	ki
who	kdo
all	vsi
all	vsem
all	vse
all	vseh
their	njihovi
their	njihov
their	njihovo
their	njuna
their	njihova
their	njihove
there	tam
made	narejena
made	narejeni
made	narejen
made	narejeno
its	its
people	ljudje
people	ljudstvo
people	osebe
people	ljudi
may	maj
may	maja
after	po
other	drugi
other	drugo
other	druga
other	druge
two	dve
two	dva
score	zadetek
score	rezultat
her	njej
her	njo
her	njen
her	her
her	njena
can	lahko
would	bi
more	več
more	bolj
she	ona
about	glede
when	kadar
when	ko
when	kdaj
time	čas
time	časa
team	ekipno
team	ekipa
team	team
american	ameriške
american	ameriško
american	ameriški
american	ameriška
such	takšne
such	takšna
such	take
discussion	debata
discussion	razpravo
discussion	razprava
discussion	razprave
discussion	pogovor
links	povezave
only	le
only	samo
some	nekatere
some	nekaterim
some	nekateri
some	nekaj
some	neki
see	glej
see	glejte
united	združeni
united	združena
united	združene
united	united
united	združeno
years	leta
years	letih
years	let
school	šole
school	šolo
school	šola
world	svet
world	svetovna
world	svetovno
world	world
university	univerza
during	med
out	ven
out	zunaj
state	stanje
state	država
state	državno
states	države
states	držav
national	nacionalna
national	nacionalno
national	nacionalni
wikipedia	wikipedia
year	leto
year	letnica
most	večina
most	večini
most	največ
most	najbolj
city	city
city	mesto
city	mestu
used	uporabljen
used	uporabljena
used	uporabljeno
used	uporabljene
used	uporabljeni
then	potem
county	okrožni
county	okrožje
county	okraj
county	okrožju
external	zunanji
external	zunanja
external	zunanje
where	kjer
where	kje
will	will
will	bo
will	volja
what	kaj
delete	izbris
delete	brisanje
any	katerekoli
any	katerokoli
any	katerikoli
these	teh
these	te
these	tele
january	januar
january	januarja
march	marec
march	marca
march	pohod
august	avgusta
august	august
august	avgust
july	julij
july	julija
being	počutje
film	film
him	njega
him	ga
many	številni
many	mnogi
