সিটিজেন	سویلین
অনুরণন	گونج
অনুরণন	تلحین.
সেলিব্রিটি	شہرت
সেলিব্রিটি	دھوم.
উড়ান	سہامہ
উড়ান	تیر
টোপ	چارہ
টোপ	لالچ
টোপ	طعمہ
টোপ	لاسہ
টোপ	چارہ
টোপ	لالچ
টোপ	طعمہ
টোপ	ترغیب
টোপ	لاسہ
বিভ্রান্তিকর	مبہم
উৎখাতের	شکست
উৎখাতের	ڈھانا
উৎখাতের	گرانا
উৎখাতের	زوال.
উৎখাতের	الٹنا.
স্কুইড	طعمہ
রেক্টর	کالج
বাফার	تھاپی
পিচ্ছিল	رپٹواں
পিচ্ছিল	چکنا.
পিচ্ছিল	پھسلنا
অগ্র	ماقبل.
অগ্র	پیشیں
মুসাফির	سّیاح
মুসাফির	مسافر
মুসাফির	سیّاح.
মুসাফির	مسافر
আজব	جادوئی
আজব	نصیب.
আজব	طلسماتی
আজব	نرالا
আজব	جادوئی
আজব	نصیب.
আজব	طلسماتی
আজব	نرالا
আজব	عجیب
আজব	غیر
আজব	کسمساتا-
আজব	نرالا
আজব	نامانوس
আজব	انجانا.
আজব	غیر
আজব	کسمساتا-
আজব	نرالا
আজব	نامانوس
আজব	انجانا.
আজব	عجیب
আজব	عجیب.
মহিমান্বিত	عظمت
মাফ	معذرت
রেসিপি	گُر
টাক	سپاٹ
টাক	واضح
টাক	تامڑا
টাক	گنج
টাক	تامڑا
আরাম	تسلی
আরাম	ہمدم
আরাম	تشفّی
আরাম	دلاسا
আরাম	مطمئن.
আরাম	تندی
আরাম	نرم
আরাম	سختی
গসপেল	انجیل.
ঝুলন	چال
ডেস্ক	ہوٹل
তৈলাক্ত	(انداز
তৈলাক্ত	روغنی.
গ্রন্থকার	مخترع
গ্রন্থকার	کائنات
গ্রন্থকার	موجد
গ্রন্থকার	بانی
কুষ্ঠ	برص
কুষ্ঠ	جذام
কুষ্ঠ	کوڑھ
কুষ্ঠ	برص
কুষ্ঠ	جذام
লাক	اتفاق
লাক	مقّدر.
লাক	بختاوری
পেডেরাস্টি	لواطت.
ডাফ	کھوٹا.
ডাফ	نقلی
ডাফ	شکستہ-
শীট	اخبار
শীট	پارچہ
ইন্টারপ্রেটার	ترجمان
পরস্পরবিরোধী	اِبائی
পরস্পরবিরোধী	انکاری
পরস্পরবিরোধী	تردیدی.
কষ	تھکن.
কষ	ناداری
কষ	غم
কষ	پریشان
কষ	غمزدہ
কষ	خستگی
কষ	ستانا.
উত্তেজক	دلآزار
জিএম	(‎gram(s
লেবানিজ	لبنانی.
প্রলুব্ধ	فوائد.
প্রলুব্ধ	لُبھانے
প্রলুব্ধ	رغبت
চিকেন	بزدل
চিকেন	کمزور
স্বাধীনতায়	حریت
স্বাধীনতায়	حریت
স্বাধীনতায়	آزادی
চিরে	کترنیں
চিরে	لیریں
ভুয়া	نقلی.
ভুয়া	بناوٹی
ভুয়া	دھوکا
ভুয়া	غیراصلی.
ভুয়া	نقالی
ভুয়া	تقلّب.
ভুয়া	کھوٹا
ভুয়া	نقلی
