gloria	gloria
kursused	cursuri
suomen	suomen
constantin	constantin
horisontaalselt	orizontal
suurenemine	crește
suurenemine	creștere
triinu	ella
vassiljev	vasiliev
léon	léon
strauss	strauss
institutsioonid	instituțiile
institutsioonid	instituții
institutsioonid	institutii
romantiline	romantica
romantiline	romantice
romantiline	romantic
romantiline	romantică
uhke	mândră
uhke	mandra
uhke	mândra
uhke	mandru
uhke	mândru
uhke	fancy
uhke	fantezie
haruldased	rari
haruldased	rar
haruldased	rară
haruldased	rare
haruldased	rara
vista	vista
kohvi	cafea
kohvi	cafeaua
marianne	marianne
jeemeni	yemen
jeemeni	yemenit
omar	omar
pinnas	solul
pinnas	sol
kodakondsus	cetățenie
kodakondsus	cetățenia
kodakondsus	cetățenie
kodakondsus	cetățenia
ajavahemik	perioadă
ajavahemik	perioada
giulio	giulio
standardid	standarde
standardid	standardele
allveelaev	submarinul
allveelaev	submarin
albumid	albumele
albumid	albume
pühendunud	devotată
pühendunud	devotat
pühendunud	dedicată
pühendunud	dedicate
pühendunud	dedicat
pühendunud	comis
pühendunud	comise
tselluloosi	celuloză
liigitada	clasifica
liigitada	clasifică
tasapisi	încet
romano	romano
resolutsioon	rezoluția
resolutsioon	rezoluție
andrzej	andrzej
philadelphia	philadelphia
oulu	oulu
mürgine	toxic
mürgine	toxică
mürgine	toxice
mürgine	veninos
mürgine	otrăvitor
mürgine	otrăvitoare
väärt	worth
tapmine	măcel
tapmine	sacrificare
tapmine	ucidere
tapmine	uciderea
esa	sae
esa	esa
read	randuri
read	rânduri
read	liniile
read	linii
read	replici
michele	michele
korsika	corsican
korsika	corsica
kaksteist	twelve
kaksteist	doisprezece
kaksteist	douăsprezece
histoloogia	histologie
ekspert	expertul
ekspert	expertă
ekspert	expert
ökoloogiline	ecologice
ökoloogiline	ecologic
ökoloogiline	ecologică
sool	salt
sool	sarea
sool	sare
jung	jung
müük	vânzările
müük	vanzari
müük	vânzări
müük	vanzare
müük	vânzare
müük	vânzarea
müük	vânzări
vähendamine	reducere
vähendamine	reducerea
vähendamine	reducerea
vähendamine	reducând
smithi	smith
smart	inteligent
smart	destept
smart	smart
smart	inteligentă
loobunud	renunțat
loobunud	speologie
viljakas	fertilă
viljakas	fertil
viljakas	prolific
viljakas	fructuoasă
hell	blândă
hell	blând
kokkupõrge	impact
kokkupõrge	impactul
kokkupõrge	coliziunea
kokkupõrge	ciocnire
kokkupõrge	coliziune
paber	hârtie
paber	hîrtie
paber	hartie
alasti	gol
alasti	goala
alasti	dezbrăcată
alasti	goală
alasti	dezbrăcat
alasti	nud
sammas	coloană
sammas	coloana
sammas	pilonul
sammas	stâlp
sammas	pilon
mitt	mitt
maatriks	matrice
maatriks	matrix
maatriks	matricea
parameeter	parametru
parameeter	parametrul
žanr	gen
stella	stella
oskuste	abilitate
oskuste	îndemânare
otsustanud	decisă
otsustanud	decis
otsustanud	hotărât
sinised	albastră
sinised	albastru
schultz	schultz
lapselaps	nepoată
lapselaps	nepoata
lapselaps	nepotul
lapselaps	nepot
lapselaps	nepoate
wales	wales
elbe	elba
kogemata	accidental
hani	goose
hani	gâscă
hani	gâsca
hani	hani
hani	han
rex	rex
territoriaalne	teritorială
territoriaalne	teritoriale
territoriaalne	teritorial
jeffersoni	jefferson
bengali	bengal
harrison	harrison
maia	maia
mehaanilise	mecanic
ümbritsev	înconjurătoare
chicagos	chicago
turba	turbă
hävitatud	distrusa
hävitatud	distruse
hävitatud	distrus
hävitatud	distrusă
hävitatud	exterminat
karistuse	pedeapsă
karistuse	pedeapsa
liigitus	clasificare
liigitus	clasificarea
hävitamine	distruge
hävitamine	distrugere
hävitamine	distrugerea
hävitamine	distrugeri
korrus	etajul
korrus	etaj
korrus	podea
beach	plajă
beach	plaja
beach	beach
õiglane	echitabil
õiglane	fair
õiglane	corect
pööre	twist
pööre	răsucire
pööre	întoarce
sõitja	pasageri
sõitja	pasager
sõitja	pasagerul
sõitja	ocupantului
astrofüüsik	astrofizician
kuru	trece
kuru	pass
kuru	pasa
kuru	pasă
kliendi	clientul
kliendi	client
kliendi	clientul
kliendi	client
katoliiklased	catolici
katoliiklased	catolicii
pidulik	festiv
pidulik	festivă
võrreldav	comparabil
võrreldav	comparabile
võrreldav	comparabilă
phillips	philips
phillips	phillips
kaas	capacul
kaas	capac
lennata	fly
lennata	zboara
lennata	musca
lennata	zboară
lennata	zbor
lõpetatud	completa
lõpetatud	completă
lõpetatud	complete
lõpetatud	complet
lõpetatud	încheiat
lõpetatud	finalizat
lõpetatud	completat
lõpetatud	finalizată
lõpetatud	terminat
alumiiniumi	aluminiu
yves	yves
ted	ted
kümmekond	duzină
kümmekond	duzina
abt	abbot
abt	abate
möödub	pase
möödub	trece
tõlked	traduceri
camille	camille
claus	claus
meeldis	iubit
meeldis	plăcea
meeldis	plăcut
liides	interfața
liides	interfață
toll	centimetru
toll	obiceiuri
toll	vama
toll	vamale
toll	vamă
tammeka	stejarul
tammeka	stejar
tammeka	oak
cook	cook
cook	bucătar
cook	gătesc
stressi	stres
stressi	stress
stressi	stresul
varad	active
varad	activele
amy	amy
kive	pietre
kive	pietrele
kive	pietre
kive	roci
kive	stânci
zürichi	zürich
brüssel	bruxelles
kaltsiumi	calciu
gonzález	gonzález
sigmund	sigmund
ahven	biban
suurendatud	crescută
suurendatud	majorat
laienenud	dilatate
laienenud	mărit
laienenud	mărită
töölised	lucrători
töölised	muncitori
töölised	muncitorii
töölised	lucrătorii
töölised	lucrătorilor
flash	flash
göteborgi	gothenburg
projektid	proiectele
projektid	proiecte
june	june
june	iunie
allāh	allāh
parasvöötme	temperată
gérard	gérard
konsooli	consola
konsooli	consolă
siena	siena
verner	verner
verona	verona
singapuri	singapore
kalm	kalm
rühmitus	grupare
rühmitus	gruparea
käsitöö	meserii
religioosne	religioasa
religioosne	religioase
religioosne	religioasă
religioosne	religios
muljet	impresionează
muljet	impresioneze
muljet	impresiona
vincenzo	vincenzo
ülekanne	transmitere
ülekanne	transmisie
ülekanne	transmiterea
ülekanne	transmisiune
ülekanne	transfer
ülekanne	transferul
ülekanne	transferă
ülekanne	difuzat
ülekanne	transmisie
ülekanne	transmisiune
ülekanne	difuzare
mõjud	efectele
mõjud	efecte
arvud	cifre
arvud	figuri
arvud	cifrele
määr	rată
määr	rata
opositsioon	opoziția
opositsioon	opozitie
opositsioon	opoziție
irene	irene
leidmine	constatare
leidmine	gasirea
leidmine	găsirea
fourier	fourier
mošee	moscheea
mošee	moschee
benito	benito
valentina	valentina
revolutsiooniline	revolutionar
astuuria	asturias
mitmekesine	divers
joonia	ionică
tervishoid	sanatate
tervishoid	sănătatea
tervishoid	sănătate
käimine	datând
käimine	dating
käimine	intalniri
bauer	bauer
pidulikult	solemn
näita	arată
näita	arata
näita	spectacol
näita	afișează
budism	budismul
koguma	colectează
koguma	colecta
laenatud	imprumutat
laenatud	împrumutat
ruumiline	spațial
ruumiline	spațială
ruumiline	spațiale
magma	magmă
raudteede	ferate
sektor	sector
sektor	sectorul
enterprise	întreprindere
enterprise	întreprinderea
enterprise	enterprise
keskmised	medii
keskmised	medium
keskmised	mediu
keskmised	medie
keskmised	mediile
joone	linia
joone	line
joone	linie
sõnum	mesajul
sõnum	mesaj
tiigid	iazuri
beethoven	beethoven
arenema	evolueze
arenema	evoluează
teadis	știa
teadis	știut
teadis	știam
città	città
augusta	augusta
bio	bio
bio	biografia
bio	biografie
biokeemia	biochimie
nielsen	nielsen
fra	fra
jános	jános
hobused	cai
hobused	cailor
hobused	caii
rongi	train
rongi	trenul
rongi	tren
rikkus	averi
rikkus	averea
rikkus	avere
rikkus	bunăstare
rikkus	ruinat
rikkus	ruinată
etendus	arată
etendus	arata
etendus	spectacol
etendus	afișează
marshalli	marshall
kvalifikatsioon	calificări
kvalifikatsioon	calificările
kvalifikatsioon	calificare
kvalifikatsioon	calificarea
kvalifikatsioon	calificare
koondatud	agregate
intensiivsus	intensitate
intensiivsus	intensitatea
marss	marte
marss	mars
springer	springer
teave	informatii
teave	informație
teave	informații
teave	informaţii
