membrane	membrane
meter	metri
meter	metër
meter	metri
meter	metër
meter	matës
meter	meter
mlado	young
vsebinsko	konceptuale
sous	sous
anti	anti
kazalo	indeksi
kazalo	treguesi
situacijo	situatë
situacijo	situata
situacijo	gjendje
wayne	wayne
osvoboditev	çlirimi
osvoboditev	çlirimtare
osvoboditev	çlirimin
osvoboditev	çlirim
zasnova	dizajn
zasnova	dizajni
pomorsko	detare
pomorsko	detar
pat	pet
pat	pat
hrvati	kroatë
hrvati	kroatëve
hrvati	kroatët
zaloge	aksionet
zaloge	furnizimet
zaloge	furnizime
zaloge	aksioneve
abeceda	alfabeti
topovi	topa
topovi	topat
topovi	armët
topovi	armë
zasede	pritë
zasede	prita
mleka	qumesht
mleka	qumësht
mleka	qumeshti
mleka	qumështi
mag	magi
mag	mag
damjan	damjan
poletni	verës
poletni	vera
poletni	verën
poletni	vere
poletni	verore
poletni	verë
uživanje	kënaqësi
uživanje	përjetim
uživanje	shijon
molitev	luten
molitev	lutja
molitev	lutjet
molitev	lutje
molitev	namaz
molitev	namazi
molitev	lutja
molitev	lutje
prst	gisht
prst	gishti
prst	gishtin
prst	gishti
blato	balta
blato	baltë
blato	stolin
postopno	gradual
postopno	graduale
postopno	gradualisht
postopno	progresive
navdih	frymëzuar
navdih	frymëzoi
navdih	inspiruar
navdih	frymezim
navdih	frymëzim
navdih	inspirimi
navdih	inspirim
tabele	tryezat
tabele	tryeza
tabele	tavolina
tabele	tavolinat
abd	abd
študente	nxënës
študente	nxënësit
študente	nxenesit
študente	studentë
študente	studentët
študente	studentet
disertacijo	tezën
luč	dritë
luč	drita
luč	drite
mehiški	meksikan
mehiški	meksikane
aluminija	alumini
gozdni	pyll
gozdni	pylli
bogovi	zota
bogovi	perënditë
bogovi	zotët
bogovi	zotat
kupolo	kupola
kupolo	kupolë
razširjeno	shty
razširjeno	shtyhet
razširjeno	zgjatet
razširjeno	zgjatur
lambert	lambert
stavka	greve
stavka	greva
stavka	grevë
stavka	bjeri
izziv	sfide
izziv	sfida
izziv	sfidë
vrhovno	supreme
vrhovno	suprem
inšpektor	inspektor
inšpektor	inspektori
siriji	siria
siriji	siri
gledalci	spektatorë
gledalci	spektatorët
gledalci	publiku
gledalci	audiencë
gledalci	audiencën
gledalci	audienca
gledalci	auditori
gledalci	shikuesit
gledalci	shikues
primerjalno	krahasuese
andrews	andrews
keith	keith
garcía	garcía
src	hearts
src	zemrat
trdo	veshtire
trdo	vështir
trdo	vështirë
trdo	fort
čaj	tea
čaj	çaji
čaj	çaj
čaj	qaji
čaj	caji
spartak	spartaku
spartak	spartak
odpoved	dorëheqjen
odpoved	dorëheqja
odpoved	dorëheqje
spominskega	votive
vzorce	mostra
vzorce	mostrat
divji	wild
divji	eger
divji	egra
divji	egër
beach	plazh
beach	plazhi
upokojeni	pensionuar
upokojeni	pensionist
upokojeni	pension
odgovorna	përgjegjëse
odgovorna	përgjegjshëm
odgovorna	përgjegjës
stanovanje	banesë
stanovanje	dur
stanovanje	banesë
stanovanje	apartamenti
stanovanje	banesa
stanovanje	apartament
posode	enët
posode	enet
posode	pjata
posode	enë
posode	konteinerë
piero	piero
načrti	skicat
načrti	planet
načrti	plane
jeff	xhef
jeff	jeff
baz	baza
baz	bazat
baz	baz
murphy	murphy
murphy	marfi
omembe	përmend
dostopen	arritshme
suhi	thahet
suhi	tharë
suhi	thata
suhi	thatë
odgovoril	përgjigjur
spredaj	front
spredaj	fronti
spredaj	frontin
luca	luca
pisem	letra
pisem	shkronja
pisem	shkronjat
pisem	letrat
lepe	bukur
uspehov	suksese
uspehov	sukseset
uspehov	sukses
uspehov	suksese
uspehov	suksesi
smiles	buzëqesh
smiles	buzëqeshjet
razdeli	splitit
razdeli	ndahemi
razdeli	split
pozdrav	përshëndetje
pozdrav	përshëndes
suverenosti	sovranitetin
suverenosti	sovraniteti
isaac	isaku
isaac	isak
dem	dem
siva	gray
siva	grei
siva	grej
siva	gri
siva	grei
siva	grey
siva	gri
izdelava	prodhim
izdelava	prodhim
trenutek	moment
trenutek	momenti
oltarja	altar
oltarja	altari
oltarja	altarin
obrobju	periferi
obrobju	periferia
obrobju	periferi
gaj	gaius
gaj	kaio
bank	bankë
bank	banka
bank	bank
sinonim	sinonimi
sestri	motrat
sestri	motra
prid	favor
delce	grimcat
delce	grimca
kupola	kupola
kupola	kupolë
sekunde	sekonda
sekunde	sekondat
rossi	rossi
rona	ron
auflage	auflage
psihologijo	psikologji
psihologijo	psikologjia
charlie	charlie
charlie	çarli
bron	bronxi
bron	bronzi
državljani	shtetasit
državljani	qytetarë
državljani	shtetas
državljani	qytetarët
walther	walther
komandant	comandante
weber	veber
leonardo	leonardo
prepovedano	ndaluar
prepovedano	ndalohet
prepovedano	ndalohet
linux	linux
kritiko	kritikë
kritiko	kritika
kritiko	kritikat
razlogi	arsyet
razlogi	arsye
razlogi	arsyje
razlogi	arsyen
razlogi	arsyeja
razlogi	arsye
razlogi	trojet
moderno	modern
moderno	moderne
bolečino	dhimbje
bolečino	dhimbja
voditelji	liderët
voditelji	udhëheqësit
voditelji	krerët
jedrski	bërthamor
jedrski	nukleare
jedrski	bërthamorë
jedrski	nuklear
jedrski	bërthamore
hamburg	hamburgu
hamburg	hamburg
cruz	cruz
cruz	kruz
vožnjo	xhiro
vožnjo	vozitje
