inaugurazione	inhuldiging
adolf	adolf
correre	hardloop
orale	mondelinge
aggiornata	opgedateer
aggiornata	gewysig
aggiornata	bygewerk
beat	beat
beat	ritme
beat	klop
sprint	sprint
dinamo	dynamo
dinamo	dinamo
liberty	vryheid
liberty	liberty
trinità	trinity
guillermo	guillermo
gallia	cisalpina
aggiungendo	bygesit
australian	australiese
violento	geweldadig
violento	geweldadige
violento	violent
violento	gewelddadig
riforme	hervorm
cipro	cyprus
demoni	demoon
demoni	demon
demoni	demone
demoni	duiwels
massachusetts	massachusetts
corde	stringe
cellula	sel
presidenti	presidente
presidenti	president
mine	myne
mine	myne
carità	liefdadigheid
leggende	legends
leggende	legende
saverio	xavier
saverio	saverio
molecole	molekule
molecole	molekules
sacrificio	sacrifice
sacrificio	opoffering
architetti	argitekte
cava	cava
sospetto	suspicion
sospetto	verdagte
sospetto	verdag
sospetto	vermoed
terminale	terminaal
lombardi	lombardi
benzina	petrol
zar	tsaar
elementare	elementêre
reggente	regent
five	vyf
rispettare	respek
olanda	holland
generazioni	generations
hal	hal
derivati	afgeleide
consentito	toegelaat
seggi	sitplekke
cantare	eer
cantare	sang
cantare	sing
cantare	singing
cantare	singende
provinciali	provinsiale
referendum	referendum
referendum	referendums
apostolo	apostle
apostolo	apostel
fischio	fluitjie
fischio	fluit
contee	provinsies
gestore	bestuurder
israeliano	israeliese
indie	indie
africano	afrikaanse
africano	afrikaan
africano	afrika
africano	african
suite	suite
suite	suites
qualifica	kwalifiserende
guillaume	guillaume
lino	vlas
capaci	bekwame
ira	ira
ira	wrath
make	maak
conduzione	optrede
curtis	curtis
enormi	huge
efficienza	doeltreffendheid
nina	nina
nodo	node
nodo	knoop
heaven	hemel
heaven	heaven
unire	saamstaan
unire	versmelt
unire	samevoeging
unire	saamsmelt
ostacoli	versperrings
ostacoli	hindernisse
ostacoli	hindernis
sinfonia	simfonie
pasta	pasta
pasta	plak
massacro	knee
massacro	slagting
rolling	rolling
fall	herfs
fall	val
leoni	leoni
leoni	lions
convegno	aanbreek
boemia	boheme
derivata	afgeleide
centimetri	sentimeters
centimetri	sentimeter
centimetri	sentimeter
centimetri	duime
centimetri	duim
ginnastica	gimnastiek
identificare	identifiseer
amanti	liefhebbers
mason	mason
odore	reuk
odore	ruik
marca	handelsmerk
alain	alain
frutta	vrug
frutta	vrugte
frutta	fruits
algeria	algeriese
algeria	algerië
calice	goblet
crimini	misdade
crimini	misdrywe
crimini	misdaad
organico	organiese
estinzione	uitwissing
trattare	treat
trattare	behandel
catene	kettings
catene	ketting
rara	skaars
eyes	oë
ultimate	ultimate
face	gesiggie
face	gesig
sinonimi	sinoniem
vettore	draer
vettore	diensverskaffer
appassionato	hartstogtelik
appassionato	passionate
mons	mons
sensibilità	sensibility
dominazione	dominansie
causando	veroorsaak
gola	keel
gola	gorge
annuario	yearbook
irene	irene
songs	liedere
songs	liedjies
soap	seep
gatti	katte
gatti	cats
cameron	cameron
evidenti	obvious
suonato	gespeel
sforza	sforza
cintura	gordel
cintura	belt
gorizia	gorizia
procedimento	prosedure
uccisione	killing
marziale	martial
parchi	parke
sottostante	underlying
attacca	aanvalle
trovati	gekry
trovati	gevind
distanze	afstande
distanze	afstand
uruguay	uruguay
felix	felix
cook	cook
lotte	lotte
materie	vakke
birra	bier
birra	beers
fallito	misluk
sviluppi	ontwikkelings
esplicitamente	uitdruklik
esplicitamente	pertinent
stanze	kamers
stanze	rooms
dita	fingers
dita	vinger
klaus	klaus
altopiano	highland
altopiano	plateau
sierra	sierra
screenshot	skermkiekie
rivolto	aangespreek
jeremy	jeremy
elegante	elegant
elegante	elegante
copa	copa
operaio	worker
operaio	werker
operaio	arbeider
becker	becker
adiacente	aangrensende
cannes	cannes
volare	fly
volare	vlieg
volare	vlieënde
volare	flying
democratici	demokratiese
democratici	demokrate
organizzati	georganiseerde
organizzati	georganiseerd
organizzati	georganiseer
pontificia	papal
giuridico	wettig
giuridico	legal
ambientali	environmental
sentimento	voel
sentimento	sentiment
sentimento	feelings
sentimento	gevoelens
tubi	pype
scafo	hull
positivi	positiewe
positivi	positief
money	geld
sopravvivere	oorleef
ricercatori	navorsers
cifre	syfers
cifre	syfer
cifre	figure
consorzio	consortium
mensile	maandelikse
mensile	maandeliks
inviare	stuur
scarso	scarce
rookie	nuweling
amor	amor
picture	prent
giocata	gespeel
stili	styles
stili	uitsonderings
stili	style
costanza	constance
par	par
superfici	oppervlaktes
legenda	legende
succede	ontvou
povertà	armoede
fibre	vesel
fibre	fibre
espresse	getoon
ettari	hektaar
ettari	hektaar
crociata	kruistog
crociata	crusade
crociata	crusades
aggiunti	bygevoeg
concorrenza	kompetisie
españa	españa
beck	beck
veloci	vinnig
veloci	vinnige
xxx	xxx
annualmente	maandelikse
annualmente	jaarliks
contenute	vervat
contenute	versamel
leslie	les
leslie	leslie
animato	geanimeerde
sorgenti	springs
sorgenti	bronne
bizantina	bisantynse
clara	clara
competenze	vaardighede
competenze	kundigheid
quartetto	kwartet
funzionario	amptelik
