অ্যানি	annie
গোলা	gola
ক্লাসিক	klassiker
ক্লাসিক	klassisk
ক্লাসিক	klassiskt
ক্লাসিক	classic
ক্লাসিক	klassiska
গোলক	sfären
গোলক	klot
গোলক	sfär
আশীর্বাদ	välsigna
আশীর্বাদ	välsignelse
আশীর্বাদ	välsignelsen
আশীর্বাদ	välsignelser
আশীর্বাদ	välsignelse
স্ট্যানলি	stanley
ম্যাথু	matthew
ম্যাথু	matteus
উদয়	stiger
উদয়	stigande
উদয়	ökande
উদয়	stiger
ধর্মঘট	strike
ধর্মঘট	strejk
ধারাবাহিকতা	fortsättning
নে	ney
বহিঃস্থ	extern
বহিঃস্থ	externt
বহিঃস্থ	yttre
বহিঃস্থ	externa
উত্তেজিত	upphetsad
বেড়া	staket
বেড়া	stängsel
কেনা	köptes
কেনা	köpte
কেনা	köpta
কেনা	köpt
ডলফিন	delfin
ডলফিন	dolphin
বিন্যস্ত	sorterade
বিন্যস্ত	sorteras
বিমানে	flygplan
বিমানে	luftfartyg
বিমানে	planet
বিমানে	plan
উত্থাপিত	uppfostrade
উত্থাপিত	uppfostrad
উত্থাপিত	uppväxt
উত্থাপিত	höjt
উত্থাপিত	uppvuxen
হারিস	haris
দূতাবাস	ambassad
দূতাবাস	ambassaden
শয়তানের	djävul
শয়তানের	devil
শয়তানের	djävulen
শয়তানের	satan
শয়তানের	satans
বাল্টিক	baltic
বাল্টিক	baltiska
বাল্টিক	östersjön
অবিচ্ছেদ্য	oskiljaktiga
রো	roe
রো	rho
বীর্য	sperma
মতভেদ	varians
মতভেদ	odds
ইনফ্লুয়েঞ্জা	influensa
সতীর্থ	lagkamrater
করপোরেশন	corporation
স্লোভাকিয়া	slovakien
প্যাকেজ	paket
প্যাকেজ	förpackningar
প্যাকেজ	förpackning
প্যাকেজ	paket
প্যাকেজ	paketet
সোশ্যাল	socialt
সোশ্যাল	sociala
সোশ্যাল	social
মহাকাশযান	rymdfarkoster
মহাকাশযান	rymdskepp
জ্ঞানী	vist
জ্ঞানী	klokt
জ্ঞানী	vis
জ্ঞানী	klok
জ্ঞানী	kloka
জ্ঞানী	klokare
লিওনার্দো	leonardo
প্রবাল	koraller
প্রবাল	coral
প্রবাল	korall
কেট	kajsa
কেট	kate
সমঝোতা	förhandlingar
সমঝোতা	förhandling
পরিশ্রম	slipa
পরিশ্রম	grind
চম্পা	champa
ব্যাংকক	bangkok
গ্রেস	nåd
গ্রেস	grace
ভিক্টোরিয়ান	viktorianska
প্রবর্তক	pionjärer
জামাইকা	jamaica
মাউস	mus
রিড	reid
ব্যাহত	störa
রোবট	robot
দেরি	sena
দেরি	försenat
দেরি	försenade
দেরি	sen
দেরি	försenad
দেরি	sent
গ্রেগ	greg
লেনদেন	transaktioner
লেনদেন	transaktion
লেনদেন	transaktionen
কীবোর্ড	tangentbordet
কীবোর্ড	tangentbord
এস্টেট	egendom
বার্মিংহাম	birmingham
কর্মীরা	arbetare
কর্মীরা	arbetstagare
কর্মীরা	anställda
কর্মীরা	medarbetare
কর্মীরা	personal
কর্মীরা	personalen
কোলা	kola
কোলা	cola
জলাধার	reservoar
সুদর্শন	stilig
সুদর্শন	snygg
সুদর্শন	snygga
শিকড়	rötterna
শিকড়	rötter
সিমেন্ট	cement
ড্যান	dan
সভাপতিত্ব	ordförandeskap
মৌসুমি	monsun
অবাক	överraskad
অবাক	överraskning
অবাক	överraska
অবাক	överraskad
অবাক	förvånad
অবাক	överraskade
অবাক	undrar
অবাক	undra
অবাক	wonder
আসলেই	verkligen
চেনা	kända
চেনা	känd
চেনা	känt
সমাদৃত	uppskattat
সমাদৃত	uppskattade
সমাদৃত	uppskattas
সমাদৃত	uppskattad
হাসানের	hasan
স্মার্ট	smarta
স্মার্ট	smart
জেরেমি	jeremy
বাইনারি	binär
বাইনারি	binära
পশতু	pashto
ক্রিক	kirk
পনের	femton
পনের	fifteen
ঊর্ধ্ব	upper
ঊর্ধ্ব	övre
ক্যালিস	kallis
বিবরণী	specifikation
বিবরণী	specifikationer
গিটারিস্ট	gitarrist
গুচ্ছ	kluster
গুচ্ছ	gäng
বস	chef
বস	chefen
বস	bossen
বস	boss
ফাই	phi
মার্কো	marko
মার্কো	marco
রাজী	avtalade
রাজী	överenskomna
রাজী	överenskommen
বিনোদনমূলক	rekreation
লিড	leads
লিড	leder
লিড	leda
লিড	bly
লিড	lead
বক্সার	boxer
বক্সার	boxare
বক্সার	boxare
পুয়ের্তো	puerto
বিলবোর্ড	skylt
বিলবোর্ড	skyltar
ঝিল্লি	membran
একচেটিয়া	monopolet
একচেটিয়া	monopol
একচেটিয়া	monopolställning
মেল	mel
মু	mu
মু	moo
চাক	chak
চাক	chuck
সেমিনার	seminarium
সেমিনার	seminariet
ক্রোয়েশিয়া	kroatien
চিত্তাকর্ষক	imponerande
চিত্তাকর্ষক	fascinerande
হুসেন	hussain
ঘাটে	ghat
বানিজ্য	handeln
বানিজ্য	handel
নিউম্যান	newman
